metric,baseline_mean,baseline_std,new_mean,aggregate_z,flag,per_slate_z
mean_proj,97.33785833333333,6.339393188513777,95.44343333333333,-0.2988338069063881,No drift,5-3-26-late=93.2601(z=-0.64); 5-4-26=101.2289(z=+0.61); 5-4-26-late=93.1927(z=-0.65); 5-5-26=94.0921(z=-0.51)
std_proj,6.843501453541588,2.8616009578326773,5.84411339994646,-0.34924088589628016,No drift,5-3-26-late=3.4433(z=-1.19); 5-4-26=6.6304(z=-0.07); 5-4-26-late=8.4932(z=+0.58); 5-5-26=4.8096(z=-0.71)
mean_salary,49467.805555555555,518.5138733688876,48957.166666666664,-0.9848123938732212,Mild drift,5-3-26-late=49562.6667(z=+0.18); 5-4-26=49754.6667(z=+0.55); 5-4-26-late=46968.6667(z=-4.82); 5-5-26=49542.6667(z=+0.14)
mean_own_sum,134.12259722222223,39.64095728226659,166.50508333333335,0.8168946547009208,Mild drift,5-3-26-late=196.4745(z=+1.57); 5-4-26=134.9293(z=+0.02); 5-4-26-late=233.8696(z=+2.52); 5-5-26=100.7470(z=-0.84)
std_own_sum,38.64578250275719,8.9451326905218,37.63739758453569,-0.11273001229931216,No drift,5-3-26-late=32.8140(z=-0.65); 5-4-26=42.2439(z=+0.40); 5-4-26-late=46.0398(z=+0.83); 5-5-26=29.4519(z=-1.03)
mean_geo_own_hit,7.450813537386051,4.0135804705259615,9.9164572661491,0.6143252257852295,Mild drift,5-3-26-late=12.7173(z=+1.31); 5-4-26=6.8840(z=-0.14); 5-4-26-late=14.3900(z=+1.73); 5-5-26=5.6745(z=-0.44)
pct_5plus_stack,0.6036111111111111,0.12319387597971335,0.5866666666666667,-0.13754291201321334,No drift,5-3-26-late=0.4667(z=-1.11); 5-4-26=0.6067(z=+0.02); 5-4-26-late=0.5267(z=-0.62); 5-5-26=0.7467(z=+1.16)
pct_4_stack,0.3963888888888889,0.12319387597971333,0.41333333333333333,0.13754291201321336,No drift,5-3-26-late=0.5333(z=+1.11); 5-4-26=0.3933(z=-0.02); 5-4-26-late=0.4733(z=+0.62); 5-5-26=0.2533(z=-1.16)
pct_3_3_stack,0.0,0.0,0.0,0.0,No drift,5-3-26-late=0.0000(z=+0.00); 5-4-26=0.0000(z=+0.00); 5-4-26-late=0.0000(z=+0.00); 5-5-26=0.0000(z=+0.00)
pct_naked_other,0.0,0.0,0.0,0.0,No drift,5-3-26-late=0.0000(z=+0.00); 5-4-26=0.0000(z=+0.00); 5-4-26-late=0.0000(z=+0.00); 5-5-26=0.0000(z=+0.00)
bb_rate_ge1,0.25472222222222224,0.0970278941249643,0.28,0.260520729690598,No drift,5-3-26-late=0.2733(z=+0.19); 5-4-26=0.1800(z=-0.77); 5-4-26-late=0.4600(z=+2.12); 5-5-26=0.2067(z=-0.50)
bb_rate_eq1,0.14972222222222223,0.03936594897634723,0.15833333333333333,0.21874516771550526,No drift,5-3-26-late=0.1400(z=-0.25); 5-4-26=0.1267(z=-0.59); 5-4-26-late=0.2467(z=+2.46); 5-5-26=0.1200(z=-0.76)
bb_rate_ge2,0.105,0.07957010095622334,0.12166666666666667,0.2094589106508246,No drift,5-3-26-late=0.1333(z=+0.36); 5-4-26=0.0533(z=-0.65); 5-4-26-late=0.2133(z=+1.36); 5-5-26=0.0867(z=-0.23)
band_HP_HO,0.4058333333333333,0.02353433097199742,0.4116666666666667,0.24786484647786303,No drift,5-3-26-late=0.3933(z=-0.53); 5-4-26=0.4133(z=+0.32); 5-4-26-late=0.4267(z=+0.89); 5-5-26=0.4133(z=+0.32)
band_HP_LO,0.09416666666666666,0.02353433097199742,0.08833333333333333,-0.24786484647786183,No drift,5-3-26-late=0.1067(z=+0.53); 5-4-26=0.0867(z=-0.32); 5-4-26-late=0.0733(z=-0.89); 5-5-26=0.0867(z=-0.32)
band_LP_HO,0.09416666666666666,0.02353433097199742,0.08833333333333333,-0.24786484647786183,No drift,5-3-26-late=0.1067(z=+0.53); 5-4-26=0.0867(z=-0.32); 5-4-26-late=0.0733(z=-0.89); 5-5-26=0.0867(z=-0.32)
band_LP_LO,0.4058333333333333,0.02353433097199742,0.4116666666666667,0.24786484647786303,No drift,5-3-26-late=0.3933(z=-0.53); 5-4-26=0.4133(z=+0.32); 5-4-26-late=0.4267(z=+0.89); 5-5-26=0.4133(z=+0.32)
outcome_top1_lift,0.7800376907519765,0.7794982201607495,1.1666666666666667,0.49599725299559877,No drift,5-3-26-late=2.0000(z=+1.57); 5-4-26=0.6667(z=-0.15); 5-4-26-late=0.0000(z=-1.00); 5-5-26=2.0000(z=+1.57)
outcome_top01_lift,1.114864864864865,2.546582767395211,1.6666666666666667,0.21668323875693857,No drift,5-3-26-late=6.6667(z=+2.18); 5-4-26=0.0000(z=-0.44); 5-4-26-late=0.0000(z=-0.44); 5-5-26=0.0000(z=-0.44)
outcome_inverse_bell_ratio,2.0150545730018123,0.5766577417446009,2.1915708812260535,0.30610238178753074,No drift,5-3-26-late=1.9655(z=-0.09); 5-4-26=1.6111(z=-0.70); 5-4-26-late=1.6897(z=-0.56); 5-5-26=3.5000(z=+2.58)
outcome_roi,0.04189271020907011,2.0927556745501663,0.01211882871200963,-0.014227117794560665,No drift,5-3-26-late=1.8123(z=+0.85); 5-4-26=-0.7347(z=-0.37); 5-4-26-late=-0.8673(z=-0.43); 5-5-26=-0.1618(z=-0.10)
