P,P,C,1B,2B,3B,SS,OF,OF,OF
42962894,42963127,42962929,42963007,42962957,42962904,42962900,42962928,42962918,42962920
42962892,42963127,42962929,42962963,42962957,42962904,42962900,42962918,42962932,42962947
42962894,42962892,42962929,42962922,42962957,42962904,42962956,42962918,42962928,42962947
42962894,42962893,42962929,42962963,42962985,42962904,42962925,42962918,42962928,42962912
42962894,42962892,42962929,42962963,42962972,42962904,42962956,42962937,42962928,42962901
42962893,42963127,42962929,42962955,42962948,42962904,42962925,42962918,42962901,42962961
42962894,42962892,42963018,42962963,42962957,42962904,42962925,42962937,42962918,42962901
42962893,42962892,42962942,42962922,42962948,42962904,42962956,42962928,42962918,42962937
42962894,42962893,42962942,42962963,42962948,42962919,42962900,42962961,42962945,42962901
42962893,42963127,42962942,42962922,42962957,42962904,42962900,42962928,42962937,42962947
42962893,42962892,42962942,42962963,42962957,42962904,42962927,42962928,42962921,42962918
42962894,42962893,42963009,42962922,42962957,42962904,42962925,42962918,42962928,42962920
42963127,42962892,42962929,42962908,42962957,42962904,42962956,42962937,42962918,42962920
42962893,42962892,42962994,42962922,42962948,42962924,42962925,42962961,42962901,42962920
42962894,42963127,42963009,42962963,42962948,42962904,42962900,42962928,42962918,42962915
42962893,42963127,42962994,42962963,42962957,42962904,42962900,42962928,42962920,42962912
42962893,42962895,42962992,42962963,42962957,42962904,42962925,42962918,42962928,42962901
42962894,42962893,42962929,42962963,42962957,42962904,42962956,42962918,42962901,42962958
42962893,42962892,42963009,42962963,42962957,42962904,42962911,42962962,42962937,42962901
42962893,42962892,42963009,42962963,42962957,42962917,42962911,42962914,42962918,42962920
42962893,42962892,42962929,42962945,42962948,42962917,42962925,42962914,42962920,42962950
42962894,42962893,42962942,42962922,42962957,42962904,42962900,42962918,42963013,42962950
42962892,42962895,42962994,42962908,42962957,42962904,42962925,42962918,42962920,42962950
42962893,42962892,42963009,42962980,42962957,42962904,42962900,42963013,42962914,42962918
42962894,42962893,42962994,42962922,42962957,42962950,42962925,42962918,42962901,42962912
42962893,42963127,42962929,42962963,42962977,42962904,42962900,42962918,42962937,42962928
42962893,42962892,42962994,42962908,42962957,42962904,42962956,42962914,42962962,42962918
42962893,42962892,42963010,42962922,42962957,42962904,42962956,42963013,42962918,42962901
