P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42971386,Jose Soriano,9600,21.93,42971415,Logan Gilbert,9000,18.29,42971519,Jesus Rodriguez,2000,5.80,42971367,Josh Naylor,3600,8.22,42971401,Fernando Tatis Jr.,4900,9.28,42971289,Manny Machado,4200,7.85,42971521,Zach Neto,5500,8.48,42971435,Dominic Canzone,3100,6.85,42971393,Luke Raley,3400,6.68,42971441,Julio Rodriguez,4600,9.42,102.80,49900,29.7,2.9686e+1
42971386,Jose Soriano,9600,21.93,42971415,Logan Gilbert,9000,18.29,42971298,Mitch Garver,2200,6.35,42971547,Nolan Schanuel,3200,6.51,42971401,Fernando Tatis Jr.,4900,9.28,42971360,Yoan Moncada,2900,6.15,42971328,J.P. Crawford,3300,7.45,42971285,Mike Trout,6000,8.89,42971416,Jo Adell,4200,7.08,42971441,Julio Rodriguez,4600,9.42,101.35,49900,28.9,2.8882e+1
42971386,Jose Soriano,9600,21.93,42971415,Logan Gilbert,9000,18.29,42971519,Jesus Rodriguez,2000,5.80,42971346,Rafael Devers,3900,7.36,42971401,Fernando Tatis Jr.,4900,9.28,42971320,Miguel Andujar,3200,6.07,42971297,Xander Bogaerts,4000,7.49,42971441,Julio Rodriguez,4600,9.42,42971406,Jung Hoo Lee,3300,7.13,42971501,Jackson Merrill,4600,8.57,101.34,49100,28.8,2.8809e+1
42971386,Jose Soriano,9600,21.93,42971415,Logan Gilbert,9000,18.29,42971394,Freddy Fermin,2600,5.25,42971367,Josh Naylor,3600,8.22,42971359,Jake Cronenworth,2400,6.33,42971289,Manny Machado,4200,7.85,42971325,Willy Adames,3400,7.12,42971381,Randy Arozarena,4100,8.35,42971441,Julio Rodriguez,4600,9.42,42971401,Fernando Tatis Jr.,4900,9.28,102.04,48400,29.1,2.9123e+1
42971386,Jose Soriano,9600,21.93,42971415,Logan Gilbert,9000,18.29,42971298,Mitch Garver,2200,6.35,42971367,Josh Naylor,3600,8.22,42971401,Fernando Tatis Jr.,4900,9.28,42971289,Manny Machado,4200,7.85,42971328,J.P. Crawford,3300,7.45,42971285,Mike Trout,6000,8.89,42971435,Dominic Canzone,3100,6.85,42971381,Randy Arozarena,4100,8.35,103.46,50000,30.0,3.0039e+1
42971386,Jose Soriano,9600,21.93,42971415,Logan Gilbert,9000,18.29,42971519,Jesus Rodriguez,2000,5.80,42971478,Casey Schmitt,3500,7.23,42971359,Jake Cronenworth,2400,6.33,42971289,Manny Machado,4200,7.85,42971521,Zach Neto,5500,8.48,42971353,Ramon Laureano,4100,8.11,42971401,Fernando Tatis Jr.,4900,9.28,42971501,Jackson Merrill,4600,8.57,101.87,49800,30.2,3.0178e+1
42971386,Jose Soriano,9600,21.93,42971415,Logan Gilbert,9000,18.29,42971519,Jesus Rodriguez,2000,5.80,42971354,Gavin Sheets,3300,6.56,42971522,Cole Young,3200,6.66,42971289,Manny Machado,4200,7.85,42971297,Xander Bogaerts,4000,7.49,42971441,Julio Rodriguez,4600,9.42,42971353,Ramon Laureano,4100,8.11,42971501,Jackson Merrill,4600,8.57,100.68,48600,28.1,2.8084e+1
42971386,Jose Soriano,9600,21.93,42971415,Logan Gilbert,9000,18.29,42971298,Mitch Garver,2200,6.35,42971547,Nolan Schanuel,3200,6.51,42971401,Fernando Tatis Jr.,4900,9.28,42971289,Manny Machado,4200,7.85,42971297,Xander Bogaerts,4000,7.49,42971441,Julio Rodriguez,4600,9.42,42971381,Randy Arozarena,4100,8.35,42971353,Ramon Laureano,4100,8.11,103.58,49900,31.1,3.1072e+1
42971386,Jose Soriano,9600,21.93,42971415,Logan Gilbert,9000,18.29,42971279,Travis d'Arnaud,2200,4.93,42971547,Nolan Schanuel,3200,6.51,42971401,Fernando Tatis Jr.,4900,9.28,42971320,Miguel Andujar,3200,6.07,42971521,Zach Neto,5500,8.48,42971317,Jorge Soler,3700,6.93,42971381,Randy Arozarena,4100,8.35,42971441,Julio Rodriguez,4600,9.42,100.19,50000,29.5,2.9487e+1
42971386,Jose Soriano,9600,21.93,42971415,Logan Gilbert,9000,18.29,42971279,Travis d'Arnaud,2200,4.93,42971346,Rafael Devers,3900,7.36,42971401,Fernando Tatis Jr.,4900,9.28,42971289,Manny Machado,4200,7.85,42971297,Xander Bogaerts,4000,7.49,42971501,Jackson Merrill,4600,8.57,42971353,Ramon Laureano,4100,8.11,42971417,Heliot Ramos,3200,7.42,101.23,49700,29.3,2.9315e+1
