P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42974876,Jameson Taillon,7600,17.10,42974870,George Kirby,9000,16.05,42974956,Dalton Rushing,4100,7.88,42975039,Paul Goldschmidt,3200,6.56,42974941,Jazz Chisholm Jr.,4400,8.78,42974966,Josh Jung,4000,7.47,42975105,Miguel Rojas,2500,5.27,42974888,Aaron Judge,6400,11.31,42974920,Cody Bellinger,4900,8.16,42974974,Trent Grisham,3900,8.88,97.46,50000,12.8,1.2795e+1
42974876,Jameson Taillon,7600,17.10,42974870,George Kirby,9000,16.05,42974956,Dalton Rushing,4100,7.88,42974913,Freddie Freeman,4900,9.21,42975105,Miguel Rojas,2500,5.27,42974937,Max Muncy,4500,7.97,42975053,J.P. Crawford,3000,7.38,42974888,Aaron Judge,6400,11.31,42974974,Trent Grisham,3900,8.88,42974960,Teoscar Hernandez,4000,8.16,99.21,49900,14.4,1.4447e+1
42974876,Jameson Taillon,7600,17.10,42974878,Eduardo Rodriguez,7400,13.43,42974981,Will Smith,3800,8.84,42974913,Freddie Freeman,4900,9.21,42975126,Ezequiel Duran,2400,6.15,42974937,Max Muncy,4500,7.97,42975010,Jose Caballero,3500,6.85,42974888,Aaron Judge,6400,11.31,42974905,Kyle Tucker,5200,9.03,42974960,Teoscar Hernandez,4000,8.16,98.05,49700,14.1,1.4111e+1
42974876,Jameson Taillon,7600,17.10,42974867,Shohei Ohtani,10700,19.55,42974956,Dalton Rushing,4100,7.88,42974986,Josh Naylor,3700,7.84,42975105,Miguel Rojas,2500,5.27,42974937,Max Muncy,4500,7.97,42975053,J.P. Crawford,3000,7.38,42974932,Andy Pages,4500,7.43,42974960,Teoscar Hernandez,4000,8.16,42974931,Julio Rodriguez,4500,8.92,97.50,49100,13.7,1.3666e+1
42974876,Jameson Taillon,7600,17.10,42974871,Logan Webb,8700,17.38,42974981,Will Smith,3800,8.84,42974913,Freddie Freeman,4900,9.21,42974984,Chase Meidroth,3700,7.51,42974923,Miguel Vargas,4800,9.22,42974927,Colson Montgomery,4600,7.90,42974939,Chase DeLauter,4400,8.15,42975002,Andrew Benintendi,3500,6.58,42974993,Michael Harris II,3600,8.02,99.91,49600,14.7,1.4653e+1
42974876,Jameson Taillon,7600,17.10,42974871,Logan Webb,8700,17.38,42974956,Dalton Rushing,4100,7.88,42975098,Kyle Manzardo,2600,7.57,42975012,Travis Bazzana,3400,6.68,42974937,Max Muncy,4500,7.97,42974901,Zach Neto,5400,8.79,42974932,Andy Pages,4500,7.43,42974960,Teoscar Hernandez,4000,8.16,42974905,Kyle Tucker,5200,9.03,97.99,50000,13.6,1.3625e+1
42974867,Shohei Ohtani,10700,19.55,42974871,Logan Webb,8700,17.38,42975123,Edgar Quero,2400,6.96,42975076,Vaughn Grissom,2800,5.96,42974941,Jazz Chisholm Jr.,4400,8.78,42974923,Miguel Vargas,4800,9.22,42974927,Colson Montgomery,4600,7.90,42974962,Jo Adell,4000,7.71,42975023,Sam Antonacci,3300,6.46,42975002,Andrew Benintendi,3500,6.58,96.50,49200,13.9,1.3919e+1
42974869,Gavin Williams,9300,16.84,42974871,Logan Webb,8700,17.38,42974981,Will Smith,3800,8.84,42974913,Freddie Freeman,4900,9.21,42975105,Miguel Rojas,2500,5.27,42974937,Max Muncy,4500,7.97,42975053,J.P. Crawford,3000,7.38,42974960,Teoscar Hernandez,4000,8.16,42974931,Julio Rodriguez,4500,8.92,42974961,Randy Arozarena,4000,7.81,97.78,49200,14.3,1.4316e+1
42974867,Shohei Ohtani,10700,19.55,42974871,Logan Webb,8700,17.38,42974981,Will Smith,3800,8.84,42975039,Paul Goldschmidt,3200,6.56,42974941,Jazz Chisholm Jr.,4400,8.78,42974937,Max Muncy,4500,7.97,42975105,Miguel Rojas,2500,5.27,42975027,Jasson Dominguez,3300,7.58,42974932,Andy Pages,4500,7.43,42974960,Teoscar Hernandez,4000,8.16,97.52,49600,14.5,1.4536e+1
42974869,Gavin Williams,9300,16.84,42974871,Logan Webb,8700,17.38,42975123,Edgar Quero,2400,6.96,42975039,Paul Goldschmidt,3200,6.56,42974941,Jazz Chisholm Jr.,4400,8.78,42974923,Miguel Vargas,4800,9.22,42974927,Colson Montgomery,4600,7.90,42974888,Aaron Judge,6400,11.31,42975027,Jasson Dominguez,3300,7.58,42975293,Randal Grichuk,2000,7.14,99.67,49100,13.6,1.3615e+1
