P,P,C,1B,2B,3B,SS,OF,OF,OF
42974876,42974870,42974956,42975039,42974941,42974966,42975105,42974888,42974920,42974974
42974876,42974870,42974956,42974913,42975105,42974937,42975053,42974888,42974974,42974960
42974876,42974878,42974981,42974913,42975126,42974937,42975010,42974888,42974905,42974960
42974876,42974867,42974956,42974986,42975105,42974937,42975053,42974932,42974960,42974931
42974876,42974871,42974981,42974913,42974984,42974923,42974927,42974939,42975002,42974993
42974876,42974871,42974956,42975098,42975012,42974937,42974901,42974932,42974960,42974905
42974867,42974871,42975123,42975076,42974941,42974923,42974927,42974962,42975023,42975002
42974869,42974871,42974981,42974913,42975105,42974937,42975053,42974960,42974931,42974961
42974867,42974871,42974981,42975039,42974941,42974937,42975105,42975027,42974932,42974960
42974869,42974871,42975123,42975039,42974941,42974923,42974927,42974888,42975027,42975293
42974870,42974871,42974981,42974913,42975112,42974937,42975010,42974974,42974905,42974985
42974876,42974867,42975082,42975021,42975126,42974966,42975053,42975008,42974888,42974896
42974876,42974871,42974981,42974913,42975096,42974937,42975120,42974905,42974960,42974890
42974867,42974870,42974981,42974913,42974941,42974966,42974912,42975008,42975150,42975117
42974870,42974871,42974956,42974913,42975126,42974966,42974912,42975117,42974905,42974961
42974876,42974867,42974956,42975041,42975112,42975075,42974901,42974905,42974960,42974985
42974876,42974867,42975119,42974913,42975112,42974937,42975105,42974888,42975027,42974932
42974876,42974871,42974956,42974913,42975105,42974937,42974912,42975008,42974915,42974960
42974869,42974876,42974981,42974913,42975112,42974987,42975101,42974905,42974960,42974890
42974876,42974867,42974956,42974952,42975112,42974937,42974927,42974905,42974932,42975293
42974867,42974871,42974956,42975098,42974984,42974923,42974927,42974970,42975023,42975002
42974876,42974870,42974981,42974913,42975112,42974937,42974901,42974960,42975002,42974931
42974876,42974867,42974956,42975098,42975112,42974894,42975105,42974935,42974960,42974905
42974876,42974870,42974981,42974913,42975112,42974966,42974912,42975008,42974905,42974960
42974867,42974871,42975123,42974972,42974984,42974923,42974927,42974974,42975002,42975033
42974876,42974870,42974981,42974913,42974941,42975130,42975105,42974888,42975027,42974920
42974867,42974871,42975082,42975021,42975126,42975130,42974912,42974974,42974888,42975008
42974867,42974871,42975123,42975021,42974921,42974966,42974912,42975008,42975117,42974931
42974876,42974871,42974981,42974913,42975012,42974937,42975105,42975118,42974905,42974892
42974876,42974871,42974981,42974913,42974903,42975152,42975105,42974905,42974932,42974931
42974867,42974871,42974907,42974986,42975043,42974957,42975022,42974961,42975006,42975057
42974867,42974885,42974907,42974986,42974941,42974987,42975053,42974920,42974961,42974931
42974876,42974871,42974907,42974986,42975043,42974943,42974893,42975129,42974931,42974961
42974869,42974871,42974907,42974986,42975043,42975152,42975045,42974888,42974931,42974993
42974876,42974867,42974904,42974986,42974918,42974957,42975022,42975006,42975033,42975057
42974876,42974867,42975019,42974952,42974941,42974943,42974893,42975129,42974993,42975033
42974876,42974871,42974990,42974908,42974941,42975130,42974976,42974920,42974974,42974896
42974876,42974871,42975119,42974946,42974941,42975130,42974901,42974920,42975027,42974889
42974867,42975477,42974907,42974986,42974944,42974937,42975053,42974993,42974961,42974931
42974869,42974871,42974904,42975025,42974941,42975130,42975045,42974888,42974974,42975027
42974867,42974871,42975119,42975039,42974941,42974953,42975045,42975027,42974888,42975000
