portfolio_type,slate,user,top10_overlap
V1,4-6-26,-,1
Pro,4-6-26,b_heals152,0
Pro,4-6-26,bgreseth,0
Pro,4-6-26,needlunchmoney,0
Pro,4-6-26,shipmymoney,0
Pro,4-6-26,zroth2,0
Pro,4-6-26,shaidyadvice,2
Pro,4-6-26,youdacao,0
Pro,4-6-26,nerdytenor,0
V1,4-8-26,-,0
Pro,4-8-26,shipmymoney,0
Pro,4-8-26,bgreseth,0
Pro,4-8-26,nerdytenor,2
Pro,4-8-26,zroth2,0
Pro,4-8-26,shaidyadvice,0
V1,4-12-26,-,4
Pro,4-12-26,b_heals152,2
Pro,4-12-26,youdacao,0
Pro,4-12-26,shipmymoney,0
Pro,4-12-26,shaidyadvice,0
Pro,4-12-26,bgreseth,1
Pro,4-12-26,nerdytenor,1
Pro,4-12-26,zroth2,0
V1,4-14-26,-,0
Pro,4-14-26,nerdytenor,1
Pro,4-14-26,zroth2,1
Pro,4-14-26,shaidyadvice,1
Pro,4-14-26,needlunchmoney,2
Pro,4-14-26,youdacao,2
Pro,4-14-26,shipmymoney,1
Pro,4-14-26,b_heals152,0
Pro,4-14-26,bgreseth,0
V1,4-15-26,-,0
Pro,4-15-26,zroth2,1
Pro,4-15-26,nerdytenor,0
Pro,4-15-26,bgreseth,1
Pro,4-15-26,needlunchmoney,0
Pro,4-15-26,shaidyadvice,1
Pro,4-15-26,youdacao,1
Pro,4-15-26,shipmymoney,1
Pro,4-15-26,b_heals152,0
V1,4-17-26,-,0
Pro,4-17-26,youdacao,0
Pro,4-17-26,shipmymoney,0
Pro,4-17-26,b_heals152,0
Pro,4-17-26,needlunchmoney,1
Pro,4-17-26,bgreseth,1
Pro,4-17-26,shaidyadvice,2
Pro,4-17-26,nerdytenor,1
Pro,4-17-26,zroth2,2
V1,4-18-26,-,0
Pro,4-18-26,needlunchmoney,2
Pro,4-18-26,shipmymoney,0
Pro,4-18-26,bgreseth,0
Pro,4-18-26,youdacao,0
Pro,4-18-26,b_heals152,1
Pro,4-18-26,zroth2,0
V1,4-19-26,-,0
Pro,4-19-26,nerdytenor,0
Pro,4-19-26,shipmymoney,1
Pro,4-19-26,zroth2,1
Pro,4-19-26,needlunchmoney,0
Pro,4-19-26,bgreseth,0
Pro,4-19-26,b_heals152,0
Pro,4-19-26,youdacao,0
Pro,4-19-26,shaidyadvice,0
V1,4-20-26,-,2
Pro,4-20-26,bgreseth,0
Pro,4-20-26,zroth2,0
Pro,4-20-26,youdacao,2
Pro,4-20-26,shaidyadvice,0
Pro,4-20-26,nerdytenor,1
Pro,4-20-26,shipmymoney,0
Pro,4-20-26,needlunchmoney,0
Pro,4-20-26,b_heals152,0
V1,4-21-26,-,0
Pro,4-21-26,nerdytenor,0
Pro,4-21-26,shaidyadvice,0
Pro,4-21-26,b_heals152,1
Pro,4-21-26,bgreseth,1
Pro,4-21-26,zroth2,1
Pro,4-21-26,shipmymoney,0
V1,4-22-26,-,1
Pro,4-22-26,youdacao,2
Pro,4-22-26,bgreseth,0
Pro,4-22-26,nerdytenor,0
Pro,4-22-26,zroth2,0
Pro,4-22-26,shaidyadvice,0
Pro,4-22-26,b_heals152,0
Pro,4-22-26,needlunchmoney,0
Pro,4-22-26,shipmymoney,0
V1,4-23-26,-,0
Pro,4-23-26,zroth2,0
Pro,4-23-26,needlunchmoney,0
Pro,4-23-26,shaidyadvice,0
Pro,4-23-26,b_heals152,0
Pro,4-23-26,nerdytenor,1
V1,4-24-26,-,1
Pro,4-24-26,nerdytenor,1
Pro,4-24-26,shipmymoney,1
Pro,4-24-26,needlunchmoney,0
Pro,4-24-26,shaidyadvice,2
Pro,4-24-26,b_heals152,1
Pro,4-24-26,youdacao,3
Pro,4-24-26,zroth2,3
V1,4-25-26,-,0
Pro,4-25-26,shaidyadvice,1
Pro,4-25-26,zroth2,0
Pro,4-25-26,shipmymoney,1
Pro,4-25-26,nerdytenor,0
Pro,4-25-26,bgreseth,0
Pro,4-25-26,needlunchmoney,0
Pro,4-25-26,b_heals152,1
V1,4-25-26-early,-,0
Pro,4-25-26-early,shipmymoney,0
Pro,4-25-26-early,nerdytenor,0
Pro,4-25-26-early,zroth2,1
Pro,4-25-26-early,needlunchmoney,0
Pro,4-25-26-early,b_heals152,0
Pro,4-25-26-early,shaidyadvice,1
V1,4-26-26,-,2
Pro,4-26-26,bgreseth,1
Pro,4-26-26,shaidyadvice,0
Pro,4-26-26,shipmymoney,0
Pro,4-26-26,b_heals152,1
Pro,4-26-26,youdacao,0
Pro,4-26-26,nerdytenor,0
