portfolio,method,n_slates,mean,std,q25,q50,q75,frac_neg,frac_strong_neg,frac_weak,frac_strong_pos
V1,full,24,0.169882,0.154262,0.062500,0.151250,0.260417,0.131014,0.000000,0.333844,0.038497
V1,simple,24,-0.025259,0.272794,-0.125688,0.051578,0.132898,0.222636,0.218986,0.353445,0.000149
b_heals152,full,22,0.135998,0.145040,0.029091,0.109091,0.217273,0.167110,0.000000,0.427590,0.022831
b_heals152,simple,22,-0.029621,0.251644,-0.103621,0.050505,0.106733,0.202912,0.201415,0.467976,0.002693
bgreseth,full,16,0.183011,0.159548,0.068750,0.152500,0.271250,0.100861,0.000000,0.307332,0.050671
bgreseth,simple,16,0.009153,0.251626,-0.116556,0.078216,0.143791,0.188658,0.185492,0.356678,0.007204
needlunchmoney,full,19,0.147187,0.143044,0.045263,0.124737,0.226316,0.139221,0.000000,0.381947,0.023497
needlunchmoney,simple,19,-0.023920,0.258804,-0.075661,0.052632,0.122155,0.210668,0.207131,0.416569,0.001813
nerdytenor,full,22,0.154069,0.139183,0.055455,0.131818,0.239545,0.123604,0.000000,0.347350,0.017336
nerdytenor,simple,22,-0.000215,0.229626,-0.057010,0.055290,0.125966,0.169648,0.167606,0.427928,0.000944
shaidyadvice,full,22,0.183808,0.164638,0.063636,0.156818,0.281136,0.123030,0.000000,0.320155,0.055599
shaidyadvice,simple,22,0.010759,0.254613,-0.059277,0.073897,0.150475,0.177120,0.175636,0.365719,0.004564
shipmymoney,full,22,0.187374,0.154997,0.070909,0.157273,0.275000,0.108380,0.000000,0.317177,0.058142
shipmymoney,simple,22,0.023515,0.236094,-0.067244,0.074894,0.145663,0.166972,0.162957,0.381851,0.009862
youdacao,full,16,0.293816,0.158916,0.173125,0.271875,0.393125,0.010436,0.000000,0.081913,0.125761
youdacao,simple,16,0.147820,0.185369,0.086386,0.141238,0.243362,0.062998,0.058853,0.230240,0.035520
zroth2,full,23,0.195143,0.150714,0.081739,0.170870,0.287391,0.084163,0.000000,0.266779,0.045365
zroth2,simple,23,0.035304,0.223439,-0.010933,0.086239,0.157588,0.144966,0.142189,0.364844,0.004758
PRO_AVERAGE,full,162,0.181861,0.151633,0.070556,0.156173,0.270525,0.110176,0.000000,0.312906,0.047523
PRO_AVERAGE,simple,162,0.018313,0.237233,-0.052402,0.074664,0.146755,0.167468,0.164709,0.381811,0.007561
