slate,method,v1_mean,v1_frac_neg,v1_frac_strong_neg,v1_frac_strong_pos,proavg_mean,proavg_frac_neg,proavg_frac_strong_neg,proavg_frac_strong_pos,n_pros_in_slate,gap_frac_neg,gap_frac_strong_neg
4-6-26,full,0.164230,0.135839,0.000000,0.029083,0.180583,0.108087,0.000000,0.037114,8,-0.027752,0.000000
4-6-26,simple,-0.041642,0.253154,0.251902,0.000000,0.005863,0.186074,0.184206,0.002248,8,-0.067081,-0.067696
4-8-26,full,0.213014,0.123758,0.000000,0.069888,0.247024,0.062085,0.000000,0.076349,5,-0.061673,0.000000
4-8-26,simple,-0.101715,0.391588,0.386935,0.000000,-0.021620,0.308313,0.294139,0.006944,5,-0.083275,-0.092796
4-12-26,full,0.192328,0.034810,0.000000,0.040358,0.219217,0.053257,0.000000,0.075449,7,0.018447,0.000000
4-12-26,simple,0.041978,0.128054,0.126801,0.000000,0.090771,0.067408,0.066692,0.011787,7,-0.060646,-0.060109
4-14-26,full,0.122016,0.180671,0.000000,0.012796,0.149396,0.140358,0.000000,0.034911,8,-0.040313,0.000000
4-14-26,simple,-0.030907,0.193110,0.192483,0.000000,0.019987,0.129866,0.128960,0.003557,8,-0.063244,-0.063523
4-15-26,full,0.181390,0.092796,0.000000,0.034541,0.179573,0.087718,0.000000,0.036957,8,-0.005078,0.000000
4-15-26,simple,-0.037058,0.263266,0.262103,0.000000,0.031564,0.136812,0.135604,0.002841,8,-0.126454,-0.126499
4-17-26,full,0.141718,0.151320,0.000000,0.027025,0.141171,0.117315,0.000000,0.022494,8,-0.034004,0.000000
4-17-26,simple,-0.010849,0.173960,0.173691,0.000000,0.016088,0.124016,0.123300,0.001890,8,-0.049944,-0.050391
4-18-26,full,0.173795,0.134049,0.000000,0.030336,0.194957,0.107412,0.000000,0.050828,6,-0.026637,0.000000
4-18-26,simple,-0.022751,0.220313,0.218523,0.000000,0.014471,0.193289,0.186503,0.005250,6,-0.027025,-0.032021
4-19-26,full,0.132239,0.200268,0.000000,0.025414,0.148050,0.163043,0.000000,0.031186,8,-0.037226,0.000000
4-19-26,simple,-0.058329,0.256197,0.255570,0.000000,-0.016066,0.199374,0.197662,0.001823,8,-0.056823,-0.057908
4-20-26,full,0.196703,0.089664,0.000000,0.038031,0.152050,0.154105,0.000000,0.027327,8,0.064441,0.000000
4-20-26,simple,0.046256,0.122506,0.121163,0.000000,-0.014984,0.194530,0.193054,0.001577,8,0.072025,0.071890
4-21-26,full,0.192909,0.153557,0.000000,0.051633,0.204084,0.104072,0.000000,0.055824,6,-0.049485,0.000000
4-21-26,simple,-0.061762,0.298255,0.297360,0.000000,-0.013910,0.245444,0.241924,0.006965,6,-0.052811,-0.055436
4-22-26,full,0.230646,0.121700,0.000000,0.078300,0.226479,0.082584,0.000000,0.085872,8,-0.039116,0.000000
4-22-26,simple,0.094804,0.071946,0.071499,0.000000,0.079788,0.098635,0.093210,0.006242,8,0.026689,0.021711
4-23-26,full,0.183954,0.127696,0.000000,0.046174,0.186852,0.104430,0.000000,0.035758,5,-0.023266,0.000000
4-23-26,simple,-0.013755,0.220582,0.219239,0.000000,0.008484,0.187472,0.185664,0.003508,5,-0.033110,-0.033575
4-24-26,full,0.125229,0.124116,0.000000,0.019776,0.128796,0.121138,0.000000,0.023637,7,-0.002979,0.000000
4-24-26,simple,0.022479,0.091544,0.091275,0.000000,0.032569,0.080166,0.079885,0.002493,7,-0.011377,-0.011390
4-25-26,full,0.163514,0.156510,0.000000,0.031141,0.181221,0.106155,0.000000,0.040115,7,-0.050355,0.000000
4-25-26,simple,-0.014481,0.204116,0.203579,0.000000,0.009079,0.186334,0.183381,0.005241,7,-0.017782,-0.020198
4-25-26-early,full,0.215857,0.064161,0.000000,0.049306,0.194732,0.130902,0.000000,0.056883,6,0.066741,0.000000
4-25-26-early,simple,0.026151,0.185056,0.182640,0.000000,-0.040156,0.291380,0.285160,0.007517,6,0.106324,0.102521
4-26-26,full,0.149519,0.087606,0.000000,0.026935,0.222914,0.061365,0.000000,0.092483,8,-0.026242,0.000000
4-26-26,simple,0.030889,0.103535,0.103445,0.000000,0.108658,0.083322,0.082908,0.061857,8,-0.020213,-0.020537
4-27-26,full,0.159211,0.130470,0.000000,0.030067,0.182416,0.120425,0.000000,0.041264,8,-0.010045,0.000000
4-27-26,simple,-0.033574,0.235168,0.234004,0.000000,-0.009967,0.216387,0.213960,0.002248,8,-0.018781,-0.020045
4-28-26,full,0.145642,0.141298,0.000000,0.033647,0.135487,0.146577,0.000000,0.026051,8,0.005280,0.000000
4-28-26,simple,0.001618,0.156868,0.156152,0.000000,0.011377,0.127819,0.126957,0.002092,8,-0.029049,-0.029195
4-29-26,full,0.119975,0.232931,0.000000,0.018613,0.243496,0.071812,0.000000,0.085123,8,-0.161119,0.000000
4-29-26,simple,-0.095775,0.308546,0.307383,0.000000,0.036084,0.208221,0.201600,0.015134,8,-0.100324,-0.105783
5-1-26,full,0.116937,0.173333,0.000000,0.018076,0.129228,0.130316,0.000000,0.023407,7,-0.043017,0.000000
5-1-26,simple,-0.006846,0.141477,0.141298,0.000000,0.023065,0.096159,0.095622,0.001687,7,-0.045318,-0.045676
5-2-26,full,0.183031,0.138792,0.000000,0.047517,0.197491,0.120877,0.000000,0.052940,5,-0.017915,0.000000
5-2-26,simple,-0.069399,0.314273,0.312125,0.000000,-0.037384,0.289217,0.284546,0.008555,5,-0.025056,-0.027579
5-2-26-main,full,0.179187,0.100134,0.000000,0.036331,0.178375,0.147383,0.000000,0.043684,6,0.047248,0.000000
5-2-26-main,simple,-0.024539,0.235436,0.234273,0.000000,-0.033014,0.253632,0.250589,0.004787,6,0.018195,0.016316
5-2-26-night,full,0.237781,0.131723,0.000000,0.105414,,,,,0,,
5-2-26-night,simple,-0.254963,0.623893,0.562416,0.003579,,,,,0,,
5-3-26,full,0.156350,0.117136,0.000000,0.023535,0.195666,0.081385,0.000000,0.046522,7,-0.035752,0.000000
5-3-26,simple,0.007942,0.150425,0.149799,0.000000,0.059919,0.093052,0.092232,0.003164,7,-0.057373,-0.057567
