entity,n_slates_passing,coup12_mean,coup12_ci_lo,coup12_ci_hi,coup13_mean,coup13_ci_lo,coup13_ci_hi,coup23_mean,coup23_ci_lo,coup23_ci_hi,coup123_mean,coup123_ci_lo,coup123_ci_hi,cell1_marginal_top1_mean,cell1_marginal_top1_ci_lo,cell1_marginal_top1_ci_hi,cell2_marginal_top1_mean,cell2_marginal_top1_ci_lo,cell2_marginal_top1_ci_hi,cell3_marginal_top1_mean,cell3_marginal_top1_ci_lo,cell3_marginal_top1_ci_hi,p1_top_mean,p1_top_ci_lo,p1_top_ci_hi,p2_top_mean,p2_top_ci_lo,p2_top_ci_hi,p3_top_mean,p3_top_ci_lo,p3_top_ci_hi,j12_mean,j12_ci_lo,j12_ci_hi,j13_mean,j13_ci_lo,j13_ci_hi,j23_mean,j23_ci_lo,j23_ci_hi,j123_mean,j123_ci_lo,j123_ci_hi,herfindahl_joint_mean,herfindahl_joint_ci_lo,herfindahl_joint_ci_hi,p123_dominance_sq_mean,p123_dominance_sq_ci_lo,p123_dominance_sq_ci_hi
v1,24,0.9030156735064496,0.7257468311929635,1.0664486923774592,0.6973073375211533,0.3977658012218045,1.0529829448086026,0.9644304654414952,0.8372662135723569,1.0754545118393706,0.7441842352266669,0.3340162183840734,1.2486539568277388,0.14583333333333334,0.12944444444444445,0.1627777777777778,0.8858333333333333,0.8486111111111111,0.9161111111111112,0.2902777777777778,0.23777777777777778,0.3441666666666667,0.09229205900051625,0.07924770070004074,0.10592338157488265,0.7277091963381389,0.6715922795879284,0.7803342559070655,0.30501569553980357,0.23958579095633573,0.3833074529462954,0.0649663683927431,0.04850425018766626,0.08251830014648862,0.02034355250362555,0.011587241956378185,0.030318515862880157,0.22054897495505865,0.16395586260826156,0.28212505512914965,0.0136753075541306,0.0068278028700718635,0.02085345401786162,0.033776443045866945,0.0296874695949327,0.037933019009078695,0.0005033406023856537,0.00021474809982229982,0.0008382651394498421
b_heals152,22,1.1164993424870764,0.9358747345986589,1.289206499957947,1.0845448716676755,0.420442050787257,1.8408483899758252,0.9603105900673607,0.7965245319668791,1.1140069489761601,0.7687418076052196,0.1645677554768464,1.5889817871264995,0.17575757575757578,0.15424242424242426,0.2042424242424242,0.8581818181818182,0.8306060606060606,0.8851515151515151,0.15575757575757576,0.12090909090909094,0.19606060606060607,0.11336012246861459,0.09451565756382353,0.13761892306087667,0.6790828819870597,0.6234403468207412,0.732572876263775,0.218614620480795,0.1737543602840258,0.2676182111803938,0.08878585245644549,0.06661131953816442,0.11534041331335287,0.0225740171867572,0.009792671435120838,0.03730464870603362,0.15277604507146944,0.10686902629202435,0.20436764329261758,0.015421760568037164,0.003693181818181818,0.02987166829919489,0.03994566705978432,0.03358990791669164,0.046518896607462765,0.0012241998743069084,0.00013080789276074297,0.002740387622068694
bgreseth,16,0.7944062597352072,0.6299850264225265,0.9482687657218908,0.9328141233766234,0.4853016691641692,1.4821277680652682,0.97318933254953,0.8722020834846081,1.064023029797372,0.7723654409187304,0.37435776422042877,1.228826747474017,0.18541666666666667,0.17083333333333334,0.20083333333333334,0.8995833333333334,0.8779166666666667,0.9204166666666667,0.24791666666666667,0.2,0.2966666666666667,0.14075721737817026,0.11048960940794778,0.1791431022306107,0.7268587164711431,0.6365809763229195,0.8092729925660087,0.3399216268251489,0.273087234090953,0.4049702605274266,0.09506872431565155,0.058686055673212376,0.138979934917428,0.042221660241581936,0.02392429956241743,0.06246305541042888,0.24342079344590925,0.18342437270132206,0.308139840737847,0.027137935603884222,0.013015806760592611,0.0431171353832618,0.03767802427030281,0.03156131388290542,0.04412646379900242,0.0017033702629142369,0.0005416846780137849,0.0033194578655114833
needlunchmoney,19,1.0098704686864266,0.8844200137018611,1.1399144375039303,1.06234335839599,0.656780492898914,1.4729140559732665,1.0969554817854557,1.003845502580803,1.2037918050983654,1.0821413520334977,0.6335409756918161,1.538490615598226,0.1824561403508772,0.16771929824561405,0.1975438596491228,0.9487719298245615,0.9340350877192982,0.9624561403508771,0.19894736842105265,0.16631578947368422,0.23157894736842108,0.12475738542420677,0.10847098313426483,0.14506367371100662,0.8046517910845121,0.7187043231950596,0.874704801625298,0.27638856949747415,0.2364143803191516,0.3177103331644315,0.10108591612620986,0.07979627867685736,0.1264322784418152,0.03509676065524058,0.022008226933216395,0.047582423271083814,0.23850013065009773,0.1987728720097717,0.28130047405847525,0.0298955222651477,0.01768852514177246,0.04237931326438491,0.05565786699771583,0.05139877678519971,0.06006400238120182,0.0016209535290883563,0.000903274815353088,0.002408325621406003
nerdytenor,22,1.022292737648775,0.8322004085623387,1.200043984105745,1.1562049062049062,0.4604752886002886,1.984902597402597,1.0336332946461075,0.9025170317395133,1.1444051140047242,1.1987127067437526,0.4012261904761905,2.1470712926023383,0.14545454545454545,0.13151515151515153,0.1593939393939394,0.9084848484848483,0.8836363636363636,0.9315151515151515,0.16060606060606059,0.13757575757575755,0.1842424242424242,0.0877725964553562,0.07973463099752445,0.09613427122768098,0.7614699144085274,0.7088124721347983,0.8131532724554892,0.19285675251922269,0.1635804962113705,0.22724542311990528,0.07106109113399284,0.056540761518257744,0.08532735459082391,0.017400961843997587,0.00697560015741834,0.029735413139143314,0.15677659036005315,0.1232455392553462,0.1942329782063495,0.016102260545296287,0.0057123327800019524,0.02863726726220661,0.03757709664100908,0.033125601825828056,0.04206242025226037,0.0010220915022922524,0.00022827645290836196,0.002207518042004487
shaidyadvice,22,0.9700098195674837,0.8918695472276436,1.03899283141236,1.2126078782328782,0.7271214202464201,1.736245369214119,1.0017634450313773,0.9450775298544796,1.0587594632344113,1.054048902336523,0.5834615012520564,1.5706423862088164,0.15909090909090906,0.14393939393939392,0.17484848484848484,0.9703030303030306,0.9548484848484851,0.9842424242424244,0.19999999999999998,0.1693939393939394,0.2327272727272727,0.09992767213564079,0.08225441173887446,0.119421096784059,0.9062316425668225,0.8563772542169593,0.9507309900577364,0.240443219131111,0.20575524334676107,0.284558603902737,0.08955524782111873,0.07056706494348947,0.1109096105657191,0.02480719084000873,0.014574241469727037,0.0365041349606809,0.21996686564409665,0.18078911339488124,0.267216350500933,0.021142356163443846,0.010906299168431157,0.03289856546761639,0.0309211071559337,0.027114234984083586,0.03510284485643393,0.001146615045330244,0.0003365858346365372,0.0022205351079318367
shipmymoney,22,1.0012626832469804,0.8327078805768627,1.1563056580439814,0.850730437862791,0.4333848286789464,1.3464116109244786,1.027610732125204,0.8931570380754009,1.1530258391165298,0.5736089702239935,0.18209704038355162,1.035071922514763,0.2257575757575758,0.1981818181818182,0.25333333333333335,0.8881818181818182,0.8512045454545455,0.9187878787878788,0.23121212121212123,0.19484848484848483,0.26848484848484844,0.15228066267284585,0.12735056131084338,0.1783810374527637,0.7637968347971426,0.6970026115467649,0.8272977368556552,0.2382049456220928,0.20283103210474182,0.27563627456665596,0.11539024206903413,0.08767660151368156,0.1446409141509155,0.029336936846709925,0.015346734497092899,0.04512035522928867,0.17963189361154194,0.14698442750932822,0.21526473286418876,0.012786816889433198,0.0035812672176308543,0.02479472363418205,0.041517249550541785,0.034845935359805576,0.04882540966829679,0.000848239751441581,9.913169350212614e-05,0.0020751849243113092
youdacao,16,1.3546589950082597,0.889948839712167,1.8883300002693382,0.9472632018442857,0.5231206357733338,1.4298575329191516,1.1063675075524606,0.8935084465255092,1.3096708443841165,1.0499097157859443,0.32024398701788404,2.088102854787103,0.20333333333333334,0.14833333333333332,0.2866666666666667,0.8683333333333333,0.8045833333333333,0.9225000000000001,0.3783333333333333,0.305,0.46458333333333335,0.1730561969687332,0.10056134366904637,0.29044360765650007,0.6092937513022509,0.4632970272285094,0.7511757608793297,0.4300393088569006,0.3333683168026171,0.539331977044122,0.13589718451507835,0.060336975357687624,0.25678597130621217,0.1014612920481938,0.02671372435663882,0.227139367041695,0.2755158570319913,0.17770378917258975,0.3968529652957679,0.08364178755716227,0.009177587365591398,0.20781859401070618,0.09491992225967763,0.036609262430360445,0.20406501745858113,0.05898812417078857,0.0003562829772093102,0.17305954375266844
zroth2,23,0.9306123006770564,0.769460669057971,1.0855632573518752,1.2502782140524196,0.5156163097650127,2.259289611101357,1.0277402300569778,0.8885695219635423,1.1735377807170868,1.2934016863523305,0.35659034527974043,2.497544921086984,0.16753623188405795,0.14840579710144927,0.18579710144927536,0.8643478260869565,0.8394202898550723,0.8881159420289855,0.243768115942029,0.19710144927536236,0.29043478260869565,0.11367744169847521,0.09251941693543847,0.1382692754822172,0.7234589224985774,0.6379956108025185,0.8064844112881201,0.2818280811072129,0.23176070870629492,0.33430643692095424,0.08107863856621131,0.057353695124504236,0.10960202496542369,0.02944292147839351,0.017061841886809922,0.04269395409500908,0.20897070891568562,0.15865092016839208,0.2674257305941492,0.021820578956684815,0.00983579278711604,0.035684318211492115,0.03637475094520898,0.02988047325263917,0.0444251941981097,0.0015101527082667608,0.0005053173644659153,0.002791551243371041
PRO_AVG,162,1.0249515758821581,0.9312554894897389,1.133901481582267,1.0620983739546963,0.9700293130652647,1.1532731169297448,1.0284463267268094,0.9950592965601837,1.0634762020987139,0.9741163227499989,0.812767898762366,1.1256439425784857,0.18060037228694267,0.16526016963109355,0.19791591905901118,0.9007734922162125,0.8760486557147562,0.9290113013357257,0.2270676552423549,0.18824436802232855,0.27718129160599125,0.12569866190025536,0.10835969652461347,0.1442620509074196,0.7468555568895044,0.6911412743397192,0.8060389135123585,0.27728714050499476,0.2327947866495072,0.3314057396377862,0.09724036212546779,0.08484662258109849,0.11127364978177014,0.03779271764261041,0.024934566455292302,0.057176462919559676,0.20944486059135564,0.18139670317669424,0.23679257825069247,0.028493627318636187,0.01757757418091641,0.04554834941791519,0.04682396061002177,0.03656401242746543,0.06194551110095366,0.008507968355553614,0.0011419143107749964,0.022983223329230328
