idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,2,2,CIN,104.61,10.60,48.45,149.21,0.380,1.385,0.000,0.000,0.250
1,T,fivePlus,5,1,0,TOR,108.86,13.35,54.28,157.21,0.300,1.373,0.000,0.000,0.429
2,T,fivePlus,5,2,2,TB,103.13,9.09,54.34,143.21,0.380,1.370,0.000,0.000,0.250
3,T,fivePlus,5,1,1,WSH,105.16,10.29,66.69,142.21,0.350,1.362,0.000,0.000,0.333
4,T,fivePlus,5,2,1,CWS,104.62,10.32,47.45,145.21,0.350,1.354,0.000,0.000,0.250
5,T,fivePlus,5,2,2,CWS,107.38,12.39,49.45,154.21,0.380,1.348,0.000,0.000,0.250
6,T,fivePlus,5,2,2,BAL,107.88,11.07,48.45,154.21,0.380,1.338,0.000,0.000,0.250
7,T,fivePlus,5,2,0,WSH,111.87,14.65,62.13,152.21,0.300,1.328,0.000,0.000,0.667
8,T,fivePlus,5,2,2,CIN,101.64,8.08,43.45,146.70,0.380,1.322,0.000,0.000,0.250
9,T,fivePlus,5,2,0,MIN,109.33,12.84,51.15,153.21,0.300,1.316,0.000,0.000,0.250
10,T,fivePlus,5,2,1,SF,107.09,10.19,49.96,150.21,0.350,1.314,0.000,0.000,0.250
11,T,fivePlus,5,1,1,SF,109.17,15.24,49.45,158.21,0.350,1.313,0.000,0.000,0.333
12,T,fivePlus,5,2,2,LAA,106.92,9.18,42.60,148.00,0.380,1.310,0.000,0.000,0.333
13,T,fivePlus,5,1,0,LAA,109.14,11.61,47.45,154.21,0.300,1.291,0.000,0.000,0.333
14,T,fivePlus,5,2,0,MIN,109.91,12.88,58.74,149.21,0.300,1.284,0.000,0.000,0.333
15,T,fivePlus,5,2,2,KC,104.45,11.14,42.60,151.00,0.380,1.279,0.000,0.000,0.250
16,T,fivePlus,5,2,1,BOS,105.39,11.11,49.45,146.21,0.350,1.274,0.000,0.000,0.333
17,T,fivePlus,5,2,2,MIL,102.42,11.09,52.01,147.70,0.380,1.273,0.000,0.000,0.250
18,T,fivePlus,5,2,0,STL,106.84,13.79,50.45,154.21,0.300,1.260,0.000,0.000,0.250
19,T,fivePlus,5,1,1,BOS,107.59,12.03,54.72,156.21,0.350,1.251,0.000,0.000,0.250
20,T,fivePlus,5,2,2,NYY,105.87,11.14,46.10,150.70,0.380,1.251,0.000,0.000,0.250
21,T,fivePlus,5,3,0,BAL,106.34,13.34,49.45,157.21,0.300,1.250,0.000,0.000,0.250
22,T,fivePlus,5,2,0,CWS,109.15,10.87,47.45,151.21,0.300,1.250,0.000,0.000,0.250
23,T,fivePlus,5,2,2,WSH,99.81,8.98,54.54,141.86,0.380,1.248,0.000,0.000,0.250
24,T,fivePlus,5,2,2,ARI,101.51,10.89,48.45,148.21,0.380,1.246,0.000,0.000,0.176
25,T,fivePlus,5,3,0,PHI,109.04,15.70,52.24,157.21,0.300,1.244,0.000,0.000,0.333
26,T,fivePlus,5,1,0,DET,106.06,11.33,47.45,145.21,0.300,1.239,0.000,0.000,0.250
27,T,four+BB,4,2,2,CWS,107.17,14.46,49.45,157.21,0.280,1.163,0.000,0.000,0.250
28,T,four+BB,4,2,2,PIT,111.29,20.90,55.19,166.85,0.280,1.107,0.000,0.000,0.429
29,T,four+BB,4,3,1,PIT,111.96,17.63,50.05,161.70,0.250,1.086,0.000,0.000,0.429
30,T,four+BB,4,3,1,CHC,112.56,18.35,51.45,167.21,0.250,1.074,0.000,0.000,0.333
31,T,four+BB,4,3,3,PIT,110.78,20.27,46.15,166.00,0.280,1.059,0.000,0.000,0.333
32,T,four+BB,4,4,4,CHC,111.85,21.02,45.35,163.00,0.280,1.052,0.000,0.000,0.429
33,T,four+BB,4,2,2,PIT,117.51,20.95,56.73,170.21,0.280,1.004,0.000,0.000,0.429
34,T,four+BB,4,2,1,BOS,104.50,10.79,49.45,152.21,0.250,0.997,0.000,0.000,0.250
35,T,four+BB,4,2,2,BOS,102.88,10.56,44.90,149.10,0.280,0.993,0.000,0.000,0.250
36,T,four+BB,4,2,1,LAA,104.38,9.11,43.49,147.85,0.250,0.969,0.000,0.000,0.250
37,T,four+BB,4,2,2,PIT,110.28,19.40,48.80,162.86,0.280,0.958,0.000,0.000,0.333
38,T,four+BB,4,3,1,PIT,112.98,19.33,47.90,164.10,0.250,0.943,0.000,0.000,0.429
39,T,four+BB,4,3,1,PIT,113.61,19.04,45.70,160.10,0.250,0.931,0.000,0.000,0.538
40,T,four+BB,4,2,1,CHC,107.21,16.60,47.35,165.85,0.250,0.926,0.000,0.000,0.250
