idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,2,2,SF,89.81,13.18,37.99,127.75,0.380,1.431,0.000,0.000,0.333
1,T,fivePlus,5,1,0,SF,94.42,13.90,38.46,132.40,0.300,1.391,0.000,0.000,0.250
2,T,fivePlus,5,1,1,SF,90.91,11.91,30.95,132.55,0.350,1.385,0.000,0.000,0.333
3,T,fivePlus,5,2,2,STL,88.53,13.40,40.37,127.35,0.380,1.380,0.000,0.000,0.250
4,T,fivePlus,5,1,1,CLE,91.82,10.62,42.91,124.35,0.350,1.379,0.000,0.000,0.333
5,T,fivePlus,5,1,1,TOR,92.45,15.68,37.95,135.40,0.350,1.367,0.000,0.000,0.250
6,T,fivePlus,5,2,2,SF,90.06,14.75,40.27,132.66,0.380,1.365,0.000,0.000,0.250
7,T,fivePlus,5,2,0,SF,93.47,15.66,40.29,135.40,0.300,1.364,0.000,0.000,0.333
8,T,fivePlus,5,2,2,WSH,89.38,16.18,35.95,137.40,0.380,1.361,0.000,0.000,0.250
9,T,fivePlus,5,2,2,SEA,89.45,19.60,40.34,137.26,0.380,1.339,0.000,0.000,0.333
10,T,fivePlus,5,2,2,WSH,89.88,12.53,36.60,133.60,0.380,1.332,0.000,0.000,0.250
11,T,fivePlus,5,1,1,CLE,90.90,11.63,45.10,125.58,0.350,1.323,0.000,0.000,0.333
12,T,fivePlus,5,1,1,CWS,92.97,18.00,39.17,140.40,0.350,1.322,0.000,0.000,0.538
13,T,fivePlus,5,2,1,CWS,90.76,16.41,41.25,134.26,0.350,1.321,0.000,0.000,0.333
14,T,fivePlus,5,2,2,TOR,89.28,11.08,38.69,128.98,0.380,1.320,0.000,0.000,0.250
15,T,fivePlus,5,2,2,WSH,87.97,16.06,38.90,139.26,0.380,1.305,0.000,0.000,0.250
16,T,fivePlus,5,2,0,SF,93.04,14.71,37.62,131.35,0.300,1.297,0.000,0.000,0.250
17,T,fivePlus,5,1,1,CLE,90.80,10.49,41.36,125.53,0.350,1.280,0.000,0.000,0.250
18,T,fivePlus,5,1,1,TB,91.58,18.80,37.95,138.40,0.350,1.279,0.000,0.000,0.333
19,T,fivePlus,5,2,2,CWS,88.23,18.26,42.61,138.26,0.380,1.276,0.000,0.000,0.333
20,T,fivePlus,5,1,1,CLE,90.19,13.30,43.09,131.23,0.350,1.260,0.000,0.000,0.250
21,T,fivePlus,5,2,1,TB,90.63,16.84,36.15,135.35,0.350,1.256,0.000,0.000,0.333
22,T,fivePlus,5,1,1,CWS,91.20,18.11,34.54,140.05,0.350,1.252,0.000,0.000,0.429
23,T,fivePlus,5,1,1,SEA,90.68,16.83,33.50,135.35,0.350,1.250,0.000,0.000,0.250
24,T,fivePlus,5,2,1,MIA,92.12,13.54,33.65,132.75,0.350,1.250,0.000,0.000,0.333
25,T,fivePlus,5,2,2,MIN,89.72,16.29,35.35,135.86,0.380,1.240,0.000,0.000,0.250
26,T,fivePlus,5,1,1,TB,91.69,17.89,32.60,137.55,0.350,1.238,0.000,0.000,0.333
27,T,four+BB,4,2,2,MIN,93.83,16.66,43.02,133.40,0.280,1.110,0.000,0.000,0.538
28,T,four+BB,4,2,2,MIN,92.23,17.18,38.60,136.40,0.280,1.021,0.000,0.000,0.333
29,T,four+BB,4,2,2,MIA,91.66,18.94,42.27,139.66,0.280,1.012,0.000,0.000,0.333
30,T,four+BB,4,2,2,TOR,89.83,14.79,43.29,130.40,0.280,0.970,0.000,0.000,0.333
31,T,four+BB,4,1,1,CLE,93.23,13.37,45.90,128.58,0.250,0.962,0.000,0.000,0.429
32,T,four+BB,4,2,2,MIA,92.74,18.75,41.56,142.66,0.280,0.935,0.000,0.000,0.429
33,T,four+BB,4,2,1,SEA,91.66,14.48,33.65,133.80,0.250,0.928,0.000,0.000,0.333
34,T,four+BB,4,2,2,MIA,90.91,13.74,31.35,133.15,0.280,0.916,0.000,0.000,0.250
35,T,four+BB,4,2,2,TB,91.10,19.69,38.90,140.26,0.280,0.915,0.000,0.000,0.250
36,T,four+BB,4,2,2,WSH,88.90,13.48,33.25,136.20,0.280,0.908,0.000,0.000,0.250
37,T,four+BB,4,2,2,MIN,92.58,17.23,34.25,136.60,0.280,0.900,0.000,0.000,0.429
38,T,four+BB,4,2,1,CLE,90.10,12.38,38.77,129.40,0.250,0.889,0.000,0.000,0.250
39,T,four+BB,4,3,1,TB,91.68,15.30,44.80,127.93,0.250,0.871,0.000,0.000,0.333
40,T,four+BB,4,1,1,TOR,89.14,13.37,33.65,132.80,0.250,0.853,0.000,0.000,0.250
41,T,three-three,3,3,2,TOR,92.28,13.95,36.08,135.60,0.180,0.634,0.000,0.000,0.429
42,T,three-three,3,3,1,CWS,89.95,17.16,41.60,138.26,0.150,0.612,0.000,0.000,0.250
43,T,three-three,3,3,3,TOR,87.04,10.11,38.43,126.00,0.180,0.610,0.000,0.000,0.250
44,T,three-three,3,3,2,SF,84.74,13.11,36.35,133.46,0.180,0.588,0.000,0.000,0.250
45,C,four+naked,4,4,0,TB,90.61,15.20,53.59,128.58,0.200,0.694,117.403,0.000,0.333
46,C,four+naked,4,3,0,MIN,96.42,19.86,41.51,139.40,0.200,0.626,117.174,0.000,0.538
47,C,four+naked,4,4,0,CLE,93.57,14.89,46.79,131.58,0.200,0.748,116.964,0.000,0.429
48,C,four+naked,4,3,0,CLE,93.25,15.98,46.90,132.58,0.200,0.681,116.698,0.000,0.429
49,C,four+naked,4,2,0,CWS,95.25,17.74,40.45,134.75,0.200,0.748,115.472,0.000,0.429
50,C,four+naked,4,2,0,CWS,95.65,19.91,39.21,142.75,0.200,0.656,115.255,0.000,0.538
51,C,four+naked,4,3,0,MIA,96.07,17.59,38.16,142.75,0.200,0.654,115.149,0.000,0.429
52,C,four+naked,4,2,0,MIN,93.60,16.52,43.02,133.40,0.200,0.640,115.109,0.000,0.538
53,C,four+naked,4,3,0,MIA,94.12,17.08,41.72,137.75,0.200,0.507,114.978,0.000,0.429
54,C,four+naked,4,4,0,MIN,95.16,19.02,39.51,137.40,0.200,0.657,114.915,0.000,0.538
55,C,four+naked,4,2,0,TB,93.14,16.98,43.29,135.40,0.200,0.702,114.786,0.000,0.333
56,C,four+naked,4,2,0,SEA,94.61,17.10,40.30,137.40,0.200,0.855,114.758,0.000,0.333
57,C,four+naked,4,4,0,MIA,93.40,20.86,42.56,144.66,0.200,0.490,114.679,0.000,0.429
58,C,four+naked,4,2,0,CWS,96.19,18.69,36.95,140.40,0.200,0.790,114.665,0.000,0.333
59,C,four+naked,4,3,0,SEA,92.79,16.32,43.75,131.40,0.200,0.598,114.662,0.000,0.333
60,D,four+naked,4,4,0,MIN,97.32,19.30,34.25,143.60,0.200,0.755,0.000,94.926,0.538
61,D,fivePlus,5,2,0,MIN,97.77,18.75,40.51,140.40,0.300,1.042,0.000,94.759,0.538
62,D,three-three,3,3,0,SEA,97.08,21.54,36.95,142.40,0.100,0.307,0.000,94.634,0.429
63,D,fivePlus,5,2,0,CWS,97.56,21.33,41.51,143.40,0.300,0.996,0.000,94.518,0.538
64,D,fivePlus,5,2,0,CWS,96.15,20.53,35.50,144.35,0.300,1.018,0.000,94.201,0.538
65,D,fivePlus,5,3,0,CWS,97.22,21.10,37.95,143.40,0.300,1.003,0.000,94.182,0.538
66,D,fivePlus,5,2,0,CWS,96.66,19.73,38.95,143.40,0.300,1.106,0.000,94.175,0.429
67,D,fivePlus,5,2,1,CWS,97.19,20.08,40.51,141.40,0.350,1.016,0.000,94.143,0.538
68,D,fivePlus,5,2,0,MIA,96.30,17.48,34.65,137.75,0.300,1.036,0.000,93.910,0.429
69,D,fivePlus,5,2,0,CWS,96.10,19.09,42.85,140.40,0.300,1.124,0.000,93.574,0.429
