P,P,C,1B,2B,3B,SS,OF,OF,OF
Logan Gilbert (42766685),Shohei Ohtani (42766682),Austin Wells (42766911),Ben Rice (42766713),Jazz Chisholm Jr. (42766771),Josh Jung (42766826),Corey Seager (42766729),Andrew Benintendi (42766852),Jasson Dominguez (42767015),Trent Grisham (42766791)
Clay Holmes (42766690),Jose Soriano (42766686),Cal Raleigh (42766721),Josh Naylor (42766792),Luke Keaschall (42766784),Leo Rivas (42766984),J.P. Crawford (42766863),Juan Soto (42766708),Byron Buxton (42766714),Julio Rodriguez (42766761)
Joe Ryan (42766688),Jose Soriano (42766686),Austin Wells (42766911),Ben Rice (42766713),Josh Smith (42766938),Yoan Moncada (42766849),Corey Seager (42766729),Trent Grisham (42766791),Cody Bellinger (42766750),Aaron Judge (42766702)
Jose Soriano (42766686),Shohei Ohtani (42766682),Cal Raleigh (42766721),Josh Bell (42766788),Cole Young (42766886),Leo Rivas (42766984),J.P. Crawford (42766863),Luke Raley (42766813),Trent Grisham (42766791),Aaron Judge (42766702)
Jose Soriano (42766686),Shohei Ohtani (42766682),Carson Kelly (42766825),Ty France (42766941),Fernando Tatis Jr. (42766722),Alex Bregman (42766772),Xander Bogaerts (42766755),Daylen Lile (42766765),Bryce Johnson (42766923),Ramon Laureano (42766752)
Logan Gilbert (42766685),Jacob deGrom (42766684),William Contreras (42766763),Jake Bauers (42766757),Ketel Marte (42766717),Hao-Yu Lee (42767001),David Hamilton (42766823),Sal Frelick (42766860),Garrett Mitchell (42766812),Corbin Carroll (42766704)
Jacob deGrom (42766684),Shohei Ohtani (42766682),Cal Raleigh (42766721),Josh Naylor (42766792),Cole Young (42766886),Royce Lewis (42766844),J.P. Crawford (42766863),Julio Rodriguez (42766761),Trevor Larnach (42766877),Andy Pages (42766727)
Jose Soriano (42766686),Shohei Ohtani (42766682),Dalton Rushing (42766787),Ildemaro Vargas (42766774),Ketel Marte (42766717),Nolan Arenado (42766836),Joey Ortiz (42766970),Brandon Lockridge (42766914),Lourdes Gurriel Jr. (42766827),Corbin Carroll (42766704)
Clay Holmes (42766690),Jose Soriano (42766686),Austin Wells (42766911),Joc Pederson (42766922),Jazz Chisholm Jr. (42766771),Ryan McMahon (42766974),Bobby Witt Jr. (42766703),Byron Buxton (42766714),Trent Grisham (42766791),Aaron Judge (42766702)
Jose Soriano (42766686),Jacob deGrom (42766684),Francisco Alvarez (42766816),Mark Vientos (42766859),Ozzie Albies (42766762),Bo Bichette (42766785),CJ Abrams (42766712),Juan Soto (42766708),Daylen Lile (42766765),MJ Melendez (42766931)
Kris Bubic (42766687),Shohei Ohtani (42766682),Cal Raleigh (42766721),Kody Clemens (42766853),Luke Keaschall (42766784),Alex Bregman (42766772),J.P. Crawford (42766863),Byron Buxton (42766714),Austin Martin (42766821),Trevor Larnach (42766877)
Joe Ryan (42766688),Jose Soriano (42766686),William Contreras (42766763),Tyler Black (42766963),Brice Turang (42766715),Nolan Arenado (42766836),David Hamilton (42766823),Corbin Carroll (42766704),Garrett Mitchell (42766812),Brent Rooker (42766735)
Jose Soriano (42766686),Kris Bubic (42766687),Will Smith (42766773),Matt Olson (42766728),Jazz Chisholm Jr. (42766771),Ryan McMahon (42766974),Jose Caballero (42766845),Aaron Judge (42766702),Jasson Dominguez (42767015),Brandon Nimmo (42766742)
Kris Bubic (42766687),Shohei Ohtani (42766682),Victor Caratini (42766892),Josh Naylor (42766792),Jazz Chisholm Jr. (42766771),Leo Rivas (42766984),Bobby Witt Jr. (42766703),Luke Raley (42766813),Julio Rodriguez (42766761),Randy Arozarena (42766778)
