idx,bucket,stackType,primarySize,secondarySize,bringBack,primaryTeam,projection,ownership,floor,ceiling,corrAdj,evT,scoreC,scoreD,maxJacToPortfolio
0,T,fivePlus,5,2,2,SEA,96.52,12.95,39.24,139.65,0.380,1.399,0.000,0.000,0.333
1,T,fivePlus,5,2,2,STL,97.99,13.57,42.24,139.90,0.380,1.385,0.000,0.000,0.250
2,T,fivePlus,5,2,2,CWS,98.55,12.89,44.18,138.65,0.380,1.385,0.000,0.000,0.250
3,T,fivePlus,5,2,2,COL,96.05,10.24,35.55,134.46,0.380,1.376,0.000,0.000,0.250
4,T,fivePlus,5,2,2,STL,94.52,12.34,44.81,139.65,0.380,1.376,0.000,0.000,0.333
5,T,fivePlus,5,2,2,COL,96.80,11.91,39.15,138.95,0.380,1.372,0.000,0.000,0.250
6,T,fivePlus,5,1,1,KC,99.32,11.75,39.24,136.65,0.350,1.365,0.000,0.000,0.333
7,T,fivePlus,5,2,2,KC,94.96,11.19,43.55,134.45,0.380,1.356,0.000,0.000,0.250
8,T,fivePlus,5,2,2,CWS,95.53,11.93,47.31,135.45,0.380,1.338,0.000,0.000,0.250
9,T,fivePlus,5,1,1,CWS,99.14,13.90,40.24,139.90,0.350,1.317,0.000,0.000,0.250
10,T,fivePlus,5,1,1,COL,94.88,10.22,35.55,132.15,0.350,1.314,0.000,0.000,0.250
11,T,fivePlus,5,2,2,COL,94.10,11.99,36.64,139.60,0.380,1.313,0.000,0.000,0.250
12,T,fivePlus,5,2,2,DET,95.17,14.28,39.24,136.90,0.380,1.296,0.000,0.000,0.250
13,T,fivePlus,5,2,2,SEA,93.69,9.04,35.90,130.22,0.380,1.286,0.000,0.000,0.250
14,T,fivePlus,5,1,1,DET,95.86,13.81,43.84,141.45,0.350,1.283,0.000,0.000,0.250
15,T,fivePlus,5,1,1,SD,100.05,15.75,40.24,143.65,0.350,1.280,0.000,0.000,0.250
16,T,fivePlus,5,2,1,SD,96.89,12.87,31.95,136.15,0.350,1.264,0.000,0.000,0.250
17,T,fivePlus,5,2,2,CWS,92.78,10.39,41.02,130.95,0.380,1.263,0.000,0.000,0.250
18,T,fivePlus,5,2,1,TEX,97.31,13.75,42.28,137.65,0.350,1.262,0.000,0.000,0.429
19,T,fivePlus,5,2,2,LAD,91.64,10.60,42.15,137.95,0.380,1.260,0.000,0.000,0.250
20,T,fivePlus,5,3,0,SD,97.16,15.18,40.24,142.15,0.300,1.252,0.000,0.000,0.333
21,T,fivePlus,5,2,1,KC,98.80,11.53,50.62,134.40,0.350,1.249,0.000,0.000,0.250
22,T,fivePlus,5,2,0,SEA,97.47,13.05,51.82,137.65,0.300,1.237,0.000,0.000,0.333
23,T,fivePlus,5,3,3,ATL,97.38,14.53,36.80,140.05,0.380,1.234,0.000,0.000,0.333
24,T,fivePlus,5,2,1,ATL,98.47,16.39,38.70,143.55,0.350,1.233,0.000,0.000,0.250
25,T,fivePlus,5,2,1,KC,97.20,11.47,35.66,135.15,0.350,1.222,0.000,0.000,0.333
26,T,fivePlus,5,2,0,LAD,99.95,15.78,42.24,144.65,0.300,1.213,0.000,0.000,0.333
27,T,four+BB,4,3,3,ATL,97.41,14.25,36.97,138.40,0.280,1.058,0.000,0.000,0.250
28,T,four+BB,4,1,1,COL,96.97,12.12,38.24,140.45,0.250,1.054,0.000,0.000,0.250
29,T,four+BB,4,3,3,SEA,95.43,11.55,33.70,138.55,0.280,1.051,0.000,0.000,0.333
30,T,four+BB,4,2,2,SEA,95.52,11.22,43.02,134.05,0.280,1.049,0.000,0.000,0.250
31,T,four+BB,4,3,3,CWS,96.73,14.39,45.62,137.70,0.280,1.045,0.000,0.000,0.250
32,T,four+BB,4,2,2,SEA,97.25,11.62,41.19,137.45,0.280,1.029,0.000,0.000,0.250
33,T,four+BB,4,2,1,CWS,97.31,11.71,31.20,136.05,0.250,1.029,0.000,0.000,0.250
34,T,four+BB,4,2,2,CWS,95.99,13.38,44.11,135.30,0.280,1.027,0.000,0.000,0.250
35,T,four+BB,4,1,1,KC,99.56,14.29,42.96,140.65,0.250,1.011,0.000,0.000,0.250
36,T,four+BB,4,2,2,TEX,96.92,13.51,42.48,140.65,0.280,0.993,0.000,0.000,0.333
37,T,four+BB,4,1,1,ATL,100.17,15.59,38.66,143.15,0.250,0.989,0.000,0.000,0.250
38,T,four+BB,4,2,1,DET,99.34,15.47,34.95,141.15,0.250,0.971,0.000,0.000,0.250
39,T,four+BB,4,2,2,SD,93.81,11.38,35.25,136.75,0.280,0.966,0.000,0.000,0.250
40,T,four+BB,4,2,1,KC,96.86,12.68,41.95,136.65,0.250,0.953,0.000,0.000,0.250
41,T,three-three,3,3,2,SD,99.98,17.75,49.31,144.45,0.180,0.694,0.000,0.000,0.333
42,T,three-three,3,3,3,DET,97.11,13.23,39.30,139.30,0.180,0.660,0.000,0.000,0.250
43,T,three-three,3,3,3,ATL,97.62,14.25,40.24,141.45,0.180,0.644,0.000,0.000,0.250
44,T,three-three,3,3,2,KC,96.08,12.32,34.55,135.95,0.180,0.643,0.000,0.000,0.250
45,C,four+naked,4,4,0,TEX,106.32,20.01,44.24,151.65,0.200,0.880,128.439,0.000,0.538
46,C,four+naked,4,2,0,ATL,105.21,18.96,45.92,148.65,0.200,0.892,128.171,0.000,0.333
47,C,four+naked,4,1,0,ATL,106.16,18.51,43.24,149.65,0.200,0.953,127.779,0.000,0.538
48,C,four+naked,4,3,0,ATL,105.34,20.11,44.24,149.65,0.200,0.832,127.459,0.000,0.429
49,C,four+naked,4,2,0,TEX,102.44,17.51,49.86,147.45,0.200,0.783,127.372,0.000,0.429
50,C,four+naked,4,3,0,TEX,105.00,18.85,44.48,147.65,0.200,0.844,127.239,0.000,0.538
51,C,four+naked,4,4,0,TEX,106.62,19.44,41.24,150.65,0.200,0.897,127.239,0.000,0.538
52,C,four+naked,4,4,0,ATL,103.87,19.70,46.48,150.65,0.200,0.762,127.109,0.000,0.538
53,C,four+naked,4,2,0,SEA,101.32,15.26,50.77,144.40,0.200,0.799,126.708,0.000,0.333
54,C,four+naked,4,2,0,ATL,103.80,18.78,44.95,147.65,0.200,0.826,126.273,0.000,0.333
55,C,four+naked,4,3,0,SEA,103.35,16.87,45.83,144.65,0.200,0.846,126.264,0.000,0.333
56,C,four+naked,4,4,0,NYM,102.38,19.78,47.71,153.45,0.200,0.720,126.234,0.000,0.333
57,C,four+naked,4,4,0,SD,105.02,21.07,42.24,152.90,0.200,0.832,126.139,0.000,0.429
58,C,four+naked,4,4,0,ATL,102.56,18.82,45.84,149.45,0.200,0.721,125.479,0.000,0.429
59,C,four+naked,4,2,0,ATL,103.57,18.38,43.24,150.65,0.200,0.828,125.189,0.000,0.538
60,D,fivePlus,5,2,0,ATL,107.12,21.10,47.02,153.65,0.300,1.020,0.000,104.642,0.538
61,D,fivePlus,5,2,0,ATL,106.65,20.69,43.24,151.65,0.300,1.017,0.000,104.181,0.538
62,D,fivePlus,5,2,0,TEX,106.15,18.38,43.24,146.65,0.300,1.016,0.000,103.687,0.538
63,D,fivePlus,5,1,0,ATL,106.14,19.58,43.24,151.65,0.300,1.048,0.000,103.673,0.538
64,D,fivePlus,5,3,0,TEX,106.65,20.08,44.24,150.65,0.300,1.007,0.000,103.605,0.538
65,D,fivePlus,5,2,0,ATL,105.97,19.59,43.24,151.65,0.300,1.038,0.000,103.503,0.429
66,D,fivePlus,5,1,0,ATL,106.25,21.32,47.02,152.90,0.300,1.013,0.000,103.210,0.538
67,D,fivePlus,5,2,0,ATL,104.46,20.05,51.77,150.40,0.300,0.978,0.000,0.000,0.429
68,D,fivePlus,5,2,0,ATL,105.42,20.23,46.81,151.90,0.300,1.012,0.000,102.930,0.538
69,D,fivePlus,5,3,0,SEA,104.79,18.33,44.83,148.65,0.300,1.042,0.000,102.793,0.333
70,D,fivePlus,5,2,0,TEX,105.65,19.31,42.24,148.65,0.300,1.012,0.000,102.628,0.538
71,D,fivePlus,5,2,0,ATL,105.67,19.64,43.24,150.90,0.300,1.020,0.000,102.622,0.538
72,D,fivePlus,5,3,0,ATL,106.14,19.76,42.24,151.65,0.300,1.026,0.000,102.408,0.538
73,D,fivePlus,5,3,0,ATL,104.36,17.45,41.24,146.65,0.300,1.064,0.000,102.363,0.333
74,D,fivePlus,5,3,0,ATL,105.26,18.67,43.24,148.65,0.300,1.068,0.000,102.207,0.538
