P,P,C,1B,2B,3B,SS,OF,OF,OF
Chris Sale (42957638),Reid Detmers (42957641),Salvador Perez (42957710),Josh Naylor (42957707),JJ Wetherholt (42957670),Maikel Garcia (42957682),J.P. Crawford (42957739),Randy Arozarena (42957693),Luke Raley (42957721),Dominic Canzone (42957735)
Chris Sale (42957638),Reid Detmers (42957641),Ivan Herrera (42957705),Shohei Ohtani (42957649),JJ Wetherholt (42957670),Nolan Gorman (42957746),Masyn Winn (42957731),Evan Carter (42957728),Nathan Church (42957755),Teoscar Hernandez (42957681)
Chris Sale (42957638),Reid Detmers (42957641),Edgar Quero (42957778),Munetaka Murakami (42957655),Ezequiel Duran (42957791),Miguel Vargas (42957671),Colson Montgomery (42957674),Fernando Tatis Jr. (42957661),Tristan Peters (42957801),Jackson Merrill (42957672)
Sean Burke (42957646),Reid Detmers (42957641),Hunter Goodman (42957667),TJ Rumfield (42957712),Ozzie Albies (42957666),Kyle Karros (42957758),Ezequiel Tovar (42957689),Jordan Beck (42957738),Ronald Acuna Jr. (42957653),Mike Trout (42957651)
Chris Sale (42957638),Reid Detmers (42957641),Ivan Herrera (42957705),Alec Burleson (42957684),JJ Wetherholt (42957670),Ramon Urias (42957766),Hyeseong Kim (42957745),Kyle Tucker (42957657),Victor Scott II (42957822),Julio Rodriguez (42957688)
Roki Sasaki (42957643),Nolan McLean (42957636),Brett Sullivan (42957767),Munetaka Murakami (42957655),Ozzie Albies (42957666),Kyle Karros (42957758),Ezequiel Tovar (42957689),Michael Harris II (42957695),Brenton Doyle (42957722),Jordan Beck (42957738)
Chris Sale (42957638),Reid Detmers (42957641),Carter Jensen (42957694),Vinnie Pasquantino (42957678),Chase Meidroth (42957719),Manny Machado (42957686),Bobby Witt Jr. (42957648),Luke Raley (42957721),Jac Caglianone (42957727),Isaac Collins (42957782)
Chris Sale (42957638),Nolan McLean (42957636),Carter Jensen (42957694),Vinnie Pasquantino (42957678),Cole Young (42957744),Maikel Garcia (42957682),Masyn Winn (42957731),Randy Arozarena (42957693),Kyle Isbel (42957781),Jac Caglianone (42957727)
Chris Sale (42957638),Nolan McLean (42957636),Edgar Quero (42957778),Munetaka Murakami (42957655),Jake Cronenworth (42957769),Miguel Vargas (42957671),Kevin McGonigle (42957663),Miguel Andujar (42957736),Jarred Kelenic (42957824),Andrew Benintendi (42957733)
Chris Sale (42957638),Reid Detmers (42957641),Will Smith (42957706),Munetaka Murakami (42957655),Chase Meidroth (42957719),Miguel Vargas (42957671),Jorge Mateo (42957741),Ramon Laureano (42957690),Sam Antonacci (42957764),Andrew Benintendi (42957733)
Roki Sasaki (42957643),Reid Detmers (42957641),Hunter Goodman (42957667),TJ Rumfield (42957712),Willi Castro (42957679),Miguel Vargas (42957671),Ezequiel Tovar (42957689),Michael Harris II (42957695),Brenton Doyle (42957722),Luke Raley (42957721)
Nolan McLean (42957636),Seth Lugo (42957637),Brett Sullivan (42957767),TJ Rumfield (42957712),Fernando Tatis Jr. (42957661),Willi Castro (42957679),Jorge Mateo (42957741),Mike Yastrzemski (42957718),Brenton Doyle (42957722),Jordan Beck (42957738)
Chris Sale (42957638),Reid Detmers (42957641),Dillon Dingler (42957683),Spencer Torkelson (42957734),Gleyber Torres (42957699),Colt Keith (42957716),Kevin McGonigle (42957663),Evan Carter (42957728),Jordan Walker (42957665),Joc Pederson (42957785)
Sean Burke (42957646),Reid Detmers (42957641),Cal Raleigh (42957659),Vinnie Pasquantino (42957678),Cole Young (42957744),Willi Castro (42957679),Bobby Witt Jr. (42957648),Julio Rodriguez (42957688),Dominic Canzone (42957735),Randy Arozarena (42957693)
Chris Sale (42957638),Nolan McLean (42957636),Ivan Herrera (42957705),Spencer Torkelson (42957734),Ezequiel Duran (42957791),Colt Keith (42957716),Kevin McGonigle (42957663),Kerry Carpenter (42957704),Riley Greene (42957687),Dominic Canzone (42957735)
Chris Sale (42957638),Reid Detmers (42957641),Danny Jansen (42957768),Gavin Sheets (42957717),JJ Wetherholt (42957670),Manny Machado (42957686),Xander Bogaerts (42957692),Sam Antonacci (42957764),Fernando Tatis Jr. (42957661),Jackson Merrill (42957672)
Roki Sasaki (42957643),Reid Detmers (42957641),Hunter Goodman (42957667),Munetaka Murakami (42957655),Jake Cronenworth (42957769),Manny Machado (42957686),Xander Bogaerts (42957692),Jordan Beck (42957738),Miguel Andujar (42957736),Fernando Tatis Jr. (42957661)
Roki Sasaki (42957643),Nolan McLean (42957636),Edgar Quero (42957778),Shohei Ohtani (42957649),Chase Meidroth (42957719),Manny Machado (42957686),Colson Montgomery (42957674),Jackson Merrill (42957672),Jarred Kelenic (42957824),Andrew Benintendi (42957733)
