metric,n_outperformed,n_matched,n_underperformed,mean_outperformed,mean_matched,mean_underperformed,U_statistic,p_value,effect_size_r_rb,ci_low,ci_high,bonferroni_significant_strict,suggestive_p003
pct_5stack,3,1,20,0.644444,0.72,0.762333,12.5,0.11839,-0.5833,-1.0,0.0333,False,False
pct_4stack,3,1,20,0.355556,0.28,0.237667,47.5,0.11839,0.5833,-0.0333,1.0,False,False
pct_33split,3,1,20,0.0,0.0,0.0,,,,,,False,False
pct_nostack,3,1,20,0.0,0.0,0.0,,,,,,False,False
bb_rate,3,1,20,0.28,0.513333,0.220333,48.5,0.1001,0.6167,0.2833,0.9,False,False
bb_size1_pct,3,1,20,0.605104,0.233766,0.67276,18.5,0.31506,-0.3833,-0.8,0.1333,False,False
bb_size2plus_pct,3,1,20,0.394896,0.766234,0.32724,41.5,0.31506,0.3833,-0.1333,0.8,False,False
salary_mean,3,1,20,49453.777778,47178.666667,49576.4,16.0,0.21781,-0.4667,-0.8667,0.0,False,False
salary_std,3,1,20,424.266612,2054.609702,316.12884,45.0,0.18562,0.5,0.0333,0.9,False,False
salary_range,3,1,20,1500.0,6000.0,1015.0,44.0,0.20858,0.4667,-0.0167,0.8333,False,False
own_mean,3,1,20,9.069637,22.863191,6.427027,47.0,0.13201,0.5667,0.0,1.0,False,False
own_std,3,1,20,4.527457,2.790864,3.599024,48.0,0.11015,0.6,0.1333,0.9333,False,False
own_range,3,1,20,16.820654,13.916966,13.927853,46.0,0.15708,0.5333,0.0333,0.9,False,False
proj_mean,3,1,20,90.602089,82.849133,99.018787,13.0,0.13201,-0.5667,-1.0,0.0,False,False
proj_std,3,1,20,10.331069,7.866679,6.244842,39.0,0.43778,0.3,-0.4,1.0,False,False
proj_range,3,1,20,36.54,32.5,24.094,41.0,0.3378,0.3667,-0.4,1.0,False,False
pct_HP_HO,3,1,20,0.42,0.246667,0.395333,48.5,0.09766,0.6167,0.1167,0.9667,False,False
pct_HP_LO,3,1,20,0.08,0.253333,0.105667,10.5,0.08101,-0.65,-1.0,-0.15,False,False
pct_LP_HO,3,1,20,0.08,0.253333,0.104667,11.5,0.09766,-0.6167,-0.9667,-0.1167,False,False
pct_LP_LO,3,1,20,0.42,0.246667,0.394333,49.5,0.08101,0.65,0.15,1.0,False,False
mean_jaccard,3,1,20,0.072547,0.152034,0.060644,44.0,0.21781,0.4667,0.0,0.9,False,False
pct_arch_pitcher_tournament,3,1,20,0.448889,0.28,0.471667,26.5,0.78398,-0.1167,-0.9,0.75,False,False
pct_arch_chalk_anchor_BB,3,1,20,0.031111,0.253333,0.022333,47.5,0.06795,0.5833,0.2167,0.9,False,False
pct_arch_mid_tier_5stack,3,1,20,0.133333,0.06,0.136333,28.0,0.89068,-0.0667,-0.8,0.8,False,False
pct_arch_contrarian_33,3,1,20,0.0,0.0,0.0,,,,,,False,False
pct_arch_salary_spread,3,1,20,0.386667,0.406667,0.369667,32.0,0.89098,0.0667,-0.7,0.8,False,False
pct_ace_pitcher,3,1,20,0.657778,0.603333,0.6855,25.0,0.68123,-0.1667,-1.0,0.7,False,False
pct_mid_pitcher,3,1,20,0.312222,0.27,0.260333,37.0,0.55294,0.2333,-0.5333,0.9,False,False
pct_value_pitcher,3,1,20,0.03,0.126667,0.054167,23.5,0.58239,-0.2167,-0.8,0.4,False,False
