metric,n_outperformed,n_matched,n_underperformed,mean_outperformed,mean_matched,mean_underperformed,U_statistic,p_value,effect_size_r_rb,ci_low,ci_high,bonferroni_significant_strict,suggestive_p003
pct_5stack,7,7,10,0.768571,0.757143,0.722,47.0,0.25821,0.3429,-0.2143,0.8429,False,False
pct_4stack,7,7,10,0.231429,0.242857,0.278,23.0,0.25821,-0.3429,-0.8429,0.2143,False,False
pct_33split,7,7,10,0.0,0.0,0.0,,,,,,False,False
pct_nostack,7,7,10,0.0,0.0,0.0,,,,,,False,False
bb_rate,7,7,10,0.224762,0.257143,0.238667,36.0,0.96103,0.0286,-0.5143,0.6,False,False
bb_size1_pct,7,7,10,0.625609,0.616069,0.681253,26.0,0.40653,-0.2571,-0.7429,0.4,False,False
bb_size2plus_pct,7,7,10,0.374391,0.383931,0.318747,44.0,0.40653,0.2571,-0.4,0.7429,False,False
salary_mean,7,7,10,49502.571429,49160.857143,49642.4,24.0,0.30551,-0.3143,-0.8286,0.2857,False,False
salary_std,7,7,10,343.694373,615.249413,293.737984,49.0,0.18768,0.4,-0.1429,0.8857,False,False
salary_range,7,7,10,1114.285714,1885.714286,980.0,46.5,0.27527,0.3286,-0.2,0.8429,False,False
own_mean,7,7,10,7.245895,9.174642,6.366889,41.0,0.59144,0.1714,-0.4,0.7143,False,False
own_std,7,7,10,4.032215,3.317253,3.690745,43.0,0.46421,0.2286,-0.3429,0.7714,False,False
own_range,7,7,10,15.372273,13.696832,13.945225,44.0,0.40681,0.2571,-0.3429,0.7714,False,False
proj_mean,7,7,10,94.461133,95.569429,100.48172,12.0,0.02811,-0.6571,-1.0,-0.0857,False,False
proj_std,7,7,10,7.67771,5.948575,6.837273,28.0,0.52586,-0.2,-0.7714,0.4286,False,False
proj_range,7,7,10,28.097143,22.372857,27.071,24.0,0.30551,-0.3143,-0.8857,0.3143,False,False
pct_HP_HO,7,7,10,0.390476,0.372381,0.407333,20.0,0.15348,-0.4286,-0.8857,0.0857,False,False
pct_HP_LO,7,7,10,0.109524,0.129524,0.093333,49.5,0.16896,0.4143,-0.0857,0.8857,False,False
pct_LP_HO,7,7,10,0.109524,0.127619,0.092667,50.0,0.15348,0.4286,-0.0857,0.8857,False,False
pct_LP_LO,7,7,10,0.390476,0.370476,0.406667,20.5,0.16896,-0.4143,-0.8857,0.0857,False,False
mean_jaccard,7,7,10,0.065082,0.070133,0.063605,41.0,0.59144,0.1714,-0.4,0.6857,False,False
pct_arch_pitcher_tournament,7,7,10,0.445714,0.478095,0.459333,33.5,0.92212,-0.0429,-0.6,0.5429,False,False
pct_arch_chalk_anchor_BB,7,7,10,0.027619,0.039048,0.032667,40.5,0.58457,0.1571,-0.3571,0.6714,False,False
pct_arch_mid_tier_5stack,7,7,10,0.135238,0.131429,0.132,33.5,0.92158,-0.0429,-0.6143,0.5286,False,False
pct_arch_contrarian_33,7,7,10,0.0,0.0,0.0,,,,,,False,False
pct_arch_salary_spread,7,7,10,0.391429,0.351429,0.376,39.0,0.73252,0.1143,-0.4857,0.6857,False,False
pct_ace_pitcher,7,7,10,0.671429,0.694762,0.672333,37.0,0.88362,0.0571,-0.5143,0.6286,False,False
pct_mid_pitcher,7,7,10,0.288095,0.250476,0.264333,39.0,0.73268,0.1143,-0.4571,0.6571,False,False
pct_value_pitcher,7,7,10,0.040476,0.054762,0.063333,20.5,0.17028,-0.4143,-0.8857,0.2,False,False
