Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5098825316,CaptainMorgan11 (10/10),0,180.15,1B Michael Busch 2B Nico Hoerner 3B Eugenio Suarez C Liam Hicks OF Pete Crow-Armstrong OF Wilyer Abreu OF Brandon Nimmo P Dylan Cease P Eury Perez SS Corey Seager,,Eury Perez,P,46.39%,22.15
2,5098504362,needlunchmoney (143/150),0,176.15,1B Jake Burger 2B Matt McLain 3B Sal Stewart C Agustin Ramirez OF George Springer OF Pete Crow-Armstrong OF Joc Pederson P Dylan Cease P Eury Perez SS Elly De La Cruz,,Dylan Cease,P,44.77%,31
3,5098553419,mbhabes (80/100),0,173.25,1B Sal Stewart 2B Nico Hoerner 3B Alex Bregman C Moises Ballesteros OF Pete Crow-Armstrong OF Wilyer Abreu OF Ian Happ P Dylan Cease P Cade Horton SS Elly De La Cruz,,Pete Crow-Armstrong,OF,34.59%,22
4,5098817860,jenkdaddy4 (2/3),0,173.15,1B Sal Stewart 2B Matt McLain 3B Eugenio Suarez C Agustin Ramirez OF Pete Crow-Armstrong OF Ian Happ OF Spencer Steer P Dylan Cease P Eury Perez SS Elly De La Cruz,,Sonny Gray,P,31.53%,8.8
5,5098757035,bgreseth (131/150),0,172.15,1B Jake Burger 2B Nico Hoerner 3B Alex Bregman C Alejandro Kirk OF Pete Crow-Armstrong OF Wyatt Langford OF Ian Happ P Dylan Cease P Eury Perez SS Corey Seager,,Kyle Bradish,P,31.50%,11.5
5,5098851434,SideSlice (15/30),0,172.15,1B Vladimir Guerrero Jr. 2B Nico Hoerner 3B Matt Shaw C Liam Hicks OF Roman Anthony OF Pete Crow-Armstrong OF Ian Happ P Dylan Cease P Eury Perez SS Trevor Story,,Michael Busch,1B,28.30%,7
7,5098969060,imken10,0,171.15,1B Michael Busch 2B Nico Hoerner 3B Sal Stewart C Alejandro Kirk OF James Wood OF Pete Crow-Armstrong OF Ian Happ P Dylan Cease P Taj Bradley SS Masyn Winn,,Alex Bregman,3B,25.01%,0
7,5098999998,TheDogSays (9/22),0,171.15,1B Sal Stewart 2B Matt McLain 3B Eugenio Suarez C Agustin Ramirez OF Jarren Duran OF Wilyer Abreu OF TJ Friedl P Dylan Cease P Eury Perez SS Trevor Story,,Ian Happ,OF,23.47%,18
9,5098641959,griffin6687,0,170.15,1B Vladimir Guerrero Jr. 2B Ernie Clement 3B Kazuma Okamoto C Shea Langeliers OF Roman Anthony OF Pete Crow-Armstrong OF Owen Caissie P Dylan Cease P Eury Perez SS Andres Gimenez,,Juan Soto,OF,19.61%,3
10,5098775959,bkreider (127/150),0,169.15,1B Vladimir Guerrero Jr. 2B Matt McLain 3B Sal Stewart C Jose Trevino OF Pete Crow-Armstrong OF Ian Happ OF Will Benson P Dylan Cease P Eury Perez SS Elly De La Cruz,,George Springer,OF,19.10%,7
11,5098775310,jjral11,0,168.15,1B Michael Busch 2B JJ Wetherholt 3B Kazuma Okamoto C Liam Hicks OF Roman Anthony OF Pete Crow-Armstrong OF Ian Happ P Dylan Cease P Eury Perez SS Corey Seager,,Nico Hoerner,2B,16.86%,18
11,5099038205,stoniner (3/33),0,168.15,1B Sal Stewart 2B Matt McLain 3B Eugenio Suarez C Danny Jansen OF James Wood OF Pete Crow-Armstrong OF Brandon Nimmo P Dylan Cease P Eury Perez SS Corey Seager,,Gunnar Henderson,SS,15.26%,7
13,5098966017,csharrel1 (1/50),0,167.15,1B Jake Burger 2B Matt McLain 3B Alex Bregman C Agustin Ramirez OF Pete Crow-Armstrong OF Wyatt Langford OF Brandon Nimmo P Dylan Cease P Eury Perez SS Corey Seager,,Vladimir Guerrero Jr.,1B,14.16%,13
