DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42429593,Sonny Gray,P,,BOS,CIN,Confirmed,8200,8.8,19.69,8.8,19.69,2.401219512,36.17,38.80727381,0,100,4.4762,8.0044,19.6885,12.7,20.175,27.05,30.4,35.75,41.4005,34.0428,23,34,45,51,58,65.01,22.2001,14.6,22.7,30.4,34.3,39.7,45.4,29.6698,20,30.5,40,45,52.5,59.505,10.1814,15.0332,11.2444,14.3313,2.8848,0.91384,0.0658,0.5796,0,0,2.0506,0,6.18928,1.57172,23.2332,4.44404,1.89108,5.84045,0.37412,0.34552,0.0194,0.00568,87.2347
42429591,Dylan Cease,P,,TOR,ATH,Confirmed,8400,31,19.58,31,19.58,2.330952381,34.14,36.64431577,0,100,4.9272,8.6822,19.5791,12.5,19.95,27.2,30.4,35.705,41.35,33.5383,23,33,45,49,58,67,21.73,13.8,22.4,30.3,33.5,39.405,46.1,29.7852,20,30.5,40.5,45,53,60.5,10.2889,14.9112,11.3863,14.5915,2.49524,0.84624,0.061,0.66348,0,0,2.06932,0,6.89504,1.91724,21.4914,4.06596,1.91224,5.26436,0.33904,0.19064,0.00044,0.00036,90.9058
42429595,Eury Perez,P,,MIA,COL,Confirmed,7900,22.15,18.88,22.15,18.88,2.389873418,32.13,34.23026671,0,100,4.419,7.8234,18.8844,12.1,18.9,25.65,29.1575,34.4,39.451,31.7334,21,31,42,47,55,63,21.2606,13.7,21.4,28.6,32.5,38.305,44.2,28.424,18.5,28.5,38,43,50.5,57.5,9.70076,14.0896,10.7593,13.7523,2.19713,0.7378,0.1778,0.543067,0,0,1.73687,0,6.01167,1.49747,20.6182,3.655797,1.60707,5.23182,0.348467,0.183333,0.000466667,0.0002,88.245
42429592,Kyle Bradish,P,,BAL,MIN,Confirmed,8300,11.5,17.07,11.5,17.07,2.056626506,24.34,25.99735317,0,100,4.4582,8.3146,17.0704,9.95,17.2,24.25,27.9,33.3,38.3015,29.5937,19,30,40,45,55,61,19.3053,11.5,19.5,27.4,31.4,37.3,43.2,25.9008,16,26,36,41.5,49,56.005,10.1085,14.7134,11.2352,14.29,2.35027,0.752067,0.0278667,0.6838,0,0,2.02933,0,5.59973,1.89513,21.2556,3.8140037,1.86473,5.27527,0.286933,0.210333,0.00213333,0.001,83.8381
42429594,Aaron Nola,P,,PHI,TEX,Confirmed,8100,15.05,16.48,15.05,16.48,2.034567901,19.44,20.18647656,0,100,4.5024,8.3332,16.4826,9.7,16.7,23.45,27,32.2,37.801,29.028,19,29,39,45,53,61,18.7088,11.2,18.8,26.5,30.4,36.3,42.3,25.1016,15.5,25.5,35,40,47.5,55.5,9.78799,14.3099,10.8811,13.8353,2.50516,0.84684,0.09328,0.83684,0,0,2.24452,0,5.45164,1.74228,21.8995,4.28212,2.07692,5.39099,0.30208,0.2296,0.00236,0.0014,87.2055
42429599,David Peterson,P,,NYM,PIT,Confirmed,7300,13.2,16.08,13.2,16.08,2.202739726,15.77,15.96441908,0,100,4.4676,8.0418,16.0754,9.55,16.2,23.1,26.4575,31.9,37.2015,28.8923,19,29,39,45,53,61,18.0996,10.7,18.5,25.7,29.6,35.6,41.3,24.715,15.5,25,34.5,39.5,47,54.5,9.84082,14.3689,10.9496,13.8957,2.99367,0.910933,0.0662667,0.399067,0,0,2.01227,0,5.19433,2.173,22.1415,4.3699367,1.8548,5.33469,0.326267,0.228,0.00353333,0.00206667,84.6828
42429604,Joe Boyle,P,,TB,STL,Confirmed,6300,15.7,14.82,15.7,14.82,2.352380952,8.9,8.314723299,0,100,3.951,7.809,14.8227,8.2375,14.7,21.65,25.4,30.75,35.95,26.6458,17,26,36,42,51,58,16.6744,9.4,16.6,24.4,28.4,34.4,40.3,22.8864,13.5,23,32.5,38,45.5,52.5,9.68839,13.8686,10.7781,13.6817,2.42155,0.8174,0.05665,0.5228,0,0,2.14735,0,5.1423,2.53335,21.0499,3.8184,1.98535,5.01697,0.25655,0.1462,0.0016,0.0004,83.9723
42429596,Cade Horton,P,,CHC,WSH,Confirmed,7800,19.25,14.64,19.25,14.64,1.876923077,9.18,8.610640218,0,100,5.3604,9.045,14.6377,8,14.85,21.5,24.8,29.6525,34.7505,26.1945,16,26,36,41,49,57,16.7628,9.5,16.9,24.5,28.3,33.4,39.201,22.3715,13,22.75,32,37,43.5,51,9.54583,13.8115,10.665,13.432,3.08804,0.95888,0.06968,0.41,0,0,2.02904,0,4.36368,1.46064,21.3326,4.5266,1.87628,5.24517,0.36024,0.20884,0.00272,0.002,81.2938
42429598,Taj Bradley,P,,MIN,BAL,Confirmed,7500,22.15,13.77,22.15,13.77,1.836,5.17,4.369314715,0,100,3.8564,8.3146,13.7689,7.0375,13.9,20.75,24.3,29.75,35.0025,25.2892,15,25,36,41,49,57,15.7177,8.175,15.9,23.5,27.5,33.4,39.3,21.2818,11.5,21.5,31,36,44,51.5,9.984,14.3005,11.132,14.0477,2.55453,0.890267,0.0626,0.6622,0,0,2.45287,0,4.76753,2.331,21.8353,4.169597,2.25673,5.21529,0.2252,0.189933,0.004,0.000866667,83.9605
42429601,Brady Singer,P,,CIN,BOS,Confirmed,7100,8.2,13.55,8.2,13.55,1.908450704,6.34,5.578031229,0,100,3.5282,8.0044,13.5509,7.2375,13.75,20.35,23.9,29,34.7005,24.9114,15,24,35,39,48,57,15.4453,8.5,15.7,23.2,26.7,32.6,38.6,20.9955,12,21,30.5,35.5,43,51,9.64907,13.8341,10.7661,13.6024,3.03876,0.99228,0.04892,0.60884,0,0,2.43308,0,4.8376,1.79508,21.495,4.6888,2.25224,5.12329,0.18504,0.1688,0.00076,0.0004,86.7332
