Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5118187217,danlew,0,171.5,1B Ben Rice 2B Juan Brito 3B Jose Ramirez C Patrick Bailey OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Jacob Misiorowski P Bailey Ober SS Jose Caballero,,Joey Cantillo,P,43.88%,11.1
2,5117868451,nerdytenor (93/150),0,168.4,1B Ben Rice 2B Marcus Semien 3B Jose Ramirez C Austin Wells OF Cody Bellinger OF Taylor Ward OF Trent Grisham P Ryan Weathers P Mike Burrows SS Francisco Lindor,,Jacob Misiorowski,P,37.24%,22.45
3,5118073770,ShipMyMoney (16/150),0,165.6,1B Paul Goldschmidt 2B Weston Wilson 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Robbie Ray P Ryan Weathers SS Masyn Winn,,Robbie Ray,P,30.66%,16.7
4,5118039976,hishboo (145/150),0,159.15,1B Ben Rice 2B Amed Rosario 3B Jose Ramirez C Salvador Perez OF Aaron Judge OF Trent Grisham OF Cedric Mullins P Eury Perez P Bailey Ober SS Jose Caballero,,Aaron Judge,OF,20.42%,16
5,5118147986,Kobe108 (37/150),0,159,1B Ben Rice 2B Amed Rosario 3B Jose Ramirez C Austin Hedges OF Aaron Judge OF Cody Bellinger OF David Fry P Joey Cantillo P Ryan Weathers SS Masyn Winn,,Yordan Alvarez,OF,20.06%,14
6,5118159146,dacoltz (115/150),0,157.15,1B Ben Rice 2B JJ Wetherholt 3B Ryan McMahon C Ivan Herrera OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Eury Perez P Bailey Ober SS Konnor Griffin,,Willy Adames,SS,19.76%,0
6,5118345335,rsbathla (84/85),0,157.15,1B Ben Rice 2B Amed Rosario 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Marcell Ozuna OF Jake Mangum P Eury Perez P Bailey Ober SS Jose Caballero,,Ivan Herrera,C,18.84%,7
8,5117985498,mrgoodseats (13/150),0,155,1B Ben Rice 2B Marcus Semien 3B Bo Bichette C Ivan Herrera OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Eury Perez P Ryan Weathers SS Jose Caballero,,Matt Chapman,3B,16.85%,3
9,5117768455,Hebrewcheetah (56/150),0,153.15,1B Christian Walker 2B JJ Wetherholt 3B Jose Ramirez C Pedro Pages OF Yordan Alvarez OF Jordan Walker OF Nathan Church P Eury Perez P Bailey Ober SS Masyn Winn,,Elly De La Cruz,SS,15.65%,9
10,5117976940,phils44 (73/150),0,153,1B Paul Goldschmidt 2B Jeremiah Jackson 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Trent Grisham OF Johnathan Rodriguez P Eury Perez P Ryan Weathers SS Gunnar Henderson,,Chandler Simpson,OF,15.55%,3
10,5118051956,striblingg13 (18/30),0,153,1B Ben Rice 2B Weston Wilson 3B Coby Mayo C Austin Wells OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Eury Perez P Ryan Weathers SS Gunnar Henderson,,Ryan Weathers,P,15.24%,32.9
12,5117703839,zroth2 (145/150),0,152.35,1B Ben Rice 2B Amed Rosario 3B Jose Ramirez C Joey Bart OF Bryan Reynolds OF Marcell Ozuna OF Billy Cook P Jacob Misiorowski P Ryan Weathers SS Nick Gonzales,,Eury Perez,P,15.02%,29.1
13,5117741706,LeVerticalDFS (129/150),0,152,1B Christian Walker 2B Matt McLain 3B Jose Ramirez C Yainer Diaz OF TJ Friedl OF Spencer Steer OF Rece Hinds P Eury Perez P Ryan Weathers SS Elly De La Cruz,,Gary Sanchez,C,14.60%,7
14,5117936498,needlunchmoney (92/150),0,151.95,1B Pete Alonso 2B Kody Clemens 3B Jose Ramirez C Victor Caratini OF Byron Buxton OF Taylor Ward OF Trevor Larnach P Ryan Weathers P Bailey Ober SS Gunnar Henderson,,Jordan Walker,OF,14.54%,7
15,5117699502,moklovin (139/150),0,151.65,1B Ben Rice 2B Jose Altuve 3B David Hamilton C Austin Wells OF Aaron Judge OF Trent Grisham OF Garrett Mitchell P Mitch Keller P Ryan Weathers SS Jose Caballero,,Byron Buxton,OF,14.34%,9
16,5117727384,mau5pad (63/150),0,151.6,1B Ben Rice 2B Juan Brito 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Angel Martinez OF Daniel Schneemann P Robbie Ray P Ryan Weathers SS Brayan Rocchio,,Brice Turang,2B,13.92%,5
17,5118159094,dacoltz (63/150),0,151,1B Ben Rice 2B JJ Wetherholt 3B Nolan Gorman C Austin Wells OF Aaron Judge OF Bryan Reynolds OF Trent Grisham P Eury Perez P Ryan Weathers SS Jose Caballero,,Alec Burleson,1B,13.53%,0
17,5118159133,dacoltz (102/150),0,151,1B Ben Rice 2B Amed Rosario 3B Jose Ramirez C Joey Bart OF Aaron Judge OF Cody Bellinger OF Jake Mangum P Joey Cantillo P Ryan Weathers SS Jose Caballero,,JJ Wetherholt,2B,13.52%,9
19,5118071315,NFLScoutTampa (42/50),0,150.95,1B Pete Alonso 2B Jeremiah Jackson 3B Coby Mayo C Ivan Herrera OF Aaron Judge OF Taylor Ward OF Trent Grisham P Ryan Weathers P Bailey Ober SS Gunnar Henderson,,Bailey Ober,P,12.88%,30.05
20,5117884427,jmoore3903 (92/150),0,150,1B Rafael Devers 2B Richie Palacios 3B Junior Caminero C Austin Wells OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Eury Perez P Ryan Weathers SS Jose Caballero,,Garrett Mitchell,OF,12.77%,6
20,5117940705,invertedcheese (96/150),0,150,1B Ben Rice 2B JJ Wetherholt 3B Nolan Gorman C Ivan Herrera OF Aaron Judge OF Cody Bellinger OF Nathan Church P Eury Perez P Ryan Weathers SS Masyn Winn,,Bobby Witt Jr.,SS,11.59%,10
22,5117768923,Hebrewcheetah (141/150),0,149.95,1B Ben Rice 2B Amed Rosario 3B Jose Ramirez C Luis Torrens OF Aaron Judge OF Cody Bellinger OF Carson Benge P Ryan Weathers P Bailey Ober SS Francisco Lindor,,Francisco Lindor,SS,11.38%,0
23,5117525357,zokin (141/150),0,149.35,1B Rhys Hoskins 2B Amed Rosario 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Byron Buxton OF Trent Grisham P Jacob Misiorowski P Ryan Weathers SS Jose Caballero,,Cole Ragans,P,11.27%,0.55
23,5118003496,skijmb (145/150),0,149.35,1B Ben Rice 2B Richie Palacios 3B Junior Caminero C Joey Bart OF Aaron Judge OF Marcell Ozuna OF Jake Mangum P Jacob Misiorowski P Ryan Weathers SS Nick Gonzales,,Jose Altuve,2B,11.15%,13
25,5118073790,ShipMyMoney (36/150),0,149.15,1B Ben Rice 2B Juan Brito 3B Daniel Schneemann C Austin Wells OF Aaron Judge OF Cody Bellinger OF Trent Grisham P Robbie Ray P Jacob Misiorowski SS Brayan Rocchio,,Rafael Devers,1B,10.99%,6
26,5118148039,Kobe108 (90/150),0,149.05,1B Ben Rice 2B Amed Rosario 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Cody Bellinger OF Steven Kwan P Eury Perez P Javier Assad SS Brayan Rocchio,,Salvador Perez,C,10.92%,0
27,5118052929,giantsquid (128/150),0,149,1B Curtis Mead 2B Amed Rosario 3B Jose Ramirez C Austin Wells OF Aaron Judge OF Cody Bellinger OF Jacob Young P Eury Perez P Ryan Weathers SS Francisco Lindor,,Heliot Ramos,OF,10.91%,5
