P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42716634,42717212,42716686,42716761,42716652,42716668,42716693,42716664,42716711,42716670,,118.65,96.49199867,117.8670006,138.1295013,151.382003,171.9669952,203.0179984,199.53,49700,1,90.9,89.32126866,84.25499469,86.83364696,81.76737298,174.1144509,84.07293355,79.00665958,81.58531185,76.51903788,18.25044129,114.9059653
42717212,42716631,42716743,42716721,42716655,42716668,42716880,42716652,42716670,42716664,,108.32,87.45055199,105.9630508,126.400547,139.1955498,159.945549,192.6490463,144.11,49500,1,60.65,85.86806368,82.68477584,84.49791604,81.3146282,168.7438549,81.79879073,78.61550289,80.42864309,77.24535525,7.669599651,31.79472685
42716634,42716628,42716878,42716774,42716652,42716668,42716693,42716873,42716664,42716755,,113.24,93.24650192,111.4090004,134.3090019,144.981501,165.1240082,200.0120026,193.75,50000,1,56.8,87.16330195,82.66961237,85.11384583,80.62015625,170.7687905,81.88005768,77.3863681,79.83060156,75.33691198,13.72718435,64.18726444
42717212,42716633,42716686,42716761,42716652,42716668,42716693,42716670,42716711,42716664,,117.82,95.48749924,117.3499985,138.6999969,151.2724991,172.4074944,200.391006,206.39,49900,1,102.75,87.94605827,82.65892369,85.31796618,80.03083161,173.3991357,82.59702289,77.30988831,79.9689308,74.68179623,19.17450709,132.3844314
42717212,42716628,42716743,42716805,42716652,42716668,42716684,42716755,42716664,42716670,,115.04,93.71250153,112.5999985,135.0625,146.8450035,168.2099968,197.8650061,194.75,49900,1,85.1,87.13743599,82.39134431,84.83373897,80.08764729,171.9750737,82.11394902,77.36785734,79.810252,75.06416032,13.82960748,79.33356762
42716641,42716634,42716676,42716743,42716652,42716668,42716880,42716755,42716664,42716670,,107.09,85.50449753,104.7420006,125.729496,136.0670013,161.1819931,195.1220044,152.13,49900,1,28.4,85.56871241,82.30029704,84.26826718,80.99985182,167.6124145,80.96524721,77.69683185,79.66480199,76.39638662,8.335052779,22.22068161
42716634,42717212,42716686,42716716,42716652,42716668,42716726,42716664,42716711,42716670,,114.17,92.40450096,113.7919998,132.9669952,144.1894936,167.4694954,193.1335043,170.13,49800,1,82.9,86.62061892,82.30020745,84.4495616,80.12915013,171.9798953,82.3436138,78.02320233,80.17255648,75.85214501,13.8298189,85.20277739
42716634,42716628,42716686,42716721,42716652,42716758,42716880,42716823,42716664,42716755,,109.29,89.56700134,107.9169998,126.3670044,137.6669922,155.9870102,190.6225043,149.11,49800,1,83.8,85.56776483,82.19094264,84.01043518,80.63361299,169.379221,81.66661684,78.28979464,80.10928719,76.73246499,7.006669437,63.71382475
42716634,42717212,42716676,42716721,42716655,42716668,42716693,42716664,42716670,42716755,,110.18,87.96699524,108.8170013,129.7044945,141.8119987,159.5970009,193.0219983,155.67,49700,1,66.9,85.87269364,82.18897032,84.18384517,80.50012185,169.6230781,81.57691755,77.89319423,79.88806908,76.20434576,9.694734001,66.71299934
42716634,42717212,42716675,42716774,42716714,42716668,42716693,42716664,42716652,42716670,,112.47,91.62149811,111.6590004,133.5715027,145.866507,163.7590027,198.7755026,189.24,49800,1,74.9,86.6072457,82.15025783,84.57784047,80.12085261,170.2876441,81.35390301,76.89691514,79.32449778,74.86750992,16.73214639,73.03406596
