Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5123194029,drunkonpappy (56/150),0,182,1B Josh Naylor 2B JJ Wetherholt 3B Kazuma Okamoto C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Nathan Church P Kevin Gausman P Eury Perez SS Masyn Winn,,Bryan Woo,P,42.53%,-10.65
2,5123039970,ShipMyMoney (16/150),0,175.45,1B Vladimir Guerrero Jr. 2B JJ Wetherholt 3B Ernie Clement C Pedro Pages OF Julio Rodriguez OF Nathan Church OF Victor Scott II P Robbie Ray P Kevin Gausman SS Masyn Winn,,Kevin Gausman,P,38.71%,17.4
2,5123193986,drunkonpappy (13/150),0,175.45,1B Josh Naylor 2B JJ Wetherholt 3B Kazuma Okamoto C Cal Raleigh OF Julio Rodriguez OF Nathan Church OF Victor Scott II P Robbie Ray P Kevin Gausman SS Masyn Winn,,Colson Montgomery,SS,37.21%,8
4,5123194011,drunkonpappy (38/150),0,172.45,1B Josh Naylor 2B Ernie Clement 3B Kazuma Okamoto C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Nathan Church P Robbie Ray P Kevin Gausman SS Masyn Winn,,Robbie Ray,P,36.48%,13.05
5,5122889705,AZN_Shorty,0,170.75,1B Josh Naylor 2B JJ Wetherholt 3B Matt Chapman C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Nathan Church P Robbie Ray P Noah Schultz SS J.P. Crawford,,Munetaka Murakami,1B,33.19%,0
6,5122922969,TeeJayOrTj (92/150),0,169.95,1B Alec Burleson 2B JJ Wetherholt 3B Junior Caminero C Ivan Herrera OF Julio Rodriguez OF Cedric Mullins OF Nathan Church P Noah Schultz P Shane McClanahan SS Masyn Winn,,Julio Rodriguez,OF,31.17%,29
7,5123129321,RoyalPain21 (96/150),0,169.1,1B Vladimir Guerrero Jr. 2B Cole Young 3B Kazuma Okamoto C Mitch Garver OF Byron Buxton OF Julio Rodriguez OF Randy Arozarena P Kevin Gausman P Noah Schultz SS J.P. Crawford,,Cal Raleigh,C,30.66%,10
8,5122922928,TeeJayOrTj (51/150),0,168.45,1B Alec Burleson 2B Cole Young 3B Nolan Gorman C Ivan Herrera OF Julio Rodriguez OF Randy Arozarena OF Nathan Church P Robbie Ray P Kevin Gausman SS Masyn Winn,,Andrew Benintendi,OF,27.25%,0
9,5123185387,nerdytenor (136/150),0,166.85,1B Vladimir Guerrero Jr. 2B JJ Wetherholt 3B Kazuma Okamoto C Cal Raleigh OF Julio Rodriguez OF Daulton Varsho OF Myles Straw P Shane McClanahan P Eury Perez SS Andres Gimenez,,Junior Caminero,3B,25.11%,3
10,5123340759,scjamie7 (2/3),0,166.45,1B Vladimir Guerrero Jr. 2B Cole Young 3B Kazuma Okamoto C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Myles Straw P Robbie Ray P Kevin Gausman SS J.P. Crawford,,Eury Perez,P,25.04%,10.6
11,5123129252,RoyalPain21 (27/150),0,165.75,1B Casey Schmitt 2B Cole Young 3B Matt Chapman C Cal Raleigh OF Julio Rodriguez OF Jung Hoo Lee OF Heliot Ramos P Robbie Ray P Noah Schultz SS Willy Adames,,Randy Arozarena,OF,23.43%,12
12,5123417154,mb725016 (59/150),0,164.45,1B Josh Naylor 2B Cole Young 3B Nolan Gorman C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Nathan Church P Robbie Ray P Kevin Gausman SS Willy Adames,,Byron Buxton,OF,21.86%,6
13,5123040006,ShipMyMoney (52/150),0,163.45,1B Yandy Diaz 2B Cole Young 3B Junior Caminero C Pedro Pages OF Chandler Simpson OF Nathan Church OF Victor Scott II P Robbie Ray P Kevin Gausman SS Ben Williamson,,Miguel Vargas,3B,21.08%,11
14,5123412153,Dudeoflife (99/100),0,163.1,1B Josh Naylor 2B JJ Wetherholt 3B Will Wilson C Ivan Herrera OF Jordan Walker OF Julio Rodriguez OF Randy Arozarena P Kevin Gausman P Noah Schultz SS J.P. Crawford,,Ernie Clement,2B,19.79%,8
15,5122942339,vonder87 (1/2),0,162.75,1B Josh Naylor 2B Cole Young 3B Junior Caminero C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Cedric Mullins P Robbie Ray P Noah Schultz SS Ben Williamson,,Chandler Simpson,OF,19.00%,7
16,5123302853,mrgoodseats (32/150),0,162.3,1B Josh Naylor 2B Cole Young 3B Matt Chapman C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Heliot Ramos P Robbie Ray P Shane McClanahan SS Willy Adames,,James Wood,OF,18.79%,4
16,5123377153,lostories (7/75),0,162.3,1B Vladimir Guerrero Jr. 2B Ernie Clement 3B Junior Caminero C Ivan Herrera OF Julio Rodriguez OF Cedric Mullins OF Nathan Church P Robbie Ray P Shane McClanahan SS Masyn Winn,,Agustin Ramirez,C,18.52%,13
18,5123129301,RoyalPain21 (76/150),0,162.1,1B Vladimir Guerrero Jr. 2B Cole Young 3B Will Wilson C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Heliot Ramos P Kevin Gausman P Noah Schultz SS Willy Adames,,Noah Schultz,P,17.69%,20.7
19,5123445704,shipitplz (19/60),0,162,1B Josh Naylor 2B Cole Young 3B Junior Caminero C Cal Raleigh OF Chandler Simpson OF Julio Rodriguez OF Randy Arozarena P Shane McClanahan P Jake Irvin SS Otto Lopez,,Otto Lopez,SS,17.40%,3
20,5123040100,ShipMyMoney (146/150),0,161.45,1B Vladimir Guerrero Jr. 2B JJ Wetherholt 3B Ernie Clement C Ivan Herrera OF Julio Rodriguez OF Nathan Church OF Victor Scott II P Robbie Ray P Kevin Gausman SS Andres Gimenez,,Ryan Jeffers,C,15.43%,3
20,5123124506,stoniner (29/50),0,161.45,1B Alec Burleson 2B Cole Young 3B Nolan Gorman C Ivan Herrera OF Julio Rodriguez OF Jacob Young OF Nathan Church P Robbie Ray P Kevin Gausman SS Masyn Winn,,Shane McClanahan,P,15.02%,26.25
20,5123172475,craftylefty (40/84),0,161.45,1B Vladimir Guerrero Jr. 2B Ernie Clement 3B Kazuma Okamoto C Pedro Pages OF James Wood OF Nathan Church OF Myles Straw P Robbie Ray P Kevin Gausman SS Colson Montgomery,,Xavier Edwards,2B,13.05%,13
23,5122813141,pgk8 (6/40),0,161.1,1B Josh Naylor 2B Cole Young 3B Nolan Gorman C Mitch Garver OF Jordan Walker OF Randy Arozarena OF Nathan Church P Kevin Gausman P Noah Schultz SS J.P. Crawford,,Willy Adames,SS,12.77%,0
24,5122862975,OneDropKing (60/150),0,160.3,1B Josh Naylor 2B Cole Young 3B Nolan Gorman C Cal Raleigh OF Jordan Walker OF Julio Rodriguez OF Randy Arozarena P Robbie Ray P Shane McClanahan SS Masyn Winn,,Jose Ramirez,3B,11.79%,5
25,5123239064,Blaker283 (1/5),0,159.95,1B Josh Naylor 2B JJ Wetherholt 3B Kazuma Okamoto C Mitch Garver OF Julio Rodriguez OF Randy Arozarena OF Daulton Varsho P Robbie Ray P Bailey Ober SS Andres Gimenez,,Vladimir Guerrero Jr.,1B,11.69%,12
26,5122945455,sammyy89 (3/7),0,159.65,1B Vladimir Guerrero Jr. 2B JJ Wetherholt 3B Kazuma Okamoto C Ivan Herrera OF Chandler Simpson OF Daulton Varsho OF Myles Straw P Kevin Gausman P Shane McClanahan SS Andres Gimenez,,Luke Keaschall,2B,11.64%,12
27,5123270488,LayupLines,0,159.45,1B Vladimir Guerrero Jr. 2B Ernie Clement 3B Kazuma Okamoto C Ivan Herrera OF Julio Rodriguez OF Randy Arozarena OF Myles Straw P Robbie Ray P Kevin Gausman SS Masyn Winn,,Everson Pereira,OF,11.50%,5
28,5123302926,mrgoodseats (105/150),0,158.75,1B Josh Naylor 2B JJ Wetherholt 3B Miguel Vargas C Pedro Pages OF Julio Rodriguez OF Randy Arozarena OF Andrew Benintendi P Robbie Ray P Noah Schultz SS Colson Montgomery,,Rob Refsnyder,OF,11.48%,3
29,5122963185,conradical907 (49/150),0,158.3,1B Vladimir Guerrero Jr. 2B Nasim Nunez 3B Kazuma Okamoto C Ivan Herrera OF Julio Rodriguez OF Everson Pereira OF Sam Antonacci P Robbie Ray P Shane McClanahan SS Colson Montgomery,,Austin Martin,OF,10.67%,2
29,5123297548,pracks12 (2/2),0,158.3,1B Munetaka Murakami 2B JJ Wetherholt 3B Nolan Gorman C Cal Raleigh OF Jordan Walker OF Julio Rodriguez OF Nathan Church P Noah Schultz P Eury Perez SS Ben Williamson,,Jonathan Aranda,1B,10.64%,0
31,5123430902,chucksmeds (4/10),0,157.75,1B Yandy Diaz 2B Cole Young 3B Junior Caminero C Mitch Garver OF Chandler Simpson OF Julio Rodriguez OF Randy Arozarena P Robbie Ray P Noah Schultz SS Ben Williamson,,Sam Antonacci,OF,10.17%,3
32,5123344958,hishboo (99/150),0,157.65,1B Yandy Diaz 2B JJ Wetherholt 3B Nolan Gorman C Ivan Herrera OF Chandler Simpson OF Cedric Mullins OF Nathan Church P Kevin Gausman P Shane McClanahan SS Masyn Winn,,Nasim Nunez,2B,10.17%,21
33,5123311230,zzdead01,0,157.3,1B Josh Naylor 2B JJ Wetherholt 3B Brady House C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Andrew Benintendi P Robbie Ray P Shane McClanahan SS Ben Williamson,,J.P. Crawford,SS,10.01%,7
34,5123302893,mrgoodseats (72/150),0,156.8,1B Josh Naylor 2B JJ Wetherholt 3B Nolan Gorman C Ivan Herrera OF Jordan Walker OF Julio Rodriguez OF Randy Arozarena P Robbie Ray P Jake Irvin SS J.P. Crawford,,Josh Naylor,1B,9.79%,16
35,5123310617,idlove2win (38/150),0,156.65,1B Munetaka Murakami 2B Cole Young 3B Kazuma Okamoto C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Rob Refsnyder P Kevin Gausman P Shane McClanahan SS Colson Montgomery,,Chase Meidroth,2B,9.50%,10
36,5123194077,drunkonpappy (104/150),0,156.45,1B Vladimir Guerrero Jr. 2B Ernie Clement 3B Kazuma Okamoto C Ivan Herrera OF Byron Buxton OF Nathan Church OF Myles Straw P Robbie Ray P Kevin Gausman SS Masyn Winn,,Kazuma Okamoto,3B,8.94%,23
37,5123293118,cardinals19191 (98/150),0,156.3,1B Vladimir Guerrero Jr. 2B Cole Young 3B Kazuma Okamoto C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Rob Refsnyder P Robbie Ray P Shane McClanahan SS Willy Adames,,Luis Arraez,2B,8.84%,10
38,5123129271,RoyalPain21 (46/150),0,155.75,1B Rhys Hoskins 2B JJ Wetherholt 3B Junior Caminero C Ivan Herrera OF Jordan Walker OF Julio Rodriguez OF Nathan Church P Noah Schultz P Joey Cantillo SS Masyn Winn,,Cedric Mullins,OF,8.27%,9
39,5123057625,kristinbeth77,0,155.65,1B Vladimir Guerrero Jr. 2B Ernie Clement 3B Kazuma Okamoto C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Myles Straw P Kevin Gausman P Shane McClanahan SS Otto Lopez,,Bailey Ober,P,7.95%,11.9
39,5123425784,Bashman1234 (2/4),0,155.65,1B Vladimir Guerrero Jr. 2B JJ Wetherholt 3B Junior Caminero C Mitch Garver OF Julio Rodriguez OF Randy Arozarena OF Eloy Jimenez P Kevin Gausman P Shane McClanahan SS Ben Williamson,,Chase DeLauter,OF,7.86%,3
41,5122960073,zhangmo111 (4/30),0,155.3,1B Alec Burleson 2B JJ Wetherholt 3B Nolan Gorman C Pedro Pages OF Chandler Simpson OF Julio Rodriguez OF Randy Arozarena P Robbie Ray P Shane McClanahan SS Masyn Winn,,Kyle Stowers,OF,7.86%,2
41,5123199673,iluverica,0,155.3,1B Josh Naylor 2B Cole Young 3B Will Wilson C Cal Raleigh OF James Wood OF Julio Rodriguez OF Everson Pereira P Robbie Ray P Shane McClanahan SS Colson Montgomery,,Joey Cantillo,P,7.73%,9.05
43,5123330623,sampogna22,0,154.45,1B Josh Naylor 2B Luis Arraez 3B Kazuma Okamoto C Cal Raleigh OF Julio Rodriguez OF Randy Arozarena OF Myles Straw P Robbie Ray P Kevin Gausman SS Andres Gimenez,,Angel Martinez,OF,7.39%,8
43,5123424671,baracuda1973 (2/4),0,154.45,1B Josh Naylor 2B Chase Meidroth 3B Will Wilson C Pedro Pages OF James Wood OF Julio Rodriguez OF Randy Arozarena P Robbie Ray P Kevin Gausman SS Colson Montgomery,,Esteury Ruiz,OF,7.35%,0
