DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42748879,Robbie Ray,P,,SF,MIA,Confirmed,9800,13.05,17.64,13.05,17.64,1.8,36.65,39.86647762,0,100,3.9062,8.0036,16.8722,9.4,16.95,24.5,28.2,33.805,40.2515,31.2871,20,31,43,49,57,64,18.8961,10.6,19,27.6,31.6,37.5,44.4,26.1416,15.5,26.5,37,42,50.025,58.5,10.8117,15.7916,11.9784,15.1962,3.41704,1.11084,0.22028,0.42244,0,0,2.60656,0,6.00208,2.46336,24.5752,5.1706,2.40992,5.80463,0.29212,0.336,0.00996,0.00516,101.721
42748881,Bryan Woo,P,,SEA,STL,Confirmed,9300,-10.65,16.54,-10.65,16.54,1.778494624,39.52,43.1739333,0,100,4.4554,8.1214,16.5357,9.55,16.9,23.9,27.55,33,38.65,30.1268,20,30,42,46,55,61,18.8277,11.1,19.3,27.2,31.215,36.7,42.4,25.232,15.5,25.5,35.5,40.5,48,55.5,10.261,14.9605,11.3541,14.3324,3.7845,1.0464,0.05065,0.4903,0,0,2.43555,0,5.10945,1.57065,24.4132,5.37185,2.25165,5.95697,0.37235,0.3621,0.0286,0.0083,89.4919
42748883,Noah Schultz,P,,CWS,WSH,Confirmed,8000,20.7,14.67,20.7,14.67,1.83375,20.06,20.06996094,0,100,4.534,8.5834,13.8478,7.1,14.1,20.85,24.4575,29.3025,34.601,25.3497,15,25,36,41,48,56,15.7028,8.2,15.8,23.6,27.5,33.2,38.5,21.4594,12,21.5,31.5,36.5,43,50.5,9.72391,13.9082,10.8597,13.7029,3.05007,0.948067,0.0803333,0.4308,0,0,2.30547,0,4.7194,1.9738,21.3161,4.5092703,2.13367,5.07118,0.288133,0.162533,0.000933333,0.000466667,84.2911
42748880,Kevin Gausman,P,,TOR,CLE,Confirmed,9700,17.4,14.51,17.4,14.51,1.495876289,48.17,52.33577072,0,100,4.1184,7.5712,18.4653,11.5,18.85,25.7625,29.15,34.4,40.2525,32.5387,22,33,43,49,57,64,20.8806,13.1,21.5,29.3,32.6,38.405,44.3,28.0195,18,28.5,38.5,43,50.5,58,10.1469,14.9188,11.24,14.2913,2.7799,1.01785,0.1199,0.55805,0,0,2.1204,0,5.82235,1.85185,23.3594,4.4757,1.96295,5.79558,0.36745,0.34225,0.0082,0.00455,92.0826
42748884,Shane McClanahan,P,,TB,MIN,Confirmed,7700,26.25,12.79,26.25,12.79,1.661038961,16.18,15.62659518,0,100,4.4382,8.7156,13.925,7.25,14.15,21.3,24.75,30.0025,35.4005,25.8398,16,26,36,42,50,58,15.6186,8,15.8,23.7,27.6,33.5,39.4,21.7689,12.5,22,32.125,37,45,52.5,10.0695,14.3805,11.2112,14.2188,2.9544,0.94885,0.1018,0.49615,0,0,2.40455,0,5.08565,2.41855,21.5851,4.5012,2.227,5.0275,0.26165,0.15285,0.0003,0.00015,86.0095
42748889,Matthew Liberatore,P,,STL,SEA,Confirmed,6000,-1.9,12.74,-1.9,12.74,2.123333333,3.55,2.589894858,0,100,3.666,8.1214,12.237,5.85,12.35,19.1,22.5,27.8,34.2005,23.6345,14,24,33,39,47,55,14.1549,6.9,14.5,21.8,25.6,31.5,38.3,19.1451,10,19.5,28.5,33.5,41,49.5,9.70012,13.9914,10.8468,13.5931,3.41845,0.99985,0.08995,0.59905,0,0,2.6299,0,4.1098,2.00765,22.9512,5.1073,2.4303,5.42832,0.2286,0.23485,0.00475,0.0025,86.6989
42748885,Eury Perez,P,,MIA,SF,Confirmed,7500,10.6,12.28,10.6,12.28,1.637333333,21.06,21.22667782,0,100,4.0974,8.0036,14.8585,7.9875,14.975,22.15,25.6,31.1,36.85,27.3655,17,27,38,43,52,60,16.8231,9.075,16.9,24.8,28.6,34.8,40.701,22.99,13.375,23,33,38.5,46,54,10.0895,14.6212,11.2301,14.1969,3.06456,0.98792,0.17312,0.51644,0,0,2.45856,0,5.06772,2.16372,22.7702,4.74204,2.26908,5.4132,0.30036,0.23196,0.00752,0.00172,94.4235
42748886,Joey Cantillo,P,,CLE,TOR,Confirmed,7100,9.05,11.12,9.05,11.12,1.566197183,6.98,5.690227887,0,100,3.4528,7.5712,11.9314,5.25,12,18.8125,22.2,27.8,33.451,22.7999,13,22.5,32,37.15,46,55,13.6209,6,13.7,21.5,25.215,31.4,37.501,18.7647,9.5,19,28,33.5,41,49,9.70788,13.7847,10.851,13.6499,3.0697,1.0363,0.13045,0.5172,0,0,2.54235,0,4.3069,2.14755,21.5596,4.75365,2.3486,5.02238,0.21205,0.1464,0.0025,0.0003,85.9697
42748887,Bailey Ober,P,,MIN,TB,Confirmed,6700,11.9,10.78,11.9,10.78,1.608955224,5.92,4.722564345,0,100,4.2774,8.7156,12.5669,5.85,12.7,19.7,23.0575,28.75,34.401,24.1711,14,24,34,40,48.05,55,14.5844,7,14.8,22.6,26.5,32.6,38.3,19.5543,10,20,29.5,34.5,42,49.5,9.88153,14.2818,11.0194,13.8197,3.46325,1.10885,0.13405,0.74595,0,0,2.8377,0,4.13995,1.6948,23.5213,5.4521,2.62105,5.6036,0.292,0.2629,0.0136,0.00275,89.4645
42748888,Jake Irvin,P,,WSH,CWS,Confirmed,6300,27.75,10.49,27.75,10.49,1.665079365,1.91,1.157745479,0,100,4.0494,8.5834,10.692,4.05,10.65,17.65,21.1,26.5525,31.5505,21.3155,12,21,31,36,45,52.01,12.2574,4.8,12.4,19.9,23.7,30.2,35.5,17.0683,7.5,17,27,31.5,39.5,46.5,9.79184,13.9034,10.9428,13.7664,3.41387,0.961933,0.128,0.662933,0,0,2.8546,0,4.07247,2.139,21.9241,5.166736,2.64087,5.0192,0.227933,0.148867,0.00226667,0.0004,85.9519
