P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42748889,42748879,42748978,42748896,42749038,42748891,42748924,42748929,42749016,42748897,,92.88,71.9863987,89.8614006,108.7239017,119.2188957,137.9214066,166.1804074,99,49200,1,57.15,90.0283899,87.77619131,88.84408077,86.59188217,173.8629937,88.00903066,85.75683207,86.82472153,84.57252293,0,92.25079417
42748879,42748883,42748923,42749008,42748930,42748891,42748990,42748929,42749016,42748897,,93.67,72.62389946,90.3614006,109.9363995,122.2613983,139.7613953,169.9259074,123.56,49600,1,83.75,90.46777696,87.76988467,89.12596543,86.42807314,173.9330262,87.7413462,85.04345391,86.39953467,83.70164239,0,67.22929478
42748881,42748879,42748978,42749008,42748930,42748891,42749010,42749016,42748929,42748897,,93.99,74.68639565,91.38640213,112.1613998,122.4688957,141.9788956,171.9628954,138.09,49600,1,49.4,90.65946221,87.72918464,89.24260267,86.3123251,173.8801906,87.53606765,84.60579008,86.11920811,83.18893054,0,59.0408206
42748879,42748883,42748923,42749008,42749038,42748891,42748990,42748929,42748960,42748897,,92.63,72.69890213,88.76139832,109.2238998,120.2414024,137.4963959,169.5123984,119.19,48600,1,75.75,90.13599226,87.63802175,88.93565321,86.4376827,173.198948,87.44343691,84.9454664,86.24309787,83.74512735,0,61.09759808
42748881,42748879,42748978,42749008,42749038,42748891,42749010,42748929,42748991,42748897,,92.04,72.56140327,90.31140137,109.4363995,120.5764011,139.5664017,171.1634074,129.54,48200,1,32.4,90.03097131,87.475078,88.87845608,86.32256277,172.5046891,86.9733523,84.41745898,85.82083706,83.26494375,0,38.08554113
42748879,42748887,42748978,42748907,42748928,42748891,42748924,42748912,42749016,42748929,,89.5,68.31909943,85.1690979,106.4816017,118.4340988,138.9340981,164.0246039,81.92,49600,1,56.95,88.94235538,87.42772367,88.2388203,86.72418859,171.6109048,87.21260058,85.69796888,86.5090655,84.9944338,0,55.87384105
42748881,42748883,42748978,42748896,42749038,42748891,42748924,42749016,42748929,42748989,,90.84,71.80000305,87.17499924,104.5125008,115.8150028,138.2124969,165.712997,97.8,48000,1,67.05,89.30682712,87.37259096,88.37262945,86.43839329,172.329472,87.24090933,85.30667318,86.30671166,84.37247551,0,45.22405565
42748886,42748879,42748978,42748907,42748928,42748891,42748990,42748929,42748912,42748989,,87.72,67.48835373,83.6508522,106.3133488,116.9083488,139.2008514,164.4603514,77.63,49100,1,62.1,88.55925205,87.35003926,88.11175871,86.90254592,170.2531797,86.72158707,85.51237428,86.27409372,85.06488093,0,45.11648417
42748881,42748879,42748978,42749008,42748974,42748891,42748981,42748922,42748912,42748929,,92.65,71.69889641,89.88640213,109.5363998,120.7113964,142.7713982,167.9703954,120.41,49400,1,44.4,89.80085047,87.30331154,88.55616957,86.05863064,173.3048598,87.28695728,84.78941835,86.04227638,83.54473745,0,67.45733023
42748879,42748887,42748978,42748896,42748974,42748891,42748981,42748922,42748912,42748929,,88.92,68.40660095,85.21910095,106.2565994,117.0915997,135.9741005,166.87411,98.71,49900,1,73.95,88.89388012,87.21118305,88.21642292,86.53372585,170.7480351,86.55561772,84.87292064,85.87816051,84.19546344,0,51.52354836
42748889,42748879,42748978,42748907,42748928,42748891,42748910,42749016,42748912,42748929,,91.47,69.92389679,87.43639755,107.0614014,119.0839005,139.428907,164.6124043,96.27,49300,1,51.15,89.1093251,87.00731769,88.02795068,85.92594327,172.8037785,87.12880054,85.02679313,86.04742612,83.94541872,0,76.56662464
42748879,42748883,42748923,42749008,42748930,42748891,42748990,42748937,42749016,42748897,,93.11,72.81140137,89.38639832,108.5614014,122.1489044,141.5789017,168.6144044,127.26,49400,1,91.75,89.67259206,86.89704799,88.28356608,85.50802201,173.4139332,86.90206378,84.12651972,85.5130378,82.73749374,7.158974161,35.64580381
42748889,42748879,42748916,42748896,42748974,42748891,42748981,42749016,42748937,42748929,,90,70.64890099,87.86140442,106.8488998,117.1189037,135.8663895,164.0634013,91.81,48200,1,85.15,88.65482824,86.83863025,87.77603515,85.95983716,171.7674117,86.7214066,84.90520861,85.84261352,84.02641553,0,74.96590614
42748886,42748879,42748916,42748907,42748928,42748891,42748924,42748929,42748989,42749036,,88.45,70.18835068,87.82585144,106.3633461,116.4083488,134.4008484,163.5583423,83.97,49600,1,86.1,88.28524302,86.81689506,87.64538346,86.1770355,170.716962,86.43963736,84.97128939,85.7997778,84.33142984,0,48.98913205
42748879,42748883,42748978,42749008,42748974,42748891,42748981,42748929,42748912,42748922,,90.78,69.06140137,87.33640289,107.0113983,117.9764027,138.9663956,164.6153893,100.95,48100,1,75.75,88.82329991,86.78966421,87.81148252,85.77784682,172.2368175,86.76966238,84.73602668,85.75784499,83.72420928,0,73.55456352
42748879,42748887,42748978,42749008,42748930,42748891,42749010,42748912,42748929,42748897,,89.62,69.70660019,88.24410248,106.9190979,117.719101,141.9215981,167.8761099,109.41,48900,1,60.95,88.83114,86.7891266,87.96651545,85.92450204,170.97651,86.16359801,84.1215846,85.29897345,83.25696005,0,59.37642455
42748886,42748879,42748978,42748932,42749038,42748891,42748990,42748912,42748951,42748897,,88.16,66.8008461,86.2758522,106.9633522,117.5383533,136.9258484,168.7018513,109.11,48400,1,54.1,88.56897596,86.75061924,87.91415765,86.09580092,169.8095704,85.73317905,83.91482233,85.07836074,83.26000401,6.486380729,19.94006336
42748889,42748879,42748923,42748932,42748930,42748891,42748990,42748929,42748951,42748897,,92.56,72.89890099,90.98639679,110.6989002,122.7639027,140.7613983,168.9633954,127.1,49600,1,46.15,89.48843514,86.75016429,88.15602594,85.41775509,172.9252103,86.60325937,83.86498852,85.27085017,82.53257932,0,30.13377786
