P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Saber Score
42756281,42756140,42755902,42755660,42755715,42755732,42755707,42755654,42755964,42755674,,98.03,81.75319862,99.10319901,119.4657021,130.6282043,148.6132011,175.3347014,104,49700,1,58.75,-0.765609508
42755632,42755637,42755902,42755687,42755956,42755732,42755690,42755657,42755654,42755674,,94.87,76.03964996,92.78964996,112.66465,122.6446541,145.2846481,172.3236514,55.55,49300,1,101.05,2.762747556
42756281,42755632,42755902,42755687,42755829,42755732,42755690,42755657,42755654,42755674,,92.57,75.77804947,91.72805023,109.7905464,122.1355522,142.858049,162.0990488,53.47,49600,1,80,0.98134065
42756140,42755637,42755805,42755856,42755673,42755682,42755668,42755904,42755678,42755731,,102.4,83.79730034,101.8097992,121.6847992,132.5572914,152.2523026,170.9777992,99.17,49200,1,80.8,11.55800968
42756140,42755637,42755805,42755670,42755873,42755682,42755668,42755904,42755678,42755731,,103.73,84.53479767,102.3847961,121.322298,132.6347961,150.9447968,171.2468022,103.33,49200,1,71.8,25.67591965
42755628,42756281,42755672,42755670,42755903,42755960,42755842,42755654,42755648,42755695,,96.45,77.22500038,97.125,117.1999969,129.7074974,148.7174973,168.002,121.32,49400,1,58.15,-8.188185841
42755628,42756281,42755672,42755735,42755757,42755960,42755842,42755654,42755648,42755695,,94.75,77.65000153,97.25,116.2124977,129.7374969,148.9624969,164.9574969,108.16,49300,1,53.15,-18.15807074
42755628,42756281,42755672,42755735,42755903,42755784,42755842,42755654,42755648,42755695,,95.72,77.98749924,96.875,117.1249981,128.2575005,147.8075027,174.906494,109.58,49300,1,55.15,-16.74672812
42755628,42756140,42755938,42755855,42755810,42755650,42755690,42755804,42755897,42755648,,104.05,85.7981987,103.9731979,123.3731976,135.2132103,157.5006996,179.0482025,112.75,49500,1,53.5,53.6837101
42755628,42756140,42755938,42755786,42755956,42755650,42755690,42755804,42755897,42755648,,102.47,85.75570297,101.4182014,121.1806984,132.385704,152.5932068,177.8387067,109.34,49100,1,51.5,65.29296637
42755628,42756140,42755938,42755658,42755956,42755830,42755690,42755897,42755694,42755648,,101.9,84.12320137,101.3732033,120.6732006,132.7982025,153.4006935,173.2571994,96.03,49400,1,48.5,46.5365082
42755628,42756140,42755938,42755658,42755956,42755725,42755690,42755804,42755897,42755648,,101.65,82.82320404,102.148201,120.6356983,132.6931938,153.7181969,173.0997055,96.9,49100,1,71.5,40.28435349
42755626,42755634,42755714,42755919,42755781,42755772,42755655,42755694,42755780,42755651,,100.12,81.43115044,101.3936501,119.0686493,128.6761559,148.7411575,169.8726523,71.37,49800,1,112.85,30.97279668
42755634,42755637,42755940,42755772,42755744,42755650,42755655,42755721,42755780,42755651,,92.52,72.49274826,90.70524979,111.867754,122.0202499,141.0802521,159.512749,52.6,49700,1,101.5,3.791139275
42755626,42756140,42755935,42755837,42755781,42755746,42755682,42755904,42755647,42755695,,110.93,91.38570023,109.1231995,129.2982025,142.228196,164.6107056,191.8577055,151.26,49800,1,114.15,46.91526294
42755626,42756140,42755664,42755837,42755807,42755746,42755682,42755909,42755783,42755698,,106.33,86.1731987,104.523201,124.9482002,136.2206978,155.4581963,180.7496994,117.59,49200,1,131.15,31.32997751
42756140,42755639,42755664,42755666,42755807,42755746,42755682,42755904,42755783,42755698,,102.81,80.84065056,99.85315323,119.7906475,130.3656555,153.0281525,181.0891554,92.88,49000,1,75.7,11.02014109
42755626,42756140,42755664,42755837,42755807,42755746,42755682,42755904,42755783,42755698,,107.44,86.97319984,105.6981964,126.1981964,137.2131973,154.0281998,177.7201964,118.42,49200,1,125.15,50.02620816
42755630,42755637,42755702,42755806,42755711,42755732,42755901,42755667,42755654,42755678,,91.23,72.80125427,88.55125046,108.8637486,121.3737499,145.9012451,166.7222482,49.67,49400,1,72.25,-27.13402212
42755630,42755628,42755702,42755806,42755711,42755784,42755668,42755667,42755822,42755678,,95.58,76.55215073,93.53964996,113.5646515,125.8521515,151.8646545,171.8211514,74.5,50000,1,24.95,30.4133594
