DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42538343,Chris Sale,P,,ATL,LAA,Confirmed,9700,5.6,24,5.6,23,2.371134021,37.38,41.32825279,0,100,4.8718,8.3844,18.0154,10.95,18.25,25.3,28.6575,34,39.3515,32.1338,21,32,43,48,56,64,20.1723,12.5,20.6,28.4,31.8,37.605,43.5,27.5854,17.5,28,38,42.5,50,58,10.1947,14.9988,11.2893,14.3958,3.07568,0.99504,0.19756,0.40268,0,0,2.12808,0,5.84788,2.10064,23.2326,4.67096,1.96044,5.62512,0.40412,0.29284,0.0088,0.00292,91.39
42538345,Jacob deGrom,P,,TEX,SEA,Confirmed,9000,20.05,20.88,20.05,20.88,2.32,33.17,35.8688864,0,100,3.9138,7.9526,18.4056,11.55,18.7,25.4625,29.1,34.6025,39.95,32.1598,22,32,42,48,57,64,20.4399,12.8,20.7,28.4,32.4,38.4,44.4,28.1773,18.5,28.5,38,43,51,58.5,10.0578,14.6414,11.1394,14.2552,2.51584,0.82072,0.08436,0.62824,0,0,2.14332,0,6.63696,2.33808,21.8719,4.04916,1.9836,5.27677,0.26284,0.19808,0.0016,0.00116,88.8425
42538344,Logan Gilbert,P,,SEA,TEX,Confirmed,9500,15.9,18.85,15.9,18.85,1.984210526,28.95,31.23973891,0,100,4.0388,7.9526,17.783,10.75,17.95,24.85,28.45,34,39.9005,31.1018,21,30,42,47,55,64,19.9204,12,20.05,27.7,31.6,37.6,44.3,27.1326,17,27.5,37,42.5,50,58,10.0852,14.6936,11.1678,14.2694,2.59568,0.93524,0.09372,0.80744,0,0,2.32716,0,6.2984,1.78744,21.9871,4.43208,2.14892,5.35851,0.28588,0.21564,0.00488,0.00104,88.1472
42538348,Joe Ryan,P,,MIN,DET,Confirmed,8200,21.65,18.84,21.65,18.84,2.297560976,34.34,37.16344827,0,100,3.8654,7.641,18.3313,11.55,18.5,25.3,28.85,34.5025,40.552,32.0648,22,32,42,48,57,65,20.533,12.9,20.7,28.4,32.3,38.5,44.5,27.9458,18.5,28,38,43,50.525,59,9.98129,14.6532,11.0644,14.129,2.69012,0.90964,0.1298,0.56328,0,0,2.08508,0,6.22288,1.98156,22.3303,4.29284,1.92264,5.46148,0.29876,0.24676,0.00292,0.00176,92.079
42538351,Jose Soriano,P,,LAA,ATL,Confirmed,7200,38.2,15.41,38.2,15.41,2.140277778,2.87,1.966042224,0,100,3.5126,8.3844,8.67301,2.2,8.8,15.15,18.75,23.95,29.4,19.1636,9,18,29,34,43,50,10.2785,3,10.5,17.7,21.7,27.5,33.401,14.2037,5,14.5,23.5,28.5,35.5,43.005,9.55231,13.7342,10.7281,13.3439,3.77964,1.11992,0.30152,0.4954,0,0,3.02696,0,3.08152,2.409,23.7754,5.69648,2.79268,5.40659,0.194,0.22832,0.00508,0.00204,90.5008
42538350,Casey Mize,P,,DET,MIN,Confirmed,7700,1.75,14.77,1.75,14.77,1.918181818,14.09,14.06484329,0,100,3.7756,7.641,12.6974,6.2,12.7,19.35,22.7,27.8,33.151,24.1562,15,24,34,39,47,55,14.6439,7.475,14.7,21.9,25.7,31.5,37.4,19.7546,10.5,20,29.125,34,41,49,9.42815,13.7061,10.5199,13.2381,3.46472,0.9672,0.05868,0.69656,0,0,2.51708,0,4.1132,1.75128,22.7306,5.18716,2.31624,5.40976,0.26632,0.23452,0.00964,0.00192,85.7981
42538349,Max Scherzer,P,,TOR,LAD,Confirmed,8000,2.7,12.39,2.7,12.39,1.54875,9.39,8.725589829,0,100,4.1898,9.3092,13.9954,6.85,14.1,21.5,25.25,31.0025,36.751,26.4303,16,26,36,42,52,61,15.5698,7.775,15.7,23.8,27.8,34.405,40.6,22.0701,12,22,32.5,38,46,54,10.5115,15.0524,11.6626,14.862,2.889,0.90808,0.08676,0.92376,0,0,3.00908,0,5.85832,2.67444,22.3842,4.8076,2.773,5.09725,0.21032,0.15516,0.00108,0.00048,91.2554
42538357,Yordan Alvarez,OF,2,HOU,COL,Confirmed,6500,2,12.38,2,12.38,1.904615385,23.97,32.31624758,0,100,5.9098,10.5522,11.2027,4,9,17,21,29,39,15.0473,6,12.2,22.2,28.2,38.205,53.1,11.3109,4.5,9.4,16.8,21,28.4,38.303,12.3507,4,9,19,24,33.5,46.5,8.96362,12.2538,8.96319,10.8531,0.67505,0.24495,0.0029,0.26765,0.08425,0.0104,0.88915,0.767,0.61495,0.75975,4.79215,1.19055,0,0,0,0,0,0,0
42538347,Andrew Painter,P,,PHI,SF,Confirmed,8500,-3,12.25,-3,12.25,1.441176471,15.85,16.12665957,0,100,4.5658,8.6796,14.433,7.55,14.7,21.8,25.3,30.6,36.2505,26.9945,17,27,38,43,52,59,16.3244,8.7,16.7,24.6,28.415,34.4,40.4,22.4659,13,23,33,38,45.5,53,10.1016,14.6807,11.218,14.235,3.2494,1.02365,0.08075,0.7149,0,0,2.6567,0,5.0686,2.14385,23.0889,5.0687,2.45445,5.43812,0.31825,0.23205,0.00735,0.00195,90.242
42538358,Shohei Ohtani,1B/OF,1,LAD,TOR,Confirmed,6400,19,12.23,19,12.23,1.9109375,21.05,27.26370425,0,100,5.1194,9.3092,11.5647,4,9,17,21,30,40,15.4471,6,12.2,22.2,28.4,40.7,53.9,11.6282,4.5,9.4,16.8,21.3,30.3,39.3,12.3393,3,9,19.5,24.5,35,47.005,9.65703,13.0674,9.59565,11.6126,0.53632,0.17464,0.06424,0.30596,0.17868,0.02544,0.82148,0.7616,1.2674,0.72472,4.82268,1.08116,0,0,0,0,0,0,0
42538354,Erick Fedde,P,,CWS,BAL,,6300,13.9,11.71,13.9,11.71,1.858730159,6.81,5.991650883,0,100,4.1866,9.0254,10.5584,5.25,10.9,16.15,19,23.35,27.5505,19.3968,12,20,27,30.15,36,42,11.9355,5.8,12.5,18.4,21.4,26.2,31.101,16.565,9,17,24.5,28.5,34.5,40.5,8.04131,10.5273,8.95297,11.2443,2.52887,0.813267,0.0658667,0.5854,0,0,2.18187,0,3.86967,1.6702,17.6483,3.9934037,2.00987,4.10153,0.252133,0,0,0,69.0135
42538352,Adrian Houser,P,,SF,PHI,Confirmed,6700,4.9,11.67,4.9,11.67,1.741791045,5.26,4.268506083,0,100,4.1138,8.6796,10.5398,4.15,10.5,17.25,20.7,25.75,31,21.4578,12,21,31,36,44,52,12.2758,5.075,12.4,19.8,23.6,29.4,35.101,16.8097,8,17,26.5,31,38.5,45.5,9.41506,13.5941,10.5447,13.2039,3.53565,1.132,0.06145,0.6607,0,0,2.77935,0,3.57655,2.1756,23.1227,5.3898,2.56725,5.35995,0.24655,0.2177,0.00385,0.0018,85.149
42538751,Brandon Young,P,,BAL,CWS,Confirmed,6500,16.85,10.8,16.85,10.8,1.661538462,5.3,4.309503625,0,100,4.8388,9.0254,10.3985,4.1,10.6,17.05,20.35,25.0025,29.551,20.3631,11,20,30,34,42,49,11.9531,4.8,12.2,19.5,22.815,28.4,33.4,16.5156,7.5,17,26,30.5,37,44,9.1847,12.9408,10.2926,12.9203,3.32353,1.09967,0.0276667,0.368267,0,0,2.33567,0,3.46427,1.9736,20.7255,4.8191337,2.14867,4.79198,0.264867,0.1128,0.0006,0,78.3083
42538372,Jeremy Pena,SS,1,HOU,COL,Confirmed,5100,10,10.3,10,10.3,2.019607843,20.96,25.79760643,0,100,5.9098,10.5522,9.11475,3,8,13.25,17,24,32,11.7971,3,9.2,18.2,21.9,31.4,43.6,8.8377,2.6,7.1,13.2,16.5,23.2,31.5,9.69637,3,8,14,19,27,37,7.52567,10.0518,7.35574,8.78852,0.88465,0.31215,0.00385,0.1071,0.11505,0.01795,0.7303,0.55905,0.74925,0.32215,4.9133,1.30775,0,0,0,0,0,0,0
42538365,Jose Altuve,2B,3,HOU,COL,Confirmed,5500,19,9.91,19,9.91,1.801818182,20.24,26.10877106,0,100,5.9098,10.5522,10.1637,3,8,15,19,27,37,13.377,3.5,9.5,20,25.515,36.9,50.4,9.94842,2.6,7.1,14.9,18.7,26.5,36.7,11.1681,3,8.5,17,22.5,31,44,8.68023,11.785,8.57214,10.4317,0.81775,0.23495,0.00025,0.2176,0.11825,0.01765,0.71355,0.79725,0.6547,0.37245,4.6886,1.27055,0,0,0,0,0,0,0
42538364,Gunnar Henderson,SS,2,BAL,CWS,Confirmed,5600,14,9.77,14,9.77,1.744642857,14.33,16.22897083,0,100,4.8388,9.0254,8.82307,3,7,13,17,24,31,11.5949,3,9.2,16.5,21.9,31.4,41.4,8.75695,2.6,7.1,12.8,16.8,23.2,31,9.18903,2.5,7,13.5,18.5,27,37,7.47855,10.0282,7.36777,8.8221,0.691267,0.209733,0.0218667,0.1356,0.137667,0.0238,0.639667,0.5256,1.00193,0.5754,4.7044,1.0584667,0,0,0,0,0,0,0
42538363,Kyle Tucker,OF,2,LAD,TOR,Confirmed,5700,20,9.73,20,9.73,1.707017544,15.12,18.67049105,0,100,5.1194,9.3092,10.0864,3,8,15,19,27,37,13.4222,3.425,9.5,19.5,25.2,35.2,49.9,10.0791,2.6,7.8,14.9,18.7,26.3,36.7,10.6386,3,7.5,16.5,21.5,31,43,8.65665,11.6985,8.55988,10.2958,0.58524,0.1954,0.02304,0.20984,0.20256,0.0238,0.7014,0.65148,1.022,0.6762,4.70644,1.01352,0,0,0,0,0,0,0
42538466,Mickey Moniak,OF,2,COL,HOU,Confirmed,3200,3,9.67,3,9.67,3.021875,17.08,21.93344193,0,100,4.6424,10.5522,8.61945,2,7,14,17,25,34,11.3341,3,9,18.4,22.2,33.4,46.9,8.50928,2.6,6.8,13.5,16.8,24.4,34.1,9.09635,2,6,14.5,19.5,28.5,41,8.11638,10.9152,8.02564,9.73344,0.5602,0.1787,0.05895,0.1824,0.11705,0.0194,0.62045,0.5777,1.1336,0.3841,4.44965,0.98025,0,0,0,0,0,0,0
42538356,Justin Wrobleski,P,,LAD,TOR,Confirmed,5800,13.65,9.23,13.65,9.23,1.59137931,1.99,1.334960718,0,100,5.1194,9.3092,8.02438,3.3,8.35,12.85,15.2075,19.45,24.5005,14.9776,9,15,21,24,30,37.01,9.16106,3.7,9.5,14.5,17.3,22.2,27.4,12.6366,6,13,19.5,22.5,29,36,7.25429,9.61328,8.16386,10.1439,2.2926,0.69128,0.02264,0.27408,0,0,1.66324,0,3.06068,1.3928,14.5539,3.2806,1.53996,3.38493,0.04272,0.00108,0,0,57.0026
42538389,Hunter Goodman,C,3,COL,HOU,Confirmed,4400,7,9.16,7,9.16,2.081818182,14.84,17.33471176,0,100,4.6424,10.5522,8.20095,3,6,12,16,23,32,10.7185,3,9,15.7,22.2,31.4,44.4,8.08203,2.6,6.4,12.3,16.5,23.2,32.2,8.76357,2,6,13.5,19,27,39.5,7.64588,10.3001,7.57526,9.22773,0.65895,0.19495,0.03715,0.16345,0.06765,0.00965,0.54845,0.58295,1.00405,0.3583,4.36715,1.0545,0,0,0,0,0,0,0
42538386,Freddie Freeman,1B,3,LAD,TOR,Confirmed,4500,27,9.08,27,9.08,2.017777778,10.98,12.28349155,0,100,5.1194,9.3092,9.21776,3,7,14,18,25,35,12.2224,3,9.2,18.4,24.4,33.9,46.9,9.2097,2.6,7.1,13.5,18,24.6,34.503,9.9164,3,7.5,14.5,20,29,40.005,7.93337,10.7741,7.87235,9.54633,0.69228,0.2302,0.00092,0.17332,0.10144,0.01452,0.59936,0.66896,0.86424,0.60276,4.62244,1.09672,0,0,0,0,0,0,0
42538360,Kyle Schwarber,OF,2,PHI,SF,Confirmed,6200,6,9.02,6,9.02,1.45483871,8.73,9.515926923,0,100,4.5658,8.6796,9.46415,3,7,14,18,25,36,12.7462,3,9.2,18.7,24.9,34.41,49.9,9.68617,2.6,7.1,14.2,18.7,25.8,36.202,10.08,2.5,7,16,21.5,29.5,42.005,8.25969,11.2443,8.29155,9.97641,0.5013,0.18185,0.00455,0.23555,0.0892,0.0137,0.7129,0.5724,1.0223,0.82125,4.5914,0.92325,0,0,0,0,0,0,0
42538369,George Springer,OF,1,TOR,LAD,Confirmed,5200,4,8.94,4,8.94,1.719230769,5.32,5.187775099,0,100,4.1898,9.3092,7.96564,2,6,12,16,22,30.01,10.4906,3,9,15.4,21.4,30.2,40.902,7.93045,2.6,6.4,11.6,15.8,22,30.3,8.21342,2,6,12,17,25.5,36,7.27309,9.76272,7.17523,8.57416,0.63004,0.16856,0.01276,0.13008,0.12184,0.01764,0.57916,0.47096,1.05036,0.5602,4.58104,0.94144,0,0,0,0,0,0,0
42538362,Vladimir Guerrero Jr.,1B,3,TOR,LAD,Confirmed,5800,2,8.93,2,8.93,1.539655172,3.98,3.56696743,0,100,4.1898,9.3092,8.38868,3,7,12,16,23,32,11.0495,3,9,15.5,21.7,31.4,41.801,8.33427,2.6,7.1,11.6,16.1,23.2,31.005,9.12774,2.5,6.5,13,19,27,37.505,7.30227,9.94392,7.24758,8.84445,0.74628,0.21488,0.00136,0.14372,0.05192,0.00928,0.55948,0.61892,0.64468,0.50548,4.3826,1.10624,0,0,0,0,0,0,0
42538373,Bryce Harper,1B,3,PHI,SF,Confirmed,5000,23,8.83,23,8.83,1.766,9.8,10.68988575,0,100,4.5658,8.6796,9.05445,3,7,14,18,24,34.01,12.0321,3,9.2,18.4,24.615,32.2,47.1,9.14318,2.6,7.1,13.9,18,23.91,34.5,9.72685,2.5,7,15,20,28.5,40.5,7.93165,10.7677,7.89568,9.54712,0.6064,0.2328,0.0011,0.1844,0.10085,0.01585,0.5681,0.60675,0.8407,0.68225,4.4798,1.0247,0,0,0,0,0,0,0
42538361,Ronald Acuna Jr.,OF,1,ATL,LAA,Confirmed,5900,0,8.78,0,8.78,1.488135593,10.72,12.11119932,0,100,4.8718,8.3844,10.2427,4,9,15,19,26,35,13.279,6,12,18.7,24.7,34.4,46.9,10.0477,4.5,8.7,14.2,18.7,25.8,34.101,10.7193,3.5,8.5,16,20.5,29,40.005,8.27958,10.9837,8.07648,9.48271,0.81144,0.22168,0.03924,0.14696,0.25284,0.03644,0.70348,0.52372,0.62536,0.59892,4.76436,1.21932,0,0,0,0,0,0,0
42538391,Munetaka Murakami,1B,2,CWS,BAL,Confirmed,4400,4,8.78,4,8.78,1.995454545,7.18,7.304531618,0,100,4.1866,9.0254,7.9224,3,6,12,16,22,30,10.3574,3,9,15.4,21.2,28.6,40.6,7.79879,2.6,6.4,11.3,15.4,21.3,29.604,8.3604,2,6,12,17,25,35,7.03779,9.47193,6.92854,8.35242,0.692533,0.2284,0.0115333,0.109133,0.102667,0,0.556067,0.52,0.875067,0.426867,4.51113,1.0415993,0,0,0,0,0,0,0
42538381,Carlos Correa,3B/SS,4,HOU,COL,Confirmed,4600,11,8.77,11,8.77,1.906521739,20.2,25.05049958,0,100,5.9098,10.5522,8.52345,3,7,12,16.15,23,32,11.271,3,9.2,16,22.2,31.7,43.9,8.40755,2.6,7.1,11.6,16.1,23.2,32.2,9.29455,2.5,7,14,19,28,38.5,7.49804,10.213,7.43002,9.10086,0.7613,0.242,0.0009,0.14245,0.03315,0.0041,0.62125,0.6926,0.8241,0.4022,4.58825,1.14665,0,0,0,0,0,0,0
42538378,Christian Walker,1B,5,HOU,COL,Confirmed,4800,10,8.72,10,8.72,1.816666667,14.8,17.73322489,0,100,5.9098,10.5522,9.73915,3,7,15,19,27,37,13.0501,3,9.2,19.2,25.43,37.4,50.9,9.73178,2.6,7.1,14.2,18.7,26.7,37.4,10.7198,2.5,7.5,17,22.5,31.525,44.505,8.80114,12.0568,8.77138,10.7693,0.59815,0.23475,0.0012,0.2447,0.07315,0.00995,0.6793,0.80465,0.9324,0.49035,4.4947,1.0788,0,0,0,0,0,0,0
42538444,Brenton Doyle,OF,7,COL,HOU,Confirmed,3500,4,8.46,4,8.46,2.417142857,4.73,4.499381945,0,100,4.6424,10.5522,6.13685,2,5,9,12,19,27,8.00366,3,6,12.2,15.9,25.2,37.202,6.00276,1.9,4.5,9,12,18.7,27,6.29983,0.5,4.5,9.5,13.5,22,31.505,6.32875,8.45914,6.186,7.47868,0.5295,0.17665,0.0343,0.06615,0.0923,0.01315,0.3984,0.43545,1.02055,0.3,3.976,0.8066,0,0,0,0,0,0,0
