Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5137356917,craftylefty (48/70),0,171.3,1B Rafael Devers 2B Luis Arraez 3B Austin Riley C Drake Baldwin OF Oneil Cruz OF Jung Hoo Lee OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Willy Adames,,Tyler Mahle,P,41.28%,16.55
2,5137853220,tpolak25 (65/100),0,170.3,1B Rafael Devers 2B Ozzie Albies 3B Matt Chapman C Drake Baldwin OF Oneil Cruz OF Jung Hoo Lee OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Konnor Griffin,,Shohei Ohtani,OF,36.65%,0
3,5137256094,thetylercrowley (2/3),0,164.3,1B Rafael Devers 2B Fernando Tatis Jr. 3B Austin Riley C Drake Baldwin OF Oneil Cruz OF Michael Harris II OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Willy Adames,,Eduardo Rodriguez,P,32.72%,24.55
3,5137762155,QSon1981,0,164.3,1B Rafael Devers 2B Casey Schmitt 3B Matt Chapman C Drake Baldwin OF Oneil Cruz OF Ryan O'Hearn OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Willy Adames,,Justin Wrobleski,P,28.01%,14.1
5,5137267508,ShaidyAdvice (105/117),0,163.3,1B Rafael Devers 2B Luis Arraez 3B Matt Chapman C Drake Baldwin OF Fernando Tatis Jr. OF Jung Hoo Lee OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Jorge Mateo,,Ivan Herrera,C,26.87%,0
5,5137504237,bafoon13 (10/117),0,163.3,1B Rafael Devers 2B Ozzie Albies 3B Matt Chapman C Drake Baldwin OF Oneil Cruz OF Heliot Ramos OF Drew Gilbert P Bryce Elder P Eduardo Rodriguez SS Willy Adames,,Bryce Elder,P,25.49%,29.75
7,5137504336,bafoon13 (109/117),0,162.4,1B Spencer Horwitz 2B Brandon Lowe 3B Nick Gonzales C Drake Baldwin OF Oneil Cruz OF Jung Hoo Lee OF Heliot Ramos P Bryce Elder P Kyle Leahy SS Konnor Griffin,,Oneil Cruz,OF,24.62%,23
8,5137567644,iuvozz (18/56),0,161.3,1B Rafael Devers 2B Ketel Marte 3B Matt Chapman C Ivan Herrera OF Jordan Walker OF Jackson Merrill OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Xander Bogaerts,,Juan Soto,OF,23.77%,2
9,5137834501,Vikings_Nate (88/117),0,159.3,1B Spencer Horwitz 2B Brandon Lowe 3B Nick Gonzales C Jesus Rodriguez OF Oneil Cruz OF Jung Hoo Lee OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Willy Adames,,Bubba Chandler,P,23.29%,9.65
9,5137856647,lostories (2/117),0,159.3,1B Rafael Devers 2B Ketel Marte 3B Matt Chapman C Adrian Del Castillo OF Oneil Cruz OF Corbin Carroll OF Heliot Ramos P Bryce Elder P Eduardo Rodriguez SS Willy Adames,,Walker Buehler,P,22.07%,11.7
