Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5129967033,nerdytenor (106/150),0,187.65,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Mike Yastrzemski OF Sam Antonacci OF Wenceel Perez P Chris Sale P Sean Burke SS Kevin McGonigle,,Chris Sale,P,50.38%,36.15
2,5129634391,jmoore3903 (7/150),0,184.3,1B Matt Olson 2B Ozzie Albies 3B Jace Jung C Drake Baldwin OF Jordan Walker OF Mike Yastrzemski OF Wenceel Perez P Chris Sale P Emerson Hancock SS Jorge Mateo,,Nolan McLean,P,35.95%,10.8
3,5130135847,nogambolnofuture (2/6),0,180.3,1B Alec Burleson 2B Chase Meidroth 3B Austin Riley C Drake Baldwin OF Miguel Andujar OF Sam Antonacci OF Tyrone Taylor P Chris Sale P Emerson Hancock SS Kevin McGonigle,,Reid Detmers,P,34.30%,18.85
4,5130144174,Lemon711 (1/2),0,179.65,1B Matt Olson 2B Ozzie Albies 3B Colt Keith C Drake Baldwin OF Riley Greene OF Michael Harris II OF Wenceel Perez P Emerson Hancock P Sean Burke SS Kevin McGonigle,,Michael King,P,28.20%,9.5
5,5130130413,EricX (18/100),0,178.65,1B Matt Olson 2B Gleyber Torres 3B Austin Riley C Drake Baldwin OF Riley Greene OF Michael Harris II OF Wenceel Perez P Chris Sale P Sean Burke SS Mauricio Dubon,,Michael Harris II,OF,28.00%,5
6,5130021093,Jthayesjr (44/75),0,178.3,1B Matt Olson 2B Gleyber Torres 3B Colt Keith C Drake Baldwin OF Riley Greene OF Kerry Carpenter OF Wenceel Perez P Chris Sale P Emerson Hancock SS Jorge Mateo,,Ronald Acuna Jr.,OF,21.00%,5
7,5129742679,Steve199 (2/3),0,176.65,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Riley Greene OF Austin Slater OF Wenceel Perez P Michael King P Emerson Hancock SS Jorge Mateo,,Ozzie Albies,2B,20.71%,10
8,5129711449,Bsgolfer7 (4/103),0,173.3,1B Mark Vientos 2B Marcus Semien 3B Austin Riley C Drake Baldwin OF Riley Greene OF Michael Harris II OF Mauricio Dubon P Chris Sale P Emerson Hancock SS Jorge Mateo,,Matt Olson,1B,18.43%,14
9,5130130429,EricX (34/100),0,173.05,1B Matt Olson 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Jordan Walker OF Nathan Church OF Victor Scott II P Chris Sale P Michael McGreevy SS Jorge Mateo,,Jorge Mateo,SS,15.64%,12
10,5129788654,zokin (109/150),0,172.3,1B Matt Olson 2B Chase Meidroth 3B Austin Riley C Drake Baldwin OF Michael Harris II OF Andrew Benintendi OF Jarred Kelenic P Chris Sale P Emerson Hancock SS Jorge Mateo,,Josh Jung,3B,15.25%,8
11,5129711507,Bsgolfer7 (62/103),0,171.3,1B Mark Vientos 2B Marcus Semien 3B Austin Riley C Drake Baldwin OF Riley Greene OF Michael Harris II OF Mike Yastrzemski P Chris Sale P Emerson Hancock SS Jorge Mateo,,Ivan Herrera,C,14.58%,9
12,5129833078,phils44 (25/150),0,171,1B Matt Olson 2B Michael Massey 3B Austin Riley C Drake Baldwin OF Ronald Acuna Jr. OF Isaac Collins OF Wenceel Perez P Chris Sale P Reid Detmers SS Jorge Mateo,,Francisco Alvarez,C,14.48%,3
13,5129966953,nerdytenor (26/150),0,170,1B Matt Olson 2B Vaughn Grissom 3B Austin Riley C Drake Baldwin OF Michael Harris II OF Mike Yastrzemski OF Wenceel Perez P Emerson Hancock P Reid Detmers SS Kevin McGonigle,,JJ Wetherholt,2B,14.16%,0
14,5129889270,cagea65 (11/21),0,169.65,1B Matt Olson 2B Ozzie Albies 3B Colt Keith C Drake Baldwin OF Michael Harris II OF Mike Yastrzemski OF Wenceel Perez P Chris Sale P Sean Burke SS Kevin McGonigle,,Shohei Ohtani,OF,13.74%,0
14,5130078118,hfkrh000 (2/2),0,169.65,1B Matt Olson 2B Ozzie Albies 3B Kevin McGonigle C Drake Baldwin OF Riley Greene OF Michael Harris II OF Wenceel Perez P Emerson Hancock P Sean Burke SS Mauricio Dubon,,Corey Seager,SS,13.29%,3
14,5130117017,CaptainMorgan11 (1/15),0,169.65,1B Matt Olson 2B Ozzie Albies 3B Jace Jung C Drake Baldwin OF Ronald Acuna Jr. OF Jordan Beck OF Wenceel Perez P Chris Sale P Sean Burke SS Kevin McGonigle,,Riley Greene,OF,13.18%,8
