Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5130280546,UniversalFriend (2/23),0,124,1B Vaughn Grissom 2B Marcus Semien 3B Oswald Peraza C Francisco Alvarez OF Jorge Soler OF Juan Soto OF Jo Adell P Reid Detmers P Emerson Hancock SS Zach Neto,,Nolan McLean,P,68.69%,10.8
1,5130282052,AndyATC,0,124,1B Josh Naylor 2B Marcus Semien 3B Oswald Peraza C Salvador Perez OF Juan Soto OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Reid Detmers,P,51.85%,18.85
3,5130263109,FantasyGainz (20/47),0,120,1B Josh Naylor 2B Michael Massey 3B Oswald Peraza C Mitch Garver OF Jorge Soler OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Emerson Hancock,P,45.28%,38.15
3,5130263121,FantasyGainz (32/47),0,120,1B Josh Naylor 2B Vaughn Grissom 3B Oswald Peraza C Mitch Garver OF Juan Soto OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Julio Rodriguez,OF,43.49%,10
5,5130300248,mpbess,0,119.25,1B Vaughn Grissom 2B Oswald Peraza 3B Maikel Garcia C Salvador Perez OF Mike Trout OF Jorge Soler OF Jo Adell P Seth Lugo P Emerson Hancock SS J.P. Crawford,,Bo Bichette,3B,38.20%,5
6,5129628505,garnes222 (13/15),0,118,1B Josh Naylor 2B Vaughn Grissom 3B Oswald Peraza C Mitch Garver OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Josh Naylor,1B,37.05%,5
6,5129648076,iuvozz (11/12),0,118,1B Josh Naylor 2B Marcus Semien 3B Oswald Peraza C Travis d'Arnaud OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Juan Soto,OF,36.10%,10
6,5129648077,iuvozz (12/12),0,118,1B Josh Naylor 2B Oswald Peraza 3B Maikel Garcia C Mitch Garver OF Mike Trout OF Juan Soto OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS J.P. Crawford,,J.P. Crawford,SS,34.12%,3
6,5130276365,bizzell88 (6/47),0,118,1B Josh Naylor 2B Marcus Semien 3B Oswald Peraza C Travis d'Arnaud OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Seth Lugo,P,32.97%,16.1
6,5130284230,UglyLovely (5/6),0,118,1B Josh Naylor 2B Vaughn Grissom 3B Oswald Peraza C Mitch Garver OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Francisco Alvarez,C,32.72%,3
6,5130287200,boltz89,0,118,1B Josh Naylor 2B Oswald Peraza 3B Maikel Garcia C Travis d'Arnaud OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Cole Young,2B,32.40%,0
6,5130299933,DreamchaserJC (4/10),0,118,1B Josh Naylor 2B Marcus Semien 3B Oswald Peraza C Travis d'Arnaud OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Bobby Witt Jr.,SS,31.82%,3
13,5130067815,lphilipg5 (6/6),0,117.25,1B Mark Vientos 2B Marcus Semien 3B Oswald Peraza C Mitch Garver OF Mike Trout OF Kyle Isbel OF Jo Adell P Seth Lugo P Emerson Hancock SS Zach Neto,,Maikel Garcia,3B,31.51%,9
14,5130288202,OneDropKing (40/47),0,117,1B Nolan Schanuel 2B Marcus Semien 3B Oswald Peraza C Mitch Garver OF Mike Trout OF Jorge Soler OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Marcus Semien,2B,29.08%,10
15,5129796996,niquisition (19/26),0,116,1B Josh Naylor 2B Vaughn Grissom 3B Oswald Peraza C Travis d'Arnaud OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Randy Arozarena,OF,29.02%,2
15,5129886190,JPB2014 (10/11),0,116,1B Josh Naylor 2B Vaughn Grissom 3B Oswald Peraza C Carter Jensen OF Jorge Soler OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Mike Trout,OF,25.13%,8
15,5130026888,austinj2637 (1/3),0,116,1B Nolan Schanuel 2B Vaughn Grissom 3B Oswald Peraza C Cal Raleigh OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Jac Caglianone,OF,23.92%,8
15,5130034328,msteiny99 (1/2),0,116,1B Josh Naylor 2B Oswald Peraza 3B Maikel Garcia C Mitch Garver OF Mike Trout OF Jorge Soler OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Salvador Perez,C,23.79%,3
15,5130107915,antsulli,0,116,1B Vaughn Grissom 2B Marcus Semien 3B Maikel Garcia C Salvador Perez OF Mike Trout OF Jorge Soler OF Juan Soto P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Vinnie Pasquantino,1B,23.47%,3
15,5130140638,calebjgroff (5/5),0,116,1B Nolan Schanuel 2B Marcus Semien 3B Leo Rivas C Francisco Alvarez OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Bobby Witt Jr.,,Mark Vientos,1B,22.51%,7
21,5130140634,calebjgroff (1/5),0,115,1B Nolan Schanuel 2B Oswald Peraza 3B Leo Rivas C Carter Jensen OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Zach Neto,SS,22.19%,2
21,5130140637,calebjgroff (4/5),0,115,1B Nolan Schanuel 2B Oswald Peraza 3B Leo Rivas C Salvador Perez OF Mike Trout OF Jorge Soler OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Bobby Witt Jr.,,Jorge Soler,OF,20.85%,9
21,5130216895,jerrydilorenzo,0,115,1B Josh Naylor 2B Oswald Peraza 3B Leo Rivas C Cal Raleigh OF Mike Trout OF Jorge Soler OF Jo Adell P Reid Detmers P Emerson Hancock SS J.P. Crawford,,Dominic Canzone,OF,20.41%,0
21,5130278895,ABFCS,0,115,1B Josh Naylor 2B Oswald Peraza 3B Leo Rivas C Travis d'Arnaud OF Mike Trout OF Jo Adell OF Julio Rodriguez P Reid Detmers P Emerson Hancock SS Zach Neto,,Isaac Collins,OF,20.34%,3
