DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42957638,Chris Sale,P,,ATL,COL,Confirmed,9200,36.15,19.5,36.15,19.5,2.119565217,39.17,42.54824047,0,100,6.1486,10.0324,19.8565,12.3875,20.4,27.9,31.65,37.15,43.4005,35.4179,24,36,48,54,61,69.01,22.0783,13.9,22.7,30.9,35.3,40.8,47.3,30.3602,20,31,41.5,47,54.5,63,11.1351,16.3697,12.2575,15.6765,3.6713,1.1381,0.1717,0.51885,0,0,2.56465,0,6.8266,1.7281,24.6894,5.49995,2.3684,5.94885,0.45515,0.36645,0.02095,0.0074,97.1274
42957636,Nolan McLean,P,,NYM,LAA,Confirmed,10500,10.8,18.83,10.8,18.83,1.793333333,34.21,36.49052364,0,100,4.38,8.2672,19.7239,12.45,20.2,27.55,31.1,37,42.8505,34.8828,24,36,46,52,61,69,21.9923,13.8,22.5,30.6,34.6,40.7,47.3,30.073,20,30.5,41,46,54.5,62.5,10.8832,15.982,12.0077,15.3256,3.06895,0.86425,0.03965,0.72045,0,0,2.44495,0,6.8647,2.20995,24.1341,4.6933,2.25335,5.86472,0.3471,0.343,0.01865,0.0046,97.3539
42957641,Reid Detmers,P,,LAA,NYM,Confirmed,7800,18.85,18.5,18.85,18.5,2.371794872,35.16,38.75908322,0,100,3.8872,8.2672,17.1222,9.85,17.475,24.75,28.5,34.25,40.25,31.1786,20,31,42.25,48,57,64,19.2919,11.1,19.7,27.7,31.8,38.4,44.4,26.3288,16,26.5,37,42.5,50.5,58.5,10.6619,15.6002,11.8175,14.994,3.359,1.02385,0.087,0.73675,0,0,2.66685,0,6.10385,1.9527,24.1999,5.2066,2.46295,5.80508,0.25955,0.32085,0.00975,0.0044,97.8747
42957637,Seth Lugo,P,,KC,SEA,Confirmed,9500,16.1,14.18,16.1,14.18,1.492631579,9.78,8.918469474,0,100,4.0374,8.2902,14.7832,7.1875,14.85,22.05,25.9,31.55,37.3505,27.7527,17,27,39,45,52,61,16.7483,8.1,16.8,24.8,28.8,35.5,41.5,22.9619,12.5,23,33,38.5,46.5,54.5,10.5555,15.3162,11.7365,14.8277,3.5308,1.0044,0.0549333,0.725333,0,0,2.79173,0,5.263,2.02933,23.7303,5.3154663,2.57727,5.60676,0.291733,0.2812,0.0123333,0.00213333,92.4837
42957639,Michael King,P,,SD,CWS,Confirmed,8500,9.5,13.65,9.5,13.65,1.605882353,23.23,24.12483096,0,100,4.7644,8.4862,17.1731,10.3875,17.85,24.7,28.15,33.45,38.8005,30.8709,21,31,42,47,55,63,19.2767,11.8,20.05,27.6,31.5,37.4,43.2,26.3891,17,27.5,37,41.5,49.5,57,10.2376,14.9268,11.3692,14.446,2.84467,0.74,0.1098,0.548667,0,0,2.22773,0,5.6812,2.56907,23.0521,4.243137,2.0554,5.54793,0.378067,0.270333,0.00333333,0.00186667,93.3006
42957643,Roki Sasaki,P,,LAD,STL,Confirmed,7100,10.7,13.32,10.7,13.32,1.876056338,15.17,14.88543741,0,100,4.9118,9.0418,12.1921,5.1,12.1,19.4,23.1,28,33.601,23.4643,13,23,33,39,47,55,13.8441,6,13.7,21.8,25.8,31.5,37.5,19.2349,9,19,29.5,34.5,41.5,49.5,9.97492,14.2456,11.1287,14.0488,3.368,0.933667,0.077,0.569333,0,0,2.63333,0,4.333,2.20647,21.9271,4.948,2.4268,5.07584,0.3108,0.163333,0.003,0.0004,84.7698
42957640,Emerson Hancock,P,,SEA,KC,Confirmed,8200,38.15,12.94,38.15,12.94,1.57804878,12.64,12.0920978,0,100,4.2528,8.2902,14.1805,7.4,14.35,21.3,24.7,30.2025,35.4505,26.4636,16,27,37,43,50,57.01,16.4175,8.9,16.7,24.5,28.4,34.2,39.601,21.7937,12,22,32,36.5,44.025,51,9.91809,14.4619,11.0417,13.882,3.3348,0.9086,0.0899333,0.757533,0,0,2.56,0,4.3536,1.73887,23.7167,5.0908663,2.36147,5.76951,0.317867,0.317867,0.0103333,0.00546667,89.9893
42957653,Ronald Acuna Jr.,OF,1,ATL,COL,Confirmed,6000,5,11.55,5,11.55,1.925,22.63,28.25038671,0,100,6.1486,10.0324,10.9515,4,9,16,20,27,37,14.4738,6,12.2,21.7,25.9,36.9,50.1,10.836,4.5,9,16.1,19.4,26.705,36.4,11.4049,4,9,17,22,31,42.5,8.52428,11.4351,8.35811,9.90421,0.73375,0.2311,0.0288,0.17075,0.2607,0.0301,0.83675,0.63215,0.97875,0.7078,4.92265,1.1644,0,0,0,0,0,0,0
42957642,Keider Montero,P,,DET,TEX,Confirmed,7400,16.8,11.27,16.8,11.27,1.522972973,9.91,8.998551563,0,100,4.5008,8.679,12.5405,5.85,12.7,19.8,23.05,28.005,33.3505,23.7531,14,24,34,39,47,55,14.468,6.9,14.7,22.6,26.3,31.6,37.401,19.5287,10,19.5,30,34,41.025,49,9.79149,14.0664,10.9539,13.7587,3.2642,0.917133,0.171667,0.5912,0,0,2.51947,0,4.05647,1.8382,22.24,4.9442,2.3266,5.29411,0.307533,0.209,0.0024,0.000933333,85.0237
42957647,Chase Dollander,P,,COL,ATL,,5400,-0.6,11.2,-0.6,11.2,2.074074074,4.85,3.796015368,0,100,3.8838,10.0324,11.1792,4.8,11.65,17.95,21.15,26.35,31.7005,21.6,13,22,30,34,41,49,12.7149,5.7,13.15,20.5,23.6,29.5,35.4,17.8673,9,18.5,27.5,32,39,47,9.52859,12.3915,10.6145,13.294,3.3298,1.0735,0.08855,0.76485,0,0,3.12405,0,4.6185,2.2086,22.1765,5.2567,2.8805,5.03368,0.21415,0,0,0,90.4982
