DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42960550,Nolan McLean,P,,NYM,LAA,Confirmed,10500,10.8,18.75,10.8,18.75,1.785714286,60.79,62.01687832,0,100,4.38,8.2672,19.7239,12.45,20.2,27.55,31.1,37,42.8505,34.8828,24,36,46,52,61,69,21.9923,13.8,22.5,30.6,34.6,40.7,47.3,30.073,20,30.5,41,46,54.5,62.5,10.8832,15.982,12.0077,15.3256,3.06895,0.86425,0.03965,0.72045,0,0,2.44495,0,6.8647,2.20995,24.1341,4.6933,2.25335,5.86472,0.3471,0.343,0.01865,0.0046,97.3539
42960497,Reid Detmers,P,,LAA,NYM,Confirmed,7800,18.85,18.43,18.85,18.43,2.362820513,55.61,56.58972903,0,100,3.8872,8.2672,17.1222,9.85,17.475,24.75,28.5,34.25,40.25,31.1786,20,31,42.25,48,57,64,19.2919,11.1,19.7,27.7,31.8,38.4,44.4,26.3288,16,26.5,37,42.5,50.5,58.5,10.6619,15.6002,11.8175,14.994,3.359,1.02385,0.087,0.73675,0,0,2.66685,0,6.10385,1.9527,24.1999,5.2066,2.46295,5.80508,0.25955,0.32085,0.00975,0.0044,97.8747
42960422,Seth Lugo,P,,KC,SEA,Confirmed,9500,16.1,14.17,16.1,14.17,1.491578947,40.7,39.46276399,0,100,4.0374,8.2902,14.7832,7.1875,14.85,22.05,25.9,31.55,37.3505,27.7527,17,27,39,45,52,61,16.7483,8.1,16.8,24.8,28.8,35.5,41.5,22.9619,12.5,23,33,38.5,46.5,54.5,10.5555,15.3162,11.7365,14.8277,3.5308,1.0044,0.0549333,0.725333,0,0,2.79173,0,5.263,2.02933,23.7303,5.3154663,2.57727,5.60676,0.291733,0.2812,0.0123333,0.00213333,92.4837
42960498,Emerson Hancock,P,,SEA,KC,Confirmed,8200,38.15,12.9,38.15,12.9,1.573170732,37.55,36.02307494,0,100,4.2528,8.2902,14.1805,7.4,14.35,21.3,24.7,30.2025,35.4505,26.4636,16,27,37,43,50,57.01,16.4175,8.9,16.7,24.5,28.4,34.2,39.601,21.7937,12,22,32,36.5,44.025,51,9.91809,14.4619,11.0417,13.882,3.3348,0.9086,0.0899333,0.757533,0,0,2.56,0,4.3536,1.73887,23.7167,5.0908663,2.36147,5.76951,0.317867,0.317867,0.0103333,0.00546667,89.9893
42960532,Bobby Witt Jr.,SS,2,KC,SEA,Confirmed,6600,3,10.28,3,10.28,1.557575758,36.61,38.97915753,0,100,4.0374,8.2902,8.80533,3,7,14,17,24,33,11.3788,3,9,18.2,22.2,31.4,43.9,8.56239,2.6,6.8,13.2,16.8,23.2,32.9,9.2752,2,7,14,19.075,27.5,39,8.00575,10.6406,7.83458,9.31389,0.664,0.205467,0.0307333,0.159733,0.217467,0.0329333,0.564667,0.5194,0.7096,0.343667,4.4862,1.0599333,0,0,0,0,0,0,0
42960457,Juan Soto,OF,2,NYM,LAA,Confirmed,6100,10,9.79,10,9.79,1.604918033,38.89,44.3979759,0,100,4.38,8.2672,9.15335,3,7,14,18,25,34,12.1567,3,9.2,18.7,24.7,34.1,44.603,9.20628,2.6,7.1,14.2,18.4,24.8,32.905,9.61015,2.5,7,15.5,20,28.5,39.5,8.05306,10.8864,8.01731,9.6134,0.60095,0.1563,0.01665,0.1995,0.1312,0.01635,0.65235,0.55465,1.0445,0.6854,4.56635,0.9734,0,0,0,0,0,0,0
42960510,Julio Rodriguez,OF,2,SEA,KC,Confirmed,4400,10,8.54,10,8.54,1.940909091,32.64,36.0508003,0,100,4.2528,8.2902,8.33213,2,6,13,17,24,33,10.8241,3,9,16,22.2,31.7,44.402,8.12134,2.6,6.1,12.3,16.8,23.2,32.9,8.84907,2,6,13.5,19.075,27.5,39.505,7.91738,10.6446,7.79524,9.43797,0.658933,0.212667,0.0159333,0.165067,0.1412,0.0204,0.568133,0.549,0.8584,0.2868,4.37,1.0526003,0,0,0,0,0,0,0
42960502,Vinnie Pasquantino,1B,3,KC,SEA,Confirmed,4600,3,8.42,3,8.42,1.830434783,23.57,23.94267944,0,100,4.0374,8.2902,7.3678,2,5,11,16,22,30.01,9.67701,3,6.2,15,21.6,28.7,41.1,7.32082,2.6,5.2,10.45,15.43,22,31,8.02247,2,5,12,17.5,26,36.505,7.41569,10.027,7.39151,8.96226,0.590933,0.171667,0.0125333,0.1624,0.0457333,0.00973333,0.472067,0.5364,0.670533,0.3834,4.3992,0.9375333,0,0,0,0,0,0,0
42960407,Mike Trout,OF,2,LAA,NYM,Confirmed,6200,8,8.37,8,8.37,1.35,24.94,25.83814663,0,100,3.8872,8.2672,7.8715,2,5,12,16,23,32,10.5134,3,6.5,15.5,21.7,31.1,43.4,8.01289,2.6,5.2,12,16.8,23.2,31.903,8.10625,1.5,5,12,19,26,37,7.53492,10.1961,7.53522,9.10089,0.47055,0.12815,0.0121,0.1919,0.086,0.0133,0.54825,0.4711,1.3222,0.6673,4.363,0.8027,0,0,0,0,0,0,0
42960467,Bo Bichette,3B,1,NYM,LAA,Confirmed,4100,5,8.01,5,8.01,1.953658537,31.89,34.44216649,0,100,4.38,8.2672,7.89255,3,6,12,16,22,30,10.1671,3,6.5,15.4,21.2,29.2,40.9,7.71564,2.6,5.2,11.6,15.1,22,30.3,8.34033,2,6,12.5,17,25.5,36,7.21083,9.64445,7.11731,8.56956,0.76655,0.23465,0.0089,0.13065,0.06525,0.0093,0.58325,0.4599,0.88485,0.3147,4.7102,1.14075,0,0,0,0,0,0,0
42960454,Josh Naylor,1B,3,SEA,KC,Confirmed,3800,5,7.88,5,7.88,2.073684211,29.26,31.26583312,0,100,4.2528,8.2902,7.99853,2,6,12,16,23,32,10.4301,3,6.5,15.5,21.7,31.2,43.4,7.83764,2.6,5.2,11.6,16.1,22.9,31.5,8.58357,2,6,13,18.5,26.5,37.005,7.56546,10.1854,7.45175,8.99737,0.685533,0.179867,0.00293333,0.155467,0.118333,0.0170667,0.512,0.561467,0.669533,0.362933,4.2568,1.02380033,0,0,0,0,0,0,0
42960556,Carter Jensen,C,5,KC,SEA,Confirmed,4100,0,7.81,0,7.81,1.904878049,19.81,19.76500545,0,100,4.0374,8.2902,6.9692,2,5,10,14,21,31,9.20382,3,6,12.7,18.9,28.4,41.2,6.99617,2.6,5.2,9.7,14.2,21.3,30.3,7.27803,1,4.5,10.5,17,25,37,7.20451,9.74712,7.19275,8.73144,0.5118,0.1452,0.00473333,0.164867,0.0524667,0.009,0.466267,0.459533,1.1378,0.453667,4.14147,0.82660033,0,0,0,0,0,0,0
42960482,Maikel Garcia,3B,1,KC,SEA,Confirmed,4500,9,7.73,9,7.73,1.717777778,25.7,26.55939171,0,100,4.0374,8.2902,7.2366,2,5,11,14,21,29,9.26311,3,6.2,13,18.7,27.7,37.801,7.01937,2.6,5.2,10.4,14.2,20.3,28.4,7.44123,2,5.5,11,15.5,23,33,6.86943,9.01785,6.66226,7.79269,0.691467,0.1834,0.0268667,0.0803333,0.160533,0.0247333,0.492533,0.3688,0.699667,0.3508,4.56853,0.982067,0,0,0,0,0,0,0
42960460,Randy Arozarena,OF,4,SEA,KC,Confirmed,4200,2,7.52,2,7.52,1.79047619,26.49,27.8300778,0,100,4.2528,8.2902,7.4266,2,5,11,15,21,30,9.7228,3,6.5,15.2,19,28.4,40.702,7.31433,2.6,5.2,10.9,14.2,21,29.303,7.6747,1.5,5.5,11.5,16.5,24.5,34,7.02875,9.41432,6.89702,8.2834,0.579867,0.1768,0.0244,0.108733,0.147267,0.0194667,0.472,0.4876,0.982867,0.432467,4.16433,0.8898,0,0,0,0,0,0,0
