P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42957638,42957646,42957659,42957678,42957713,42957682,42957648,42957688,42957782,42957781,,91.9,73.47859573,91.62860107,110.8035984,121.8786011,142.2286072,178.588098,87.69,49200,1,114.65,87.65343192,86.86277665,87.73434707,86.9436918,166.5966993,84.95780549,84.16715022,85.03872064,84.24806537,5.717986004,9.922832996
42957646,42957641,42957654,42957656,42957666,42957758,42957741,42957681,42957738,42957653,,100.75,77.87025452,98.84524918,120.970253,130.9702454,152.6827576,186.5437636,157.99,50000,1,144.35,89.59600264,86.46274662,88.30578443,85.17252841,171.2349134,85.35710742,82.2238514,84.06688921,80.93363319,11.53693679,20.80933601
42957638,42957641,42957705,42957655,42957719,42957736,42957674,42957733,42957764,42957672,,98.3,78.02915192,94.69165039,115.8541508,126.991647,146.5916443,178.4936534,120.83,49300,1,100,88.41015941,86.22319217,87.49295486,85.30598762,170.5595637,85.51807588,83.33110864,84.60087133,82.4139041,7.402395408,31.558007
42957638,42957641,42957659,42957678,42957752,42957676,42957648,42957718,42957781,42957782,,99.55,80.62914848,98.0916481,120.3541508,131.1066452,151.4941536,178.5481564,127.4,49800,1,88,88.59100138,86.14008181,87.48517324,85.03425368,171.338447,85.66155522,83.21063566,84.55572709,82.10480752,8.207393699,43.66648197
42957638,42957641,42957759,42957655,42957769,42957736,42957674,42957672,42957764,42957661,,98.56,78.44515038,95.30765152,117.6201515,129.7076416,150.9601425,182.5096597,145.82,49200,1,82,88.49688586,85.8537409,87.44626761,84.80312265,170.1073801,84.76992397,82.12677901,83.71930572,81.07616076,10.04404064,32.41859674
42957643,42957641,42957654,42957656,42957666,42957758,42957674,42957722,42957738,42957733,,100.55,78.64584923,99.53334808,119.6333523,129.4383553,149.1933556,179.8228496,134.96,49200,1,104.55,88.65914733,85.82789567,87.35056181,84.51931016,171.7269302,85.39973442,82.56848276,84.0911489,81.25989725,9.195355027,19.10104603
42957638,42957641,42957654,42957725,42957791,42957720,42957669,42957785,42957695,42957653,,106.65,86.46215439,106.6496506,127.1871529,139.8321465,157.2446541,188.087146,200.82,49700,1,125,90.35819162,85.79662932,88.12063412,83.55907182,174.660412,85.62373473,81.06217243,83.38617723,78.82461492,17.63585883,61.06763482
42957638,42957641,42957659,42957725,42957803,42957720,42957669,42957728,42957672,42957688,,103.37,83.37915039,102.3666496,122.8541508,133.3291565,156.1616478,180.2986565,156.71,49100,1,102,89.17076572,85.75833744,87.45317522,84.04074694,173.479631,85.8038429,82.39141462,84.0862524,80.67382412,12.95933463,42.78011918
42957646,42957641,42957654,42957656,42957666,42957758,42957741,42957722,42957653,42957738,,101.07,77.87025261,99.3702507,121.220253,133.1852585,154.2827492,184.0887514,158.06,48900,1,134.35,88.92895905,85.63399582,87.47775195,84.18278872,171.4714392,84.84889773,81.5539345,83.39769064,80.10272741,11.55337982,37.13895082
42957638,42957641,42957654,42957656,42957803,42957746,42957741,42957728,42957653,42957718,,105.67,84.30415154,104.2416534,127.1291523,138.9416504,161.6366447,187.2271503,196.43,49900,1,122,89.94926628,85.54797282,87.81452907,83.41323561,174.0465492,85.28433475,80.88304129,83.14959754,78.74830408,16.46394102,33.22764337
42957638,42957641,42957659,42957725,42957803,42957720,42957669,42957728,42957661,42957688,,104.55,84.01664925,104.1916504,124.2416496,136.1416473,157.8616447,180.9971535,166.02,49400,1,96,89.29818267,85.54613165,87.37450633,83.62245531,174.0900437,85.73673498,81.98468396,83.81305864,80.06100762,13.73188721,60.55553555
42957638,42957641,42957768,42957656,42957803,42957673,42957741,42957728,42957695,42957653,,106.14,84.32915306,105.3416519,127.0166531,138.8566452,158.2916565,187.3041563,197.62,49000,1,124,90.0236366,85.52027471,87.81806805,83.31470616,174.3335823,85.33582514,80.83246324,83.13025658,78.62689469,16.32256128,48.31371605
42957638,42957646,42957659,42957656,42957666,42957820,42957739,42957653,42957695,42957718,,103.25,80.35360146,100.7036018,121.4286041,136.643602,161.3861008,186.382601,180.23,50000,1,110.65,89.38352051,85.46400483,87.57969561,83.66017993,172.5486891,84.84027304,80.92075736,83.03644815,79.11693246,15.13090622,47.26375639
42957643,42957641,42957654,42957656,42957666,42957758,42957741,42957653,42957722,42957764,,102.29,78.64585495,101.4333496,122.7333508,133.4458557,155.5608498,183.5233618,164.22,49800,1,117.55,88.92877242,85.35362389,87.2657407,83.69059217,172.2419497,84.85545372,81.2803052,83.192422,79.61727348,11.85201661,24.20434952
42957638,42957641,42957778,42957655,42957791,42957671,42957674,42957661,42957801,42957672,,98.55,79.0666523,98.46665192,117.7041473,127.4066471,148.7566536,177.6976505,128.91,49900,1,89,87.72791264,85.21474839,86.61482984,84.10166559,170.4848343,84.64075108,82.12758682,83.52766828,81.01450403,6.738789605,37.64236271
42957638,42957636,42957710,42957678,42957752,42957720,42957669,42957728,42957695,42957782,,101.97,85.57499886,102.2750015,120.7124977,131.1150047,149.7349968,180.461497,156.4,49300,1,78.95,88.5428647,85.18957761,86.9242415,83.57095441,172.3588931,84.9574962,81.60420911,83.33887301,79.98558592,10.93564913,40.85668325
42957638,42957641,42957705,42957684,42957719,42957671,42957674,42957665,42957733,42957764,,97.09,77.22915268,95.14164734,113.8541508,125.5991512,147.5166534,174.3551443,109.5,49900,1,125,87.19365652,85.17592409,86.30729086,84.28955843,169.93656,84.68592187,82.66818943,83.79955621,81.78182377,6.29458888,23.2146129
42957638,42957641,42957654,42957725,42957666,42957673,42957669,42957791,42957816,42957695,,104.87,85.91665077,104.8416481,126.5791531,138.5066521,156.6491478,185.9426505,192.39,49600,1,147,89.42276009,85.11788893,87.33926926,83.0343981,173.5419949,84.84210993,80.53723877,82.7586191,78.45374794,16.15592519,45.73195577
42957638,42957641,42957654,42957655,42957744,42957671,42957674,42957821,42957733,42957735,,99.94,81.09165192,100.4666481,119.0041523,128.6991508,148.2941559,175.7021504,126.86,50000,1,119,87.78008594,85.1175787,86.47468134,83.81217411,171.6044413,85.01418261,82.35167537,83.70877802,81.04627078,7.745039927,11.55800894
42957638,42957646,42957694,42957656,42957803,42957673,42957741,42957653,42957695,42957693,,99.29,76.01610184,97.00360107,119.0911026,131.2361053,152.6860901,184.1321011,159.9,49200,1,135.65,88.25555243,85.11565114,86.96575783,83.82585654,170.135072,83.99502699,80.85512571,82.70523239,79.5653311,12.27877033,29.23873365
42957638,42957641,42957694,42957678,42957752,42957720,42957648,42957728,42957727,42957735,,99.29,82.67914963,100.0416489,118.0416489,127.3791454,148.9816505,175.6931503,126.5,48700,1,84,87.61397528,85.05063019,86.38812258,83.82477748,171.1603006,84.8273508,82.26400571,83.6014981,81.038153,8.221017385,41.5150106
42957646,42957641,42957778,42957655,42957666,42957671,42957674,42957695,42957653,42957824,,97.72,73.60775375,93.34524918,114.9577503,127.4777458,151.0827515,179.0752515,127.26,48800,1,83.35,87.56137944,85.04991885,86.52434576,84.01288517,169.7189283,84.17513236,81.66367177,83.13809869,80.6266381,7.22012279,35.88672578
42957644,42957641,42957654,42957725,42957666,42957720,42957669,42957785,42957695,42957653,,100.97,77.11750412,99.70500183,120.5800018,130.5374992,152.5274956,186.9964958,179.51,49900,1,88.75,88.70406431,85.01534873,87.13792654,83.44921097,170.8394326,83.90246864,80.21375307,82.33633088,78.64761531,15.61941217,35.37043035
42957647,42957637,42957694,42957678,42957679,42957682,42957648,42957738,42957722,42957782,,89.93,69,87.79999924,108.8624992,120.4450008,140.927494,169.2545,56.16,48500,1,43.5,85.3928791,85.01378194,85.5230141,85.14391694,165.8564195,83.73504761,83.35595044,83.86518261,83.48608545,5.427309878,32.61217177
