P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42960497,42960422,42960403,42960575,42960506,42960482,42960532,42960433,42960490,42960553,,90.08,71.78894806,89.0639534,108.1639481,120.4389496,140.5089523,175.2494525,269.005102,49900,1,91.95,85.05486258,80.39217223,83.08260815,78.41991781,167.825142,78.95580923,74.29311889,76.98355481,72.32086446,24.3003533,94.28181052
42960497,42960550,42960403,42960502,42960565,42960451,42960532,42960484,42960553,42960460,,95.53,78.5264492,94.5639534,113.5514488,125.1539474,144.8164413,173.9914526,298.2908163,48400,1,62.65,85.49055025,79.52647863,82.55536555,76.59129393,171.5773338,79.33907418,73.37500256,76.40388948,70.43981786,26.42521555,63.35244775
42960497,42960550,42960403,42960502,42960506,42960451,42960532,42960553,42960460,42960505,,95.57,78.62644768,94.26395035,113.9639492,125.4614498,142.0889404,171.1429465,290.2806122,48900,1,62.65,84.92819531,78.99157551,81.92449997,75.98788017,171.8017659,79.1331173,73.1964975,76.12942196,70.19280216,25.26993281,86.04179025
42960550,42960497,42960403,42960502,42960565,42960451,42960532,42960460,42960503,42960553,,96.78,79.88895035,96.53895187,115.2764511,125.94645,145.1439468,172.5494557,300.3571429,48400,1,58.65,85.41130088,79.18907004,82.24294408,76.02071324,172.5432068,79.41803557,73.19580472,76.24967876,70.02744792,26.75855937,92.01856852
42960550,42960497,42960403,42960502,42960506,42960451,42960439,42960503,42960553,42960468,,92.18,75.43894958,90.88895035,108.0014515,118.6539474,139.9439491,167.4894527,264.4897959,44100,1,66.65,83.58770743,78.42544332,81.04050527,75.87824116,169.6825132,78.28972371,73.1274596,75.74252155,70.58025744,22.69205767,39.88851905
42960497,42960550,42960556,42960502,42960565,42960451,42960532,42960460,42960503,42960553,,97.16,80.0264492,96.66394806,115.35145,127.0464474,148.4414497,171.1399466,298.0612245,48800,1,55.65,85.20382978,78.92080595,81.9460881,75.66306427,172.9092082,79.38572502,73.1027012,76.12798334,69.84495952,26.46671358,93.94200444
42960550,42960497,42960403,42960502,42960506,42960451,42960532,42960553,42960468,42960460,,95.71,78.35144806,95.03895187,113.8389492,124.1064487,143.0014526,169.1209587,285.4591837,49200,1,65.65,84.53033233,78.57984641,81.45566025,75.50517433,172.029762,78.97756287,73.02707695,75.90289079,69.95240487,24.60734427,93.64506006
42960497,42960550,42960416,42960502,42960565,42960451,42960532,42960503,42960553,42960460,,95.07,78.2764492,94.76395035,111.4139481,122.94645,144.8539581,171.4469496,291.3647959,46800,1,58.65,84.77695939,78.88285967,81.82848002,75.9343803,171.3700352,78.88857769,72.99447797,75.94009833,70.04599861,25.39698622,49.54437017
42960497,42960550,42960416,42960502,42960506,42960451,42960532,42960503,42960553,42960460,,94.28,76.7764492,93.41395187,111.5764484,123.3039543,142.3664581,168.0334526,278.1632653,46600,1,65.65,83.93561824,78.24605656,81.03342065,75.34385897,171.0445323,78.47572355,72.78616188,75.57352597,69.88396429,23.59403996,63.90320063
42960550,42960497,42960556,42960502,42960506,42960451,42960532,42960468,42960553,42960510,,97.11,77.92644882,97.16394806,114.8764515,125.5414524,143.6539467,167.3204556,289.3112245,49800,1,70.65,84.27638825,77.97506019,80.90448936,74.6031613,173.0602802,78.85999961,72.55867155,75.48810072,69.18677266,24.85223282,96.5839982
42960497,42960550,42960416,42960502,42960565,42960482,42960532,42960484,42960510,42960553,,97.17,79.78895569,96.68894958,114.1389465,125.5889511,146.3439583,172.5489555,308.5969388,49500,1,72.65,85.14631902,78.67279945,81.83249475,75.35897519,172.6485086,78.9810574,72.50753783,75.66723313,69.19371356,27.51245643,81.82064891
42960550,42960497,42960403,42960502,42960565,42960451,42960532,42960468,42960553,42960460,,96.5,79.17645264,96.58895111,115.0264511,125.4539494,144.5464554,170.3214555,298.6607143,49400,1,58.65,84.62394101,78.34429497,81.37836508,75.09871903,172.3552649,78.76730662,72.48766057,75.52173068,69.24208464,26.48772251,78.91616225
42960550,42960497,42960556,42960502,42960506,42960451,42960439,42960503,42960553,42960468,,92.56,75.0264492,91.48894882,109.7139473,119.9539494,138.6039581,164.4539496,262.1938776,44500,1,63.65,82.83084256,77.51621985,80.10268991,74.78806719,170.0485146,77.79958503,72.48496232,75.07143238,69.75680966,22.44456372,59.01505351
42960497,42960550,42960403,42960502,42960506,42960451,42960532,42960460,42960510,42960503,,97.26,79.88894653,96.91394806,113.6514473,125.1539474,148.503952,170.0014526,300.0382653,49200,1,67.65,84.7121246,78.28099823,81.34319605,74.91206968,172.9166446,78.89445971,72.46333334,75.52553115,69.09440479,26.13874562,79.13130522
42960550,42960497,42960403,42960502,42960506,42960451,42960532,42960510,42960468,42960553,,96.73,79.48894882,96.46395111,115.2514515,124.7264496,145.0964584,168.1244586,291.6071429,49400,1,73.65,84.27926986,78.00463653,80.9626576,74.68802427,172.6942789,78.7218189,72.44718557,75.40520664,69.13057331,25.12627589,85.59860587
42960550,42960497,42960416,42960502,42960565,42960482,42960532,42960510,42960503,42960553,,98.42,81.32645035,97.38894653,116.0514526,128.1039574,146.4014465,171.4094466,310.6632653,49500,1,68.65,85.16927482,78.45463023,81.63931265,74.92466805,173.6143816,79.14518976,72.43054516,75.61522758,68.90058299,27.85951538,102.3929715
42960497,42960422,42960556,42960540,42960480,42960482,42960532,42960490,42960553,42960503,,89.76,71.71694756,89.11694336,109.8919525,119.2144547,138.944455,170.7524435,272.002551,49400,1,90.95,83.2845118,78.34065321,81.06130535,76.11744677,167.5046526,77.34576181,72.40190323,75.12255537,70.17869679,24.9682343,101.0244846
