P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Small Slate | 1k-10k,Large Slate | 1k-10k,geomean1,Small Slate | 10k-50k,Small Slate | 50k+,Single Game,Large Slate | 10k-50k,Small Slate | 100-1k,Large Slate | 50k+,Saber Score
42962150,42962159,42962411,42962194,42962219,42962312,42962200,42962238,42962163,42962175,,100.71,80.04005241,99.62754822,120.140049,130.4575508,151.3375572,183.0815451,110.18,49700,1,94.1,90.08896646,86.08818344,89.13197321,10.44962064,84.7545891,83.79759585,171.8638011,87.79837887,87.04517669,86.84138562,52.51328945
42962147,42962149,42962411,42962194,42962299,42962223,42962200,42962294,42962175,42962271,,103.66,82.40914917,101.0591469,122.7466507,133.7766518,154.9716522,182.2731552,113.08,50000,1,99.45,90.35816197,85.93318457,88.94407615,8.351189507,84.45819211,83.04410629,173.7641686,87.46908368,87.34727039,86.05499787,38.42983544
42962147,42962149,42962341,42962194,42962299,42962185,42962246,42962175,42962333,42962221,,100.45,79.58665085,98.6991539,117.7491512,126.906654,145.2841461,182.3001486,105.76,49600,1,106.45,89.76298054,85.77602782,88.79327934,6.917216512,84.44704358,83.47734238,171.6806069,87.4642951,86.74572902,86.4945939,-4.986751452
42962147,42962149,42962204,42962228,42962179,42962185,42962246,42962320,42962293,42962294,,102.42,82.0366497,98.8491478,118.0616474,128.8216499,152.2541458,183.2626607,120.54,49600,1,73.45,90.14109589,85.66169934,88.87596682,8.467868901,84.16856715,82.90343809,172.8102204,87.38283464,86.9268284,86.11770557,35.92118323
42962147,42962149,42962224,42962320,42962328,42962185,42962353,42962293,42962165,42962191,,95.47,76.989151,94.364151,115.8016472,126.8591473,146.3191483,186.6741541,110.68,49400,1,82.45,89.03668053,84.84496858,88.69098589,7.304264816,83.44773126,83.10203662,167.8586243,87.29374857,85.19066321,86.94805393,-21.98337615
42962150,42962149,42962254,42962194,42962179,42962312,42962200,42962175,42962266,42962283,,105.59,83.81489563,104.3148956,124.7649002,138.3723991,155.8173958,182.9404018,149.18,49800,1,114.45,90.53942453,85.55581027,88.79591439,12.70093647,83.89460552,82.15109538,174.8200512,87.13470964,87.29932041,85.3911995,61.90664172
42962150,42962149,42962364,42962228,42962219,42962223,42962246,42962163,42962189,42962294,,100.16,78.3898983,98.6648941,116.789896,129.3049004,149.3199013,182.3908926,110.87,49700,1,104.45,89.49359321,85.36346165,88.50779705,8.004978814,83.98675114,83.00095498,171.3705383,87.13108653,86.34925781,86.14529037,30.20689785
42962150,42962149,42962274,42962194,42962299,42962218,42962200,42962175,42962333,42962188,,103.86,81.81489563,102.4648972,123.464901,133.259903,152.9199013,182.0233926,133.62,49600,1,114.45,90.09463167,85.47600725,88.58427216,10.81766618,83.93646577,82.42610625,173.7830817,87.04473068,86.98636676,85.53437116,64.1441226
42962150,42962152,42962411,42962194,42962219,42962344,42962200,42962163,42962175,42962333,,98.53,77.9782486,97.81575394,117.1407509,127.635751,146.6907471,180.549241,107,50000,1,117.5,88.9531728,85.30885041,88.18259589,9.842554974,84.09407628,83.32349936,170.4881206,86.96782176,86.07942732,86.19724484,2.306681685
42962150,42962147,42962411,42962194,42962299,42962354,42962200,42962163,42962195,42962333,,100.76,83.71825218,100.8807487,117.8057499,129.6207443,147.8382553,178.3122556,104.86,49800,1,116.2,89.18732505,85.63269755,88.12192216,8.846695076,84.44782172,83.38241883,172.1982409,86.93704633,86.69810045,85.87164343,13.13715428
42962148,42962149,42962324,42962194,42962328,42962185,42962200,42962175,42962293,42962221,,100.87,79.72234917,97.8098526,119.9098473,131.1423424,149.209845,184.742348,131.51,50000,1,105.2,89.63554098,84.8546064,88.4916248,10.31836934,83.26096154,82.11704536,171.462109,86.89797994,85.99852259,85.75406375,32.68108964
42962149,42962157,42962224,42962182,42962299,42962207,42962268,42962241,42962214,42962165,,98.2,80.83574867,99.18575287,118.0107498,131.5682457,148.7107544,184.3117604,128.74,49600,1,100.85,88.99063294,84.56958354,88.1908752,10.53695285,83.09590041,82.29614267,169.7260842,86.71719206,85.36934129,85.91743432,19.96163577
42962150,42962149,42962254,42962258,42962179,42962223,42962246,42962294,42962271,42962170,,101.12,79.33989906,99.03989792,119.3648987,131.6448982,153.4674042,179.1418956,118.42,49500,1,84.45,89.16171123,85.29030771,88.00133787,7.17266948,83.99983987,82.83946651,172.2534769,86.71087003,86.45068107,85.55049667,49.45388138
42962149,42962159,42962411,42962194,42962264,42962312,42962168,42962175,42962266,42962181,,98.36,78.61845016,96.9809494,115.9434528,127.5884483,149.1784508,177.2314569,87.1,49400,1,89.35,88.4911794,85.33798821,87.72438401,6.000895772,84.28692448,83.5201291,170.6897319,86.67332029,86.10478359,85.9065249,45.79638243
42962147,42962149,42962244,42962194,42962299,42962218,42962242,42962266,42962175,42962333,,104.27,83.15915108,103.7591476,124.1966496,133.824144,158.2866547,185.4596523,149.08,49400,1,131.45,90.11527881,84.5796822,88.4432616,12.01392326,82.73448332,81.06246612,173.4751897,86.59806273,86.2516994,84.92604553,26.66565478
42962150,42962153,42962217,42962194,42962186,42962312,42962200,42962333,42962175,42962181,,98.47,77.07459831,96.01210022,117.5870972,128.3321075,146.6396004,173.1886032,72.17,49900,1,85.1,88.13654632,85.65004546,87.36776253,6.537692322,84.82121184,84.05242804,171.2155983,86.53892891,86.41882926,85.77014511,20.46504468
42962541,42962148,42962204,42962194,42962299,42962268,42962168,42962266,42962384,42962175,,94.28,75.67169952,93.17169952,114.0341988,123.4867023,145.846701,180.923192,102.88,50000,1,109.05,87.83568811,84.44362346,87.56214986,8.639116717,83.31293524,83.039397,167.5110565,86.43146165,84.71716171,86.1579234,-6.036714837
42962150,42962541,42962411,42962194,42962179,42962312,42962200,42962203,42962175,42962283,,100.03,79.80574989,98.70574951,118.2182465,131.0932556,149.308255,178.6602464,115.64,50000,1,90.3,88.71078286,84.91843158,87.65209262,10.82012699,83.65431449,82.59562425,171.4995179,86.38797553,85.97712182,85.32928529,2.939235792
42962149,42962157,42962393,42962194,42962179,42962256,42962222,42962175,42962170,42962283,,100.9,79.21625328,100.6037483,120.9412537,136.4612511,155.5187531,184.4662355,153.61,49600,1,95.85,89.15990175,84.07969474,87.89883452,12.66784679,82.38629241,81.12522517,171.2847957,86.20543219,85.34076197,84.94436496,19.04081553
42962148,42962149,42962217,42962194,42962186,42962312,42962200,42962266,42962181,42962371,,102.2,82.86735153,100.90485,120.5798492,133.7248428,155.7298584,179.8408492,125.49,50000,1,105.2,89.05740237,84.64152206,87.65263429,8.995493512,83.16956196,81.76479388,172.6897523,86.18067419,86.04629015,84.7759061,55.69314957
42962154,42962149,42962250,42962165,42962371,42962207,42962300,42962181,42962191,42962214,,98.58,79.7765007,100.0639992,118.9889984,130.2039963,151.5139984,183.5984894,134.04,49700,1,104.5,88.64145707,84.0230016,87.70298161,9.236878277,82.48351644,81.54504099,169.8757013,86.16349646,84.96147706,85.225021,55.55111766
42962149,42962153,42962411,42962194,42962219,42962344,42962200,42962163,42962175,42962384,,101.61,81.41399956,99.2765007,122.064003,133.2265015,154.8789955,180.0815076,118.06,49700,1,139.35,88.93088015,84.52650963,87.59726905,10.25435101,83.05838613,81.72477503,172.2607928,86.12914554,85.86012073,84.79553445,11.42466366
42962147,42962153,42962411,42962194,42962299,42962354,42962200,42962281,42962163,42962195,,98.61,81.10634804,99.55635071,119.7063503,127.9538498,146.4863541,175.7118507,91.64,49400,1,116.1,88.04397839,84.84804585,87.15935591,7.872409942,83.78273501,82.89811252,170.8462516,86.09404507,85.73266833,85.20942259,5.594118312
42962147,42962149,42962411,42962384,42962299,42962218,42962168,42962266,42962271,42962175,,99.46,81.1101532,99.21015167,118.0726509,128.7276558,147.3226501,180.9271562,114.4,49800,1,103.45,88.55145213,84.25770822,87.49837807,7.564592568,82.82646025,81.77338619,170.7434245,86.0671301,85.31078228,85.01405604,8.976243436
42962147,42962153,42962324,42962320,42962328,42962185,42962255,42962163,42962310,42962165,,94.26,75.83634949,93.93634796,114.3363495,125.5888538,142.8913521,181.7388585,97.48,49500,1,93.1,87.62836105,83.89202251,87.28509921,9.105192852,82.64657633,82.30331448,167.2667395,86.03965302,84.23528436,85.69639118,2.0570755
42962150,42962153,42962393,42962215,42962313,42962185,42962255,42962163,42962195,42962184,,95.56,78.31209755,95.41210175,113.2371025,126.5470989,145.4995911,175.4386032,86.77,49500,1,127.1,87.37711176,84.59256776,86.89729828,8.055320544,83.66438643,83.18457295,168.8633413,85.96911694,85.07238124,85.48930346,8.713752031
42962147,42962148,42962254,42962236,42962179,42962256,42962222,42962294,42962293,42962221,,98.37,77.34119987,95.85370255,116.9537029,129.1912018,149.7112045,184.0542108,141.52,49500,1,76.95,88.50069402,83.72637197,87.55381697,10.8459349,82.13493128,81.18805424,169.6163786,85.96237629,84.67324901,85.01549924,0.370355439
42962147,42962149,42962274,42962381,42962179,42962218,42962242,42962294,42962211,42962188,,104.41,82.68114853,102.4811478,123.2061481,133.7286476,157.3786552,185.6676584,168.44,49500,1,78.45,89.72988858,83.81683981,87.93011559,12.08717496,81.84582356,80.04605058,173.3271627,85.95909934,85.6166128,84.15932635,38.52452338
42962157,42962149,42962254,42962194,42962208,42962256,42962246,42962175,42962283,42962170,,98.69,76.81874847,97.39374924,119.1562462,133.1712448,156.4337616,183.7787531,136.38,49700,1,109.85,88.5381612,83.7687595,87.54873836,11.45723273,82.17895893,81.18953609,169.8564766,85.95893779,84.75818234,84.96951495,15.99429697
