DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42971386,Jose Soriano,P,,LAA,CWS,Confirmed,9600,2.4,21.93,2.4,21.93,2.284375,60.76,64.32467983,0,100,4.3174,8.1876,19.0687,11.8,19.65,26.75,29.9,35.5525,41.002,33.6417,23,34,45,50,58,66,21.3643,13.2,21.95,29.7,33.5,39.505,45.301,29.0597,19,30,40,44.5,52.5,59.5,10.5756,15.4776,11.7171,14.9019,2.83827,0.7022,0.0980667,0.499867,0,0,2.097,0,6.3114,2.44833,23.4109,4.1384037,1.9358,5.73089,0.337133,0.324867,0.0062,0.0036,95.0299
42971415,Logan Gilbert,P,,SEA,ATL,Confirmed,9000,12.7,18.29,12.7,18.29,2.032222222,49.82,52.30037845,0,100,4.2312,8.172,17.8349,10.4375,18.25,25.4625,28.9,34.15,40.2,31.5899,21,32,43,48,56,64,20.2681,12,20.7,28.7,32.5,38.3,44.3,27.0682,16.5,27.5,38,43,50,57.505,10.5523,15.4242,11.6977,14.8307,2.9768,0.986333,0.0933333,0.760067,0,0,2.43673,0,5.802,1.5538,23.5961,4.8165333,2.2496,5.84313,0.3418,0.338133,0.00946667,0.00533333,92.8916
42971383,Davis Martin,P,,CWS,LAA,Confirmed,7800,36.75,13.7,36.75,13.7,1.756410256,27.77,26.98029473,0,100,3.8702,8.1876,14.4397,7.55,14.45,21.6625,25.45,30.95,36.9505,27.05,17,27,38,43,52,61,16.3506,8.7,16.6,24.5,28.5,34.6,41.4,22.447,13,22.5,32.5,38,45.5,54,10.3972,15.0419,11.5582,14.6078,3.3302,0.977733,0.0478,0.7222,0,0,2.75827,0,5.26507,2.13833,23.2517,5.077933,2.54913,5.47931,0.243867,0.250267,0.0111333,0.00206667,92.7107
42971525,JR Ritchie,P,,ATL,SEA,Confirmed,8500,2.65,11.12,2.65,11.12,1.308235294,21.8,20.12848577,0,100,3.9408,8.172,12.5578,5.75,12.9,19.9,23.45,28.8,34.301,24.0925,14,24,34,39,48,57,14.1877,6.7,14.7,22.5,26.415,32.4,38.401,19.8145,10.5,20.5,30,35,43,50.5,10.1898,14.5387,11.3465,14.349,3.3306,0.9296,0.0553333,0.6858,0,0,2.74413,0,4.76887,2.254,22.0737,5.0013333,2.5348,5.09087,0.2442,0.163133,0.00393333,0.000733333,86.1405
42971470,Trevor McDonald,P,,SF,SD,Confirmed,4000,31.95,10.58,31.95,10.58,2.645,21.98,20.17627316,0,100,3.9176,8.6868,10.7611,4.3,10.75,17.3,20.95,26.25,32.1005,21.1703,12,21,30,36,45,52,12.4861,5,12.6,19.825,23.8,29.7,36.4,17.0053,8,17,26.5,31.5,39,46.505,9.53635,13.6321,10.6983,13.3843,3.542,0.9832,0.1126,0.4648,0,0,2.60547,0,3.72253,1.8368,21.7443,5.1026,2.41067,5.08333,0.214467,0.174467,0.00126667,0.000866667,81.9545
42971460,Randy Vasquez,P,,SD,SF,Confirmed,8000,6.55,9.83,6.55,9.83,1.22875,16.97,14.92886223,0,100,4.7692,8.6868,11.9583,5.4,11.95,18.85,22.25,27.1525,32.651,23.0903,13,23,33,39,46,54,13.805,6.6,13.8,21.6,25.4,30.7,36.4,18.7334,9.5,19,28.5,33,40,47.005,9.61605,13.8447,10.7472,13.4916,3.5884,1.0202,0.137333,0.465667,0,0,2.4916,0,3.74507,1.82073,22.4937,5.2116,2.30547,5.30524,0.3348,0.211733,0.00693333,0.00206667,86.3329
42971441,Julio Rodriguez,OF,2,SEA,ATL,Confirmed,4600,5,9.42,5,9.42,2.047826087,30.89,35.62147968,0,100,4.2312,8.172,8.6848,3,7,14,17,24,33,11.2346,3,9,18.2,22.2,31.4,44.4,8.41603,2.6,6.8,13.2,16.8,23.2,32.306,9.1282,2,6.5,14,19,27,39.005,7.90701,10.5798,7.73643,9.32451,0.717533,0.1998,0.0144667,0.162133,0.1864,0.0266,0.580533,0.553467,0.8712,0.298067,4.39867,1.0939327,0,0,0,0,0,0,0
42971401,Fernando Tatis Jr.,2B/OF,2,SD,SF,Confirmed,4900,0,9.28,0,9.28,1.893877551,45.76,56.76637779,0,100,4.7692,8.6868,8.9736,3,7,13,17,24,33,11.6746,3,9.2,18,22.2,31.7,43.9,8.74608,2.6,7.1,12.8,16.8,23.2,32.2,9.33813,2.5,7,14,19,27,37.005,7.69899,10.2799,7.51106,8.90567,0.7794,0.214533,0.0176,0.114,0.2006,0.0270667,0.625667,0.5514,0.838667,0.4624,4.68527,1.125533,0,0,0,0,0,0,0
42971285,Mike Trout,OF,2,LAA,CWS,Confirmed,6000,0,8.89,0,8.89,1.481666667,32.2,37.92298896,0,100,4.3174,8.1876,8.53473,2,7,13,17,23,33,11.4535,3,9,18.2,22.2,31.7,44.9,8.68273,2.6,7.1,13.2,16.8,23.2,32.905,8.9413,2,6,13.5,19.5,27.5,39.5,7.74287,10.536,7.75001,9.36401,0.5054,0.140467,0.0138667,0.200067,0.0886,0.0134,0.618733,0.5424,1.1766,0.719667,4.40273,0.8598007,0,0,0,0,0,0,0
42971501,Jackson Merrill,OF,3,SD,SF,Confirmed,4600,17,8.57,17,8.57,1.863043478,32.21,37.89066829,0,100,4.7692,8.6868,8.06187,2,7,12,16,23,30,10.5744,3,9,15.5,21.515,31.2,41.4,7.93397,2.6,6.4,11.6,15.8,22.5,30.3,8.5391,2,6,12.5,17,26,36,7.31423,9.84517,7.1766,8.65766,0.670267,0.200067,0.0417333,0.1062,0.108467,0.0124667,0.547467,0.568133,0.848333,0.440667,4.54793,1.0182673,0,0,0,0,0,0,0
