P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42971386,42971415,42971298,42971346,42971522,42971362,42971325,42971435,42971441,42971417,,97.08,77.74604797,93.84605026,113.1335506,123.1960526,139.2735481,165.3015511,203.61,44300,1,58.1,82.75201306,78.26240947,80.33332603,75.84372244,170.3560086,78.95795043,74.46834685,76.5392634,72.04965981,14.22262245,50.34893155
42971386,42971415,42971519,42971346,42971345,42971360,42971325,42971391,42971401,42971417,,95.87,79.1460495,96.64605331,113.2085514,122.2760475,140.9135567,172.6530569,226.51,45400,1,54.1,83.47723396,78.90108401,81.27264688,76.69649693,168.8261788,78.56713242,73.99098246,76.36254534,71.78639538,15.87135137,72.27237225
42971386,42971415,42971298,42971367,42971522,42971289,42971328,42971441,42971501,42971353,,102.85,82.23354912,99.8960495,120.8585529,131.296051,146.4635452,181.5965541,286.7,48400,1,83.1,86.14313972,79.9212809,83.02343319,76.80157437,172.7213549,79.95638939,73.73453057,76.83668286,70.61482403,24.45931619,79.33357358
42971386,42971383,42971364,42971367,42971522,42971368,42971316,42971435,42971338,42971441,,92.89,75.18354607,92.6460495,111.5085487,122.1535488,142.656057,167.467545,200.95,44200,1,87.15,81.8959836,77.94919287,80.00839418,76.06160345,167.1640914,77.60596909,73.65917836,75.71837967,71.77158894,14.5406171,87.88762689
42971386,42971415,42971298,42971346,42971522,42971289,42971328,42971391,42971381,42971441,,99.84,79.88354492,97.1460495,117.6960526,128.1535553,144.7535484,171.6500571,244.98,46800,1,65.1,83.881207,78.47338478,81.0431793,75.63535708,171.4762383,79.00985115,73.60202894,76.17182345,70.76400124,19.13925769,68.80424023
42971386,42971415,42971298,42971547,42971522,42971362,42971521,42971285,42971393,42971441,,98.89,77.24604797,96.07105255,117.1960468,127.6460495,148.2110451,175.0080479,249.66,48800,1,56.1,84.22514117,78.89845329,81.5642977,76.23760981,170.5551217,78.88845141,73.56176352,76.22760794,70.90092005,18.55953497,63.9505446
42971386,42971415,42971519,42971367,42971522,42971360,42971328,42971381,42971441,42971417,,99.69,80.43354797,99.0210495,115.8960495,127.5535515,144.2485481,170.6580571,242.06,45500,1,68.1,83.6684436,78.30499935,80.83290058,75.46945633,171.444917,78.92028294,73.55683869,76.08473992,70.72129566,19.09853922,83.23199153
42971386,42971415,42971279,42971478,42971345,42971360,42971325,42971416,42971391,42971417,,92.67,77.22104836,92.87105179,111.2335472,120.9035488,139.4985481,165.197045,198.22,44500,1,70.1,81.39610877,77.50895272,79.48732257,75.60016651,167.1569294,77.36978544,73.48262939,75.46099923,71.57384318,14.56044526,61.23963594
42971386,42971415,42971298,42971547,42971522,42971360,42971521,42971393,42971381,42971441,,98.82,78.13355064,96.8710556,116.5085487,127.3260506,148.906057,173.6625571,249.37,47700,1,66.1,83.89268806,78.56585199,81.19864419,75.87180812,170.5675091,78.68835535,73.36151928,75.99431147,70.66747541,19.6245107,63.35244775
42971386,42971415,42971519,42971367,42971522,42971360,42971328,42971317,42971435,42971381,,96.63,76.77105141,95.34605026,114.5960503,124.0535515,145.3985565,170.450545,233.75,44500,1,62.1,82.9129858,78.07489535,80.48125548,75.64316502,169.3397977,78.12563573,73.28754527,75.6939054,70.85581494,18.94869452,66.43762589
42971386,42971415,42971298,42971367,42971522,42971360,42971325,42971441,42971393,42971417,,98.24,77.54605103,95.62105179,115.4460468,127.1960526,145.0685509,164.9210571,220.83,45100,1,68.1,82.26281709,77.23607165,79.50960636,74.48286093,170.8409402,78.19542367,73.16867824,75.44221295,70.41546752,16.23460255,75.60715079
