P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score,MLB $4K Hot Corner [5 Entry Max] ROI,MLB $4K Hot Corner [5 Entry Max] Sim Dupes,MLB $4K Hot Corner [5 Entry Max] Win Rate,MLB $4K Hot Corner [5 Entry Max] Cash Rate,MLB $4K Hot Corner [5 Entry Max] ROI StDev,MLB $12K Chin Music [Single Entry] ROI,MLB $12K Chin Music [Single Entry] Sim Dupes,MLB $12K Chin Music [Single Entry] Win Rate,MLB $12K Chin Music [Single Entry] Cash Rate,MLB $12K Chin Music [Single Entry] ROI StDev,MLB $200K Sinker de Mayo [$50K to 1st] ROI,MLB $200K Sinker de Mayo [$50K to 1st] Sim Dupes,MLB $200K Sinker de Mayo [$50K to 1st] Win Rate,MLB $200K Sinker de Mayo [$50K to 1st] Cash Rate,MLB $200K Sinker de Mayo [$50K to 1st] ROI StDev,MLB $15K Base Hit [Single Entry] ROI,MLB $15K Base Hit [Single Entry] Sim Dupes,MLB $15K Base Hit [Single Entry] Win Rate,MLB $15K Base Hit [Single Entry] Cash Rate,MLB $15K Base Hit [Single Entry] ROI StDev,MLB $7.5K Solo Shot ROI,MLB $7.5K Solo Shot Sim Dupes,MLB $7.5K Solo Shot Win Rate,MLB $7.5K Solo Shot Cash Rate,MLB $7.5K Solo Shot ROI StDev,MLB $30K Four-Seamer [20 Entry Max] ROI,MLB $30K Four-Seamer [20 Entry Max] Sim Dupes,MLB $30K Four-Seamer [20 Entry Max] Win Rate,MLB $30K Four-Seamer [20 Entry Max] Cash Rate,MLB $30K Four-Seamer [20 Entry Max] ROI StDev
42974868,42974867,42975089,42975025,42974944,42974987,42975120,42974993,42974890,42975036,,94.74,74.68749809,92.90000153,112,123.2575005,143.2124969,160.901994,105.22,49800,1,65.2,85.90539637,83.21896004,84.34114274,81.65470641,172.1928768,84.10310189,81.41666556,82.53884826,79.85241193,7.950147415,22.99946696,0.313714296,0,0.002571429,0.279428571,7.660394692,0.274285719,0,0.001285714,0.248,8.393815195,2.966428638,0,0.001,0.275571429,89.86672309,0.332857162,0,0.002571429,0.224285714,7.908810624,1.055928588,0,0.001285714,0.278714286,27.99263064,0.958107144,0,0.001142857,0.275571429,27.17424075
42974869,42974872,42975119,42975039,42974941,42974987,42975120,42974890,42974936,42974910,,90.07,71.92499924,89.15000153,107.2374973,122.7575005,141.1800056,166.423494,89.56,49700,1,78,86.59453084,85.02036384,85.967802,84.39363501,168.8731457,84.37894518,82.80477818,83.75221635,82.17804935,7.810637831,7.543327659,0.077714287,0,0.001714286,0.250857143,6.540428012,0.227714293,0,0.001857143,0.216714286,9.365124877,3.843809366,0,0.001428571,0.244142857,105.1670122,0.064999998,0,0.002,0.202285714,6.723065102,0.915285707,0,0.001285714,0.250142857,27.81418686,0.638321429,0,0.001,0.241428571,24.51802074
42974876,42974867,42975089,42974908,42974944,42975120,42974958,42975036,42974890,42974993,,98.79,73.23749924,93.57500076,114.5249996,125.4724972,144.275,165.0155,105.88,49800,1,79.9,88.83707521,85.97004697,87.09693251,84.22990428,175.3655571,87.19656127,84.32953303,85.45641857,82.58939033,7.911510508,31.08037114,0.501047611,0,0.003428571,0.285428571,9.004966822,0.280571431,0,0.001571429,0.237428571,8.83429971,1.967341304,0,0.000285714,0.265571429,57.7424781,0.43107143,0,0.002857143,0.232571429,8.38519581,1.446857095,0,0.001714286,0.273571429,32.01934512,0.918749988,0,0.001142857,0.263428571,26.54078274
42974868,42974871,42974904,42974908,42974944,42974899,42975101,42975054,42975293,42974993,,92.2,71.48749924,91.22500229,110.1124992,124.1074989,144.9799973,171.257,94.04,49500,1,48.65,88.76995656,87.12345916,88.13558248,86.48908508,170.4173169,86.3679607,84.72146331,85.73358662,84.08708923,6.656021245,42.62940586,0.350952387,0,0.002571429,0.267142857,8.116753635,0.457428575,0,0.002428571,0.235,10.56244881,1.907936439,0,0.000428571,0.259,54.29296617,0.471547604,0,0.002571429,0.223428571,8.514680016,1.230214298,0,0.001571429,0.264142857,30.57224605,0.933107138,0,0.001,0.258428571,23.48215844
42974878,42974871,42974904,42975025,42975020,42974899,42974891,42974997,42975096,42974993,,86.05,66.19999695,85.04999924,105.9624977,117.9075008,136.2550003,159.2560001,70.71,49200,1,67.95,83.53308725,82.40222186,83.12802134,81.99715595,166.157908,81.7607547,80.6298893,81.35568879,80.2248234,5.037519556,11.76447049,0.128095239,0,0.002,0.222857143,7.312737606,0.181714278,0,0.001857143,0.197714286,9.223152154,2.708690524,0,0.000857143,0.218571429,84.30697656,0.187619045,0,0.002285714,0.186857143,7.61095685,0.630785733,0,0.001,0.219285714,24.71656518,1.325107157,0,0.001857143,0.213857143,33.44048518
42974868,42974872,42975089,42974908,42974944,42974987,42974958,42975036,42974910,42974993,,89.3,70.18749809,88.09999847,110.5625019,123.5149998,146.2525002,171.262,75.31,49800,1,70.95,88.59950079,87.72167373,88.49200775,87.61418069,168.6223648,86.39599178,85.51816472,86.28849874,85.41067168,6.523625295,49.47965145,0.456952363,0,0.002571429,0.260857143,8.474358387,0.373857126,0,0.001571429,0.229428571,8.976140352,1.823055506,0,0.000571429,0.255571429,65.84886239,0.538928568,0,0.003142857,0.215714286,9.063893705,0.994500011,0,0.001,0.257571429,24.89802045,0.883750021,0,0.000857143,0.256428571,22.64580432
42974868,42974869,42975089,42974908,42974944,42975120,42974958,42975036,42974910,42974993,,92.69,73.52500153,92.25,113.0750027,124.7224972,144.9599968,171.292,94.97,49300,1,62.95,89.01252341,87.33908137,88.34157885,86.66813681,170.8215617,86.67597555,85.00253351,86.00503099,84.33158895,7.543526332,49.29896891,0.483714312,0,0.002571429,0.279142857,8.540225352,0.306571431,0,0.001571429,0.243285714,8.361570099,2.090277791,0,0.000714286,0.268857143,74.45731679,0.544642866,0,0.003714286,0.230285714,9.127510585,1.027642846,0,0.001142857,0.271428571,26.32158595,0.503071427,0,0.000428571,0.265571429,17.34398565
42974867,42974870,42975065,42975025,42975076,42974899,42974891,42975054,42974962,42975091,,89.27,71.53750229,88.75,108.2374973,120.0075005,140.2074974,160.813503,105.27,50000,1,70.9,83.70801342,81.54430156,82.67129623,80.50758436,167.8854724,81.3637466,79.20003473,80.32702941,78.16331754,7.641756772,35.73180735,0.110857137,0,0.000857143,0.260571429,6.064952366,0.284714296,0,0.001428571,0.227571429,8.740057958,2.439126968,0,0.000571429,0.255285714,69.99998843,0.250833333,0,0.002,0.214,7.552603179,0.824500024,0,0.001,0.258857143,24.59537194,0.991571426,0,0.001285714,0.25,27.5293303
42974869,42974867,42975123,42975021,42974903,42974923,42974912,42975008,42975293,42975002,,98.77,80.38750076,97.52500153,117.6750011,129.4149948,148.3999939,179.4324939,150.86,49800,1,98.25,91.19131535,87.91910552,89.64661259,86.37440276,174.1486001,87.5534969,84.28128707,86.00879414,82.73658431,13.47686613,46.89368606,0.327047616,0,0.002571429,0.333714286,7.652891881,0.201428562,0,0.000857143,0.291142857,6.819945253,2.721190304,0,0.000857143,0.333285714,77.55549833,0.25321427,0,0.002,0.266285714,7.044264778,0.825428545,0,0.000857143,0.337,23.27109467,0.568428576,0,0.000571429,0.319857143,19.31807969
42974867,42974870,42975089,42974899,42975096,42975120,42974958,42974892,42975036,42975003,,92.56,74.65000153,94.125,112.1500015,121.3450024,148.3025032,162.8380031,116.17,49600,1,85.9,85.12715627,82.48063662,83.74323095,81.0967113,170.199227,82.72329861,80.07677896,81.33937329,78.69285364,9.442503208,22.03130573,0.204952374,0,0.002,0.273714286,7.017395228,0.173428565,0,0.001571429,0.233285714,8.338718658,2.742619038,0,0.001,0.261142857,88.74054376,0.283452362,0,0.002,0.222857143,7.494682108,0.812571406,0,0.001142857,0.266,25.87537837,0.602035731,0,0.000857143,0.256285714,23.28106099
