P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Small Slate | 1k-10k,Large Slate | 1k-10k,geomean1,Small Slate | 10k-50k,Small Slate | 50k+,Single Game,Large Slate | 10k-50k,Small Slate | 100-1k,Large Slate | 50k+,Saber Score
42991279,42991276,42991458,42991447,42991353,42991525,42991303,42991296,42991495,42991291,,100.63,80.74419785,102.8817024,122.9316998,134.5717026,156.214196,184.9671956,119.62,49800,1,171.55,92.02495012,87.84773618,90.86420878,10.43291411,86.45533154,85.29459019,174.1788618,89.47180413,89.00847753,88.31106278,75.92986822
42991276,42991277,42991485,42991424,42991502,42991365,42991315,42991362,42991390,42991292,,95.93,78.00519943,94.79269791,112.8552017,124.1901955,149.4276947,178.9941972,77.99,48500,1,107.7966667,90.59275764,88.12105201,90.13170311,5.137378379,87.29715013,86.8360956,171.7212211,89.30780123,88.58210654,88.8467467,41.80327058
42991275,42991274,42991529,42991331,42991479,42991541,42991344,42991330,42991305,42991343,,99.54,81,99.25,119.6500015,132.7374969,151.8425026,182.620506,115.46,49100,1,87.8,91.35396479,87.54860637,90.29638734,9.386943641,86.28015357,85.22257612,173.5931135,89.02793453,88.60618383,87.97035708,37.04426289
42991275,42991274,42991529,42991331,42991479,42991541,42991344,42991330,42991343,42991296,,101.39,82.54999924,101,121.2999992,133.4074944,153.8525055,180.8520061,114.65,49700,1,104.8,91.54382077,87.77415108,90.22707766,9.32025124,86.51759452,85.20085141,175.03182,88.97052109,89.0908942,87.65377798,44.08389032
42991276,42991274,42991529,42991331,42991479,42991541,42991344,42991330,42991305,42991343,,100.3,80.92750168,99.09000397,119.4025002,133.1124954,152.0650085,181.1990024,112.13,48600,1,95.75,91.34298868,87.65214333,90.17520931,9.268119364,86.42186154,85.25408217,174.2507175,88.94492753,88.8199227,87.77714815,30.73187768
42991276,42991274,42991412,42991475,42991431,42991334,42991295,42991305,42991363,42991532,,97.33,80.41599655,97.06600189,116.816,128.1135025,148.5259979,181.0425005,100.56,50000,1,81.75,90.75132913,87.50606729,90.00768047,7.804661036,86.42431335,85.68066469,172.2762627,88.92592652,88.24971595,88.18227786,12.49171346
42991285,42991276,42991462,42991312,42991502,42991365,42991315,42991475,42991296,42991297,,98.81,80.3783493,99.77834702,119.1158485,131.6258492,152.8283447,177.8043448,86.12,49500,1,117.2,90.79850088,87.94029306,89.86990119,5.71572313,86.98755712,86.05895743,173.6662298,88.91716525,88.86889275,87.98856556,45.55546045
42991728,42991277,42991485,42991331,42991329,42991519,42991396,42991451,42991305,42991292,,93.54,75.21520042,93.5276947,114.0777016,125.0951954,143.2102005,183.4866917,93.98,48300,1,83.49666667,90.17494838,86.99855401,89.94677603,8.66734059,85.93975588,85.71158353,169.4235127,88.88797791,87.22672636,88.65980556,-12.45667189
42991275,42991276,42991509,42991320,42991308,42991382,42991361,42991409,42991330,42991421,,96.32,79.82749748,97.06499863,114.6525002,125.9124996,146.1149963,177.5019904,80.68,49400,1,85.95,90.22263101,87.71914086,89.6342156,4.572594036,86.88464415,86.29622874,171.9983106,88.79971889,88.30755627,88.21130348,18.48137677
42991285,42991286,42991316,42991385,42991341,42991425,42991332,42991296,42991338,42991310,,95.88,74.81335449,92.91334534,114.5008488,125.9008499,147.7658516,176.4868484,72.83,49500,1,124.85,90.05676182,87.79838288,89.53804448,6.130563653,87.04558989,86.52687255,171.825198,88.7852515,88.31710022,88.26653415,-9.862018377
