DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
43018105,Kyle Harrison,P,,MIL,NYY,Confirmed,8500,12.2,17.64,12.2,17.64,2.075294118,27.23,30.25392036,0,100,3.695,8.06,15.7241,8.5,15.65,22.95,26.5,32.15,37.6505,28.2753,18,27,39,45,53,61,17.7785,9.8,17.7,25.7,29.6,36.2,42.2,24.1739,14,24,34,39.5,47.5,55,10.211,14.7221,11.3776,14.3856,2.79653,0.839267,0.105267,0.785733,0,0,2.52613,0,5.65047,1.9794,22.2163,4.526797,2.33367,5.351,0.236867,0.212667,0.00186667,0.0008,88.9909
43018102,Cam Schlittler,P,,NYY,MIL,Confirmed,10700,24.3,15.94,24.3,15.94,1.489719626,21.02,22.33220291,0,100,4.365,8.06,17.1461,9.7,17.3,24.85,28.3,33.9525,39.7,30.8883,20,30,42,48,56,64,19.2351,10.975,19.6,27.6,31.6,37.7,43.508,26.3423,16,26.5,37,42,50,58,10.5325,15.365,11.6894,14.8455,3.2358,0.914067,0.122467,0.462333,0,0,2.3286,0,5.80807,2.114,23.1119,4.734667,2.15567,5.56,0.353533,0.282467,0.00766667,0.00273333,92.1875
43018103,Landen Roupp,P,,SF,PIT,Confirmed,9200,19.4,15.83,19.4,15.83,1.720652174,22.58,24.38464187,0,100,3.7794,7.8722,15.6404,8.6,15.825,22.95,26.6,32.15,37.8,28.5637,18,28,39,45,53,61,17.4548,9.7,17.7,25.6,29.6,35.6,42.201,24.2911,14.5,24.5,34.5,40,47.525,55.5,10.2906,14.7908,11.4546,14.5125,3.16987,0.905333,0.1136,0.384267,0,0,2.30107,0,5.6522,2.41987,22.2592,4.57307,2.11913,5.22531,0.2516,0.194733,0.0016,0.000933333,89.6027
43018465,Blake Snell,P,,LAD,ATL,Confirmed,9200,3.953333333,14.63,3.95,14.63,1.590217391,17.58,18.3148289,0,100,5.0364,9.1582,15.2497,8.3375,15.45,22.3125,26,31.5525,36.802,27.2262,17,27,37,42,51,60,17.0812,9.5,17.5,25.1,29.2,35.3,41.201,23.526,14,23.5,33.5,39,46.5,54,9.94285,14.2304,11.0659,14.0549,2.67185,0.81675,0.05235,0.50025,0,0,2.1046,0,5.265,2.23905,20.7777,4.0412,1.93705,4.95665,0.3019,0.14025,0.00045,0.0003,85.1144
43018107,Jack Leiter,P,,TEX,CHC,Confirmed,8100,17.7,14.2,17.7,14.2,1.75308642,14.2,14.36770728,0,100,3.8648,8.748,13.8579,6.55,13.95,21.4,25.0075,30.8,35.951,26.3677,15,26,37,43,52,59,15.6907,7.7,15.8,24,28.3,34.5,40.201,21.6976,11.5,22,32.5,37.5,45.5,52.5,10.5001,15.1727,11.7017,14.7683,3.22893,0.938733,0.137933,0.667667,0,0,2.8236,0,5.18927,2.43713,23.284,4.973263,2.61353,5.42873,0.2306,0.242667,0.00433333,0.00193333,91.8434
43018110,Braxton Ashcraft,P,,PIT,SF,Confirmed,7700,26.15,13.91,26.15,13.91,1.806493506,21.9,23.66506898,0,100,4.0928,7.8722,14.7031,7.85,15,22.2,25.5575,31.1,36.3,27.4723,17,27,38,43.15,52,60,16.6541,8.9,16.9,24.8,28.615,34.7,40.5,22.8015,13,23.5,33,38,46,53.5,10.2395,14.906,11.4001,14.3838,3.55253,1.06613,0.141,0.374,0,0,2.40747,0,4.8662,2.03573,23.2909,5.13366,2.2284,5.52267,0.315733,0.274133,0.0124667,0.00346667,86.9272
43018112,Edward Cabrera,P,,CHC,TEX,Confirmed,7400,8.45,13.37,8.45,13.37,1.806756757,25.4,28.09214541,0,100,4.8832,8.748,15.3425,8.0375,15.55,22.5625,26.2,31.5525,37.35,28.3441,18,28,39,44,53,61,17.3205,9,17.6,25.5,29.5,35.4,41.401,23.7649,13.5,24,34,39,47,55,10.3017,14.9855,11.4498,14.5203,3.08147,0.8898,0.1174,0.587667,0,0,2.48847,0,5.19193,2.41913,23.1619,4.676337,2.3034,5.50062,0.356867,0.258867,0.0058,0.00133333,91.2643
43018109,Michael Wacha,P,,KC,DET,Confirmed,7900,28.75,13.03,28.75,13.03,1.649367089,8.45,7.772083358,0,100,5.039,9.9864,13.0137,6.15,13.2,20.2,23.95,29.35,34.9005,25.0194,15,24,36,42,49,57,15.0107,7.4,15.4,22.8,27.4,33.4,38.606,20.2926,10.5,20.5,30.5,36,43,50.5,10.1943,14.7596,11.3622,14.2826,3.45135,1.18955,0.25655,0.70155,0,0,2.89965,0,4.4442,1.68285,23.7188,5.599,2.68175,5.61555,0.2982,0.27405,0.0083,0.00345,88.3417
43018111,Randy Vasquez,P,,SD,STL,Confirmed,7600,21.65,12.78,21.65,12.78,1.681578947,10.75,10.35990453,0,100,4.3474,8.333,13.0137,6.45,13.2,19.95,23.25,28.7,33.65,24.6835,15,24,35,40,48,55,15.022,7.7,15,22.7,26.5,32.4,37.6,20.2124,11,20.5,30,34.5,42,49,9.68962,14.0395,10.8218,13.5853,3.4782,0.933933,0.0725333,0.6206,0,0,2.4936,0,4.12233,1.83853,22.9654,5.1052663,2.3074,5.48878,0.2938,0.2524,0.0066,0.00346667,88.4713
43018114,Dustin May,P,,STL,SD,Confirmed,6500,20.5,12.67,20.5,12.67,1.949230769,11.97,11.73898704,0,100,3.9856,8.333,12.6664,5.95,12.95,19.7,23.1,28.4,34.2,24.5849,15,24,35,40,48,55,14.7333,7.4,15,22.6,26.415,32.3,38.301,19.6832,10.5,20,29.5,34,41.5,49.5,9.93005,14.3819,11.064,13.8485,3.90547,1.05473,0.0924,0.6746,0,0,2.8302,0,4.03067,1.61967,24.2512,5.7272,2.61393,5.78169,0.291733,0.3098,0.0222,0.00366667,89.4727
