P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42429593,42429591,42429807,42429625,42429710,42429644,42429652,42429617,42429621,42429660,111.11,49700,22.72,199.80,5.2419,0.0000
42429593,42429591,42429641,42429625,42429732,42429644,42429673,42429660,42429643,42429617,108.19,49900,16.19,198.80,4.6963,0.0000
42429595,42429593,42429665,42429619,42429732,42429644,42429673,42429660,42429621,42429622,105.74,49900,15.56,195.56,4.3619,0.0000
42429595,42429591,42429705,42429625,42429732,42429795,42429639,42429660,42429621,42429607,106.67,49500,15.43,195.56,4.2739,0.0000
42429599,42429591,42429728,42429625,42429710,42429644,42429639,42429617,42429621,42429645,105.01,50000,19.41,193.86,4.2445,0.0000
42429591,42429594,42429668,42429625,42429754,42429649,42429729,42429617,42429621,42429648,103.09,49700,20.51,190.40,3.9600,0.0000
42429592,42429591,42429668,42429625,42429664,42429644,42429673,42429607,42429747,42429660,104.88,49900,20.72,192.30,3.9483,0.0000
42429595,42429594,42429665,42429619,42429715,42429644,42429673,42429643,42429660,42429621,103.27,49200,16.21,190.16,3.9219,0.0000
42429591,42429595,42429668,42429608,42429678,42429739,42429618,42429617,42429663,42429754,102.72,49800,18.02,187.56,3.8632,0.0000
42429596,42429591,42429668,42429608,42429754,42429706,42429673,42429621,42429660,42429617,102.00,49900,22.35,188.20,3.8485,0.0000
42429595,42429593,42429724,42429659,42429670,42429644,42429652,42429660,42429620,42429638,103.39,48500,15.78,187.56,3.8456,0.0000
42429599,42429591,42429705,42429625,42429664,42429644,42429673,42429607,42429776,42429621,103.70,49500,18.45,189.86,3.8456,0.0000
42429595,42429591,42429697,42429625,42429664,42429649,42429673,42429646,42429660,42429621,103.66,49300,18.07,187.56,3.7693,0.0000
42429599,42429591,42429705,42429619,42429754,42429644,42429616,42429617,42429660,42429643,102.38,50000,16.89,188.86,3.7664,0.0000
42429591,42429593,42429665,42429625,42429670,42429731,42429673,42429814,42429628,42429611,102.78,48500,11.70,184.80,3.7517,0.0000
42429595,42429594,42429807,42429655,42429670,42429644,42429729,42429606,42429660,42429628,102.14,48400,12.85,185.16,3.7459,0.0000
42429591,42429595,42429668,42429619,42429754,42429744,42429729,42429648,42429617,42429621,101.76,48600,15.60,185.56,3.7312,0.0000
42429595,42429604,42429627,42429625,42429664,42429731,42429613,42429621,42429631,42429660,101.45,50000,14.17,188.56,3.6285,0.0000
42429593,42429591,42429705,42429625,42429732,42429739,42429652,42429638,42429611,42429642,101.48,49000,10.52,185.80,3.6197,0.0000
42429593,42429591,42429665,42429634,42429670,42429609,42429618,42429663,42429723,42429751,100.99,49500,8.60,184.80,3.6197,0.0000
42429592,42429591,42429668,42429608,42429670,42429649,42429822,42429643,42429617,42429723,100.01,49100,13.76,184.45,3.6168,0.0000
42429591,42429594,42429695,42429625,42429754,42429644,42429673,42429660,42429827,42429607,101.59,47800,19.25,186.40,3.5963,0.0000
42429591,42429599,42429668,42429625,42429664,42429795,42429673,42429611,42429621,42429628,102.55,49900,22.37,185.86,3.5757,0.0000
42429593,42429591,42429668,42429710,42429706,42429649,42429770,42429606,42429660,42429648,101.47,47900,15.64,185.80,3.5757,0.0000
42429591,42429593,42429668,42429619,42429706,42429649,42429616,42429606,42429827,42429754,101.07,49600,15.63,183.80,3.5699,0.0000
42429591,42429593,42429724,42429608,42429670,42429702,42429652,42429628,42429638,42429723,101.52,48900,12.18,184.80,3.5640,0.0000
42429599,42429591,42429724,42429659,42429739,42429644,42429652,42429617,42429660,42429638,100.99,47500,15.70,186.86,3.5464,0.0000
42429595,42429591,42429668,42429608,42429719,42429671,42429652,42429827,42429617,42429643,99.96,48500,10.28,182.71,3.5317,0.0000
42429595,42429596,42429665,42429625,42429667,42429644,42429673,42429607,42429776,42429621,100.70,49900,13.84,185.96,3.4965,0.0000
42429595,42429591,42429807,42429634,42429670,42429731,42429629,42429663,42429628,42429617,100.35,48800,9.42,180.56,3.4701,0.0000
42429595,42429596,42429763,42429625,42429715,42429644,42429673,42429669,42429606,42429621,100.45,49400,20.28,184.96,3.4672,0.0000
42429595,42429593,42429724,42429608,42429732,42429714,42429652,42429638,42429621,42429620,101.17,50000,15.51,186.56,3.4496,0.0000
42429599,42429591,42429752,42429625,42429710,42429772,42429613,42429662,42429617,42429615,100.29,49500,10.32,182.86,3.4437,0.0000
42429595,42429593,42429665,42429614,42429670,42429731,42429673,42429694,42429642,42429617,99.64,48600,8.88,180.56,3.4379,0.0000
42429591,42429595,42429661,42429619,42429706,42429644,42429616,42429744,42429660,42429776,101.37,47700,12.09,183.56,3.4320,0.0000
42429596,42429591,42429807,42429608,42429754,42429706,42429613,42429621,42429827,42429617,99.69,48900,14.42,182.20,3.4291,0.0000
42429594,42429595,42429656,42429625,42429664,42429644,42429618,42429795,42429610,42429723,101.34,49600,14.77,186.16,3.4261,0.0000
42429595,42429592,42429752,42429625,42429670,42429731,42429729,42429621,42429628,42429622,100.57,48800,10.81,184.06,3.4261,0.0000
42429593,42429599,42429728,42429634,42429664,42429644,42429673,42429759,42429621,42429606,101.23,49000,18.73,185.86,3.4232,0.0000
42429596,42429591,42429661,42429619,42429754,42429644,42429616,42429621,42429776,42429643,99.15,49700,12.78,184.20,3.4027,0.0000
42429594,42429591,42429661,42429619,42429732,42429795,42429616,42429621,42429643,42429776,99.19,48500,10.10,184.40,3.3880,0.0000
42429591,42429592,42429724,42429659,42429754,42429644,42429652,42429660,42429620,42429611,100.55,49500,16.82,184.30,3.3792,0.0000
42429595,42429593,42429807,42429632,42429670,42429840,42429652,42429606,42429642,42429628,99.83,48300,8.55,178.56,3.3733,0.0000
42429593,42429591,42429705,42429608,42429754,42429649,42429612,42429716,42429617,42429812,100.22,49300,11.79,183.80,3.3704,0.0000
42429595,42429598,42429665,42429608,42429664,42429795,42429613,42429660,42429669,42429621,100.40,49700,17.62,186.46,3.3645,0.0000
42429599,42429591,42429807,42429608,42429754,42429649,42429618,42429621,42429827,42429615,99.87,49100,13.80,183.86,3.3616,0.0000
42429595,42429591,42429695,42429608,42429754,42429739,42429673,42429615,42429648,42429617,100.75,49900,16.70,185.56,3.3616,0.0000
