P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42441366,42441367,42441420,42441406,42441634,42441434,42441491,42441398,42441453,42441553,102.96,49200,15.56,191.26,0.0939,0.0000
42441364,42441370,42441507,42441628,42441471,42441572,42441397,42441438,42441522,42441391,99.75,48700,7.11,187.90,0.0997,0.0000
42441366,42441365,42441486,42441406,42441425,42441496,42441432,42441396,42441624,42441640,100.37,48800,12.80,186.30,0.0851,0.0000
42441363,42441364,42441456,42441475,42441554,42441434,42441407,42441611,42441452,42441590,97.46,48800,11.31,179.75,0.0645,0.0000
42441367,42441366,42441501,42441406,42441425,42441434,42441432,42441396,42441640,42441595,102.94,49300,19.20,190.26,0.0704,0.0000
42441363,42441370,42441448,42441406,42441475,42441450,42441614,42441596,42441395,42441553,98.59,48500,9.85,185.30,0.0587,0.0000
42441366,42441372,42441501,42441389,42441425,42441445,42441437,42441433,42441553,42441450,98.47,49800,12.80,184.75,0.0557,0.0000
42441367,42441375,42441507,42441455,42441442,42441496,42441432,42441398,42441396,42441512,99.40,49300,11.12,187.31,0.0499,0.0000
42441370,42441372,42441569,42441401,42441558,42441419,42441397,42441522,42441438,42441482,97.30,48000,6.78,188.95,0.0733,0.0000
42441370,42441364,42441507,42441401,42441548,42441652,42441397,42441522,42441427,42441453,101.31,48700,8.64,189.90,0.0997,0.0000
42441372,42441374,42441420,42441389,42441558,42441445,42441437,42441553,42441395,42441438,97.35,49800,9.34,185.00,0.0909,0.0000
42441369,42441364,42441698,42441444,42441574,42441429,42441563,42441398,42441596,42441386,96.84,48700,7.57,181.95,0.0499,0.0000
42441365,42441366,42441501,42441455,42441425,42441538,42441496,42441398,42441640,42441396,99.24,49000,14.50,185.30,0.0616,0.0000
42441366,42441364,42441501,42441406,42441431,42441617,42441491,42441398,42441453,42441565,103.48,49400,14.57,190.70,0.0880,0.0000
42441366,42441371,42441501,42441455,42441425,42441466,42441432,42441396,42441625,42441398,99.51,49800,16.81,187.60,0.0733,0.0000
42441370,42441367,42441569,42441401,42441567,42441434,42441397,42441534,42441438,42441522,98.78,48000,8.36,188.46,0.0909,0.0000
42441370,42441364,42441507,42441401,42441574,42441434,42441407,42441522,42441647,42441422,99.14,48700,7.48,186.05,0.0675,0.0000
42441369,42441364,42441409,42441444,42441688,42441508,42441437,42441522,42441596,42441427,98.51,47100,7.34,185.95,0.0851,0.0000
42441370,42441364,42441507,42441401,42441554,42441390,42441491,42441438,42441522,42441603,98.74,48700,7.30,186.90,0.0968,0.0000
42441365,42441366,42441501,42441405,42441454,42441450,42441491,42441387,42441625,42441453,98.64,49900,15.21,186.15,0.0645,0.0000
42441364,42441369,42441409,42441444,42441574,42441536,42441614,42441596,42441427,42441396,98.57,48200,8.50,184.95,0.0645,0.0000
