P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42502386,42502383,42502544,42502545,42502461,42502441,42502497,42502405,42502669,42502475,102.76,49900,5.86,188.15,27.8193,0.0797
42502395,42502385,42502529,42502403,42502537,42502482,42502436,42502454,42502610,42502412,110.12,50000,11.18,202.81,18.7691,0.0673
42502383,42502395,42502480,42502407,42502501,42502491,42502571,42502524,42502424,42502465,103.68,49800,6.53,188.71,28.0464,0.0880
42502384,42502395,42502509,42502437,42502501,42502459,42502430,42502474,42502434,42502462,106.52,49300,14.29,196.26,42.7827,0.0890
42502386,42502395,42502544,42502420,42502461,42502441,42502419,42502525,42502465,42502474,102.71,49500,11.53,188.96,23.2022,0.0660
42502386,42502395,42502448,42502422,42502603,42502482,42502430,42502406,42502548,42502474,110.66,50000,24.18,200.96,9.3640,0.0523
42502383,42502395,42502473,42502403,42502501,42502603,42502436,42502440,42502453,42502669,107.97,49500,11.56,195.71,6.8694,0.0390
42502390,42502386,42502539,42502417,42502510,42502451,42502419,42502406,42502616,42502609,103.45,49900,12.21,193.60,7.6673,0.0390
42502384,42502387,42502473,42502422,42502494,42502603,42502419,42502548,42502444,42502474,104.54,49700,15.10,192.50,1.4989,0.0157
42502383,42502397,42502539,42502417,42502586,42502451,42502415,42502440,42502659,42502426,103.78,49700,8.19,190.60,8.4941,0.0480
42502383,42502386,42502480,42502518,42502510,42502491,42502553,42502434,42502405,42502616,103.19,49800,7.13,190.15,29.3136,0.0720
42502388,42502386,42502544,42502437,42502494,42502441,42502497,42502403,42502579,42502465,102.79,49900,10.65,191.80,16.4443,0.0557
42502386,42502395,42502509,42502422,42502603,42502482,42502419,42502403,42502616,42502524,110.85,48900,22.41,201.96,6.5221,0.0377
42502383,42502384,42502509,42502443,42502510,42502491,42502553,42502414,42502435,42502610,102.71,49700,6.71,189.45,29.7637,0.0863
42502392,42502395,42502539,42502422,42502537,42502482,42502430,42502403,42502610,42502412,110.53,49900,16.18,204.56,12.2743,0.0507
42502385,42502383,42502509,42502422,42502494,42502428,42502419,42502462,42502610,42502669,112.33,49900,14.48,204.00,7.2143,0.0517
42502385,42502395,42502448,42502437,42502577,42502482,42502553,42502669,42502412,42502403,111.35,49200,14.83,202.81,13.2993,0.0677
42502386,42502388,42502509,42502493,42502494,42502482,42502553,42502525,42502414,42502406,104.79,49900,12.31,195.80,5.0181,0.0267
