P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42449038,42449041,42449184,42449203,42449213,42449245,42449096,42449079,42449076,42449066,97.73,48000,8.63,180.45,0.0029,0.0000
42449050,42449034,42449184,42449073,42449123,42449143,42449113,42449117,42449059,42449120,99.37,49500,16.35,194.36,0.0029,0.0000
42449033,42449041,42449184,42449068,42449141,42449100,42449096,42449221,42449192,42449065,98.50,49700,10.17,178.65,0.0000,0.0000
42449050,42449035,42449083,42449068,42449190,42449100,42449106,42449192,42449145,42449066,97.59,49500,5.19,175.81,0.0000,0.0000
42449041,42449043,42449083,42449057,42449136,42449134,42449248,42449215,42449065,42449145,97.23,48900,12.02,185.10,0.0000,0.0000
42449041,42449038,42449139,42449068,42449175,42449213,42449096,42449215,42449110,42449067,98.16,48600,9.28,182.45,0.0000,0.0000
42449034,42449041,42449210,42449057,42449086,42449105,42449166,42449071,42449129,42449278,99.76,49700,11.05,186.36,0.0000,0.0000
42449050,42449042,42449146,42449073,42449123,42449105,42449072,42449076,42449278,42449071,98.18,49200,12.52,184.95,0.0029,0.0000
42449034,42449044,42449083,42449073,42449206,42449105,42449166,42449222,42449071,42449082,100.57,49800,14.27,194.26,0.0029,0.0000
42449034,42449042,42449184,42449128,42449191,42449105,42449166,42449117,42449108,42449071,96.95,48400,9.56,187.41,0.0029,0.0000
42449034,42449050,42449263,42449073,42449123,42449105,42449150,42449107,42449117,42449071,99.20,48600,16.53,192.36,0.0029,0.0000
42449034,42449042,42449210,42449073,42449133,42449105,42449096,42449278,42449071,42449134,97.58,48800,13.18,190.41,0.0029,0.0000
42449034,42449050,42449184,42449128,42449123,42449105,42449166,42449163,42449102,42449071,98.21,47500,9.95,185.36,0.0029,0.0000
42449034,42449041,42449210,42449141,42449133,42449105,42449166,42449117,42449163,42449071,99.09,48000,9.91,185.36,0.0029,0.0000
42449034,42449044,42449083,42449073,42449239,42449105,42449166,42449071,42449066,42449278,97.13,49800,10.11,188.26,0.0029,0.0000
42449034,42449050,42449184,42449103,42449123,42449105,42449150,42449155,42449071,42449117,99.35,48000,12.23,188.36,0.0029,0.0000
42449034,42449041,42449103,42449132,42449264,42449105,42449166,42449071,42449278,42449117,99.48,47200,11.84,188.36,0.0029,0.0000
42449034,42449044,42449184,42449073,42449264,42449105,42449166,42449149,42449108,42449071,97.49,48200,10.44,189.26,0.0029,0.0000
42449034,42449050,42449184,42449073,42449133,42449105,42449119,42449117,42449071,42449107,101.17,49500,12.81,193.36,0.0029,0.0000
42449034,42449050,42449210,42449073,42449078,42449105,42449087,42449107,42449071,42449203,99.94,49700,15.15,195.36,0.0000,0.0000
42449041,42449034,42449184,42449073,42449123,42449084,42449166,42449148,42449129,42449071,98.70,50000,9.85,188.36,0.0000,0.0000
42449041,42449042,42449210,42449053,42449123,42449105,42449166,42449222,42449071,42449102,100.17,49400,13.71,186.95,0.0000,0.0000
42449050,42449041,42449184,42449073,42449180,42449074,42449157,42449065,42449067,42449093,101.26,50000,11.49,182.90,0.0000,0.0000
42449041,42449034,42449139,42449068,42449141,42449105,42449106,42449117,42449192,42449145,100.42,49200,8.84,183.36,0.0000,0.0000
42449041,42449034,42449210,42449073,42449190,42449150,42449166,42449134,42449071,42449097,97.92,48600,9.49,186.36,0.0000,0.0000
42449050,42449041,42449139,42449057,42449141,42449134,42449248,42449055,42449192,42449065,98.05,49600,10.40,182.90,0.0000,0.0000
42449034,42449050,42449210,42449073,42449136,42449074,42449166,42449070,42449071,42449192,99.32,49400,9.17,185.36,0.0000,0.0000
42449041,42449050,42449083,42449069,42449180,42449105,42449096,42449076,42449149,42449097,104.15,49600,8.81,183.90,0.0000,0.0000
42449050,42449034,42449103,42449073,42449123,42449105,42449106,42449117,42449145,42449278,99.75,47700,12.03,186.36,0.0000,0.0000
42449034,42449044,42449184,42449073,42449158,42449105,42449113,42449056,42449215,42449117,98.67,49900,17.94,196.26,0.0029,0.0000
42449044,42449034,42449189,42449053,42449158,42449105,42449096,42449082,42449117,42449222,101.45,50000,15.37,194.26,0.0029,0.0000
42449548,42449041,42449210,42449094,42449078,42449105,42449113,42449120,42449117,42449071,97.52,49800,14.06,192.80,0.0029,0.0000
42449035,42449548,42449184,42449073,42449206,42449105,42449096,42449107,42449071,42449155,97.91,49700,13.64,192.71,0.0029,0.0000
42449034,42449038,42449210,42449132,42449264,42449105,42449166,42449071,42449058,42449130,97.04,49300,10.78,187.91,0.0029,0.0000
42449034,42449044,42449184,42449073,42449078,42449105,42449096,42449278,42449145,42449117,98.86,48600,12.94,189.26,0.0029,0.0000
42449034,42449038,42449210,42449239,42449321,42449105,42449166,42449117,42449058,42449071,97.79,48000,10.06,185.91,0.0029,0.0000
42449044,42449034,42449184,42449068,42449245,42449105,42449166,42449071,42449120,42449117,97.40,48900,12.57,189.26,0.0029,0.0000
42449041,42449034,42449210,42449128,42449123,42449105,42449157,42449071,42449117,42449163,97.96,48400,9.64,185.36,0.0029,0.0000
42449034,42449042,42449210,42449073,42449229,42449105,42449106,42449071,42449117,42449107,97.68,49600,12.64,190.41,0.0029,0.0000
42449049,42449041,42449122,42449068,42449136,42449090,42449096,42449058,42449117,42449305,100.58,49100,8.80,184.30,0.0000,0.0000
42449034,42449041,42449210,42449073,42449252,42449063,42449166,42449144,42449117,42449071,100.10,49500,10.22,190.36,0.0000,0.0000
42449050,42449034,42449184,42449124,42449191,42449105,42449166,42449071,42449056,42449145,100.92,48800,10.39,187.36,0.0000,0.0000
42449034,42449038,42449184,42449073,42449239,42449061,42449106,42449071,42449117,42449278,97.69,49800,8.75,187.91,0.0000,0.0000
42449041,42449038,42449139,42449073,42449175,42449116,42449113,42449065,42449110,42449222,98.45,49100,13.48,185.45,0.0000,0.0000
42449041,42449049,42449103,42449057,42449175,42449116,42449166,42449082,42449065,42449134,97.49,49900,11.37,183.30,0.0000,0.0000
42449034,42449041,42449139,42449124,42449153,42449143,42449072,42449082,42449120,42449107,99.06,50000,11.45,191.36,0.0000,0.0000
42449034,42449050,42449210,42449073,42449180,42449105,42449106,42449278,42449064,42449071,100.57,48500,10.88,185.36,0.0000,0.0000
42449034,42449041,42449184,42449073,42449252,42449121,42449166,42449140,42449071,42449062,99.16,49900,8.54,188.36,0.0000,0.0000
42449041,42449038,42449139,42449077,42449123,42449134,42449072,42449222,42449215,42449065,98.09,49100,15.88,190.45,0.0000,0.0000
42449041,42449050,42449139,42449057,42449098,42449134,42449248,42449110,42449091,42449082,98.96,48800,12.26,186.90,0.0000,0.0000
42449041,42449038,42449184,42449057,42449175,42449116,42449096,42449134,42449130,42449110,97.15,49200,10.78,182.45,0.0000,0.0000
42449035,42449050,42449139,42449057,42449086,42449105,42449113,42449215,42449082,42449110,101.29,50000,17.18,190.81,0.0000,0.0000
42449049,42449041,42449287,42449068,42449136,42449090,42449106,42449305,42449134,42449058,96.95,47000,6.32,180.30,0.0000,0.0000
42449041,42449050,42449146,42449124,42449153,42449143,42449113,42449056,42449066,42449107,100.79,49500,8.76,184.90,0.0000,0.0000
42449033,42449041,42449146,42449321,42449136,42449126,42449096,42449097,42449108,42449082,98.37,48400,6.74,177.65,0.0000,0.0000
42449041,42449038,42449184,42449073,42449123,42449105,42449113,42449117,42449162,42449065,101.64,50000,16.63,193.45,0.0000,0.0000
42449034,42449050,42449184,42449073,42449264,42449105,42449166,42449067,42449117,42449145,101.12,47400,11.76,188.36,0.0000,0.0000
42449041,42449049,42449139,42449057,42449136,42449134,42449113,42449110,42449056,42449215,98.49,49600,15.32,190.30,0.0000,0.0000
42449041,42449034,42449184,42449073,42449190,42449090,42449166,42449278,42449140,42449071,98.46,47800,8.68,186.36,0.0000,0.0000
42449034,42449041,42449184,42449073,42449190,42449105,42449166,42449117,42449291,42449070,99.53,47900,13.66,184.36,0.0000,0.0000
42449050,42449041,42449103,42449073,42449133,42449105,42449166,42449155,42449055,42449140,101.99,49400,8.25,187.90,0.0000,0.0000
42449034,42449050,42449184,42449128,42449123,42449105,42449166,42449076,42449058,42449278,99.70,47800,10.51,184.36,0.0000,0.0000
42449050,42449041,42449139,42449158,42449206,42449088,42449072,42449065,42449056,42449215,100.45,49200,17.22,190.90,0.0000,0.0000
42449041,42449034,42449184,42449073,42449239,42449074,42449166,42449071,42449117,42449232,98.82,48600,10.08,188.36,0.0000,0.0000
42449034,42449041,42449210,42449068,42449180,42449105,42449166,42449278,42449129,42449071,99.09,47800,8.70,184.36,0.0000,0.0000
42449049,42449041,42449189,42449132,42449098,42449134,42449096,42449082,42449067,42449222,99.26,47500,10.20,186.30,0.0000,0.0000
42449034,42449041,42449184,42449118,42449252,42449105,42449166,42449290,42449053,42449071,99.94,48700,9.34,188.36,0.0000,0.0000
42449041,42449043,42449139,42449057,42449153,42449116,42449166,42449065,42449117,42449134,97.99,50000,13.42,184.10,0.0000,0.0000
42449034,42449050,42449095,42449073,42449206,42449105,42449072,42449071,42449215,42449117,102.19,49700,18.57,197.36,0.0000,0.0000
42449034,42449041,42449139,42449084,42449078,42449105,42449166,42449071,42449278,42449117,101.77,49600,14.51,192.36,0.0000,0.0000
42449041,42449050,42449184,42449158,42449206,42449164,42449072,42449056,42449062,42449117,99.94,49000,13.14,188.90,0.0000,0.0000
42449041,42449034,42449210,42449118,42449123,42449105,42449166,42449278,42449203,42449053,97.66,47800,11.46,185.36,0.0000,0.0000
42449041,42449037,42449189,42449147,42449213,42449063,42449096,42449222,42449163,42449065,97.63,48000,6.38,178.60,0.0000,0.0000
42449034,42449050,42449184,42449118,42449123,42449121,42449166,42449117,42449071,42449134,96.93,47500,11.49,187.36,0.0000,0.0000
42449041,42449034,42449184,42449069,42449123,42449175,42449166,42449117,42449071,42449155,99.14,49000,12.60,188.36,0.0000,0.0000
42449050,42449041,42449184,42449073,42449078,42449105,42449096,42449082,42449215,42449071,109.20,49300,20.29,198.90,0.0000,0.0000
42449034,42449050,42449173,42449073,42449078,42449188,42449081,42449059,42449215,42449117,97.87,49500,15.99,193.36,0.0000,0.0000
42449041,42449049,42449139,42449057,42449175,42449116,42449096,42449058,42449110,42449192,97.39,49600,9.47,179.30,0.0000,0.0000
42449041,42449034,42449184,42449084,42449252,42449105,42449166,42449066,42449278,42449070,100.09,48400,8.41,182.36,0.0000,0.0000
42449034,42449038,42449184,42449073,42449180,42449105,42449166,42449278,42449067,42449091,97.73,48900,10.43,186.91,0.0000,0.0000
42449050,42449041,42449139,42449057,42449213,42449134,42449248,42449162,42449065,42449055,97.78,49200,9.88,184.90,0.0000,0.0000
42449041,42449034,42449184,42449073,42449206,42449134,42449166,42449071,42449215,42449117,101.42,47800,17.63,197.36,0.0000,0.0000
42449050,42449038,42449173,42449073,42449078,42449105,42449113,42449071,42449120,42449117,101.82,49800,18.07,196.45,0.0000,0.0000
42449041,42449034,42449184,42449073,42449078,42449105,42449166,42449215,42449071,42449305,103.01,48200,15.17,195.36,0.0000,0.0000
42449034,42449041,42449184,42449103,42449086,42449105,42449185,42449278,42449076,42449071,99.46,49100,9.97,185.36,0.0000,0.0000
42449050,42449038,42449125,42449073,42449153,42449143,42449096,42449107,42449056,42449120,100.62,49900,11.69,190.45,0.0000,0.0000
42449034,42449041,42449220,42449073,42449123,42449090,42449166,42449278,42449091,42449071,97.20,48900,11.02,188.36,0.0000,0.0000
42449050,42449042,42449184,42449057,42449158,42449105,42449166,42449278,42449107,42449065,98.44,47200,12.95,184.95,0.0000,0.0000
42449034,42449041,42449184,42449073,42449321,42449105,42449150,42449117,42449071,42449065,103.87,50000,14.66,194.36,0.0000,0.0000
42449041,42449034,42449189,42449053,42449158,42449105,42449166,42449117,42449215,42449071,103.82,50000,18.06,198.36,0.0000,0.0000
42449035,42449050,42449139,42449147,42449133,42449164,42449096,42449222,42449056,42449163,97.44,47200,8.63,178.81,0.0000,0.0000
42449050,42449041,42449287,42449057,42449175,42449061,42449248,42449065,42449055,42449215,97.43,49400,7.80,181.90,0.0000,0.0000
42449049,42449034,42449184,42449053,42449136,42449105,42449166,42449082,42449071,42449203,99.92,50000,14.78,192.76,0.0000,0.0000
42449041,42449050,42449103,42449118,42449229,42449084,42449113,42449064,42449091,42449070,98.80,49900,6.71,180.90,0.0000,0.0000
42449041,42449034,42449184,42449073,42449158,42449105,42449166,42449134,42449278,42449102,99.57,47100,14.39,190.36,0.0000,0.0000
42449034,42449050,42449210,42449073,42449133,42449105,42449166,42449056,42449252,42449117,100.40,48200,11.06,187.36,0.0000,0.0000
42449041,42449037,42449139,42449057,42449136,42449090,42449106,42449134,42449110,42449215,97.03,49600,10.37,183.60,0.0000,0.0000
42449050,42449034,42449184,42449053,42449133,42449105,42449166,42449140,42449278,42449117,99.95,47400,10.80,187.36,0.0000,0.0000
42449034,42449041,42449184,42449073,42449133,42449105,42449072,42449278,42449228,42449117,99.49,48000,12.16,189.36,0.0000,0.0000
42449041,42449050,42449287,42449057,42449136,42449116,42449088,42449065,42449134,42449110,99.34,48800,11.24,183.90,0.0000,0.0000
42449038,42449034,42449210,42449073,42449239,42449105,42449166,42449071,42449215,42449145,97.83,47600,11.56,188.91,0.0000,0.0000
42449034,42449041,42449083,42449073,42449175,42449207,42449166,42449071,42449117,42449278,98.86,48200,11.73,187.36,0.0000,0.0000
42449050,42449049,42449189,42449321,42449206,42449063,42449096,42449066,42449059,42449108,97.65,47300,7.65,183.30,0.0000,0.0000
42449034,42449041,42449210,42449203,42449213,42449105,42449166,42449071,42449117,42449070,100.33,48200,11.77,187.36,0.0000,0.0000
42449034,42449041,42449184,42449084,42449098,42449105,42449248,42449117,42449278,42449071,98.51,48000,12.01,188.36,0.0000,0.0000
42449044,42449041,42449095,42449057,42449175,42449229,42449096,42449110,42449108,42449215,97.11,47900,10.31,181.81,0.0000,0.0000
42449034,42449050,42449184,42449073,42449098,42449105,42449166,42449117,42449348,42449066,98.00,47500,10.87,187.36,0.0000,0.0000
42449041,42449049,42449139,42449147,42449086,42449126,42449096,42449222,42449082,42449107,99.11,47100,10.53,182.30,0.0000,0.0000
42449050,42449034,42449210,42449073,42449123,42449105,42449166,42449066,42449162,42449140,98.01,48100,10.26,186.36,0.0000,0.0000
42449041,42449042,42449184,42449073,42449264,42449134,42449096,42449117,42449071,42449058,103.04,50000,16.05,194.95,0.0000,0.0000
42449050,42449034,42449210,42449069,42449239,42449105,42449166,42449149,42449056,42449117,99.03,48300,9.48,185.36,0.0000,0.0000
42449041,42449050,42449139,42449057,42449133,42449175,42449218,42449134,42449070,42449065,98.36,49000,10.84,181.90,0.0000,0.0000
42449034,42449050,42449210,42449073,42449133,42449116,42449166,42449071,42449171,42449117,98.17,47700,14.98,186.36,0.0000,0.0000
42449041,42449037,42449139,42449068,42449141,42449105,42449106,42449056,42449192,42449221,97.44,49900,9.32,176.60,0.0000,0.0000
42449050,42449041,42449173,42449132,42449078,42449188,42449081,42449059,42449071,42449107,99.77,49700,12.81,189.90,0.0000,0.0000
42449034,42449044,42449184,42449073,42449123,42449105,42449113,42449076,42449071,42449252,97.01,49900,12.24,189.26,0.0029,0.0000
42449041,42449050,42449210,42449057,42449239,42449116,42449248,42449055,42449065,42449134,97.68,48800,9.23,180.90,0.0000,0.0000
