CPT,FLEX,FLEX,FLEX,FLEX,FLEX,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42442770,42442672,42442689,42442674,42442691,42442673,56.66,49000,22.04,106.65,99.4654,0.1837
42442770,42442689,42442673,42442687,42442672,42442680,56.80,48200,22.76,106.65,97.8980,0.1907
42442770,42442682,42442675,42442672,42442695,42442673,57.06,49600,21.72,105.65,63.3170,0.1323
42442770,42442689,42442686,42442672,42442673,42442677,57.06,49200,22.56,107.65,83.9285,0.1430
42442779,42442679,42442672,42442676,42442673,42442689,55.61,48300,18.15,104.65,54.5395,0.1180
42442753,42442681,42442687,42442696,42442682,42442674,56.60,49900,25.19,98.45,19.5917,0.0473
42442754,42442696,42442674,42442682,42442680,42442686,55.41,49900,24.26,98.50,10.9951,0.0313
42442753,42442683,42442691,42442698,42442680,42442672,58.05,49700,24.40,100.60,29.3363,0.0643
42442753,42442681,42442674,42442686,42442682,42442698,56.48,49700,24.86,98.30,11.5270,0.0433
42442754,42442691,42442679,42442673,42442698,42442680,56.12,49900,23.58,98.70,15.9397,0.0560
42442753,42442689,42442687,42442676,42442681,42442686,55.74,49900,23.68,99.30,16.5479,0.0583
42442753,42442692,42442691,42442674,42442673,42442695,56.39,49500,23.15,97.65,23.3249,0.0743
42442753,42442680,42442689,42442687,42442686,42442677,55.96,49900,23.68,100.30,17.1072,0.0637
42442754,42442687,42442673,42442678,42442686,42442696,56.17,49900,24.57,98.85,11.9406,0.0460
42442754,42442675,42442696,42442672,42442689,42442691,58.10,49700,26.21,103.80,30.8763,0.0833
42442754,42442674,42442696,42442683,42442698,42442673,56.43,49500,25.32,99.85,11.2816,0.0510
42442753,42442689,42442687,42442692,42442672,42442683,57.97,49700,24.47,101.60,36.4662,0.0983
42442754,42442691,42442680,42442686,42442696,42442672,57.40,48700,25.80,100.80,16.4531,0.0557
42442753,42442689,42442675,42442696,42442680,42442682,57.14,49500,25.85,101.45,11.3236,0.0490
42442753,42442686,42442682,42442695,42442672,42442692,58.01,48500,25.19,99.60,15.6493,0.0610
42442754,42442673,42442682,42442679,42442689,42442698,57.21,49700,25.79,101.70,18.5093,0.0637
42442753,42442691,42442683,42442681,42442673,42442696,57.21,49300,25.03,98.80,13.9382,0.0463
42442754,42442682,42442696,42442672,42442689,42442686,58.49,48500,28.21,103.80,15.3462,0.0547
42442753,42442678,42442692,42442673,42442683,42442696,56.24,49900,23.16,96.80,13.1599,0.0440
42442753,42442686,42442679,42442689,42442698,42442672,60.07,49700,28.12,105.60,24.9852,0.0797
42442779,42442675,42442673,42442680,42442672,42442687,56.43,49300,18.29,104.65,54.1953,0.1203
42442753,42442696,42442682,42442674,42442689,42442681,57.00,49300,26.37,100.45,14.5699,0.0517
42442779,42442679,42442675,42442672,42442673,42442698,55.34,46700,18.55,102.65,45.0433,0.0917
42442754,42442689,42442673,42442692,42442686,42442680,56.66,49900,24.61,100.70,18.7479,0.0650
42442753,42442672,42442677,42442686,42442692,42442696,58.87,49900,26.24,101.75,15.6180,0.0540
42442754,42442698,42442674,42442689,42442673,42442695,56.13,48100,25.62,100.70,18.9914,0.0803
42442753,42442696,42442681,42442682,42442740,42442672,57.18,49300,23.07,97.65,8.4949,0.0357
42442753,42442679,42442672,42442682,42442696,42442731,55.60,49900,18.08,96.05,6.5814,0.0223
42442776,42442675,42442672,42442673,42442687,42442686,55.51,48400,19.45,103.65,43.9540,0.1060
42442753,42442680,42442689,42442695,42442692,42442673,56.93,48100,25.03,99.65,22.4420,0.0803
42442777,42442672,42442683,42442681,42442673,42442678,55.31,49100,18.44,100.80,21.8612,0.0517
42442753,42442676,42442691,42442696,42442673,42442689,57.60,49300,26.06,101.80,21.4192,0.0747
42442761,42442695,42442698,42442673,42442672,42442676,55.32,48900,21.17,100.65,26.1419,0.0650
42442753,42442689,42442679,42442672,42442687,42442696,60.19,49900,28.49,105.75,29.0156,0.0907
42442776,42442680,42442673,42442672,42442687,42442679,55.35,48600,18.98,102.65,40.5563,0.0980
42442753,42442689,42442672,42442680,42442696,42442687,60.26,49700,28.91,105.75,30.5096,0.0993
42442777,42442674,42442672,42442673,42442675,42442695,57.23,49700,20.24,105.80,21.7908,0.0717
42442753,42442678,42442672,42442686,42442698,42442696,58.40,48100,27.29,100.75,10.1376,0.0470
42442777,42442687,42442677,42442679,42442673,42442672,56.23,49100,19.45,103.80,22.4136,0.0607
42442753,42442672,42442674,42442696,42442689,42442745,55.56,49900,17.61,97.56,9.1364,0.0323
42442763,42442672,42442681,42442686,42442692,42442673,56.30,49900,20.66,100.65,25.4750,0.0547
42442753,42442672,42442686,42442682,42442689,42442731,55.66,49700,18.22,97.90,9.5275,0.0340
42442779,42442672,42442679,42442673,42442687,42442680,55.51,47700,18.10,102.65,48.0343,0.1003
42442753,42442675,42442672,42442731,42442696,42442689,55.98,49700,18.83,99.05,9.5157,0.0370
42442779,42442689,42442675,42442672,42442676,42442673,56.53,49900,18.35,106.65,57.9793,0.1307
42442779,42442673,42442687,42442679,42442675,42442672,56.36,49500,18.02,104.65,52.6709,0.1160
42442761,42442673,42442680,42442672,42442698,42442687,56.75,49900,22.36,102.65,23.7219,0.0763
42442777,42442674,42442673,42442672,42442691,42442678,55.46,49300,18.53,101.80,23.4295,0.0690
42442779,42442672,42442675,42442698,42442680,42442673,55.41,46500,18.82,102.65,33.6532,0.0923
42442777,42442686,42442672,42442674,42442683,42442673,56.67,49300,19.94,104.80,20.0317,0.0557
42442777,42442672,42442682,42442673,42442680,42442678,56.54,49700,19.44,102.80,17.9041,0.0473
42442777,42442673,42442674,42442672,42442679,42442691,56.38,49100,19.50,103.80,20.4512,0.0667
42442772,42442686,42442672,42442682,42442681,42442673,55.50,48900,18.71,101.65,24.5012,0.0750
42442777,42442691,42442680,42442672,42442674,42442673,56.45,48900,19.79,103.80,23.1665,0.0647
42442777,42442687,42442673,42442672,42442677,42442680,56.30,48900,19.74,103.80,17.7007,0.0623
42442779,42442686,42442672,42442680,42442673,42442679,56.06,47900,18.57,103.65,27.1363,0.0817
42442762,42442672,42442682,42442698,42442673,42442683,55.98,49500,20.46,100.65,14.4310,0.0493
42442777,42442673,42442672,42442674,42442678,42442695,55.39,48300,19.03,101.80,19.4177,0.0620
42442777,42442687,42442673,42442681,42442672,42442675,57.23,49500,20.52,104.80,23.5204,0.0787
42442779,42442672,42442698,42442674,42442673,42442680,55.48,46700,19.03,102.65,34.6124,0.1000
42442779,42442673,42442681,42442686,42442672,42442682,55.55,46500,19.09,101.65,21.4163,0.0753
42442776,42442689,42442672,42442679,42442673,42442675,56.60,49800,19.79,106.65,47.1797,0.1210
42442772,42442682,42442673,42442674,42442672,42442696,55.73,48700,19.48,102.80,32.8866,0.0757
42442776,42442689,42442675,42442680,42442672,42442673,56.67,49600,20.08,106.65,43.7252,0.1267
42442779,42442689,42442675,42442679,42442672,42442673,56.76,48900,18.87,106.65,58.0067,0.1210
42442773,42442674,42442673,42442696,42442672,42442681,55.61,48800,19.04,101.80,29.6394,0.0867
42442779,42442672,42442680,42442673,42442675,42442689,56.83,48700,19.15,106.65,50.7183,0.1317
42442761,42442698,42442673,42442672,42442689,42442679,57.08,49500,23.08,104.65,31.3182,0.0777
42442754,42442672,42442673,42442698,42442689,42442732,56.30,49700,19.26,98.90,13.8082,0.0600
42442773,42442672,42442673,42442674,42442682,42442696,55.45,48400,18.97,101.80,21.8856,0.0733
42442761,42442689,42442673,42442695,42442680,42442672,57.04,49900,22.48,104.65,24.7925,0.0800
42442779,42442677,42442672,42442673,42442676,42442689,55.39,48900,17.80,104.65,54.5121,0.1193
42442760,42442682,42442673,42442686,42442672,42442696,57.50,50000,24.33,103.80,12.4207,0.0427
42442779,42442680,42442673,42442689,42442679,42442672,55.91,47100,18.95,104.65,40.8164,0.1130
42442779,42442677,42442672,42442679,42442689,42442673,55.62,47900,18.31,104.65,48.5760,0.1093
42442753,42442672,42442673,42442692,42442696,42442749,56.67,49900,18.30,95.95,11.7304,0.0360
42442779,42442689,42442677,42442672,42442673,42442680,55.69,47700,18.57,104.65,45.5107,0.1120
42442776,42442679,42442677,42442689,42442672,42442673,55.46,48800,19.20,104.65,38.7171,0.1037
42442779,42442687,42442672,42442673,42442689,42442675,55.52,46700,18.93,104.65,55.8937,0.1393
42442753,42442672,42442692,42442673,42442745,42442696,56.60,49900,17.72,95.91,11.1799,0.0400
42442776,42442676,42442680,42442673,42442672,42442689,55.52,49000,19.32,104.65,48.5300,0.1157
42442776,42442687,42442675,42442672,42442673,42442689,55.36,47600,19.85,104.65,55.0851,0.1430
42442753,42442749,42442672,42442689,42442674,42442696,55.63,49900,18.19,97.60,7.3099,0.0360
42442779,42442676,42442673,42442672,42442689,42442680,55.68,48100,18.42,104.65,48.5173,0.1250
42442777,42442679,42442673,42442672,42442675,42442689,57.77,49500,21.00,107.80,30.8215,0.0807
42442753,42442673,42442691,42442698,42442696,42442672,61.39,49100,30.24,105.10,35.2870,0.0990
42442776,42442679,42442672,42442680,42442673,42442689,55.75,48000,19.87,104.65,45.6691,0.1073
42442779,42442675,42442689,42442672,42442673,42442681,56.62,48300,19.31,105.65,49.6134,0.1220
42442760,42442686,42442683,42442672,42442673,42442696,56.48,49800,22.88,102.80,17.5384,0.0413
42442753,42442732,42442672,42442673,42442695,42442698,56.72,48700,19.19,96.85,15.6875,0.0567
42442776,42442673,42442680,42442677,42442672,42442689,55.53,48600,19.48,104.65,46.0572,0.1043
42442754,42442698,42442689,42442673,42442742,42442672,55.62,49700,36.19,96.75,10.1366,0.0487
42442773,42442674,42442696,42442672,42442673,42442680,55.82,49200,18.88,102.80,28.1825,0.0803
42442767,42442679,42442689,42442686,42442673,42442672,57.52,49800,22.91,106.65,21.5864,0.0737
42442753,42442695,42442672,42442698,42442696,42442673,61.32,48100,31.05,105.10,24.7740,0.0860
42442777,42442672,42442689,42442680,42442673,42442675,57.84,49300,21.30,107.80,27.3807,0.0840
42442754,42442695,42442672,42442696,42442691,42442673,59.33,49100,27.48,103.15,24.8844,0.0817
42442777,42442673,42442689,42442676,42442672,42442680,56.69,48700,20.50,105.80,29.2844,0.0733
42442753,42442696,42442689,42442673,42442698,42442672,62.85,49700,32.92,109.10,34.2858,0.1077
42442767,42442689,42442673,42442672,42442680,42442686,57.59,49600,23.24,106.65,15.9280,0.0650
