PG,SG,SF,PF,C,G,F,UTIL,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42424198,42424258,42424354,42424302,42424418,42424430,42424247,42424218,271.41,49900,22.12,342.60,276.3689,0.4027
42424280,42424354,42424226,42424302,42424418,42424333,42424195,42424298,287.01,49800,33.51,357.90,619.3733,0.5827
42424198,42424218,42424354,42424195,42424331,42424413,42424443,42424430,268.00,50000,19.43,334.80,188.5762,0.3590
42424430,42424287,42424354,42424369,42424418,42424198,42424302,42424195,289.11,49600,25.59,352.15,498.9805,0.5370
42424198,42424298,42424413,42424226,42424367,42424251,42424258,42424396,267.00,49900,19.13,333.55,172.9630,0.3057
42424251,42424312,42424354,42424302,42424443,42424316,42424208,42424198,260.51,49900,22.93,341.75,285.7917,0.3800
42424287,42424333,42424208,42424420,42424367,42424201,42424302,42424251,260.21,50000,17.35,328.75,150.9220,0.2527
42424396,42424201,42424218,42424195,42424331,42424430,42424351,42424418,271.70,50000,20.61,335.35,233.9372,0.3447
42424430,42424316,42424369,42424302,42424331,42424251,42424208,42424198,264.81,49800,20.91,342.00,331.1538,0.4077
42424201,42424298,42424265,42424195,42424443,42424430,42424302,42424418,274.01,49700,19.80,339.90,261.5820,0.3947
42424251,42424312,42424449,42424195,42424367,42424298,42424226,42424316,263.80,49700,25.61,338.07,248.2490,0.3627
42424316,42424280,42424218,42424235,42424443,42424430,42424302,42424198,263.81,49900,22.67,341.85,314.9412,0.4260
42424251,42424316,42424354,42424226,42424331,42424396,42424195,42424333,269.80,50000,26.06,341.45,279.6894,0.3983
42424251,42424316,42424354,42424226,42424418,42424198,42424302,42424312,279.11,49500,31.87,355.90,516.8191,0.5517
42424198,42424333,42424457,42424195,42424443,42424287,42424369,42424280,272.70,49700,19.81,330.40,149.1453,0.3080
42424198,42424312,42424232,42424443,42424418,42424430,42424195,42424396,271.90,49100,20.13,333.45,197.3742,0.3400
42424198,42424287,42424218,42424195,42424418,42424430,42424449,42424396,277.80,50000,21.18,339.72,289.7498,0.4100
42424430,42424280,42424218,42424420,42424367,42424298,42424226,42424198,270.50,49700,23.25,341.75,285.6431,0.4177
42424316,42424333,42424413,42424195,42424247,42424251,42424302,42424418,268.61,49200,19.49,333.25,159.6007,0.3220
42424251,42424354,42424369,42424302,42424418,42424333,42424218,42424195,281.91,49800,32.08,352.00,458.7342,0.4967
42424298,42424316,42424354,42424235,42424418,42424198,42424218,42424333,266.00,49800,27.67,342.30,282.5983,0.4353
42424198,42424333,42424208,42424226,42424331,42424396,42424302,42424430,269.01,49700,19.96,342.65,314.7936,0.3847
42424396,42424430,42424413,42424195,42424235,42424198,42424457,42424302,268.31,49100,14.82,328.35,145.0924,0.2797
42424201,42424258,42424457,42424369,42424418,42424430,42424195,42424226,278.40,50000,21.70,338.40,192.7611,0.3647
42424201,42424430,42424258,42424226,42424418,42424280,42424218,42424407,267.60,49900,19.71,336.45,181.3318,0.3193
42424198,42424251,42424354,42424302,42424331,42424333,42424258,42424316,267.01,49800,26.24,344.40,343.8522,0.4140
42424287,42424201,42424226,42424407,42424418,42424430,42424443,42424198,269.40,48400,17.12,330.45,134.7603,0.2910
42424430,42424287,42424369,42424302,42424235,42424198,42424226,42424331,270.41,50000,20.42,339.00,248.1756,0.3750
42424201,42424333,42424265,42424226,42424418,42424258,42424302,42424351,266.61,49900,18.49,332.90,138.0124,0.2653
42424201,42424403,42424218,42424351,42424418,42424198,42424302,42424396,274.21,49900,17.35,333.10,142.6460,0.2833
42424251,42424280,42424258,42424195,42424367,42424380,42424302,42424430,270.31,49800,20.89,339.70,286.4087,0.3787
42424298,42424333,42424369,42424226,42424418,42424316,42424218,42424198,276.10,49900,30.69,349.65,404.7413,0.4877
42424380,42424280,42424226,42424195,42424418,42424298,42424302,42424403,274.11,48700,20.25,334.90,134.1707,0.3023
42424198,42424413,42424354,42424420,42424235,42424333,42424195,42424418,273.30,49700,21.30,335.05,186.1689,0.3693
42424430,42424354,42424218,42424195,42424418,42424312,42424449,42424198,276.30,49800,27.04,347.12,391.2959,0.4940
42424201,42424457,42424265,42424302,42424418,42424198,42424420,42424251,271.61,49700,17.88,333.00,149.9207,0.3017
42424251,42424280,42424369,42424195,42424418,42424396,42424208,42424351,270.90,50000,20.91,335.30,220.6629,0.3270
42424430,42424201,42424208,42424302,42424443,42424298,42424226,42424284,259.51,49900,18.94,336.85,232.1381,0.3503
42424198,42424280,42424369,42424302,42424418,42424201,42424354,42424312,283.91,50000,33.50,358.15,624.9838,0.5883
42424396,42424201,42424226,42424195,42424462,42424280,42424420,42424354,268.40,49900,18.85,331.70,141.7484,0.3020
42424251,42424258,42424208,42424195,42424418,42424430,42424302,42424449,268.61,49600,20.80,339.32,243.4852,0.3613
42424198,42424258,42424226,42424208,42424418,42424380,42424302,42424457,266.11,49600,18.70,334.50,154.5036,0.2767
42424284,42424430,42424354,42424208,42424235,42424198,42424302,42424396,259.91,50000,17.90,336.45,278.9111,0.3590
42424201,42424333,42424265,42424369,42424367,42424418,42424351,42424195,271.20,50000,18.99,329.95,168.8358,0.2857
42424430,42424316,42424326,42424226,42424367,42424298,42424218,42424198,260.10,50000,18.28,337.85,253.3178,0.3710
42424251,42424333,42424457,42424226,42424367,42424218,42424195,42424430,271.20,50000,19.69,333.80,158.7168,0.3190
42424251,42424403,42424226,42424302,42424418,42424280,42424195,42424430,283.71,49400,19.98,341.85,226.5609,0.3923
42424198,42424201,42424369,42424226,42424331,42424430,42424326,42424418,270.70,49500,20.78,341.45,260.4037,0.4123
42424198,42424251,42424369,42424195,42424462,42424430,42424226,42424449,273.40,49900,18.32,335.77,195.2309,0.3403
42424430,42424251,42424265,42424195,42424418,42424396,42424302,42424226,280.31,49900,19.91,343.95,276.5566,0.4143
42424251,42424280,42424258,42424369,42424418,42424298,42424302,42424198,281.71,50000,30.23,353.45,487.3372,0.5183
42424201,42424251,42424232,42424195,42424418,42424457,42424369,42424430,274.30,50000,18.64,330.25,170.2272,0.3020
