P,P,C,1B,2B,3B,SS,OF,OF,OF
42557250,42557238,42557364,42557542,42557338,42557352,42557340,42557422,42557408,42557270
42557238,42557240,42557613,42557542,42557338,42557352,42557340,42557422,42557388,42557270
42557246,42557248,42557581,42557297,42557341,42557271,42557329,42557328,42557351,42557369
42557243,42557240,42557613,42557542,42557396,42557271,42557340,42557408,42557422,42557270
42557250,42557239,42557506,42557289,42557341,42557592,42557340,42557351,42557265,42557408
42557250,42557238,42557613,42557542,42557338,42557352,42557340,42557262,42557598,42557270
42557243,42557238,42557314,42557542,42557338,42557352,42557584,42557422,42557408,42557270
42557250,42557239,42557346,42557542,42557376,42557643,42557340,42557262,42557408,42557392
42557238,42557248,42557346,42557542,42557272,42557483,42557279,42557392,42557357,42557408
42557239,42557248,42557346,42557542,42557272,42557643,42557340,42557392,42557408,42557357
42557250,42557242,42557613,42557297,42557341,42557352,42557457,42557265,42557328,42557351
42557250,42557248,42557283,42557297,42557592,42557352,42557356,42557351,42557265,42557369
42557239,42557241,42557364,42557440,42557341,42557592,42557340,42557265,42557408,42557422
42557245,42557238,42557613,42557440,42557338,42557352,42557340,42557408,42557422,42557270
42557241,42557240,42557613,42557542,42557272,42557643,42557340,42557262,42557451,42557584
42557243,42557238,42557543,42557542,42557376,42557643,42557340,42557408,42557262,42557422
42557243,42557239,42557373,42557440,42557399,42557352,42557340,42557408,42557422,42557270
42557242,42557240,42557364,42557542,42557399,42557361,42557340,42557263,42557408,42557422
42557246,42557250,42557283,42557422,42557399,42557310,42557340,42557280,42557294,42557408
42557244,42557238,42557346,42557297,42557376,42557592,42557317,42557351,42557369,42557357
42557246,42557242,42557283,42557297,42557453,42557592,42557462,42557265,42557351,42557369
42557247,42557240,42557283,42557387,42557310,42557386,42557306,42557408,42557451,42557372
42557246,42557242,42557362,42557281,42557341,42557335,42557427,42557578,42557295,42557328
42557260,42557248,42557283,42557297,42557310,42557335,42557340,42557265,42557369,42557408
42557250,42557249,42557402,42557289,42557341,42557628,42557277,42557328,42557351,42557266
42557244,42557248,42557283,42557542,42557307,42557310,42557340,42557282,42557388,42557422
42557250,42557242,42557475,42557263,42557341,42557271,42557625,42557549,42557478,42557267
42557251,42557248,42557274,42557542,42557341,42557271,42557459,42557265,42557369,42557408
42557244,42557241,42557283,42557542,42557376,42557483,42557340,42557408,42557422,42557262
42557250,42557239,42557346,42557440,42557272,42557643,42557279,42557510,42557408,42557392
42557239,42557248,42557613,42557289,42557272,42557643,42557279,42557586,42557408,42557357
42557238,42557249,42557346,42557542,42557272,42557643,42557306,42557422,42557357,42557408
42557239,42557240,42557543,42557542,42557376,42557483,42557279,42557408,42557422,42557262
42557239,42557257,42557346,42557542,42557272,42557643,42557427,42557392,42557408,42557262
42557250,42557241,42557346,42557542,42557514,42557643,42557279,42557262,42557357,42557408
42557250,42557242,42557283,42557422,42557399,42557607,42557306,42557408,42557270,42557286
42557246,42557239,42557283,42557299,42557338,42557352,42557340,42557570,42557422,42557408
42557243,42557247,42557314,42557440,42557338,42557352,42557340,42557408,42557422,42557270
42557250,42557249,42557402,42557325,42557341,42557592,42557277,42557265,42557369,42557328
42557246,42557239,42557506,42557422,42557341,42557592,42557279,42557369,42557265,42557408
42557241,42557240,42557283,42557325,42557272,42557271,42557625,42557549,42557436,42557584
42557253,42557240,42557346,42557297,42557376,42557592,42557317,42557351,42557265,42557369
42557257,42557252,42557283,42557297,42557272,42557592,42557306,42557351,42557265,42557369
42557243,42557249,42557346,42557289,42557399,42557628,42557277,42557408,42557392,42557266
42557250,42557241,42557364,42557289,42557376,42557592,42557279,42557262,42557357,42557598
42557250,42557249,42557314,42557289,42557338,42557352,42557584,42557357,42557286,42557270
42557250,42557241,42557346,42557285,42557341,42557316,42557277,42557328,42557388,42557628
42557244,42557240,42557283,42557325,42557310,42557361,42557306,42557478,42557549,42557381
42557246,42557241,42557494,42557289,42557272,42557335,42557427,42557392,42557357,42557376
42557242,42557240,42557283,42557542,42557399,42557271,42557340,42557549,42557422,42557408
42557250,42557249,42557613,42557263,42557338,42557352,42557331,42557267,42557276,42557598
42557243,42557249,42557543,42557422,42557399,42557316,42557277,42557408,42557392,42557266
42557243,42557238,42557314,42557440,42557338,42557352,42557340,42557578,42557270,42557598
42557253,42557240,42557346,42557325,42557376,42557292,42557317,42557351,42557369,42557357
42557246,42557250,42557581,42557297,42557341,42557342,42557329,42557328,42557265,42557369
42557250,42557249,42557303,42557263,42557341,42557479,42557416,42557328,42557351,42557369
42557242,42557238,42557283,42557422,42557399,42557483,42557277,42557577,42557388,42557408
42557250,42557242,42557314,42557299,42557338,42557335,42557340,42557408,42557270,42557598
42557250,42557240,42557613,42557297,42557338,42557352,42557457,42557369,42557351,42557270
42557250,42557246,42557283,42557312,42557310,42557370,42557331,42557294,42557408,42557422
42557239,42557252,42557362,42557297,42557341,42557592,42557340,42557369,42557265,42557408
