P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42557250,Nick Pivetta,7700,19.34,42557238,Tarik Skubal,10500,23.59,42557364,Agustin Ramirez,3800,7.97,42557542,Edouard Julien,2600,7.36,42557338,Ozzie Albies,4200,8.61,42557352,Austin Riley,4000,8.49,42557340,Ezequiel Tovar,4100,9.02,42557422,Troy Johnston,3300,7.38,42557408,Mickey Moniak,3400,9.73,42557270,Ronald Acuna Jr.,5700,10.66,112.15,49300,14.6,1.4618e+1
42557238,Tarik Skubal,10500,23.59,42557240,Cristopher Sanchez,9700,20.88,42557613,Jonah Heim,2100,5.91,42557542,Edouard Julien,2600,7.36,42557338,Ozzie Albies,4200,8.61,42557352,Austin Riley,4000,8.49,42557340,Ezequiel Tovar,4100,9.02,42557422,Troy Johnston,3300,7.38,42557388,Jordan Beck,3600,7.93,42557270,Ronald Acuna Jr.,5700,10.66,109.83,49800,12.4,1.2362e+1
42557246,Sandy Alcantara,8300,16.68,42557248,Robbie Ray,8000,16.95,42557581,Daniel Susac,2300,4.16,42557297,Ben Rice,4800,8.16,42557341,Jazz Chisholm Jr.,4100,7.97,42557271,Junior Caminero,5600,8.70,42557329,Willy Adames,4300,6.66,42557328,Cody Bellinger,4300,7.70,42557351,Giancarlo Stanton,4000,7.89,42557369,Trent Grisham,3800,8.17,93.04,49500,8.5,8.4890e+0
42557243,Paul Skenes,9000,18.47,42557240,Cristopher Sanchez,9700,20.88,42557613,Jonah Heim,2100,5.91,42557542,Edouard Julien,2600,7.36,42557396,Matt McLain,3500,8.19,42557271,Junior Caminero,5600,8.70,42557340,Ezequiel Tovar,4100,9.02,42557408,Mickey Moniak,3400,9.73,42557422,Troy Johnston,3300,7.38,42557270,Ronald Acuna Jr.,5700,10.66,106.30,49000,11.2,1.1186e+1
42557250,Nick Pivetta,7700,19.34,42557239,Garrett Crochet,10000,23.38,42557506,Austin Wells,2800,5.69,42557289,Christian Walker,4900,10.25,42557341,Jazz Chisholm Jr.,4100,7.97,42557592,Amed Rosario,2200,5.20,42557340,Ezequiel Tovar,4100,9.02,42557351,Giancarlo Stanton,4000,7.89,42557265,Aaron Judge,6300,10.91,42557408,Mickey Moniak,3400,9.73,109.38,49500,15.1,1.5104e+1
42557250,Nick Pivetta,7700,19.34,42557238,Tarik Skubal,10500,23.59,42557613,Jonah Heim,2100,5.91,42557542,Edouard Julien,2600,7.36,42557338,Ozzie Albies,4200,8.61,42557352,Austin Riley,4000,8.49,42557340,Ezequiel Tovar,4100,9.02,42557262,Yordan Alvarez,6500,13.06,42557598,Eli White,2200,5.83,42557270,Ronald Acuna Jr.,5700,10.66,111.87,49600,13.7,1.3731e+1
42557243,Paul Skenes,9000,18.47,42557238,Tarik Skubal,10500,23.59,42557314,Drake Baldwin,4500,7.99,42557542,Edouard Julien,2600,7.36,42557338,Ozzie Albies,4200,8.61,42557352,Austin Riley,4000,8.49,42557584,Jorge Mateo,2300,6.33,42557422,Troy Johnston,3300,7.38,42557408,Mickey Moniak,3400,9.73,42557270,Ronald Acuna Jr.,5700,10.66,108.61,49500,15.1,1.5139e+1
42557250,Nick Pivetta,7700,19.34,42557239,Garrett Crochet,10000,23.38,42557346,Yainer Diaz,4000,8.83,42557542,Edouard Julien,2600,7.36,42557376,Brice Matthews,3700,7.05,42557643,Isaac Paredes,4400,9.82,42557340,Ezequiel Tovar,4100,9.02,42557262,Yordan Alvarez,6500,13.06,42557408,Mickey Moniak,3400,9.73,42557392,Jake Meyers,3600,8.93,116.52,50000,16.1,1.6107e+1
42557238,Tarik Skubal,10500,23.59,42557248,Robbie Ray,8000,16.95,42557346,Yainer Diaz,4000,8.83,42557542,Edouard Julien,2600,7.36,42557272,Jose Altuve,5500,10.73,42557483,Kyle Karros,2900,6.77,42557279,Jeremy Pena,5300,11.26,42557392,Jake Meyers,3600,8.93,42557357,Cam Smith,3900,9.06,42557408,Mickey Moniak,3400,9.73,113.21,49700,15.9,1.5891e+1
42557239,Garrett Crochet,10000,23.38,42557248,Robbie Ray,8000,16.95,42557346,Yainer Diaz,4000,8.83,42557542,Edouard Julien,2600,7.36,42557272,Jose Altuve,5500,10.73,42557643,Isaac Paredes,4400,9.82,42557340,Ezequiel Tovar,4100,9.02,42557392,Jake Meyers,3600,8.93,42557408,Mickey Moniak,3400,9.73,42557357,Cam Smith,3900,9.06,113.81,49500,16.6,1.6560e+1
