PG,SG,SF,PF,C,G,F,UTIL
42650950,42650946,42650936,42650969,42650978,42651025,42650927,42651009
42650922,42651025,42650990,42650969,42650978,42650940,42650927,42651009
42650922,42651025,42650936,42650969,42650984,42650996,42650927,42651009
42650950,42651025,42650927,42650933,42650969,42650940,42651022,42651009
42650922,42650946,42650927,42650969,42650978,42651005,42650996,42651009
42650950,42650946,42650990,42650969,42651009,42650940,42650927,42650996
42650922,42650973,42650927,42651022,42650978,42650950,42650969,42651009
42650940,42650973,42650936,42650969,42650978,42650996,42650927,42651009
42650946,42651025,42650953,42650933,42651009,42650996,42650969,42650927
42650922,42650946,42650936,42650990,42651009,42651025,42651022,42650927
42650922,42651001,42650927,42650933,42650969,42650996,42651022,42651009
42650950,42650946,42650936,42651022,42651009,42650922,42650969,42650996
42650940,42651005,42650936,42650933,42651009,42651025,42650996,42650927
42650950,42650946,42650996,42650980,42651009,42650922,42650927,42651025
42650930,42651005,42650927,42650933,42650978,42651025,42650969,42651009
42650946,42651025,42650973,42650933,42650978,42650922,42650969,42651009
42651005,42650946,42650936,42650990,42650978,42650940,42650927,42651009
42650946,42651011,42650936,42651022,42650969,42650940,42650927,42651009
42650946,42650973,42650927,42650936,42650984,42650950,42650996,42651009
42650946,42651025,42650936,42650933,42651009,42650940,42650969,42650990
42650946,42651001,42650927,42650936,42650984,42651025,42650933,42651009
42650950,42651005,42650996,42650936,42651009,42650943,42650969,42650927
42650950,42650946,42650927,42650933,42650978,42650996,42651022,42651009
42650946,42651025,42650973,42650936,42651009,42650922,42650996,42650940
42650950,42651011,42650953,42650969,42651009,42650922,42650927,42651025
42650950,42650943,42650953,42650990,42650978,42650960,42651015,42650930
42650940,42650943,42650953,42650990,42650956,42650930,42650996,42651009
42650940,42650943,42651033,42650933,42651009,42650930,42650956,42651055
42650930,42650960,42650990,42650933,42651020,42650940,42650969,42651022
42650950,42650943,42650953,42651033,42651009,42650940,42650980,42650930
42650950,42650943,42651015,42650969,42650984,42650930,42650990,42650940
42650950,42651001,42650996,42650936,42650969,42650940,42650927,42651025
42650930,42650973,42650936,42650990,42650969,42651025,42650927,42651009
42651001,42650960,42650990,42650933,42650978,42650930,42651022,42650956
42650950,42651001,42651033,42650933,42650980,42650930,42650990,42650940
42650922,42651005,42650996,42651029,42650978,42650930,42650956,42650940
42650950,42650943,42650953,42650969,42650978,42651005,42650980,42650930
42650950,42650943,42650996,42651029,42650980,42650930,42650969,42650940
42650922,42651001,42650953,42650956,42650984,42650930,42651015,42650978
42651011,42650943,42651033,42650933,42650969,42650930,42650956,42650980
42651005,42650960,42650973,42650969,42650984,42650940,42650956,42650930
42650950,42650943,42650990,42650933,42650978,42651011,42651022,42650930
42650922,42651005,42650973,42650990,42650956,42651001,42650953,42650930
42650930,42651015,42651033,42650933,42650984,42650940,42650956,42650969
42650930,42650960,42651033,42650933,42650978,42651025,42650969,42650940
42650950,42651001,42650953,42650990,42650978,42650922,42651022,42650930
42651001,42651005,42650973,42651033,42650978,42650922,42650933,42650930
42650950,42650943,42650953,42650933,42650978,42650960,42650996,42650984
42650940,42650943,42650996,42650933,42650984,42650930,42651015,42651009
42650940,42650973,42650996,42651022,42650969,42650943,42650956,42650930
42650950,42650943,42650953,42651022,42651009,42650930,42650969,42650960
42650922,42651001,42650973,42650990,42650978,42650930,42650996,42650940
42650950,42650943,42650996,42650933,42650984,42651011,42650980,42650930
42650950,42650960,42650990,42650933,42650984,42650930,42650964,42651022
42651001,42650943,42650990,42650933,42650978,42650930,42650969,42650984
42650950,42651025,42650996,42650933,42650978,42650940,42650990,42650930
42650940,42651001,42650953,42650933,42650978,42650930,42650990,42651009
42650922,42650943,42651033,42650990,42650956,42650930,42650973,42651009
42651001,42650943,42650936,42651022,42651029,42650922,42650990,42650930
42650930,42650943,42650990,42650933,42651009,42650960,42650969,42651011
42650960,42651025,42650953,42650933,42650956,42650940,42650990,42650969
42650940,42651005,42650996,42650933,42650969,42651025,42650956,42650930
42650922,42651001,42650927,42650936,42651009,42651005,42650969,42650990
42650950,42651005,42650953,42650969,42650978,42650940,42650927,42651009
42650946,42651005,42650927,42650933,42651020,42650950,42650969,42651009
42650946,42651025,42650996,42650936,42650978,42650930,42650933,42651009
42650922,42650946,42650953,42651022,42650978,42650940,42650969,42651009
42650950,42651025,42650936,42650933,42650978,42650922,42651022,42651009
42651001,42650946,42650927,42650969,42650978,42650940,42650956,42651009
42650950,42651005,42650936,42651022,42650978,42650930,42650927,42651009
42650922,42650946,42650927,42650969,42650956,42651025,42651015,42651009
42650922,42651025,42650973,42650933,42651009,42650996,42650927,42650990
42650922,42650946,42650927,42651033,42650984,42650973,42650969,42651009
42651005,42650973,42650990,42650933,42651009,42650940,42650927,42650969
42650922,42651011,42650936,42650933,42650978,42650996,42650969,42651009
42650946,42651025,42650973,42650969,42650978,42650930,42650996,42650927
42650922,42651015,42650953,42650936,42650978,42651025,42650927,42651009
42650922,42651005,42650936,42650956,42650978,42650950,42650969,42651009
42650950,42651001,42650927,42650933,42650984,42650940,42650996,42651009
42650922,42650960,42650927,42650990,42650978,42650950,42650996,42651009
42650922,42651005,42650936,42651022,42650978,42651025,42650927,42650969
42650922,42650946,42650953,42650936,42650969,42651025,42650980,42651009
42650922,42650943,42650936,42651022,42651009,42651025,42650969,42650940
42650922,42651005,42650990,42651022,42651009,42650950,42650927,42650940
42650922,42651025,42650953,42650936,42650978,42650950,42650996,42650969
42650950,42651011,42650973,42650936,42651009,42651025,42650933,42650927
42650922,42651015,42650927,42650936,42650984,42650950,42651022,42651009
42650950,42650973,42650953,42650936,42651009,42650996,42650933,42650969
42650940,42651025,42650953,42650936,42650978,42650930,42650969,42651009
42650946,42650973,42650936,42650933,42650978,42650940,42651022,42651009
42650950,42650946,42650953,42650936,42650978,42650940,42650996,42651009
42651001,42650946,42650927,42650969,42650978,42650922,42651022,42650984
42650950,42651001,42650953,42650936,42651009,42650946,42650927,42651022
