PG_ID,PG_Name,PG_Salary,PG_Proj,SG_ID,SG_Name,SG_Salary,SG_Proj,SF_ID,SF_Name,SF_Salary,SF_Proj,PF_ID,PF_Name,PF_Salary,PF_Proj,C_ID,C_Name,C_Salary,C_Proj,G_ID,G_Name,G_Salary,G_Proj,F_ID,F_Name,F_Salary,F_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42650950,Jalen Suggs,6800,34.85,42650946,VJ Edgecombe,7200,37.29,42650936,Paul George,7900,40.85,42650969,Kristaps Porzingis,6000,33.07,42650978,Wendell Carter Jr.,5100,26.89,42651025,Kris Dunn,3700,19.97,42650927,Kawhi Leonard,9200,49.97,42651009,Brook Lopez,4100,25.56,268.45,50000,44.1,4.4140e+1
42650922,Tyrese Maxey,9500,48.58,42651025,Kris Dunn,3700,19.97,42650990,Gui Santos,4600,21.93,42650969,Kristaps Porzingis,6000,33.07,42650978,Wendell Carter Jr.,5100,26.89,42650940,Darius Garland,7700,38.39,42650927,Kawhi Leonard,9200,49.97,42651009,Brook Lopez,4100,25.56,264.36,49900,41.6,4.1615e+1
42650922,Tyrese Maxey,9500,48.58,42651025,Kris Dunn,3700,19.97,42650936,Paul George,7900,40.85,42650969,Kristaps Porzingis,6000,33.07,42650984,Andre Drummond,4800,23.34,42650996,De'Anthony Melton,4400,22.89,42650927,Kawhi Leonard,9200,49.97,42651009,Brook Lopez,4100,25.56,264.23,49600,43.2,4.3229e+1
42650950,Jalen Suggs,6800,34.85,42651025,Kris Dunn,3700,19.97,42650927,Kawhi Leonard,9200,49.97,42650933,Paolo Banchero,8700,43.62,42650969,Kristaps Porzingis,6000,33.07,42650940,Darius Garland,7700,38.39,42651022,Derrick Jones Jr.,3800,18.74,42651009,Brook Lopez,4100,25.56,264.17,50000,41.8,4.1847e+1
42650922,Tyrese Maxey,9500,48.58,42650946,VJ Edgecombe,7200,37.29,42650927,Kawhi Leonard,9200,49.97,42650969,Kristaps Porzingis,6000,33.07,42650978,Wendell Carter Jr.,5100,26.89,42651005,Quentin Grimes,4200,19.88,42650996,De'Anthony Melton,4400,22.89,42651009,Brook Lopez,4100,25.56,264.13,49700,41.1,4.1108e+1
42650950,Jalen Suggs,6800,34.85,42650946,VJ Edgecombe,7200,37.29,42650990,Gui Santos,4600,21.93,42650969,Kristaps Porzingis,6000,33.07,42651009,Brook Lopez,4100,25.56,42650940,Darius Garland,7700,38.39,42650927,Kawhi Leonard,9200,49.97,42650996,De'Anthony Melton,4400,22.89,263.95,50000,42.1,4.2095e+1
42650922,Tyrese Maxey,9500,48.58,42650973,Kelly Oubre Jr.,5500,25.99,42650927,Kawhi Leonard,9200,49.97,42651022,Derrick Jones Jr.,3800,18.74,42650978,Wendell Carter Jr.,5100,26.89,42650950,Jalen Suggs,6800,34.85,42650969,Kristaps Porzingis,6000,33.07,42651009,Brook Lopez,4100,25.56,263.65,50000,40.1,4.0138e+1
42650940,Darius Garland,7700,38.39,42650973,Kelly Oubre Jr.,5500,25.99,42650936,Paul George,7900,40.85,42650969,Kristaps Porzingis,6000,33.07,42650978,Wendell Carter Jr.,5100,26.89,42650996,De'Anthony Melton,4400,22.89,42650927,Kawhi Leonard,9200,49.97,42651009,Brook Lopez,4100,25.56,263.61,49900,41.6,4.1591e+1
42650946,VJ Edgecombe,7200,37.29,42651025,Kris Dunn,3700,19.97,42650953,Franz Wagner,6600,30.61,42650933,Paolo Banchero,8700,43.62,42651009,Brook Lopez,4100,25.56,42650996,De'Anthony Melton,4400,22.89,42650969,Kristaps Porzingis,6000,33.07,42650927,Kawhi Leonard,9200,49.97,262.98,49900,42.5,4.2489e+1
42650922,Tyrese Maxey,9500,48.58,42650946,VJ Edgecombe,7200,37.29,42650936,Paul George,7900,40.85,42650990,Gui Santos,4600,21.93,42651009,Brook Lopez,4100,25.56,42651025,Kris Dunn,3700,19.97,42651022,Derrick Jones Jr.,3800,18.74,42650927,Kawhi Leonard,9200,49.97,262.89,50000,39.9,3.9943e+1
