P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42646451,Randy Vasquez,8000,10.09,42646294,Clay Holmes,8700,10.19,42646320,Danny Jansen,3200,6.56,42646525,Nick Kurtz,5200,10.24,42646377,Josh Smith,3100,6.47,42646486,Max Muncy,3900,7.21,42646519,Jacob Wilson,3700,6.14,42646287,Brandon Nimmo,4900,9.01,42646277,Joc Pederson,3000,6.30,42646518,Wyatt Langford,4000,8.93,81.14,47700,21.2,2.1220e+1
42646408,Emerson Hancock,8500,11.27,42646445,Kumar Rocker,6700,9.47,42646505,Dalton Rushing,3100,6.49,42646260,Freddie Freeman,5000,8.25,42646508,Alex Freeland,3000,5.01,42646269,Max Muncy,4300,7.67,42646286,Francisco Lindor,4600,7.31,42646476,Evan Carter,4200,8.33,42646287,Brandon Nimmo,4900,9.01,42646285,Teoscar Hernandez,4800,7.39,80.20,49100,18.8,1.8821e+1
42646451,Randy Vasquez,8000,10.09,42646314,Shohei Ohtani,9500,23.57,42646375,Shea Langeliers,5700,9.66,42646334,Gavin Sheets,3700,7.04,42646508,Alex Freeland,3000,5.01,42646412,Ezequiel Duran,2700,5.70,42646386,Hyeseong Kim,2600,4.67,42646373,Carlos Cortes,3300,6.19,42646421,Andy Pages,4700,7.14,42646348,Kyle Tucker,6000,9.07,88.14,49200,23.1,2.3074e+1
42646408,Emerson Hancock,8500,11.27,42646426,J.T. Ginn,7300,12.34,42646361,Cal Raleigh,5000,9.05,42646525,Nick Kurtz,5200,10.24,42646312,Jeff McNeil,3500,6.85,42646390,Brendan Donovan,4000,7.95,42646386,Hyeseong Kim,2600,4.67,42646422,Julio Rodriguez,4500,8.84,42646365,Luke Raley,3500,7.15,42646359,Randy Arozarena,4200,7.82,86.18,48300,21.1,2.1100e+1
42646426,J.T. Ginn,7300,12.34,42646294,Clay Holmes,8700,10.19,42646341,Will Smith,4200,8.25,42646349,Josh Naylor,3900,7.62,42646337,Jake Cronenworth,3400,6.49,42646364,Bo Bichette,4100,6.22,42646286,Francisco Lindor,4600,7.31,42646418,Dominic Canzone,3300,6.40,42646489,Jackson Merrill,4500,9.22,42646454,Brett Baty,4000,5.95,79.99,48000,13.8,1.3801e+1
42646445,Kumar Rocker,6700,9.47,42646451,Randy Vasquez,8000,10.09,42646453,Francisco Alvarez,4100,5.73,42646352,Ty France,2400,5.72,42646337,Jake Cronenworth,3400,6.49,42646273,Manny Machado,4700,7.41,42646281,Xander Bogaerts,4100,7.41,42646489,Jackson Merrill,4500,9.22,42646388,Luis Robert Jr.,5100,6.93,42646526,Carson Benge,3100,5.67,74.14,46100,12.3,1.2256e+1
42646321,Gabe Speier,4000,2.26,42646294,Clay Holmes,8700,10.19,42646453,Francisco Alvarez,4100,5.73,42646334,Gavin Sheets,3700,7.04,42646270,Marcus Semien,3300,5.77,42646390,Brendan Donovan,4000,7.95,42646302,Corey Seager,5000,9.93,42646422,Julio Rodriguez,4500,8.84,42646476,Evan Carter,4200,8.33,42646430,Lawrence Butler,3600,7.88,73.92,45100,15.2,1.5184e+1
42646426,J.T. Ginn,7300,12.34,42646437,Alex Vesia,4000,2.60,42646375,Shea Langeliers,5700,9.66,42646454,Brett Baty,4000,5.95,42646270,Marcus Semien,3300,5.77,42646486,Max Muncy,3900,7.21,42646519,Jacob Wilson,3700,6.14,42646430,Lawrence Butler,3600,7.88,42646470,Tyler Soderstrom,4700,8.51,42646388,Luis Robert Jr.,5100,6.93,72.99,45300,13.9,1.3904e+1
42646408,Emerson Hancock,8500,11.27,42646314,Shohei Ohtani,9500,23.57,42646320,Danny Jansen,3200,6.56,42646525,Nick Kurtz,5200,10.24,42646508,Alex Freeland,3000,5.01,42646415,Josh Jung,2900,6.65,42646519,Jacob Wilson,3700,6.14,42646277,Joc Pederson,3000,6.30,42646421,Andy Pages,4700,7.14,42646348,Kyle Tucker,6000,9.07,91.95,49700,24.1,2.4100e+1
42646445,Kumar Rocker,6700,9.47,42646294,Clay Holmes,8700,10.19,42646361,Cal Raleigh,5000,9.05,42646334,Gavin Sheets,3700,7.04,42646377,Josh Smith,3100,6.47,42646412,Ezequiel Duran,2700,5.70,42646302,Corey Seager,5000,9.93,42646518,Wyatt Langford,4000,8.93,42646332,Ramon Laureano,4200,7.78,42646277,Joc Pederson,3000,6.30,80.86,46100,20.5,2.0484e+1
