P,P,C,1B,2B,3B,SS,OF,OF,OF
42643658,42643649,42643682,42643669,42643714,42643864,42643825,42643745,42643664,42643806
42643660,42643649,42643689,42643704,42643736,42643766,42643854,42643745,42643664,42643712
42643657,42643651,42643787,42643706,42643736,42643864,42643683,42643664,42643745,42643687
42643648,42643656,42643807,42643669,42643830,42643886,42643678,42643670,42643712,42643703
42643648,42643658,42643832,42643706,42643736,42643681,42643825,42643703,42643670,42643721
42643648,42643649,42643807,42643704,42643742,42643750,42643876,42643702,42643672,42643802
42643648,42643649,42643682,42643893,42643688,42643836,42643705,42643749,42643772,42643711
42643653,42643649,42643768,42643671,42643803,42643707,42643799,42643670,42643730,42643772
42643657,42643653,42643832,42643693,42643736,42643700,42643697,42643712,42643745,42643665
42643648,42643649,42643807,42643706,42643797,42643886,42643683,42643687,42643726,42643756
42643654,42643649,42643710,42643676,42643814,42643681,42643869,42643721,42643692,42643756
42643657,42643652,42643717,42643684,42643847,42643709,42643683,42643719,42643726,42643694
42643661,42643658,42643679,42643718,42643668,42643750,42643678,42643802,42643672,42643738
42643652,42643650,42643710,42643759,42643814,42643714,42643678,42643745,42643670,42643772
42643648,42643651,42643807,42643739,42643830,42643681,42643678,42643793,42643716,42643726
42643648,42643649,42643795,42643722,42643809,42643709,42643869,42643821,42643666,42643694
42643654,42643648,42643682,42643739,42643688,42643836,42643869,42643672,42643702,42643762
42643658,42643649,42643689,42643685,42643797,42643681,42643683,42643821,42643800,42643719
42643657,42643656,42643737,42643669,42643736,42643735,42643748,42643664,42643729,42643756
42643648,42643649,42643710,42643810,42643791,42643817,42643740,42643664,42643835,42643726
42643658,42643649,42643667,42643676,42643765,42643766,42643727,42643762,42643781,42643692
42643648,42643649,42643689,42643708,42643797,42643727,42643748,42643672,42643842,42643870
42643648,42643658,42643717,42643676,42643830,42643770,42643678,42643716,42643793,42643690
42643657,42643658,42643768,42643669,42643688,42643691,42643683,42643698,42643711,42643806
42643652,42643650,42643689,42643704,42643742,42643750,42643869,42643712,42643672,42643721
42643657,42643648,42643682,42643693,42643798,42643725,42643876,42643665,42643801,42643699
42643648,42643649,42643667,42643739,42643803,42643707,42643799,42643767,42643843,42643713
42643661,42643656,42643807,42643693,42643830,42643714,42643678,42643670,42643716,42643665
42643658,42643649,42643695,42643893,42643688,42643750,42643683,42643784,42643702,42643687
42643648,42643663,42643667,42643684,42643809,42643685,42643748,42643800,42643821,42643666
42643661,42643649,42643710,42643693,42643791,42643700,42643740,42643772,42643759,42643665
42643648,42643660,42643695,42643813,42643688,42643681,42643705,42643702,42643800,42643721
42643648,42643661,42643889,42643676,42643736,42643707,42643799,42643664,42643703,42643730
42643652,42643649,42643682,42643739,42643798,42643725,42643727,42643842,42643665,42643780
42643651,42643649,42643807,42643722,42643830,42643770,42643678,42643670,42643721,42643759
42643652,42643648,42643832,42643669,42643736,42643876,42643825,42643664,42643762,42643699
42643648,42643653,42643717,42643684,42643847,42643709,42643678,42643844,42643772,42643694
42643652,42643658,42643787,42643706,42643797,42643700,42643683,42643729,42643665,42643719
42643648,42643650,42643807,42643755,42643803,42643707,42643678,42643767,42643698,42643711
42643660,42643649,42643682,42643739,42643773,42643681,42643723,42643821,42643699,42643713
42643648,42643660,42643724,42643755,42643815,42643830,42643697,42643670,42643759,42643666
42643648,42643649,42643902,42643708,42643761,42643685,42643854,42643842,42643665,42643690
42643648,42643649,42643737,42643867,42643814,42643714,42643700,42643757,42643665,42643801
42643652,42643648,42643787,42643733,42643797,42643817,42643683,42643703,42643712,42643687
42643648,42643658,42643724,42643739,42643809,42643725,42643825,42643694,42643690,42643666
42643652,42643649,42643717,42643747,42643847,42643691,42643683,42643713,42643780,42643711
42643662,42643648,42643832,42643669,42643786,42643720,42643697,42643664,42643745,42643796
42643648,42643656,42643667,42643813,42643688,42643836,42643678,42643749,42643702,42643802
42643661,42643649,42643737,42643755,42643765,42643691,42643678,42643716,42643793,42643670
42643648,42643650,42643787,42643708,42643797,42643817,42643854,42643665,42643726,42643687
42643648,42643649,42643717,42643776,42643809,42643709,42643784,42643794,42643672,42643759
42643648,42643649,42643832,42643813,42643688,42643770,42643705,42643702,42643805,42643698
42643648,42643658,42643832,42643693,42643714,42643720,42643697,42643665,42643957,42643733
42643652,42643648,42643682,42643722,42643798,42643681,42643876,42643721,42643699,42643780
42643662,42643654,42643679,42643755,42643668,42643830,42643678,42643670,42643716,42643738
42643658,42643649,42643832,42643685,42643761,42643727,42643723,42643664,42643821,42643721
42643652,42643649,42643682,42643706,42643791,42643725,42643876,42643703,42643699,42643713
42643648,42643656,42643667,42643733,42643830,42643770,42643697,42643716,42643793,42643680
42643648,42643649,42643851,42643747,42643742,42643681,42643723,42643854,42643698,42643711
42643661,42643649,42643807,42643893,42643688,42643836,42643705,42643702,42643665,42643666
42643652,42643648,42643682,42643671,42643714,42643725,42643876,42643843,42643730,42643699
42643648,42643656,42643851,42643685,42643736,42643681,42643723,42643772,42643711,42643698
42643654,42643649,42643717,42643676,42643798,42643725,42643727,42643780,42643762,42643690
42643652,42643661,42643832,42643706,42643797,42643720,42643683,42643664,42643726,42643687
42643648,42643660,42643889,42643671,42643803,42643691,42643678,42643664,42643730,42643843
42643648,42643650,42643682,42643810,42643791,42643714,42643740,42643665,42643772,42643844
42643648,42643658,42643787,42643695,42643688,42643836,42643705,42643672,42643687,42643806
42643648,42643663,42643682,42643739,42643786,42643709,42643876,42643664,42643699,42643713
42643652,42643649,42643787,42643684,42643814,42643817,42643683,42643703,42643726,42643719
42643648,42643650,42643807,42643755,42643830,42643766,42643697,42643716,42643698,42643680
42643654,42643649,42643682,42643867,42643736,42643725,42643723,42643711,42643698,42643713
42643648,42643649,42643851,42643747,42643773,42643691,42643683,42643843,42643730,42643698
42643661,42643648,42643737,42643693,42643688,42643714,42643705,42643805,42643702,42643749
42643657,42643649,42643667,42643722,42643757,42643681,42643881,42643842,42643741,42643665
42643662,42643648,42643787,42643755,42643830,42643725,42643678,42643670,42643733,42643680
42643652,42643648,42643832,42643733,42643736,42643720,42643697,42643703,42643712,42643780
42643648,42643651,42643682,42643685,42643791,42643681,42643740,42643821,42643721,42643835
42643660,42643649,42643851,42643706,42643773,42643691,42643678,42643716,42643698,42643711
42643648,42643649,42643851,42643684,42643773,42643709,42643723,42643698,42643781,42643801
42643652,42643649,42643795,42643704,42643791,42643750,42643784,42643670,42643672,42643794
42643648,42643663,42643695,42643813,42643688,42643836,42643705,42643664,42643703,42643745
42643652,42643660,42643717,42643755,42643815,42643707,42643678,42643670,42643793,42643666
42643648,42643650,42643832,42643739,42643736,42643725,42643876,42643665,42643699,42643762
42643648,42643663,42643724,42643755,42643765,42643770,42643678,42643716,42643712,42643670
42643652,42643649,42643682,42643940,42643803,42643725,42643799,42643664,42643767,42643699
42643652,42643648,42643710,42643759,42643814,42643720,42643697,42643772,42643665,42643835
42643648,42643649,42643889,42643676,42643765,42643707,42643748,42643885,42643698,42643692
42643648,42643658,42643832,42643671,42643786,42643707,42643799,42643664,42643730,42643767
42643651,42643649,42643689,42643693,42643714,42643750,42643784,42643794,42643672,42643844
42643652,42643648,42643807,42643747,42643847,42643691,42643723,42643698,42643711,42643694
42643648,42643650,42643682,42643708,42643798,42643770,42643876,42643716,42643713,42643699
42643657,42643648,42643787,42643706,42643786,42643817,42643697,42643687,42643726,42643680
42643648,42643658,42643902,42643708,42643714,42643766,42643727,42643664,42643854,42643666
42643648,42643649,42643710,42643747,42643814,42643691,42643723,42643801,42643762,42643699
42643652,42643658,42643667,42643722,42643736,42643685,42643869,42643821,42643721,42643665
42643654,42643649,42643679,42643706,42643797,42643836,42643683,42643749,42643726,42643719
42643648,42643661,42643832,42643693,42643757,42643700,42643881,42643664,42643844,42643665
42643656,42643649,42643717,42643684,42643847,42643709,42643678,42643842,42643854,42643666
42643648,42643656,42643667,42643810,42643791,42643681,42643740,42643772,42643844,42643666
42643652,42643649,42643710,42643940,42643803,42643707,42643799,42643712,42643730,42643665
42643662,42643648,42643682,42643676,42643798,42643725,42643876,42643670,42643729,42643699
42643648,42643656,42643851,42643693,42643714,42643691,42643799,42643703,42643711,42643698
42643648,42643658,42643724,42643813,42643736,42643836,42643705,42643664,42643702,42643749
42643650,42643649,42643807,42643739,42643815,42643770,42643678,42643716,42643699,42643713
42643648,42643658,42643807,42643755,42643830,42643720,42643705,42643670,42643716,42643680
42643648,42643649,42643853,42643685,42643688,42643681,42643869,42643805,42643721,42643757
42643652,42643648,42643682,42643739,42643798,42643735,42643876,42643665,42643759,42643762
42643648,42643661,42643851,42643708,42643773,42643691,42643678,42643670,42643801,42643698
42643648,42643658,42643737,42643940,42643714,42643707,42643700,42643767,42643665,42643729
42643652,42643649,42643889,42643671,42643803,42643727,42643683,42643767,42643843,42643665
42643656,42643649,42643682,42643708,42643847,42643681,42643727,42643854,42643694,42643690
42643648,42643658,42643724,42643676,42643797,42643817,42643683,42643719,42643699,42643726
42643648,42643651,42643807,42643722,42643815,42643770,42643697,42643670,42643793,42643680
42643652,42643648,42643689,42643755,42643742,42643830,42643678,42643716,42643793,42643711
42643651,42643649,42643682,42643685,42643798,42643876,42643683,42643699,42643687,42643885
42643654,42643649,42643695,42643685,42643791,42643681,42643700,42643702,42643800,42643821
42643652,42643649,42643710,42643759,42643814,42643750,42643740,42643664,42643703,42643844
42643656,42643649,42643679,42643940,42643668,42643830,42643678,42643815,42643670,42643793
42643648,42643650,42643724,42643669,42643736,42643750,42643784,42643703,42643794,42643802
42643648,42643660,42643832,42643747,42643798,42643691,42643723,42643745,42643664,42643698
42643648,42643658,42643889,42643695,42643688,42643707,42643799,42643702,42643672,42643730
42643658,42643649,42643851,42643693,42643798,42643714,42643700,42643665,42643729,42643726
42643652,42643648,42643717,42643684,42643809,42643727,42643847,42643670,42643844,42643690
42643648,42644282,42643710,42643676,42643814,42643681,42643700,42643721,42643772,42643665
42643652,42643649,42643682,42643739,42643798,42643876,42643847,42643699,42643694,42643666
42643648,42643658,42643667,42643669,42643786,42643681,42643697,42643712,42643957,42643865
42643661,42643649,42643851,42643706,42643797,42643691,42643683,42643698,42643687,42643711
42643661,42643648,42643682,42643693,42643798,42643700,42643705,42643699,42643713,42643780
42643648,42643650,42643787,42643813,42643797,42643750,42643683,42643719,42643713,42643687
42643655,42643648,42643682,42643739,42643798,42643725,42643869,42643745,42643664,42643762
42643652,42643649,42643717,42643810,42643809,42643681,42643869,42643772,42643666,42643690
42643648,42643656,42643902,42643669,42643773,42643766,42643723,42643664,42643801,42643698
42643652,42643649,42643832,42643669,42643736,42643743,42643825,42643712,42643713,42643699
42643657,42643649,42643787,42643676,42643797,42643743,42643837,42643726,42643687,42643666
42643648,42643650,42643667,42643722,42643765,42643681,42643869,42643842,42643721,42643756
42643654,42643649,42643682,42643813,42643798,42643681,42643876,42643665,42643699,42643780
42643648,42643661,42643689,42643708,42643714,42643750,42643727,42643672,42643802,42643733
42643663,42643649,42643695,42643813,42643688,42643836,42643678,42643670,42643716,42643702
42643648,42643656,42643710,42643684,42643814,42643727,42643678,42643835,42643844,42643666
42643661,42643651,42643832,42643759,42643736,42643709,42643825,42643703,42643664,42643666
42643652,42643648,42643889,42643671,42643830,42643707,42643697,42643670,42643843,42643730
42643660,42643649,42643682,42643693,42643688,42643836,42643705,42643805,42643702,42643713
42643648,42643656,42643710,42643669,42643791,42643720,42643697,42643772,42643844,42643692
42643654,42643658,42643787,42643706,42643797,42643709,42643683,42643726,42643666,42643690
42643648,42643656,42643682,42643867,42643773,42643691,42643678,42643793,42643711,42643698
42643652,42643649,42643807,42643676,42643830,42643714,42643678,42643793,42643781,42643692
42643648,42643649,42643710,42643755,42643815,42643770,42643723,42643670,42643716,42643844
42643654,42643649,42643853,42643685,42643765,42643681,42643869,42643721,42643665,42643762
42643648,42643649,42643717,42643739,42643798,42643725,42643876,42643749,42643699,42643690
42643661,42643648,42643724,42643669,42643765,42643735,42643697,42643703,42643756,42643733
42643658,42643649,42643787,42643695,42643688,42643817,42643683,42643794,42643672,42643719
42643648,42643660,42643710,42643893,42643688,42643700,42643705,42643716,42643805,42643665
42643652,42643649,42643902,42643708,42643668,42643766,42643854,42643664,42643793,42643721
42643652,42643648,42643682,42643722,42643761,42643685,42643723,42643821,42643800,42643711
42643652,42643648,42643787,42643706,42643797,42643750,42643723,42643726,42643698,42643719
42643661,42643649,42643889,42643671,42643803,42643707,42643683,42643702,42643672,42643767
42643652,42643648,42643807,42643685,42643786,42643681,42643869,42643794,42643672,42643721
42643662,42643648,42643737,42643708,42643757,42643714,42643678,42643842,42643665,42643729
42643648,42643658,42643717,42643684,42643847,42643709,42643697,42643699,42643780,42643694
42643648,42643649,42643667,42643706,42643814,42643735,42643740,42643772,42643759,42643844
42643655,42643649,42643807,42643669,42643736,42643836,42643825,42643703,42643664,42643749
42643648,42643660,42643717,42643693,42643803,42643714,42643700,42643843,42643665,42643729
42643648,42643651,42643710,42643759,42643736,42643725,42643740,42643703,42643702,42643844
42643648,42643650,42643667,42643704,42643786,42643707,42643799,42643843,42643730,42643767
42643648,42643653,42643787,42643706,42643797,42643691,42643683,42643719,42643801,42643698
42643656,42643649,42643682,42643739,42643798,42643700,42643881,42643665,42643762,42643699
42643651,42643649,42643853,42643722,42643688,42643681,42643869,42643664,42643870,42643721
42643652,42643662,42643710,42643676,42643815,42643685,42643678,42643670,42643716,42643781
42643658,42643660,42643682,42643706,42643797,42643817,42643683,42643664,42643687,42643713
42643652,42643648,42643787,42643733,42643773,42643691,42643683,42643806,42643719,42643726
42643648,42643650,42643807,42643813,42643688,42643836,42643705,42643664,42643805,42643711
42643648,42643656,42643682,42643676,42643765,42643876,42643748,42643699,42643756,42643692
