P_ID,P_Name,P_Salary,P_Proj,P_ID,P_Name,P_Salary,P_Proj,C_ID,C_Name,C_Salary,C_Proj,1B_ID,1B_Name,1B_Salary,1B_Proj,2B_ID,2B_Name,2B_Salary,2B_Proj,3B_ID,3B_Name,3B_Salary,3B_Proj,SS_ID,SS_Name,SS_Salary,SS_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,OF_ID,OF_Name,OF_Salary,OF_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42643658,Spencer Arrighetti,7000,17.02,42643649,Shohei Ohtani,9500,20.92,42643682,Cal Raleigh,5000,9.05,42643669,Ben Rice,5500,10.16,42643714,Isaac Paredes,4200,7.68,42643864,Ryan McMahon,2500,6.44,42643825,Jose Caballero,2800,7.49,42643745,Trent Grisham,3800,9.82,42643664,Aaron Judge,6500,12.41,42643806,Joc Pederson,3000,6.26,107.25,49800,22.2,2.2246e+1
42643660,Kumar Rocker,6700,9.45,42643649,Shohei Ohtani,9500,20.92,42643689,Drake Baldwin,4800,8.17,42643704,Matt Olson,4500,8.46,42643736,Jazz Chisholm Jr.,3900,9.32,42643766,Miguel Vargas,3500,8.12,42643854,Luisangel Acuna,2500,6.06,42643745,Trent Grisham,3800,9.82,42643664,Aaron Judge,6500,12.41,42643712,Giancarlo Stanton,4200,8.56,101.29,49900,18.4,1.8436e+1
42643657,Luis Gil,7200,11.94,42643651,Emerson Hancock,8500,11.27,42643787,Danny Jansen,3200,6.70,42643706,Jake Burger,4400,7.78,42643736,Jazz Chisholm Jr.,3900,9.32,42643864,Ryan McMahon,2500,6.44,42643683,Corey Seager,5000,9.72,42643664,Aaron Judge,6500,12.41,42643745,Trent Grisham,3800,9.82,42643687,Brandon Nimmo,4900,8.90,94.30,49900,13.8,1.3775e+1
42643648,Dylan Cease,9700,21.75,42643656,J.T. Ginn,7300,12.84,42643807,Logan O'Hoppe,3000,7.00,42643669,Ben Rice,5500,10.16,42643830,Oswald Peraza,2800,6.66,42643886,Tanner Murray,2200,5.34,42643678,Zach Neto,5200,9.22,42643670,Mike Trout,5500,9.51,42643712,Giancarlo Stanton,4200,8.56,42643703,Cody Bellinger,4500,8.89,99.93,49900,14.6,1.4620e+1
42643648,Dylan Cease,9700,21.75,42643658,Spencer Arrighetti,7000,17.02,42643832,Austin Wells,2800,7.62,42643706,Jake Burger,4400,7.78,42643736,Jazz Chisholm Jr.,3900,9.32,42643681,Junior Caminero,5100,9.33,42643825,Jose Caballero,2800,7.49,42643703,Cody Bellinger,4500,8.89,42643670,Mike Trout,5500,9.51,42643721,Chandler Simpson,4100,8.38,107.09,49800,18.1,1.8114e+1
42643648,Dylan Cease,9700,21.75,42643649,Shohei Ohtani,9500,20.92,42643807,Logan O'Hoppe,3000,7.00,42643704,Matt Olson,4500,8.46,42643742,Ozzie Albies,3800,7.20,42643750,Austin Riley,3700,8.92,42643876,Leo Rivas,2300,5.67,42643702,Jakob Marsee,4500,8.73,42643672,Ronald Acuna Jr.,5400,10.91,42643802,Mike Yastrzemski,3000,7.08,106.64,49400,16.7,1.6749e+1
42643648,Dylan Cease,9700,21.75,42643649,Shohei Ohtani,9500,20.92,42643682,Cal Raleigh,5000,9.05,42643893,Deyvison De Los Santos,2100,5.87,42643688,Xavier Edwards,4800,7.53,42643836,Graham Pauley,2700,6.08,42643705,Otto Lopez,4400,8.37,42643749,Owen Caissie,3700,6.86,42643772,Mickey Moniak,3400,8.20,42643711,Ramon Laureano,4200,7.78,102.41,49500,11.4,1.1448e+1
42643653,Randy Vasquez,8000,10.09,42643649,Shohei Ohtani,9500,20.92,42643768,Gary Sanchez,3500,5.96,42643671,Vladimir Guerrero Jr.,5400,8.79,42643803,Ernie Clement,3000,5.88,42643707,Kazuma Okamoto,4400,7.08,42643799,Andres Gimenez,3100,6.42,42643670,Mike Trout,5500,9.51,42643730,Daulton Varsho,4000,8.23,42643772,Mickey Moniak,3400,8.20,91.08,49800,8.8,8.7650e+0
42643657,Luis Gil,7200,11.94,42643653,Randy Vasquez,8000,10.09,42643832,Austin Wells,2800,7.62,42643693,Christian Walker,4700,8.00,42643736,Jazz Chisholm Jr.,3900,9.32,42643700,Carlos Correa,4500,7.82,42643697,Francisco Lindor,4600,7.31,42643712,Giancarlo Stanton,4200,8.56,42643745,Trent Grisham,3800,9.82,42643665,Yordan Alvarez,6200,10.54,91.02,49900,13.4,1.3424e+1
42643648,Dylan Cease,9700,21.75,42643649,Shohei Ohtani,9500,20.92,42643807,Logan O'Hoppe,3000,7.00,42643706,Jake Burger,4400,7.78,42643797,Josh Smith,3100,6.39,42643886,Tanner Murray,2200,5.34,42643683,Corey Seager,5000,9.72,42643687,Brandon Nimmo,4900,8.90,42643726,Wyatt Langford,4000,8.63,42643756,Lawrence Butler,3600,7.88,104.31,49400,15.2,1.5207e+1
