PG_ID,PG_Name,PG_Salary,PG_Proj,SG_ID,SG_Name,SG_Salary,SG_Proj,SF_ID,SF_Name,SF_Salary,SF_Proj,PF_ID,PF_Name,PF_Salary,PF_Proj,C_ID,C_Name,C_Salary,C_Proj,G_ID,G_Name,G_Salary,G_Proj,F_ID,F_Name,F_Salary,F_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42553331,Jeremiah Fears,6100,45.50,42553324,Collin Sexton,6300,36.80,42553437,Leonard Miller,5100,36.20,42553267,Ousmane Dieng,7200,40.20,42553391,Julian Reese,5500,39.20,42553350,Cody Williams,5800,32.30,42553423,Derik Queen,5100,41.70,42553195,Bam Adebayo,8800,46.10,318.00,49900,32.3,3.2255e+1
42553331,Jeremiah Fears,6100,45.50,42553324,Collin Sexton,6300,36.80,42553437,Leonard Miller,5100,36.20,42553200,Julius Randle,8600,43.80,42553195,Bam Adebayo,8800,46.10,42553275,Brice Sensabaugh,7000,38.90,42553423,Derik Queen,5100,41.70,42553862,Hunter Dickinson,3000,28.20,317.20,50000,28.8,2.8790e+1
42553331,Jeremiah Fears,6100,45.50,42553462,Cormac Ryan,4900,29.70,42553437,Leonard Miller,5100,36.20,42553255,Kyle Filipowski,7300,39.60,42553391,Julian Reese,5500,39.20,42553275,Brice Sensabaugh,7000,38.90,42553423,Derik Queen,5100,41.70,42553195,Bam Adebayo,8800,46.10,316.90,49800,26.1,2.6099e+1
42553287,Tre Jones,6900,37.50,42553275,Brice Sensabaugh,7000,38.90,42553267,Ousmane Dieng,7200,40.20,42553189,Scottie Barnes,9200,43.60,42553391,Julian Reese,5500,39.20,42553331,Jeremiah Fears,6100,45.50,42553423,Derik Queen,5100,41.70,42553862,Hunter Dickinson,3000,28.20,314.80,50000,25.6,2.5554e+1
42553331,Jeremiah Fears,6100,45.50,42553213,Brandon Ingram,8200,38.50,42553437,Leonard Miller,5100,36.20,42553175,Jayson Tatum,10000,45.80,42553391,Julian Reese,5500,39.20,42553275,Brice Sensabaugh,7000,38.90,42553423,Derik Queen,5100,41.70,42553862,Hunter Dickinson,3000,28.20,314.00,50000,22.6,2.2615e+1
42553331,Jeremiah Fears,6100,45.50,42553324,Collin Sexton,6300,36.80,42553267,Ousmane Dieng,7200,40.20,42553200,Julius Randle,8600,43.80,42553391,Julian Reese,5500,39.20,42553213,Brandon Ingram,8200,38.50,42553423,Derik Queen,5100,41.70,42553862,Hunter Dickinson,3000,28.20,313.90,50000,26.0,2.5960e+1
42553287,Tre Jones,6900,37.50,42553578,Ethan Thompson,3900,23.80,42553437,Leonard Miller,5100,36.20,42553200,Julius Randle,8600,43.80,42553391,Julian Reese,5500,39.20,42553331,Jeremiah Fears,6100,45.50,42553423,Derik Queen,5100,41.70,42553195,Bam Adebayo,8800,46.10,313.80,50000,27.1,2.7093e+1
42553402,Bones Hyland,5300,28.30,42553331,Jeremiah Fears,6100,45.50,42553437,Leonard Miller,5100,36.20,42553200,Julius Randle,8600,43.80,42553391,Julian Reese,5500,39.20,42553275,Brice Sensabaugh,7000,38.90,42553267,Ousmane Dieng,7200,40.20,42553423,Derik Queen,5100,41.70,313.80,49900,27.9,2.7934e+1
42553287,Tre Jones,6900,37.50,42553228,Tyler Herro,7800,37.50,42553324,Collin Sexton,6300,36.80,42553437,Leonard Miller,5100,36.20,42553391,Julian Reese,5500,39.20,42553275,Brice Sensabaugh,7000,38.90,42553423,Derik Queen,5100,41.70,42553331,Jeremiah Fears,6100,45.50,313.30,49800,30.5,3.0530e+1
42553287,Tre Jones,6900,37.50,42553228,Tyler Herro,7800,37.50,42553437,Leonard Miller,5100,36.20,42553267,Ousmane Dieng,7200,40.20,42553195,Bam Adebayo,8800,46.10,42553331,Jeremiah Fears,6100,45.50,42553423,Derik Queen,5100,41.70,42553862,Hunter Dickinson,3000,28.20,312.90,50000,27.7,2.7669e+1
