PG,SG,SF,PF,C,G,F,UTIL
42675398,42675454,42675437,42675286,42675313,42675421,42675289,42675426
42675398,42675292,42675454,42675459,42675392,42675421,42675286,42675313
42675451,42675454,42675426,42675286,42675392,42675421,42675289,42675317
42675307,42675292,42675454,42675459,42675463,42675421,42675368,42675286
42675398,42675454,42675340,42675459,42675281,42675421,42675289,42675433
42675451,42675454,42675340,42675459,42675281,42675421,42675286,42675426
42675451,42675421,42675378,42675313,42675392,42675437,42675286,42675317
42675451,42675421,42675426,42675368,42675463,42675298,42675286,42675317
42675333,42675454,42675421,42675286,42675463,42675437,42675289,42675343
42675398,42675292,42675437,42675426,42675313,42675421,42675353,42675317
42675451,42675454,42675421,42675459,42675281,42675307,42675310,42675433
42675357,42675454,42675361,42675313,42675463,42675333,42675286,42675426
42675398,42675454,42675421,42675368,42675313,42675410,42675289,42675317
42675451,42675301,42675421,42675330,42675392,42675410,42675383,42675286
42675451,42675301,42675465,42675459,42675463,42675298,42675421,42675281
42675417,42675410,42675340,42675459,42675463,42675421,42675289,42675281
42675357,42675337,42675340,42675368,42675392,42675301,42675421,42675366
42675398,42675454,42675340,42675368,42675366,42675301,42675289,42675421
42675451,42675410,42675426,42675313,42675366,42675333,42675286,42675392
42675398,42675421,42675426,42675459,42675366,42675417,42675289,42675281
42675402,42675454,42675421,42675286,42675392,42675333,42675313,42675366
42675451,42675292,42675454,42675330,42675368,42675410,42675286,42675402
42675333,42675454,42675426,42675368,42675381,42675421,42675313,42675286
42675333,42675454,42675465,42675286,42675366,42675398,42675426,42675289
42675357,42675454,42675394,42675304,42675392,42675421,42675313,42675317
42675357,42675465,42675375,42675313,42675463,42675421,42675289,42675317
42675298,42675337,42675454,42675313,42675433,42675398,42675437,42675317
42675451,42675454,42675340,42675304,42675392,42675301,42675313,42675421
42675298,42675454,42675394,42675286,42675392,42675437,42675426,42675317
42675402,42675465,42675340,42675426,42675392,42675421,42675310,42675281
42675451,42675398,42675454,42675426,42675281,42675327,42675421,42675317
42675451,42675292,42675454,42675313,42675366,42675421,42675289,42675426
42675357,42675292,42675394,42675459,42675313,42675421,42675426,42675317
42675451,42675398,42675454,42675330,42675343,42675421,42675313,42675286
42675402,42675421,42675426,42675368,42675463,42675398,42675289,42675281
42675402,42675301,42675361,42675459,42675463,42675437,42675286,42675313
42675451,42675454,42675340,42675289,42675281,42675398,42675437,42675426
42675451,42675410,42675340,42675459,42675281,42675402,42675289,42675437
42675451,42675292,42675426,42675459,42675463,42675327,42675313,42675317
42675451,42675357,42675426,42675286,42675366,42675417,42675313,42675343
42675451,42675465,42675310,42675459,42675281,42675398,42675313,42675426
42675451,42675437,42675310,42675459,42675463,42675307,42675426,42675281
42675451,42675454,42675394,42675304,42675392,42675398,42675286,42675317
42675307,42675454,42675426,42675345,42675392,42675398,42675313,42675317
42675327,42675454,42675394,42675304,42675392,42675292,42675426,42675366
42675451,42675437,42675421,42675286,42675366,42675417,42675426,42675281
42675451,42675398,42675340,42675426,42675281,42675402,42675421,42675307
42675307,42675454,42675465,42675459,42675281,42675410,42675426,42675317
42675402,42675333,42675394,42675313,42675366,42675437,42675286,42675426
42675451,42675292,42675454,42675330,42675317,42675421,42675313,42675437
42675402,42675337,42675421,42675304,42675459,42675437,42675313,42675317
42675307,42675357,42675421,42675368,42675463,42675417,42675313,42675317
42675307,42675410,42675426,42675289,42675392,42675398,42675421,42675317
42675307,42675301,42675482,42675459,42675463,42675417,42675421,42675281
42675307,42675337,42675426,42675286,42675366,42675421,42675437,42675398
42675451,42675454,42675361,42675368,42675463,42675437,42675286,42675281
42675327,42675357,42675340,42675368,42675392,42675421,42675426,42675289
42675357,42675410,42675340,42675330,42675392,42675421,42675289,42675366
