PG_ID,PG_Name,PG_Salary,PG_Proj,SG_ID,SG_Name,SG_Salary,SG_Proj,SF_ID,SF_Name,SF_Salary,SF_Proj,PF_ID,PF_Name,PF_Salary,PF_Proj,C_ID,C_Name,C_Salary,C_Proj,G_ID,G_Name,G_Salary,G_Proj,F_ID,F_Name,F_Salary,F_Proj,UTIL_ID,UTIL_Name,UTIL_Salary,UTIL_Proj,Total_Projection,Total_Salary,Avg_Ownership,Ownership_Product
42675398,Luke Kennard,4900,25.51,42675454,Ja'Kobe Walter,4000,19.84,42675437,Tari Eason,4300,21.47,42675286,Jalen Johnson,10000,45.56,42675313,Karl-Anthony Towns,8300,43.35,42675421,Marcus Smart,4600,25.79,42675289,LeBron James,9400,50.68,42675426,Rui Hachimura,4500,23.32,255.52,50000,23.8,2.3842e+1
42675398,Luke Kennard,4900,25.51,42675292,Donovan Mitchell,9100,43.61,42675454,Ja'Kobe Walter,4000,19.84,42675459,Collin Murray-Boyles,4000,19.52,42675392,Jakob Poeltl,5100,27.34,42675421,Marcus Smart,4600,25.79,42675286,Jalen Johnson,10000,45.56,42675313,Karl-Anthony Towns,8300,43.35,250.52,50000,20.0,1.9956e+1
42675451,Jamal Shead,4000,19.67,42675454,Ja'Kobe Walter,4000,19.84,42675426,Rui Hachimura,4500,23.32,42675286,Jalen Johnson,10000,45.56,42675392,Jakob Poeltl,5100,27.34,42675421,Marcus Smart,4600,25.79,42675289,LeBron James,9400,50.68,42675317,Alperen Sengun,8200,42.88,255.08,49800,22.5,2.2545e+1
42675307,Jalen Brunson,8500,43.92,42675292,Donovan Mitchell,9100,43.61,42675454,Ja'Kobe Walter,4000,19.84,42675459,Collin Murray-Boyles,4000,19.52,42675463,Sandro Mamukelashvili,3900,19.08,42675421,Marcus Smart,4600,25.79,42675368,Aaron Gordon,5800,32.18,42675286,Jalen Johnson,10000,45.56,249.50,49900,18.7,1.8723e+1
42675398,Luke Kennard,4900,25.51,42675454,Ja'Kobe Walter,4000,19.84,42675340,RJ Barrett,6700,36.78,42675459,Collin Murray-Boyles,4000,19.52,42675281,Nikola Jokic,12000,64.79,42675421,Marcus Smart,4600,25.79,42675289,LeBron James,9400,50.68,42675433,Mitchell Robinson,4400,20.61,263.52,50000,23.6,2.3561e+1
42675451,Jamal Shead,4000,19.67,42675454,Ja'Kobe Walter,4000,19.84,42675340,RJ Barrett,6700,36.78,42675459,Collin Murray-Boyles,4000,19.52,42675281,Nikola Jokic,12000,64.79,42675421,Marcus Smart,4600,25.79,42675286,Jalen Johnson,10000,45.56,42675426,Rui Hachimura,4500,23.32,255.27,49800,22.4,2.2379e+1
42675451,Jamal Shead,4000,19.67,42675421,Marcus Smart,4600,25.79,42675378,Mikal Bridges,5500,26.24,42675313,Karl-Anthony Towns,8300,43.35,42675392,Jakob Poeltl,5100,27.34,42675437,Tari Eason,4300,21.47,42675286,Jalen Johnson,10000,45.56,42675317,Alperen Sengun,8200,42.88,252.30,50000,19.9,1.9944e+1
42675451,Jamal Shead,4000,19.67,42675421,Marcus Smart,4600,25.79,42675426,Rui Hachimura,4500,23.32,42675368,Aaron Gordon,5800,32.18,42675463,Sandro Mamukelashvili,3900,19.08,42675298,Jamal Murray,8800,44.10,42675286,Jalen Johnson,10000,45.56,42675317,Alperen Sengun,8200,42.88,252.58,49800,21.3,2.1273e+1
42675333,Nickeil Alexander-Walker,7200,34.93,42675454,Ja'Kobe Walter,4000,19.84,42675421,Marcus Smart,4600,25.79,42675286,Jalen Johnson,10000,45.56,42675463,Sandro Mamukelashvili,3900,19.08,42675437,Tari Eason,4300,21.47,42675289,LeBron James,9400,50.68,42675343,Onyeka Okongwu,6600,32.10,249.45,50000,18.2,1.8242e+1
42675398,Luke Kennard,4900,25.51,42675292,Donovan Mitchell,9100,43.61,42675437,Tari Eason,4300,21.47,42675426,Rui Hachimura,4500,23.32,42675313,Karl-Anthony Towns,8300,43.35,42675421,Marcus Smart,4600,25.79,42675353,Jabari Smith Jr.,6100,29.74,42675317,Alperen Sengun,8200,42.88,255.67,50000,22.3,2.2260e+1
