PG,SG,SF,PF,C,G,F,UTIL
42698274,42698320,42698278,42698200,42698192,42698285,42698290,42698270
42698325,42698333,42698203,42698290,42698270,42698227,42698285,42698197
42698325,42698333,42698299,42698290,42698192,42698227,42698285,42698221
42698241,42698208,42698218,42698256,42698294,42698274,42698285,42698270
42698274,42698312,42698299,42698197,42698192,42698285,42698290,42698270
42698213,42698333,42698203,42698200,42698343,42698285,42698290,42698270
42698325,42698267,42698203,42698299,42698192,42698274,42698285,42698270
42698227,42698274,42698218,42698200,42698294,42698285,42698290,42698270
42698249,42698262,42698208,42698329,42698270,42698274,42698285,42698197
42698213,42698333,42698208,42698389,42698343,42698274,42698290,42698192
42698241,42698325,42698278,42698200,42698221,42698285,42698256,42698270
42698241,42698333,42698278,42698290,42698270,42698244,42698203,42698227
42698213,42698325,42698278,42698197,42698343,42698274,42698285,42698218
42698249,42698208,42698203,42698290,42698270,42698325,42698256,42698274
42698325,42698234,42698278,42698200,42698270,42698333,42698197,42698281
42698241,42698333,42698320,42698290,42698192,42698274,42698218,42698270
42698227,42698333,42698329,42698197,42698270,42698274,42698256,42698221
42698241,42698274,42698208,42698299,42698270,42698244,42698285,42698227
42698203,42698234,42698262,42698290,42698270,42698296,42698285,42698221
42698203,42698333,42698329,42698256,42698192,42698274,42698278,42698285
42698213,42698333,42698389,42698290,42698192,42698227,42698285,42698270
42698213,42698285,42698278,42698200,42698294,42698241,42698290,42698270
42698325,42698234,42698285,42698389,42698192,42698333,42698197,42698274
42698249,42698325,42698203,42698329,42698270,42698213,42698285,42698241
42698274,42698208,42698329,42698200,42698270,42698320,42698290,42698227
42698249,42698274,42698203,42698200,42698270,42698285,42698278,42698290
42698241,42698333,42698230,42698290,42698192,42698274,42698278,42698270
42698241,42698320,42698278,42698290,42698192,42698227,42698285,42698270
42698213,42698274,42698208,42698290,42698221,42698285,42698312,42698270
42698213,42698274,42698285,42698197,42698260,42698296,42698256,42698270
42698249,42698237,42698230,42698256,42698221,42698274,42698285,42698290
42698203,42698281,42698218,42698389,42698270,42698274,42698290,42698197
42698244,42698333,42698278,42698299,42698192,42698274,42698290,42698221
42698241,42698333,42698290,42698200,42698270,42698274,42698197,42698285
42698241,42698333,42698285,42698200,42698343,42698234,42698218,42698270
42698296,42698274,42698218,42698256,42698192,42698285,42698312,42698270
42698213,42698333,42698329,42698290,42698192,42698241,42698278,42698285
42698241,42698325,42698278,42698389,42698221,42698274,42698197,42698227
42698325,42698274,42698389,42698200,42698343,42698227,42698285,42698192
42698249,42698208,42698329,42698290,42698192,42698333,42698285,42698270
