P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
128225-102395,128225-119442,128225-164495,128225-38976,128225-80852,128225-82440,128225-60643,128225-119343,128225-102438,110.97,34700,19.02,163.00,0.0176,0.0000
128225-102395,128225-68585,128225-165686,128225-68544,128225-60655,128225-79175,128225-119343,128225-102400,128225-79125,117.24,34600,14.30,162.00,0.0059,0.0000
128225-102395,128225-68585,128225-13390,128225-52176,128225-39151,128225-82440,128225-82642,128225-82569,128225-79175,110.72,34100,15.28,159.00,0.0117,0.0000
128225-102395,128225-68585,128225-101827,128225-13719,128225-165686,128225-82440,128225-119343,128225-119297,128225-60655,117.91,34000,18.79,164.00,0.0029,0.0000
128225-102395,128225-82569,128225-118210,128225-13929,128225-37982,128225-60643,128225-79175,128225-79249,128225-82440,112.22,33800,13.46,159.00,0.0117,0.0000
128225-102395,128225-11334,128225-165557,128225-38976,128225-222810,128225-176691,128225-119343,128225-119297,128225-82440,117.90,34900,23.22,173.00,0.0117,0.0000
128225-102395,128225-189308,128225-118210,128225-52176,128225-39151,128225-82440,128225-146695,128225-21885,128225-60655,110.77,33900,16.18,160.00,0.0088,0.0000
128225-102395,128225-135203,128225-165557,128225-68544,128225-222810,128225-119343,128225-119297,128225-82440,128225-52176,116.60,34100,19.15,165.00,0.0059,0.0000
128225-102395,128225-68585,128225-165686,128225-68544,128225-60655,128225-119297,128225-79175,128225-79159,128225-73023,117.36,33500,16.68,161.00,0.0029,0.0000
128225-102395,128225-119442,128225-21853,128225-164495,128225-80852,128225-60643,128225-119343,128225-82440,128225-60655,113.46,33800,18.81,162.00,0.0264,0.0003
128225-102395,128225-165557,128225-118210,128225-13929,128225-37982,128225-79393,128225-119343,128225-82440,128225-73023,115.58,34400,18.66,163.00,0.0029,0.0000
128225-102395,128225-119442,128225-21853,128225-68585,128225-102438,128225-119297,128225-146695,128225-119343,128225-11334,114.78,35000,21.98,168.00,0.0176,0.0000
128225-102395,128225-165557,128225-21853,128225-21885,128225-60655,128225-119343,128225-176691,128225-60643,128225-85261,112.13,33700,18.50,166.00,0.0088,0.0000
128225-102395,128225-119442,128225-21853,128225-164495,128225-102438,128225-82642,128225-82440,128225-119343,128225-165666,114.04,34100,18.29,160.00,0.0147,0.0003
128225-102395,128225-135204,128225-165557,128225-38976,128225-222810,128225-176691,128225-198539,128225-82440,128225-68585,115.87,33700,16.47,164.00,0.0029,0.0000
128225-102395,128225-119442,128225-165557,128225-13719,128225-102438,128225-119297,128225-82440,128225-21885,128225-79159,110.20,33600,21.10,163.00,0.0117,0.0000
128225-102395,128225-82569,128225-118210,128225-13929,128225-37982,128225-119297,128225-82642,128225-82440,128225-189308,113.99,33600,15.97,160.00,0.0000,0.0000
128225-102395,128225-119442,128225-21853,128225-164495,128225-102546,128225-119297,128225-79125,128225-82440,128225-68514,111.36,34300,14.52,160.00,0.0176,0.0003
128225-102395,128225-119442,128225-37982,128225-164495,128225-102438,128225-119297,128225-82440,128225-82642,128225-176691,112.56,33500,19.62,161.00,0.0088,0.0000
128225-102395,128225-101827,128225-165557,128225-68585,128225-165686,128225-82642,128225-82440,128225-119297,128225-11334,115.55,34000,18.42,163.00,0.0029,0.0000
128225-102395,128225-68585,128225-165686,128225-68544,128225-60655,128225-176691,128225-146695,128225-119343,128225-82440,118.84,33700,18.74,166.00,0.0029,0.0000
