PG,PG,SG,SG,SF,SF,PF,PF,C,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
128363-203713,128363-188405,128363-157833,128363-171795,128363-213216,128363-188464,128363-68090,128363-158855,128363-58462,298.80,59700,10.62,380.64,17.3339,0.0607
128363-145331,128363-179762,128363-84667,128363-145323,128363-203802,128363-203761,128363-58462,128363-70823,128363-60021,322.60,60000,21.77,414.46,20.5677,0.0973
128363-145331,128363-49675,128363-110356,128363-213216,128363-84695,128363-171795,128363-80817,128363-194829,128363-60021,308.40,59900,14.77,400.18,14.9319,0.0763
128363-80816,128363-145331,128363-145308,128363-145314,128363-110357,128363-228124,128363-67026,128363-145341,128363-58378,276.90,59400,4.39,358.67,5.3081,0.0190
128363-179762,128363-145323,128363-67026,128363-84667,128363-203761,128363-158855,128363-58462,128363-60021,128363-157846,316.40,60000,16.80,408.56,10.1393,0.0597
128363-110312,128363-145323,128363-58462,128363-157904,128363-145334,128363-9714,128363-203761,128363-203802,128363-228122,294.40,59400,6.95,359.64,1.9565,0.0030
128363-179762,128363-49675,128363-80817,128363-179512,128363-84667,128363-188464,128363-145334,128363-12341,128363-60021,295.70,58300,13.52,400.00,4.8325,0.0243
128363-158373,128363-188405,128363-58153,128363-158855,128363-157850,128363-188464,128363-171770,128363-67026,128363-188424,283.90,59100,6.25,363.57,2.0739,0.0120
128363-145323,128363-157850,128363-60021,128363-171767,128363-80816,128363-179762,128363-67026,128363-145341,128363-145304,290.10,58500,7.27,377.32,0.9294,0.0063
128363-145331,128363-145323,128363-110357,128363-179762,128363-84695,128363-158855,128363-80817,128363-171795,128363-60021,314.10,59600,19.70,413.70,10.2466,0.0713
128363-179762,128363-145331,128363-84667,128363-67026,128363-68090,128363-157833,128363-70823,128363-145548,128363-157825,306.30,60000,17.52,397.38,6.7031,0.0367
128363-145323,128363-203713,128363-194829,128363-157908,128363-49675,128363-188464,128363-157826,128363-171795,128363-171767,276.00,57300,6.13,359.12,10.9623,0.0357
128363-228161,128363-179762,128363-188416,128363-80808,128363-171784,128363-228133,128363-157833,128363-58153,128363-171925,276.80,57900,5.78,350.86,2.1510,0.0043
