DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42976887,Logan Webb,P,,SF,SD,Confirmed,8700,0,17.35,,17.35,1.994252874,48.63,53.35575628,0,100,4.2444,8.1932,15.8944,8.9,16.25,23.3,26.6,32.005,37.6,29.6846,19,30,41,46,54,61,18.0948,10.4,18.7,26.5,30,35.7,41.5,24.5128,14.5,25,35,39.5,47,54.5,10.2552,15.0025,11.3718,14.3763,4.20728,1.13636,0.12792,0.38728,0,0,2.4944,0,5.03724,1.55144,24.8222,5.85884,2.30528,5.96505,0.35124,0.37152,0.01356,0.00648,91.9395
42976953,George Kirby,P,,SEA,ATL,Confirmed,9000,0,16.05,,16.05,1.783333333,44.33,48.06680298,0,100,4.2234,8.2086,15.7663,8.8,15.975,23.15,26.5,31.9,37.451,28.9288,18,29,40,45.15,52,60,18.0674,10.475,18.5,26.5,30.2,35.605,41.5,24.1498,14.5,24.5,34.5,39.5,46.5,54,10.2093,14.9546,11.3448,14.3401,3.56724,0.96564,0.05996,0.70652,0,0,2.50432,0,4.98604,1.53208,23.9673,5.29936,2.30976,5.84708,0.33048,0.34396,0.00932,0.0042,91.7292
42976817,Eduardo Rodriguez,P,,ARI,PIT,Confirmed,7400,0,13.46,,13.46,1.818918919,26.93,27.3493964,0,100,4.8292,9.4858,13.1641,5.9,13.45,20.7,24.35,29.8525,36.1005,25.4595,15,25,36,42,51,58,14.8554,6.8,15.1,23.4,27.415,33.6,40.201,20.7878,10.5,21,31.5,36.5,44.5,52.505,10.5713,15.2302,11.7674,14.8899,3.57156,1.14548,0.22856,0.52464,0,0,2.85888,0,4.94608,2.15876,23.1511,5.47024,2.63704,5.32364,0.28312,0.21568,0.00324,0.00184,88.8116
42977067,Bryce Elder,P,,ATL,SEA,Confirmed,8500,0,12.12,,12.12,1.425882353,28.4,29.08753789,0,100,3.9852,8.2086,13.6291,6.6,13.825,21.1,24.7,30.15,35.701,25.999,15,26,37,43,50,58,15.5334,7.8,15.8,23.8,27.7,33.6,39.601,21.264,11.5,21.5,32,36.575,44,52,10.3003,14.875,11.4682,14.4334,3.46948,0.95184,0.02356,0.71096,0,0,2.80024,0,4.79768,2.24004,23.6141,5.15584,2.58564,5.55356,0.27624,0.2612,0.01404,0.00256,89.6372
42976830,Erick Fedde,P,,CWS,LAA,Confirmed,6200,0,12.02,,12.02,1.938709677,12.83,11.16626764,0,100,4.809,9.4362,11.2751,4.4375,11.25,18.55,22.25,27.3025,33.35,22.0188,12,21,33,38,46,55,12.9,5.2,12.8,21,25.03,30.6,37.201,17.8711,8,18,28,33.5,40.5,49,10.0366,14.2282,11.2023,14.1254,3.1668,0.93655,0.0603,0.7424,0,0,2.85075,0,4.2161,2.2152,21.7876,4.90605,2.64,5.0223,0.2725,0.14715,0.0017,0.0005,85.4428
42977093,Bubba Chandler,P,,PIT,ARI,Confirmed,7200,0,11.11,,11.11,1.543055556,10.74,9.018936056,0,100,4.6566,9.4858,10.8702,4.35,11,17.85,21.3,26.6025,32.5,21.3951,12,21,31,36,45,53,12.4661,5,12.7,20.4,24.3,30.3,36.4,17.2699,8,17.5,27,32,39.5,47.5,9.85755,13.9866,11.0058,13.8642,2.99524,1.0306,0.20304,0.59408,0,0,2.7886,0,4.04696,2.2858,21.6535,4.82296,2.58068,4.98269,0.24584,0.14328,0.00264,0.00076,83.9432
42977080,Sam Aldegheri,P,,LAA,CWS,Confirmed,6400,0,10.82,,10.82,1.690625,13.69,12.08926232,0,100,4.6272,9.4362,11.0952,4.45,11.05,18.1,21.9,27.1525,32.75,21.8599,12,21,31,37,46,54.01,12.6769,5.1,12.7,20.5,24.7,30.5,36.501,17.6556,8,17.5,27.5,33,40.5,48.5,9.91263,14.0757,11.0714,13.9511,3.15375,0.94405,0.08215,0.6712,0,0,2.80515,0,4.18865,2.3783,21.7999,4.85115,2.58945,5.00375,0.24345,0.1476,0.00065,0.00025,85.9723
42976849,Walker Buehler,P,,SD,SF,Confirmed,6000,0,10.55,,10.55,1.758333333,13.17,11.52562942,0,100,3.9488,8.1932,10.7179,4.2,10.7,17.45,21.05,26.5,31.95,21.126,12,21,30,36,45,53,12.2983,4.9,12.5,19.7,23.7,29.7,35.6,17.045,8,17,26.5,31.5,39.5,46.5,9.63071,13.6358,10.7792,13.5352,3.29288,0.98668,0.13004,0.51324,0,0,2.66468,0,3.93052,2.15084,21.4857,4.92284,2.46372,4.94395,0.2248,0.13624,0.00188,0.00028,83.882
42976943,Oneil Cruz,OF,1,PIT,ARI,Confirmed,6200,0,9.65,,9.65,1.556451613,17.38,19.75289653,0,100,4.6566,9.4858,8.45652,2,7,13,17,24,33,11.0639,3,9,16.2,21.9,31.7,43.902,8.33698,2.6,6.8,12.3,16.5,23.6,32.6,8.59876,1.5,6,13.5,18.5,27.5,38,7.97276,10.6419,7.8243,9.33716,0.57424,0.21276,0.05004,0.13468,0.17176,0.02872,0.56672,0.51624,1.41136,0.44908,4.79132,0.97172,0,0,0,0,0,0,0
42977043,Corbin Carroll,OF,3,ARI,PIT,Confirmed,5600,0,9.38,,9.38,1.675,32.18,41.62358121,0,100,4.8292,9.4858,9.6274,3,7,14,18,26,34.01,12.7708,3,9.5,18.7,24.7,34.4,47.1,9.57839,2.6,7.1,14.2,18.1,25.1,34.1,10.133,2.5,7.5,15.5,20,29,41,8.36466,11.229,8.21484,9.856,0.50868,0.1874,0.07884,0.16216,0.2298,0.0284,0.61676,0.63636,0.92624,0.6284,4.33884,0.93708,0,0,0,0,0,0,0
