CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42963522,42963429,42963431,42963436,42963445,42963495,,46.45,31.2375,43.725,58.8125,67.9225,84.45,100.553,119.67,45900,5,0,73.94701561,70.08249132,72.0991416,68.23461731,560.7674667,69.74493878,65.88041449,67.89706477,64.03254048,17.82996585,29.34631109
42963529,42963429,42963430,42963433,42963435,42963436,,49.1,32,46,62.5,72,88.5,115,120.99,49800,4,0,82.81614039,79.62638017,81.66904381,78.47928358,464.4053868,77.83524606,74.64548583,76.68814947,73.49838925,17.79002832,110.1208925
42963528,42963427,42963430,42963431,42963438,42963447,,52.62,38.8875,52.8,68.9625,78.6,96.7025,117.251,137.72,49900,3,0,84.98241151,80.66146804,83.05492739,78.73398391,368.6213994,79.7295176,75.40857412,77.80203347,73.48108999,19.35260225,12.46594042
42963516,42963433,42963435,42963436,42963440,42963454,,55.4,45.99375,56.125,66.30625,71.87875,82.66,98.48025,144.88,49700,2,0,76.68389419,69.84913908,72.48575104,65.65099593,272.0063994,72.97220147,66.13744636,68.77405832,61.93930321,23.82399261,30.55987656
42963522,42963427,42963430,42963435,42963440,42963454,,54.62,42.1375,53.325,64.9125,72.75,86.2,102.755,140.98,49900,2,0,78.96134295,72.96769366,75.427091,69.43344171,271.2796533,75.1174029,69.12375362,71.58315095,65.58950167,20.18918559,38.08134198
42963516,42963431,42963437,42963439,42963445,42963448,,55.13,42.3625,57.425,73.775,82.65,101.02875,120.652,154.855,48500,2,0,86.61535152,81.24103346,84.08260411,78.70828604,271.2198145,80.623387,75.24906893,78.09063958,72.71632151,25.59890829,30.25004268
42963519,42963427,42963429,42963440,42963442,42963454,,54.37,42.225,53.475,66.35,74.3,88.4525,105.4615,140.72,49500,2,0,80.13797632,74.42091435,76.87553499,71.15847301,270.9334651,76.03655573,70.31949375,72.77411439,67.05705242,19.73292943,22.42294103
42963516,42963430,42963439,42963440,42963449,42963450,,54.61,41.725,55.45,70.1875,79.02875,92.88,109.95475,144.34,46900,2,0,81.82616767,76.08864997,78.71732139,72.97980368,270.9201792,77.04899969,71.31148199,73.94015341,68.20263571,23.50232576,27.13040709
42963516,42963431,42963435,42963437,42963442,42963454,,54.69,42.75,56.625,71.58125,79.6325,92.7725,108.652,150.79,49500,2,0,80.72526885,74.6097104,77.36686172,71.25130327,270.7748246,75.81222203,69.69666357,72.45381489,66.33825644,24.85468891,32.62954354
42963516,42963429,42963439,42963442,42963445,42963495,,54.52,42.775,54.575,67.2125,73.85375,86.025,98.12675,148.125,47900,2,0,75.62344136,68.77697069,71.48163415,64.63516348,270.6426393,71.6512582,64.80478753,67.50945099,60.66298032,24.32168532,35.48669219
