DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42963516,Jack Leiter,SP,,TEX,DET,Confirmed,18300,0,20.48,,20.48,1.118852459,33.26,45.95624699,0,100,4.3588,8.5942,13.9863,6.9,14.35,21.75,25.45,30.8025,36.75,26.4234,16,27,37,43,52,60,15.7359,7.8,16,24.5,28.5,34.5,40.6,21.9109,12,22.5,33,38,45.5,54.5,10.4933,15.0878,11.6762,14.7768,3.18345,0.942,0.22485,0.59155,0,0,2.7448,0,5.206,2.40505,22.8176,4.94185,2.53775,5.29442,0.2821,0.2107,0.0054,0.00125,90.2592
42963427,Jack Leiter,SP,,TEX,DET,Confirmed,12200,0,13.65,,13.65,1.118852459,41.39,46.32986547,0,100,4.3588,8.5942,13.9863,6.9,14.35,21.75,25.45,30.8025,36.75,26.4234,16,27,37,43,52,60,15.7359,7.8,16,24.5,28.5,34.5,40.6,21.9109,12,22.5,33,38,45.5,54.5,10.4933,15.0878,11.6762,14.7768,3.18345,0.942,0.22485,0.59155,0,0,2.7448,0,5.206,2.40505,22.8176,4.94185,2.53775,5.29442,0.2821,0.2107,0.0054,0.00125,90.2592
42963518,Kevin McGonigle,3B/SS,1,DET,TEX,Confirmed,14100,0,12.63,,12.63,0.895744681,4.66,4.523454457,0,100,4.2354,8.5942,8.2037,3,7,12,16,22,30,10.6398,3,9,15.5,21.2,28.405,40.6,8.11973,2.6,7.1,11.6,15.4,21.3,30,8.64688,2.5,6.5,13,17,25,35,7.05201,9.3552,6.93093,8.25289,0.6783,0.22045,0.0675,0.09715,0.10595,0.0159,0.5609,0.44615,0.72675,0.5056,4.4985,1.0634,0,0,0,0,0,0,0
42963519,Corey Seager,SS,3,TEX,DET,Confirmed,13500,0,12.46,,12.47,0.923333333,4.56,4.411552861,0,100,4.3588,8.5942,8.151,3,6,12,16,23,32,10.7548,3,9,15.7,21.7,31.2,43.603,8.14927,2.6,6.8,11.6,16.1,23.2,32.6,8.71663,2.5,6,13,18,26.5,38,7.43701,10.0785,7.38572,8.93115,0.64635,0.1864,0.01795,0.14735,0.07295,0.00855,0.55025,0.5453,0.79445,0.5535,4.5115,0.99805,0,0,0,0,0,0,0
42963522,Riley Greene,OF,4,DET,TEX,Confirmed,12300,0,12.27,,12.27,0.997560976,5.35,5.35718681,0,100,4.2354,8.5942,7.68685,2,5,12,16,22,30,10.2008,3,6.5,15.5,21.7,30.9,40.902,7.67028,2.6,5.2,11.6,16.1,22.5,30.3,8.0999,1.5,5.5,12.5,18,26,36.5,7.34289,9.95452,7.28272,8.90137,0.54535,0.1738,0.0299,0.14655,0.0738,0.0085,0.51015,0.57445,1.1518,0.46945,4.18545,0.8956,0,0,0,0,0,0,0
42963520,Brandon Nimmo,OF,1,TEX,DET,Confirmed,13200,0,11.23,,11.24,0.851136364,5.29,5.283695345,0,100,4.3588,8.5942,8.1943,3,7,12,16,23,32.01,10.6835,3,9,15.6,21.7,31.2,43.9,8.12298,2.6,6.8,11.6,16.1,23.2,32.603,8.6569,2,6,13,18,26.5,39,7.54888,10.1386,7.47774,8.98263,0.6987,0.17575,0.03245,0.14565,0.08235,0.01215,0.5576,0.50005,0.8849,0.48815,4.70905,1.05255,0,0,0,0,0,0,0
42963528,Jake Burger,1B,5,TEX,DET,Confirmed,9300,0,11.04,,11.04,1.187096774,4.78,4.656759424,0,100,4.3588,8.5942,7.43695,2,5,11,15,22,31,9.77571,3,6.2,15.2,19.5,28.7,41.7,7.33814,2.6,5.2,10.9,14.9,21.3,31,7.89125,1.5,5.5,11.625,17,25.5,37,7.25017,9.81749,7.16712,8.75233,0.60445,0.1667,0.0239,0.14075,0.0713,0.00925,0.49105,0.5594,0.9933,0.367,4.30155,0.9358,0,0,0,0,0,0,0
42963529,Spencer Torkelson,1B,5,DET,TEX,Confirmed,9000,0,10.94,,10.94,1.215,4.78,4.668779438,0,100,4.2354,8.5942,7.3037,2,5,11,15,21,30,9.71475,3,6.2,13.2,19,28.7,40.9,7.32944,2.6,5.2,10.4,14.2,21.3,30.3,7.69915,1.5,5,11,16.575,25,36.5,7.06933,9.58364,7.00853,8.56243,0.5339,0.1526,0.0231,0.1358,0.0637,0.00855,0.49425,0.5247,1.0086,0.5199,4.1066,0.8454,0,0,0,0,0,0,0
42963526,Josh Jung,3B,4,TEX,DET,Confirmed,9900,0,10.92,,10.92,1.103030303,4.83,4.727154928,0,100,4.3588,8.5942,7.70745,3,6,11.25,15,21,30,10.0187,3,9,15.2,19.2,28.405,40.403,7.54804,2.6,6.4,11.3,14.26,21.3,29.6,8.13937,2,6,12,17,25,35.005,6.95304,9.35778,6.83971,8.28776,0.7226,0.1997,0.0255,0.10565,0.08855,0.01095,0.5092,0.5308,0.87175,0.37895,4.39,1.05345,0,0,0,0,0,0,0
42963524,Kerry Carpenter,OF,6,DET,TEX,Confirmed,11100,0,10.35,,10.35,0.932432432,3.82,3.536867232,0,100,4.2354,8.5942,7.03605,2,5,11,15.15,21.05,30,9.28151,3,6.2,13.2,19.5,28.7,40.902,6.99433,2.6,4.5,10.4,14.9,21.3,30.3,7.45923,1,4.5,11.5,17,25.5,36.5,7.30369,9.8571,7.23625,8.83335,0.47995,0.13565,0.0558,0.1421,0.06855,0.00645,0.4613,0.5102,0.97535,0.3824,3.8947,0.8135,0,0,0,0,0,0,0
42963534,Matt Vierling,OF,2,DET,TEX,Confirmed,6900,0,10.23,,10.23,1.482608696,3.62,3.319461168,0,100,4.2354,8.5942,6.78585,2,5,10,14,19,28,8.83107,3,6.2,12.5,18.2,25.7,37.101,6.68707,2.6,5.2,9.7,13.2,19.4,27,6.94252,1.5,5,10.5,14.5,22.5,31.5,6.41631,8.51479,6.26433,7.50054,0.5998,0.168,0.04305,0.06695,0.10555,0.01515,0.47235,0.3957,0.92655,0.43435,4.35535,0.8778,0,0,0,0,0,0,0
42963525,Colt Keith,3B,3,DET,TEX,Confirmed,10200,0,9.52,,9.52,0.933823529,3.15,2.792965796,0,100,4.2354,8.5942,6.75225,2,5,10,14,20,28,8.78709,3,6.2,12.5,18.4,25.7,37.4,6.64908,2.6,5.2,9.7,13.5,19.1,27.001,7.0368,1.5,5,10.5,15,23,32.5,6.46559,8.62207,6.33169,7.61508,0.62305,0.16705,0.0406,0.07265,0.08255,0.0099,0.4452,0.4368,0.8255,0.4099,4.1659,0.90335,0,0,0,0,0,0,0
42963531,Kyle Higashioka,C,9,TEX,DET,Confirmed,8100,0,9.51,,9.51,1.174074074,3.05,2.68434392,0,100,4.3588,8.5942,6.70005,2,5,10,14,21,30,8.81501,3,6.2,12.7,18.7,28.2,40.4,6.61316,1.9,4.5,9.7,14.2,20.6,28.904,7.10558,1.5,5,10.5,16.5,24,34.505,6.9161,9.34383,6.82553,8.3007,0.53325,0.14815,0.026,0.12215,0.07175,0.0106,0.44315,0.50095,0.86305,0.34155,3.85205,0.82955,0,0,0,0,0,0,0
42963543,Wenceel Perez,OF,7,DET,TEX,Confirmed,4500,0,9.3,,9.3,2.066666667,2.92,2.544356624,0,100,4.2354,8.5942,6.4746,2,5,10,14,19,27,8.47182,3,6.2,12.4,18.2,25.5,35.2,6.38896,2.6,4.5,9.7,13.2,18.7,25.8,6.71168,1.5,4.5,10.5,14.5,22.5,31,6.40055,8.5398,6.27179,7.52121,0.52465,0.1505,0.0406,0.07865,0.10935,0.01425,0.42045,0.42065,0.81675,0.40395,3.8762,0.7944,0,0,0,0,0,0,0
42963536,Hao-Yu Lee,3B,8,DET,TEX,Confirmed,6300,0,9.3,,9.3,1.476190476,2.6,2.216316369,0,100,4.2354,8.5942,6.1889,2,5,9,13,19,27,8.13837,3,6,12.2,16.2,25.2,36.702,6.14804,1.9,4.5,9,12.3,18.7,26.3,6.4485,1,4.5,10,14,22,31.5,6.346,8.5154,6.24839,7.5327,0.49475,0.14985,0.0371,0.0806,0.0764,0.0099,0.41035,0.4151,0.8347,0.40985,3.76565,0.7623,0,0,0,0,0,0,0
42963527,Evan Carter,OF,6,TEX,DET,Confirmed,9600,0,8.89,,8.9,0.9265625,2.54,2.143518624,0,100,4.3588,8.5942,6.7678,2,5,10,14,20,28,8.87337,3,6.2,12.5,18.4,27.7,37.9,6.69494,2.6,5.2,9.7,13.5,20,27.803,6.90632,1.5,5,10.5,14.5,23,33,6.68848,8.9228,6.5408,7.75911,0.52815,0.15775,0.03265,0.07485,0.1474,0.02015,0.4315,0.41565,0.89935,0.4768,4.14865,0.7934,0,0,0,0,0,0,0
42963539,Josh Smith,2B,8,TEX,DET,Confirmed,5400,0,8.87,,8.87,1.641666667,1.88,1.492032209,0,100,4.3588,8.5942,6.1395,2,5,9,12,18,26,8.06743,3,6.2,12.2,15.7,24.9,34.7,6.10185,2.6,4.5,9,11.6,18,25.1,6.34417,1.5,5,9.5,13,21,30,5.94614,7.96429,5.83841,6.93129,0.5594,0.1422,0.0264,0.05595,0.0819,0.01245,0.41015,0.3969,0.75675,0.478,3.9558,0.78395,0,0,0,0,0,0,0
42963537,Ezequiel Duran,2B/OF,7,TEX,DET,Confirmed,6000,0,8.55,,8.55,1.425,2.54,2.143518624,0,100,4.3588,8.5942,6.59655,2,5,10,14,19,27,8.55793,3,6.2,12.5,18.2,25.4,37.4,6.42231,1.9,5.2,9.7,13.2,18.7,26.7,6.84832,1.5,5,10.5,14.5,22.5,32,6.47847,8.63457,6.29494,7.54249,0.6144,0.1804,0.026,0.0658,0.11825,0.01755,0.4238,0.44665,0.79415,0.3266,4.05185,0.8866,0,0,0,0,0,0,0
42963429,Kevin McGonigle,3B/SS,1,DET,TEX,Confirmed,9400,0,8.42,,8.42,0.895744681,25.89,26.84466727,0,100,4.2354,8.5942,8.2037,3,7,12,16,22,30,10.6398,3,9,15.5,21.2,28.405,40.6,8.11973,2.6,7.1,11.6,15.4,21.3,30,8.64688,2.5,6.5,13,17,25,35,7.05201,9.3552,6.93093,8.25289,0.6783,0.22045,0.0675,0.09715,0.10595,0.0159,0.5609,0.44615,0.72675,0.5056,4.4985,1.0634,0,0,0,0,0,0,0
