F,F,F,F,F,F,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,MMA Default,MMA Sim Diversity 10,geomean1,Saber Score
42728122,42728124,42704857,42704859,42704873,42728127,,438.03,390.8225,454.065,520.8975,560.498,626.0575,699.9138,162.665,50000,0,0,105.9061581,72.73832956,26.62964572,39.14418817
42728122,42704868,42704857,42704859,42704873,42728127,,441.87,397.2975,459.79,526.6175,566.9215,632.0735,699.6395,168.795,49900,0,0,105.7024989,73.22383542,27.66369543,59.5615983
42704868,42704866,42704862,42704857,42704859,42704865,,447.26,396.13,461.72,527.2125,558.9875,627.279,696.32,172.14,50000,2,0,105.6800003,274.0961997,28.14880114,77.96957493
42728122,42728124,42704857,42704859,42704873,42704861,,435.71,390.255,456.34,521.2375,558.563,618.2285,696.3048,160.445,49800,0,0,105.5333466,72.41233517,26.17936013,36.66999638
42728122,42704866,42704857,42704859,42704873,42728127,,436.63,391.9525,453.85,520.5625,557.1545,620.3505,698.2168,164.265,49700,0,0,105.4172416,72.43673395,26.91915829,35.90409458
42704866,42704860,42704862,42704857,42704859,42704873,,436.5,375.94,444.055,509.7525,554.73,619.341,703.5024,170.84,50000,2,0,105.2277872,272.1694752,28.09455821,49.1140753
42728122,42704868,42704857,42704859,42704873,42704861,,439.55,397.08,460.135,529.4525,565.1385,624.4225,694.6236,166.575,49700,1,0,105.1814016,172.897841,27.19592491,44.69067454
42728124,42704868,42704875,42704857,42704859,42704865,,443,383.9625,454.32,523.8475,562.4645,623.126,698.9532,174.025,50000,2,0,105.1204582,273.213945,28.37600627,72.65111804
42704868,42704860,42704875,42704857,42704859,42704873,,436.08,373.86,442.56,516.11,554.891,622.7165,711.582,178.855,49900,1,0,105.0675417,171.7727263,29.42106445,73.79997373
42728122,42704868,42704857,42704859,42704873,42704863,,439.73,394.6375,457.95,530.075,566.108,631.9635,691.858,165.8,49900,2,0,105.0043859,272.9614881,27.02270681,59.94455218
42728122,42704868,42704857,42704859,42704873,42704865,,439.63,395.945,459.885,524.805,560.244,622.3795,691.3045,165.375,49500,1,0,104.9775413,172.9578257,26.92530747,46.47208452
