DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,win,quick_win,strikes,sig_strikes,strike_attempts,knockdowns,tkos,takedowns,takedowns_attempted,submissions_attempted,submissions,reversals,control_time
42728122,Jafel Filho,F,Jafel Filho,Cody Durden,,9500,,95.99,95.99,10.10421053,22,22.22542413,0,100,,,95.9941,83.11,101.735,115.52,122.992,134.891,148.07,97.5661,83.6,105.3,117.6,123.6,137.8,154.2,,,,,,,,,,,,,,,29.7557,31.5483,,,93.50%,0.0748,49.2879,30.58,0,0.4491,0.2252,1.6964,4.011,0,0.5074,0.1581,134.701
42704868,Michelle Montague,F,Michelle Montague,Mayra Bueno Silva,,9300,,92.94,92.94,9.993548387,30,29.86255173,0,100,,,92.9377,68.3275,98.64,120.78,132.083,151.4,167.051,92.397,63.8,102.8,121.6,131,149,161.6,,,,,,,,,,,,,,,39.1966,40.5887,,,85%,0.009,74.5335,54.8249,0,0.1728,0.1393,3.0235,5.9235,0,0.241,0.1444,266.001
42728124,Francis Marshall,F,Francis Marshall,Lucas Brennan,,9400,,89.1,89.1,9.478723404,23.87,23.8222633,0,100,,,89.1029,68.1175,96.72,112.76,121.932,136.613,152.82,89.2947,63.6,98,116,124.8,140.6,158.2,,,,,,,,,,,,,,,34.7031,37.3834,,,89%,0.0217,57.5356,38.852,0,0.4385,0.2007,2.1085,4.9027,0,0.2898,0.1497,170.312
42704866,Rodolfo Vieira,F,Rodolfo Vieira,Eric McConico,,9100,,87.7,87.7,9.637362637,25.47,25.35772265,0,100,,,87.7032,65.595,94.925,112.035,120.67,135.94,152.011,89.0686,63.8,98.4,115.4,123.4,139.6,158.202,,,,,,,,,,,,,,,34.4928,36.6494,,,83.90%,0.0172,63.0757,45.5484,0,0.2964,0.1447,2.2323,9.0694,0,0.3368,0.1399,190.544
42704858,Youssef Zalal,F,Youssef Zalal,Aljamain Sterling,,8400,,83.47,83.47,9.936904762,36.69,39.50065345,0,100,,,83.4749,41.49,84.07,119.23,138.09,169.272,196.641,77.3062,39.15,79.4,113.6,127.4,146.6,166.4,,,,,,,,,,,,,,,50.0166,44.6825,,,59.70%,0.0091,102.762,67.0029,0,0.3868,0.16,2.0684,6.2596,0,0.0587,0.2412,337.462
42704859,Aljamain Sterling,F,Aljamain Sterling,Youssef Zalal,,7800,,80.3,80.3,10.29487179,37.03,40.12728286,0,100,,,80.3017,39.135,74.37,114.577,138.73,178.361,206.333,73.4608,36.6,66.6,107.6,129.2,159.2,182.6,,,,,,,,,,,,,,,51.9029,47.2218,,,40.40%,0.0004,110.623,70.3414,0,0.1239,0.0288,3.1152,11.1107,0,0.1061,0.2133,398.508
42704864,Julia Polastri,F,Julia Polastri,Talita Alencar,,9000,,76.53,76.53,8.503333333,22.76,22.73046897,0,100,,,76.535,47.34,79.105,106.363,116.343,130.87,149.182,81.895,46.4,86.6,114.2,126.2,146.2,164.8,,,,,,,,,,,,,,,37.2574,42.2071,,,79%,0.0044,89.87,71.3633,0,0.3914,0.2243,0.5067,0.663,0,0.0495,0.1594,76.9296
42704870,Jackson McVey,F,Jackson McVey,Sedriques Dumas,,8700,,76.46,76.46,8.788505747,33.77,36.16823109,0,100,,,76.4616,31.6575,92.44,111.465,120.06,134.38,150.734,81.2387,29.4,100.4,119.2,128.8,146.61,162.4,,,,,,,,,,,,,,,45.0514,49.2532,,,69.40%,0.0314,46.8023,32.6163,0,0.47,0.2928,0.7679,3.0568,0,0.2894,0.123,84.0466
42704862,Montel Jackson,F,Montel Jackson,Raoni Barcelos,,8600,,72.69,72.69,8.452325581,29.1,30.08531965,0,100,,,72.6935,38.3475,75.705,107.652,118.093,134.402,151.483,75.5829,35.6,76.4,113.6,126.8,146,165.2,,,,,,,,,,,,,,,41.8725,45.7839,,,70%,0.0087,65.7369,48.4334,0,0.5302,0.2549,1.186,2.0108,0,0.0751,0.1755,102.364
42704860,Norma Dumont,F,Norma Dumont,Joselyne Edwards,,8800,,71.7,71.7,8.147727273,22.3,22.21750644,0,100,,,71.7029,44,70.615,102.412,114.971,131.982,152.752,69.4138,39.2,68,101.6,112.6,130.41,149.6,,,,,,,,,,,,,,,38.3583,38.7644,,,72.50%,0.0144,78.3333,55.5591,0,0.1995,0.0812,1.5123,2.9445,0,0.0932,0.1511,178.329
