DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
42971721,Victor Wembanyama,C/UTIL,SAS,MIN,,10800,0,55.25,,55.25,5.115740741,25,25.01643334,0,100,114.5408,219.3378,55.2474,47.25,54.725,61.9,66.415,73.905,83.1515,55.9541,47.48,55.14,63.1,67.729,75.703,84.8228,55.9541,47.48,55.14,63.1,67.729,75.703,84.8228,57.077,48.72,56.4,64.1,68.58,76.34,85.9606,11.1293,11.7421,11.7421,11.5391,27.6497,32.7757,7.64227,2.56405,12.0644,2.25077,9.81362,2.81443,1.34263,2.91833,3.6075
42971723,Joel Embiid,C/UTIL,PHI,NYK,Confirmed,8800,0,47.85,,47.85,5.4375,40,36.22259558,0,100,102.6975,213.2148,47.8451,39.5,46.85,54.2,58.1,64.9075,72.1015,46.9516,38.44,46,53.66,57.76,64.762,72.3206,46.9516,38.44,46,53.66,57.76,64.762,72.3206,48.3806,39.96,47.44,54.94,58.88,65.96,73.3004,10.7418,11.1488,11.1488,10.9502,25.6552,36.0359,7.2385,1.2756,9.12073,1.87305,7.24768,4.74265,0.791417,1.23343,3.63797
42971732,Tyrese Maxey,PG/G/UTIL,PHI,NYK,Confirmed,8500,0,43.82,,43.82,5.155294118,34.83,32.69989828,0,100,102.6975,213.2148,43.8197,33.6,41.2,48.8,52.8,59.3,67.55,42.5632,32.34,40,47.52,51.62,58.083,66.361,42.5632,32.34,40,47.52,51.62,58.083,66.361,43.0965,33.12,40.54,48.06,51.869,58.24,66.0212,11.1215,11.1244,11.1244,10.898,23.5947,38.687,5.28477,3.0869,4.40013,0.924567,3.47557,5.50333,1.12918,0.573033,2.2217
42971735,Jalen Brunson,PG/G/UTIL,NYK,PHI,Confirmed,8100,0,43.25,,43.25,5.339506173,41.56,36.70469245,0,100,110.5173,213.2148,43.2497,35.85,42.55,49.1,52.7,59.3,66.55,41.5345,34.02,40.9,47.46,50.92,57.46,64.5204,41.5345,34.02,40.9,47.46,50.92,57.46,64.5204,42.4019,35.08,41.8,48.12,51.54,57.902,64.74,10.2229,10.1314,10.1314,9.94701,27.0982,35.5523,7.32448,2.63853,2.82562,0.650917,2.1747,6.45132,0.825017,0.20375,2.5157
42971728,Karl-Anthony Towns,PF/C/F/UTIL,NYK,PHI,Confirmed,8600,0,42.83,,42.83,4.980232558,26.73,26.53196234,0,100,110.5173,213.2148,42.8342,34.85,41,47.25,50.75,56.8,64.5,42.2719,33.98,40.36,46.84,50.58,56.72,64.1004,42.2719,33.98,40.36,46.84,50.58,56.72,64.1004,42.7882,34.7,40.9,47.26,50.82,56.94,64.1608,9.4163,9.65396,9.65396,9.46023,17.3951,33.0877,4.7394,1.54907,11.6854,2.67353,9.01183,3.8521,0.969867,0.833033,2.0096
42971725,Anthony Edwards,SG/G/UTIL,MIN,SAS,P,8700,0,37.35,,37.35,4.293103448,6.05,7.397772165,0,100,104.797,219.3378,37.3519,30.6,37.55,44.65,48.6,54.95,63.3055,35.6908,29.08,35.96,43.12,46.96,53.482,62.24,35.6908,29.08,35.96,43.12,46.96,53.482,62.24,36.5964,29.96,36.82,43.72,47.44,53.8,62.3604,10.2763,10.252,10.252,9.99684,23.6894,31.3103,5.00492,3.18357,4.41508,1.10523,3.30985,3.43868,1.09292,0.521183,2.71498
42971738,Julius Randle,PF/F/UTIL,MIN,SAS,,7700,0,37.27,,37.27,4.84025974,26.83,26.71088191,0,100,104.797,219.3378,37.2689,28.4,34.9,41.4,45.15,51.4,58.75,35.7036,26.84,33.38,39.9,43.64,49.84,57.04,35.7036,26.84,33.38,39.9,43.64,49.84,57.04,36.6714,28,34.44,40.78,44.48,50.3,57.3406,9.61339,9.63534,9.63534,9.41452,18.4761,33.9602,4.6319,1.86128,6.34713,1.60152,4.74562,4.61582,0.861133,0.288967,2.89485
42971744,Stephon Castle,SG/G/UTIL,SAS,MIN,,7000,0,37.18,,37.18,5.311428571,43.22,38.41207265,0,100,114.5408,219.3378,37.1782,29.85,35.6,41.3,44.55,50.2,56.5,36.6602,29.08,34.94,40.98,44.38,50.303,56.8004,36.6602,29.08,34.94,40.98,44.38,50.303,56.8004,37.2984,29.9,35.6,41.38,44.66,50.345,56.72,8.48176,8.82235,8.82235,8.50369,15.7271,33.3604,4.02792,1.55887,5.38522,1.00252,4.3827,6.70943,1.54707,0.370217,2.77838
42971747,De'Aaron Fox,PG/G/UTIL,SAS,MIN,,6900,0,36.2,,36.2,5.246376812,39.53,35.65087111,0,100,114.5408,219.3378,36.1951,30.7,36.6,42.7,46.1,51.45,57.9,35.5386,29.96,35.9,42.4,45.74,51.44,57.6816,35.5386,29.96,35.9,42.4,45.74,51.44,57.6816,36.1407,30.78,36.54,42.7,45.94,51.36,57.1604,8.85111,9.08661,9.08661,8.79043,18.188,33.9375,4.85362,1.8127,3.56225,0.6825,2.87975,7.3588,1.39667,0.3116,2.43047
42971757,Paul George,SF/PF/F/UTIL,PHI,NYK,Confirmed,6600,0,33.95,,33.95,5.143939394,36.29,34.87851271,0,100,102.6975,213.2148,33.9492,26.1,32.3,38.65,42.05,48.3,55.1515,32.6508,24.85,31.08,37.48,41.04,47.36,54.4,32.6508,24.85,31.08,37.48,41.04,47.36,54.4,33.5351,25.86,31.98,38.04,41.64,47.66,54.3034,9.26858,9.37148,9.37148,9.09257,16.7988,37.508,3.29185,2.49595,5.81798,1.21693,4.60105,3.41973,1.21707,0.575,2.9341
42971750,OG Anunoby,PF/F/UTIL,NYK,PHI,Confirmed,6800,0,32.89,,32.89,4.836764706,31.57,30.59021917,0,100,110.5173,213.2148,32.8872,26.45,31.95,37.9,41.15,47.2,54.4015,32.6007,26.12,31.82,37.82,41.18,47.103,54.4206,32.6007,26.12,31.82,37.82,41.18,47.103,54.4206,32.7377,26.36,31.92,37.72,41.02,46.76,53.8806,8.57565,8.71492,8.71492,8.47471,17.6652,36.9797,3.95845,2.57622,6.0925,1.41193,4.68057,1.51705,1.23518,0.891283,1.46098
42971767,Josh Hart,SG/SF/F/G/UTIL,NYK,PHI,Confirmed,6000,0,31.87,,31.87,5.311666667,49.01,43.71901525,0,100,110.5173,213.2148,31.8718,25.55,30.55,36.05,39.05,44.3,49.6515,31.5027,24.98,30.24,35.775,38.92,43.96,49.7212,31.5027,24.98,30.24,35.775,38.92,43.96,49.7212,31.7373,25.405,30.5,35.88,38.88,43.94,49.6418,7.8036,8.00028,8.00028,7.7456,11.5209,34.6732,2.92808,1.30088,8.24118,1.90602,6.33517,4.2067,1.14363,0.3427,1.68313
42971761,Rudy Gobert,C/UTIL,MIN,SAS,,6500,0,31.62,,31.62,4.864615385,25.4,25.34579542,0,100,104.797,219.3378,31.6171,24.7,29.95,35.6,38.55,44.1,50.301,32.4217,24.74,30.54,36.64,39.78,45.92,52.34,32.4217,24.74,30.54,36.64,39.78,45.92,52.34,32.6888,25.24,30.84,36.7,39.98,45.76,52.0616,8.09867,8.71149,8.71149,8.53142,10.0288,33.7743,3.79595,0.0835667,11.6316,2.90327,8.7283,1.53635,0.874417,1.13112,1.45147
42971763,VJ Edgecombe,PG/SG/G/UTIL,PHI,NYK,Confirmed,6300,0,29.3,,29.3,4.650793651,24.71,24.53523783,0,100,102.6975,213.2148,29.3006,22.05,27.55,33.65,36.8,42.455,48.8,29.1395,21.5,27.22,33.58,36.84,42.72,49.2606,29.1395,21.5,27.22,33.58,36.84,42.72,49.2606,29.3753,22,27.58,33.68,36.9,42.542,48.6206,8.56887,8.82198,8.82198,8.53405,12.8106,37.7627,2.8228,1.77843,5.53748,1.18502,4.35247,2.93985,1.35713,0.5643,1.9675
42971741,Jaden McDaniels,SF/F/UTIL,MIN,SAS,,7200,0,29.07,,29.07,4.0375,3.41,4.263704531,0,100,104.797,219.3378,29.0697,20.8,26.125,31.8,34.8,40.55,47.351,29.4597,20.72,26.04,32.02,35.28,41.14,48.44,29.4597,20.72,26.04,32.02,35.28,41.14,48.44,29.4071,21,26.2,31.92,35.06,40.8,47.7406,8.16217,8.45991,8.45991,8.1884,13.9076,34.9093,3.49425,1.78755,4.73462,1.17392,3.5607,1.74277,1.23367,0.701133,1.42315
