CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42961879,42961842,42961843,42961846,42961857,42961859,,224.2,208.46875,224.375,241.25,251.7875,270.0125,296.37875,213.51,50000,10,0,106.537671,100.0959941,103.3239445,96.86804374,1073.422963,103.3926786,100.1647282,100.1647282,86.95191986,32.18076799,166.295886
42961877,42961843,42961846,42961848,42961853,42961859,,224.42,209.875,226.375,245,253.89375,271.63125,294.5175,212.6,49900,9,0,106.6992461,100.1954283,103.4427396,96.94811703,973.4626233,103.3891351,100.1418238,100.1418238,86.89985677,34.39779459,203.9637327
42961877,42961844,42961845,42961846,42961857,42961859,,223.97,208.46875,225.125,242.125,251.9125,269.50625,288.25375,207.37,49700,8,0,106.5233423,100.224481,103.3692518,97.07971022,873.5073766,103.1824636,100.0376929,100.0376929,86.9183073,33.2165416,175.1900434
42961877,42961843,42961845,42961846,42961857,42961859,,224.54,209.375,226.375,243.625,252.89375,270.6375,292.25,207.825,49900,7,0,106.8066705,100.4924251,103.646368,97.33848216,773.6921141,103.5528076,100.3988646,100.3988646,87.24492169,33.27407197,199.9706149
42961877,42961844,42961846,42961848,42961853,42961859,,223.85,209.625,226.875,242.375,250.875,271.13125,288.755,212.145,49700,7,0,106.3356678,99.95070209,103.1888412,96.71256295,773.2778858,102.9591968,99.72105768,99.72105768,86.51364803,34.33832132,140.271759
42961881,42961842,42961844,42961848,42961851,42961859,,222.28,207.5,224.375,242.125,251.26875,269.38125,287.88125,212.555,50000,7,0,105.6493053,99.1791375,102.4199403,95.9383347,772.7131927,102.2251814,98.98437857,98.98437857,85.84422599,32.95731898,163.1073356
42961880,42961842,42961843,42961844,42961857,42961859,,219.92,203.875,220.5,236.625,246,260.75625,280.125,206.59,49900,7,0,104.5040633,98.1508066,101.2782958,95.02331742,772.0989898,101.1390703,98.01158115,98.01158115,85.08984595,30.11071442,120.3361869
42961881,42961842,42961843,42961848,42961853,42961857,,219.37,204.625,221.375,238.875,249.25,265.6375,290.0025,203.09,49600,7,0,104.4385213,98.23958799,101.3156803,95.16349565,772.0058272,101.3301917,98.25409932,98.25409932,85.40825548,31.02524973,76.90671682
42961880,42961842,42961844,42961846,42961855,42961859,,218.26,202.875,219.125,235.90625,245.01875,262.75,282.6275,199.955,49900,7,0,103.8337425,97.80769823,100.827571,94.78782545,771.7227912,100.6994498,97.679577,97.679577,84.93938713,27.79361065,69.43680048
42961878,42961842,42961844,42961846,42961858,42961859,,221.63,206,222.375,239.75,250.125,268.5,295.14125,204.64,49900,6,0,105.4829931,99.36189442,102.4344803,96.28930851,672.8180419,102.5170913,99.44450537,99.44450537,86.50151775,29.64228539,105.5944085
